"Date.Day","Date.Full","Date.Month","Date.Year","Show.Name","Show.Theatre","Show.Type","Statistics.Attendance","Statistics.Capacity","Statistics.Gross","Statistics.Gross Potential","Statistics.Performances"
"26","8/26/1990","8","1990","Tru","Booth","Play","5500","88","134456","0","8"
"24","3/24/1991","3","1991","Miss Saigon","Broadway","Musical","1737","100","100647","0","0"
"31","3/31/1991","3","1991","Miss Saigon","Broadway","Musical","12160","100","634424","0","0"
"7","4/7/1991","4","1991","Miss Saigon","Broadway","Musical","13921","100","713353","0","0"
"14","4/14/1991","4","1991","Miss Saigon","Broadway","Musical","10973","90","573981","0","4"
"21","4/21/1991","4","1991","Miss Saigon","Broadway","Musical","14076","101","706793","0","8"
"28","4/28/1991","4","1991","Miss Saigon","Broadway","Musical","14065","101","714968","0","8"
"5","5/5/1991","5","1991","Miss Saigon","Broadway","Musical","14064","101","730765","0","8"
"12","5/12/1991","5","1991","Miss Saigon","Broadway","Musical","13896","100","766713","0","8"
"19","5/19/1991","5","1991","Miss Saigon","Broadway","Musical","13738","99","763332","0","8"
"26","5/26/1991","5","1991","Miss Saigon","Broadway","Musical","13897","100","769137","0","8"
"2","6/2/1991","6","1991","Miss Saigon","Broadway","Musical","14016","101","774412","0","8"
"9","6/9/1991","6","1991","Miss Saigon","Broadway","Musical","14088","101","771767","0","8"
"16","6/16/1991","6","1991","Miss Saigon","Broadway","Musical","14088","101","770819","0","8"
"23","6/23/1991","6","1991","Miss Saigon","Broadway","Musical","14088","101","771192","0","8"
"30","6/30/1991","6","1991","Miss Saigon","Broadway","Musical","14088","101","777088","0","8"
"7","7/7/1991","7","1991","Miss Saigon","Broadway","Musical","14088","101","779802","0","8"
"14","7/14/1991","7","1991","Miss Saigon","Broadway","Musical","14084","101","782314","0","8"
"21","7/21/1991","7","1991","Miss Saigon","Broadway","Musical","14088","101","781413","0","8"
"28","7/28/1991","7","1991","Miss Saigon","Broadway","Musical","14088","101","786612","0","8"
"4","8/4/1991","8","1991","Miss Saigon","Broadway","Musical","14088","101","782060","0","8"
"11","8/11/1991","8","1991","Miss Saigon","Broadway","Musical","14088","101","781332","0","8"
"18","8/18/1991","8","1991","Miss Saigon","Broadway","Musical","14088","101","784392","0","8"
"25","8/25/1991","8","1991","Miss Saigon","Broadway","Musical","14088","101","786452","0","8"
"1","9/1/1991","9","1991","Miss Saigon","Broadway","Musical","14088","101","786995","0","8"
"8","9/8/1991","9","1991","Miss Saigon","Broadway","Musical","14088","101","783503","0","8"
"15","9/15/1991","9","1991","Miss Saigon","Broadway","Musical","14088","101","781614","0","8"
"22","9/22/1991","9","1991","Miss Saigon","Broadway","Musical","14088","101","780148","0","8"
"29","9/29/1991","9","1991","Miss Saigon","Broadway","Musical","14088","101","776172","0","8"
"6","10/6/1991","10","1991","Miss Saigon","Broadway","Musical","14088","101","775124","0","8"
"13","10/13/1991","10","1991","Miss Saigon","Broadway","Musical","14088","101","776901","0","8"
"20","10/20/1991","10","1991","Miss Saigon","Broadway","Musical","14088","101","771361","0","8"
"27","10/27/1991","10","1991","Miss Saigon","Broadway","Musical","14088","101","777898","0","8"
"3","11/3/1991","11","1991","Miss Saigon","Broadway","Musical","14088","101","784499","0","8"
"10","11/10/1991","11","1991","Miss Saigon","Broadway","Musical","14088","101","780494","0","8"
"17","11/17/1991","11","1991","Miss Saigon","Broadway","Musical","14088","101","781617","0","8"
"24","11/24/1991","11","1991","Miss Saigon","Broadway","Musical","14088","101","779435","0","8"
"1","12/1/1991","12","1991","Miss Saigon","Broadway","Musical","14088","101","784733","0","8"
"8","12/8/1991","12","1991","Miss Saigon","Broadway","Musical","14088","101","782279","0","8"
"15","12/15/1991","12","1991","Miss Saigon","Broadway","Musical","14088","101","780343","0","8"
"22","12/22/1991","12","1991","Miss Saigon","Broadway","Musical","14088","101","778474","0","8"
"29","12/29/1991","12","1991","Miss Saigon","Broadway","Musical","14088","101","800315","0","8"
"5","1/5/1992","1","1992","Miss Saigon","Broadway","Musical","14088","101","837851","0","8"
"12","1/12/1992","1","1992","Miss Saigon","Broadway","Musical","14088","101","773439","0","8"
"19","1/19/1992","1","1992","Miss Saigon","Broadway","Musical","14082","101","735927","0","8"
"26","1/26/1992","1","1992","Miss Saigon","Broadway","Musical","14088","101","759192","0","8"
"2","2/2/1992","2","1992","Miss Saigon","Broadway","Musical","14088","101","741472","0","8"
"9","2/9/1992","2","1992","Miss Saigon","Broadway","Musical","14088","101","741091","0","8"
"16","2/16/1992","2","1992","Miss Saigon","Broadway","Musical","14088","101","750398","0","8"
"23","2/23/1992","2","1992","Miss Saigon","Broadway","Musical","14088","101","756909","0","8"
"1","3/1/1992","3","1992","Miss Saigon","Broadway","Musical","14088","101","746225","0","8"
"8","3/8/1992","3","1992","Miss Saigon","Broadway","Musical","14088","101","708433","0","8"
"15","3/15/1992","3","1992","Miss Saigon","Broadway","Musical","14088","101","708315","0","8"
"22","3/22/1992","3","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","7849","90","321851","84","0"
"22","3/22/1992","3","1992","Miss Saigon","Broadway","Musical","14088","101","710345","0","8"
"29","3/29/1992","3","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","8333","95","338536","88","0"
"29","3/29/1992","3","1992","Miss Saigon","Broadway","Musical","14088","101","712946","0","8"
"5","4/5/1992","4","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","7774","89","313611","82","0"
"5","4/5/1992","4","1992","Miss Saigon","Broadway","Musical","14088","101","710415","0","8"
"12","4/12/1992","4","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","7656","87","314028","82","1"
"12","4/12/1992","4","1992","Miss Saigon","Broadway","Musical","13773","99","699688","0","8"
"19","4/19/1992","4","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","8381","96","354794","92","8"
"19","4/19/1992","4","1992","Miss Saigon","Broadway","Musical","14019","101","700167","0","8"
"26","4/26/1992","4","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","8663","99","368407","96","8"
"26","4/26/1992","4","1992","Miss Saigon","Broadway","Musical","14088","101","705154","0","8"
"3","5/3/1992","5","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","7875","90","332830","87","8"
"3","5/3/1992","5","1992","Miss Saigon","Broadway","Musical","13953","100","699304","0","8"
"10","5/10/1992","5","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","7070","81","293613","76","8"
"10","5/10/1992","5","1992","Miss Saigon","Broadway","Musical","13938","100","697606","0","8"
"17","5/17/1992","5","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","7673","88","328716","86","8"
"17","5/17/1992","5","1992","Miss Saigon","Broadway","Musical","14025","101","704589","0","8"
"24","5/24/1992","5","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","6958","79","289457","75","8"
"24","5/24/1992","5","1992","Miss Saigon","Broadway","Musical","14088","101","706406","0","8"
"31","5/31/1992","5","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","6062","69","249238","65","8"
"31","5/31/1992","5","1992","Miss Saigon","Broadway","Musical","13912","100","706526","0","8"
"7","6/7/1992","6","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","6059","69","250416","65","8"
"7","6/7/1992","6","1992","Miss Saigon","Broadway","Musical","13596","98","691925","0","8"
"14","6/14/1992","6","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","6142","70","248778","65","8"
"14","6/14/1992","6","1992","Miss Saigon","Broadway","Musical","13956","100","703465","0","8"
"21","6/21/1992","6","1992","A Streetcar Named Desire 92","Ethel Barrymore","Play","6111","70","243197","63","8"
