"Name","Number of Permits.1 unit","Number of Permits.2 units","Number of Permits.3-4 units","Number of Permits.5+ units","Period.full","Period.month","Period.month name","Period.year","Valuations.1 unit","Valuations.2 units","Valuations.3-4 units","Valuations.5+ units"
"Mississippi","789","0","4","82","2003/06","6","June","2003","83156","0","146","3169"
"Oklahoma","1056","42","4","19","2003/06","6","June","2003","145263","2608","173","894"
"Minnesota","3245","74","77","450","2003/06","6","June","2003","497828","7798","4968","43408"
"Illinois","4543","116","244","1673","2003/06","6","June","2003","736772","11112","20690","164494"
"Georgia","6529","42","98","840","2003/06","6","June","2003","769867","6117","2943","48246"
"Arkansas","888","22","27","133","2003/06","6","June","2003","122022","1227","1530","7201"
"New Mexico","1117","2","19","92","2003/06","6","June","2003","154961","112","826","3778"
"Indiana","3138","150","56","1148","2003/06","6","June","2003","472526","13498","4457","57347"
"Maryland","3239","6","15","288","2003/06","6","June","2003","427061","338","1043","17459"
"Texas","12235","276","352","3924","2003/06","6","June","2003","1577494","17304","23069","235035"
"Wyoming","181","4","3","5","2003/06","6","June","2003","28774","250","833","223"
"Tennessee","3075","50","15","307","2003/06","6","June","2003","374895","2361","695","21345"
"Iowa","1368","34","31","153","2003/06","6","June","2003","194479","2846","1505","10240"
"Wisconsin","2814","200","105","1075","2003/06","6","June","2003","432109","21972","7846","53296"
"Arizona","6077","48","85","1157","2003/06","6","June","2003","862408","3607","7117","81987"
"Louisiana","1547","254","193","279","2003/06","6","June","2003","179913","16533","9389","15198"
"Michigan","4539","62","44","543","2003/06","6","June","2003","645233","6159","3892","37186"
"Kansas","1087","58","3","0","2003/06","6","June","2003","153167","5234","298","0"
"Utah","1651","40","94","85","2003/06","6","June","2003","227446","4539","7843","6843"
"Virginia","4468","38","60","1565","2003/06","6","June","2003","604277","1862","4214","75144"
"Oregon","1682","62","74","286","2003/06","6","June","2003","304130","6146","5558","20858"
"Connecticut","823","14","4","296","2003/06","6","June","2003","160480","1326","290","14758"
"District of Columbia","10","0","0","259","2003/06","6","June","2003","1304","0","0","15841"
"New Hampshire","613","20","13","194","2003/06","6","June","2003","98945","2235","1467","14459"
"Massachusetts","1158","110","69","378","2003/06","6","June","2003","218307","10463","5943","24374"
"West Virginia","393","48","4","5","2003/06","6","June","2003","50235","3623","237","226"
"South Carolina","2877","58","41","332","2003/06","6","June","2003","381970","3443","2677","20167"
"Vermont","267","12","0","10","2003/06","6","June","2003","39504","1115","0","625"
"Delaware","535","0","0","5","2003/06","6","June","2003","59957","0","0","80"
"North Dakota","251","0","8","161","2003/06","6","June","2003","36344","0","787","10967"
"California","13038","206","322","2537","2003/06","6","June","2003","2473946","24538","32924","227210"
"Pennsylvania","3277","36","106","311","2003/06","6","June","2003","456293","2338","7077","27778"
"Florida","13526","268","490","3581","2003/06","6","June","2003","1971557","20012","59632","253804"
"Kentucky","1397","24","17","119","2003/06","6","June","2003","165455","1337","839","5346"
"Rhode Island","168","4","14","26","2003/06","6","June","2003","26270","238","556","423"
"Nebraska","832","4","0","60","2003/06","6","June","2003","112149","285","0","2756"
"Missouri","1933","136","112","531","2003/06","6","June","2003","261907","9423","7118","23938"
"Ohio","4000","96","92","957","2003/06","6","June","2003","653652","8963","7263","43863"
"Alabama","1864","16","15","398","2003/06","6","June","2003","235346","943","917","55141"
"South Dakota","386","4","4","36","2003/06","6","June","2003","34187","426","38","4616"
"Alaska","146","58","38","204","2003/06","6","June","2003","27410","7290","3117","25102"
"Colorado","3135","46","33","517","2003/06","6","June","2003","527161","11412","2742","37718"
"Idaho","1050","10","91","199","2003/06","6","June","2003","159587","798","5472","8036"
"New Jersey","1939","162","42","303","2003/06","6","June","2003","256790","14689","3517","16647"
"Washington","2955","100","112","821","2003/06","6","June","2003","466758","9862","9379","57993"
"North Carolina","6457","106","62","717","2003/06","6","June","2003","881154","6838","2608","45421"
"Maine","673","10","10","12","2003/06","6","June","2003","89697","572","989","743"
"New York","2564","558","363","1130","2003/06","6","June","2003","412296","53415","29458","74534"
"Montana","213","32","21","17","2003/06","6","June","2003","30393","2010","1598","962"
"Nevada","3346","6","161","528","2003/06","6","June","2003","425232","866","14775","27703"
"Hawaii","427","2","11","213","2003/06","6","June","2003","82618","198","928","18205"
"Mississippi","938","0","3","240","2003/07","7","July","2003","106281","0","181","15279"
"Oklahoma","1345","64","0","86","2003/07","7","July","2003","162658","5010","0","5492"
"Minnesota","3191","70","80","623","2003/07","7","July","2003","521454","8996","5839","50681"
