"Year","Data.Meat.Beef","Data.Meat.Lamb","Data.Meat.Pork","Data.Meat.Average","Data.Fuel.Coal","Data.Fuel.Natural gas","Data.Fuel.Petroleum","Data.Fuel.Average","Data.Grain.Corn","Data.Grain.Rice","Data.Grain.Rye","Data.Grain.Wheat","Data.Grain.Average","Data.Metal.Aluminum","Data.Metal.Chromium","Data.Metal.Copper","Data.Metal.Lead","Data.Metal.Manganese","Data.Metal.Nickel","Data.Metal.Steel","Data.Metal.Tin","Data.Metal.Zinc","Data.Metal.Iron ore","Data.Metal.Gold","Data.Metal.Platinum","Data.Metal.Silver","Data.Metal.Average","Data.Plant extract.Cocoa","Data.Plant extract.Coffee","Data.Plant extract.Cotton","Data.Plant extract.Cottonseed","Data.Plant extract.Palm oil","Data.Plant extract.Rubber","Data.Plant extract.Sugar","Data.Plant extract.Tea","Data.Plant extract.Tobacco","Data.Plant extract.Average"
"1900","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"1901","98.78640777","90.4146783","115.345979","101.51568835666667","99.73627707","79.02912621","88.36517382","89.04352569999999","129.3161242","88.79106793","108.4481522","100.4507857","106.75153250749999","99.69361305","104.0785368","98.29529508","97.88714729","111.6952243","111.3592233","88.35554484","82.25311776","91.50105175","70.62177236","98.78640777","112.2126819","85.06607335","96.29274534999999","92.90888017","77.70516402","99.36784631","98.78640777","93.59967423","86.98610503","79.93692538","94.48084519","100.2995475","91.56348840000001"
"1902","97.60191847","90.98483925","133.950775","107.51251090666665","105.1097583","78.33422582","89.27598744","90.90665718666666","152.9143491","84.85893381","97.40710426","102.8670524","109.51185989250001","98.49824598","81.91589585","66.49366568","90.9034914","111.4252045","88.01918465","95.78324918","87.4537692","108.8278174","75.5895709","97.60191847","127.7881152","73.35205909","92.58862980769231","92.37014303","68.63995422","101.3933997","106.3524353","97.60191847","83.36006863","63.11335867","98.9144137","104.6497594","90.71060568"
"1903","90.86820657","93.81047946","113.4733098","99.38399860999999","113.779421","76.66174516","112.116237","100.85246771999999","114.9948615","104.9157927","101.9040465","106.4803554","107.073764025","96.30426395","71.57092614","78.03704063","92.5918916","178.9308974","76.51582649","92.4643021","89.65830664","122.7945962","76.34232122","95.42790152","122.7013867","82.46855687","98.13909365076923","90.88573717","65.97914521","120.8715975","109.2484942","97.09803378","103.8977828","66.08935657","73.653054","108.1655426","92.87652709222222"
"1904","94.3221321","94.3221321","95.95777601","94.86734673666668","99.76379356","74.3811366","113.4953605","95.88009688666666","124.5363592","86.47679732","130.2812683","137.8376678","119.783023155","100.9572822","77.47889422","74.68833163","93.02578151","97.74429624","75.62920046","77.91828304","88.30366969","110.5050275","62.21247011","94.3221321","113.9551168","89.08201365","88.90942301153845","92.07736605","90.30598292","114.7521172","98.22511687","94.3221321","115.2175113","86.98722933","87.35851769","103.6098694","98.09509365111109"
"1905","95.10220903","95.42790152","98.73753973","96.42255009333333","97.26305348","66.79953107","97.68715272","87.24991242333333","125.3623988","98.43267977","114.8563366","135.8809605","118.63309391749999","102.1408377","73.27499581","91.89174517","102.8543299","117.2313484","76.51582649","87.72254302","100.0994766","129.048278","71.06333092","95.42790152","128.2160558","96.45875848","97.84195598538462","91.44820145","96.10510683","108.177833","99.37664228","93.75776927","124.6086182","94.07655733","85.82120197","100.85706","99.35877670333333"
"1906","93.34862385","94.93080392","115.548792","101.27607325666666","99.6317043","60.15266936","110.2865314","90.02363501999999","112.9223127","113.1776737","108.9998901","104.516104","109.903995125","102.1987405","68.34452818","111.1640996","120.9075036","194.2487501","74.84862385","87.55057268","124.3411481","132.0863409","83.020691","93.34862385","148.8547601","100.2633367","110.85982455076922","91.67723501","91.2761027","116.6995156","115.2372667","103.1510744","126.7168285","69.92849759","73.61611205","103.5618212","99.09605041666666"
"1907","87.21766202","90.86680682","106.9867234","95.02373074666667","97.94393313","63.22722283","114.5962888","91.92248158666666","123.1416891","116.2942293","129.4806655","115.2537583","121.04258555","122.962812","59.03638074","110.3783803","108.7778263","178.8754376","80.57958288","88.79737644","114.0831492","124.0587697","96.1963706","89.35236004","187.1794301","76.11497337","110.49175763615382","106.3742231","71.07244697","113.17615","115.8499565","106.6080964","111.9377797","70.40772137","68.96383652","102.6476784","96.33754321777776"
"1908","91.25560538","89.70890021","103.839987","94.93483086333333","98.27526733","66.58783809","120.1304888","94.99786474","163.0086842","123.2157061","132.6029555","126.0285928","136.21398465","80.09283088","65.18257527","74.45707998","87.70474024","104.6618357","82.29596413","83.88714035","89.91922622","99.1362958","87.37238813","91.25560538","128.213351","69.56831645","87.98056534846154","75.50508274","70.11620369","110.5379846","107.6186794","91.25560538","92.3152843","82.54796747","65.22830771","111.0243251","89.57216004333334"
"1909","92.29024943","81.34055882","137.1017","103.57750275000001","94.95246817","64.46886447","113.5295201","90.98361758","160.7621689","98.06168306","132.2642696","157.4419926","137.13252854","62.09135115","62.6255264","73.9927856","90.18169933","113.6117575","74.0","75.09330854","91.74963709","116.553028","83.65031119","92.29024943","133.6670279","75.34188573","88.06527445076925","65.36883882","88.70679794","127.707108","154.6657284","97.13590526","134.3521392","82.17975389","72.15847609","116.725961","104.33341206666667"
