"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Abbeville County","SC","22.4","19.8","4.7","15.6","81.7","1416","0.3","0.4","27.6","1.6","0.0","1.4","70.2","68.9","75.0","9660","12245","90800","2.46","38741","22646","1.8","490.48","2.8","90.4","598825","28.1","51.6","1559","24295","25417","51.8","12507","91371","1450","543","689","317","1080","187","1211"
"Acadia Parish","LA","15.8","25.8","6.9","13.3","79.0","4533","0.4","0.3","18.0","2.8","0.0","1.6","79.7","77.3","71.1","22236","26657","118000","2.76","43396","23122","1.3","655.12","10.0","89.8","-1","28.9","51.1","2690","57576","61773","94.3","52706","602739","4664","1516","2629","705","3734","388","4007"
"Accomack County","VA","24.6","20.7","5.6","19.5","81.5","2387","0.7","0.8","28.8","9.1","0.2","1.7","67.8","59.9","66.8","13438","21319","171800","2.35","46073","26018","7.7","449.5","11.5","93.0","667932","22.9","51.3","2606","33413","33164","73.8","53568","348195","2997","802","1716","335","2560","212","2536"
"Ada County","ID","14.9","23.2","5.6","38.5","95.2","41464","0.8","2.7","1.4","8.5","0.2","3.0","91.9","84.3","69.3","173353","192630","270800","2.58","66293","34919","5.8","1052.58","8.7","83.7","-1","20.7","49.9","29924","494967","392365","372.8","763099","5766679","41789","14661","19409","3099","36701","3803","35132"
"Adair County","IA","23.0","21.8","5.6","18.5","94.2","609","0.3","0.5","0.6","2.5","0.0","1.2","97.4","95.1","74.3","3200","3718","104600","2.17","53363","30822","1.6","569.27","3.2","86.1","-1","25.1","50.2","492","7496","7682","13.5","-1","63002","914","304","499","0","861","185","679"
"Adair County","KY","19.2","19.9","5.2","15.7","79.6","1623","0.3","0.4","2.9","2.2","0.1","1.5","94.8","93.0","76.1","6977","8632","96400","2.56","38021","21196","1.6","405.28","2.6","89.0","153105","26.4","50.2","1104","18903","18656","46.0","-1","204296","1725","342","1076","78","1617","144","1484"
"Adair County","MO","15.1","17.9","5.2","31.0","90.1","1638","0.4","2.6","3.4","2.6","0.1","2.0","91.5","89.4","60.1","9258","11645","126800","2.45","41929","22847","4.1","567.32","5.9","75.1","282157","16.8","52.0","1176","25314","25607","45.1","-1","336233","2175","455","1335","59","1974","298","1655"
"Adair County","OK","15.8","27.0","7.4","11.6","80.8","1383","46.1","0.8","0.6","7.1","0.1","10.3","42.1","39.4","69.3","7733","9415","87600","2.86","34695","17026","1.8","573.48","8.3","90.2","485013","26.7","50.0","1268","19495","22683","39.6","7219","123351","1864","618","978","770","968","109","1722"
"Adams County","CO","10.7","26.1","6.9","24.3","83.8","36594","2.3","4.5","4.0","40.8","0.2","3.2","85.7","49.0","66.2","166450","178519","307600","3.0","71202","30313","15.3","1167.65","29.0","84.7","7311352","29.8","49.4","26796","519572","441603","378.2","705841","5548735","34447","12562","18398","10916","22016","3478","29493"
"Adams County","IA","23.7","20.9","5.3","15.6","93.8","345","0.5","0.7","0.5","1.4","0.0","0.8","97.4","96.1","81.7","1598","2012","87500","2.21","49255","28440","0.6","423.44","1.5","88.7","-1","21.3","50.1","272","3704","4029","9.5","-1","21326","284","64","157","0","261","37","210"
