"Country","Days since outbreak","Counts.Household contacts","Counts.Total contacts","Counts.Times left home","Counts.Handwashes","Scores.Isolate.Willingness if symptoms","Scores.Isolate.Willingness if advised","Scores.Isolate.Difficulty","Scores.Masks.Outside home","Scores.Masks.Grocery store","Scores.Masks.Clothing store","Scores.Masks.Work","Scores.Masks.Public transport","Scores.Avoidance.Symptomatic people","Scores.Avoidance.Going out","Scores.Avoidance.Healthcare settings","Scores.Avoidance.Public transport","Scores.Avoidance.Working outside home","Scores.Avoidance.Children going to school","Scores.Avoidance.Having guests","Scores.Avoidance.Gatherings.Small","Scores.Avoidance.Gatherings.Medium","Scores.Avoidance.Gatherings.Large","Scores.Avoidance.Crowded areas","Scores.Avoidance.Shops","Scores.Precautions.Cleaned surfaces","Scores.Precautions.Covered mouth sneeze","Scores.Precautions.Used hand sanitiser","Scores.Outlooks.Covid is dangerous","Scores.Outlooks.Likely to get covid","Scores.Outlooks.Life greatly impacted"
"Australia","85","2.0","8.2","1.0","11.5","85.8","14.3","91.9","23.9","0.0","0.0","0.0","0.0","86.6","77.6","72.9","83.3","59.4","79.1","87.2","85.7","90.9","92.7","89.8","60.2","64.4","91.8","72.9","0.0","0.0","0.0"
"Australia","115","2.3","8.0","1.1","10.3","83.0","13.6","90.3","24.1","0.0","0.0","0.0","0.0","82.2","67.9","66.3","80.2","54.6","70.0","80.6","76.7","84.3","89.2","84.7","53.8","60.6","90.3","75.1","0.0","0.0","0.0"
"Australia","146","2.5","14.3","1.3","9.6","80.8","13.9","89.3","22.2","16.9","15.8","22.0","19.1","77.3","51.6","54.4","70.4","43.3","40.9","61.8","54.5","63.8","76.1","75.7","40.4","57.4","90.6","77.0","49.2","18.9","46.1"
"Australia","176","2.4","13.0","1.4","10.5","83.7","14.0","90.5","24.9","21.7","20.5","26.7","24.3","78.5","51.3","51.9","69.9","41.2","39.4","60.2","53.0","64.4","76.4","77.5","40.5","57.9","91.2","81.2","55.7","24.6","49.2"
"Australia","207","2.5","14.4","1.3","10.2","84.2","13.8","90.7","49.5","46.9","41.4","41.8","43.3","77.0","55.7","54.4","70.0","42.1","38.4","65.9","59.9","67.3","76.7","77.5","44.1","59.1","92.8","80.9","54.0","20.7","52.2"
"Australia","238","2.1","15.5","1.4","9.6","83.2","15.7","88.8","48.1","46.0","39.5","40.3","42.4","74.2","49.1","50.2","65.6","40.9","40.5","59.2","52.9","60.9","72.6","72.5","37.8","58.1","90.2","78.8","52.9","19.6","51.1"
"Australia","268","2.2","17.7","1.4","10.0","81.0","14.7","89.4","43.2","41.2","35.3","37.4","38.5","72.4","42.2","46.8","61.8","30.0","27.3","53.4","46.7","55.2","66.9","68.7","31.0","56.4","92.1","79.1","49.1","18.0","43.8"
"Australia","299","3.2","19.9","1.5","9.0","78.5","16.3","88.5","45.2","43.1","39.7","40.1","42.3","71.8","39.7","44.6","60.1","40.9","30.7","50.5","43.2","52.2","63.3","66.6","28.6","54.7","91.3","80.3","47.6","19.8","45.7"
"Australia","329","2.3","19.5","1.4","10.3","78.0","16.6","89.4","41.7","41.6","36.7","32.1","39.5","73.3","37.9","48.1","61.6","35.5","30.8","47.5","39.9","47.4","58.7","64.5","28.6","55.0","89.7","78.8","52.5","19.4","41.3"
"Australia","360","2.2","20.5","1.4","10.8","80.2","16.1","89.6","53.7","55.8","49.2","40.7","50.1","77.3","42.0","54.3","63.9","40.7","32.4","52.5","45.8","53.3","65.5","67.6","33.7","0.0","90.5","81.0","49.9","17.8","43.7"
"Australia","391","2.1","24.2","1.6","10.5","80.9","14.2","88.2","50.7","48.9","45.0","39.9","51.7","76.7","38.5","49.3","60.6","33.1","30.9","52.2","42.5","50.0","61.1","65.3","29.6","0.0","91.3","79.3","46.7","20.6","43.1"
"Australia","419","2.5","24.2","1.6","9.3","80.9","15.7","87.8","39.6","37.5","32.0","28.2","41.7","70.4","32.5","44.1","53.8","27.5","25.0","44.5","36.4","41.8","52.4","57.3","24.5","0.0","88.8","76.3","44.6","19.7","38.3"
"Australia","450","2.9","26.2","1.6","9.3","80.0","14.1","86.7","38.3","35.2","30.5","29.0","42.2","69.7","31.9","44.8","52.8","29.6","28.0","42.9","36.1","41.5","51.0","55.8","25.8","0.0","89.1","73.9","45.2","20.7","38.3"
"Australia","480","2.5","29.1","1.6","10.3","81.0","15.1","88.9","36.3","30.6","26.8","31.5","42.3","68.7","33.3","43.2","52.9","27.1","30.7","42.3","35.5","41.4","49.5","53.5","25.9","0.0","89.5","74.7","47.8","22.9","42.6"
