"State","Year","Population.12-17","Population.18-25","Population.26+","Totals.Alcohol.Use Disorder Past Year.12-17","Totals.Alcohol.Use Disorder Past Year.18-25","Totals.Alcohol.Use Disorder Past Year.26+","Rates.Alcohol.Use Disorder Past Year.12-17","Rates.Alcohol.Use Disorder Past Year.18-25","Rates.Alcohol.Use Disorder Past Year.26+","Totals.Alcohol.Use Past Month.12-17","Totals.Alcohol.Use Past Month.18-25","Totals.Alcohol.Use Past Month.26+","Rates.Alcohol.Use Past Month.12-17","Rates.Alcohol.Use Past Month.18-25","Rates.Alcohol.Use Past Month.26+","Totals.Tobacco.Cigarette Past Month.12-17","Totals.Tobacco.Cigarette Past Month.18-25","Totals.Tobacco.Cigarette Past Month.26+","Rates.Tobacco.Cigarette Past Month.12-17","Rates.Tobacco.Cigarette Past Month.18-25","Rates.Tobacco.Cigarette Past Month.26+","Totals.Illicit Drugs.Cocaine Used Past Year.12-17","Totals.Illicit Drugs.Cocaine Used Past Year.18-25","Totals.Illicit Drugs.Cocaine Used Past Year.26+","Rates.Illicit Drugs.Cocaine Used Past Year.12-17","Rates.Illicit Drugs.Cocaine Used Past Year.18-25","Rates.Illicit Drugs.Cocaine Used Past Year.26+","Totals.Marijuana.New Users.12-17","Totals.Marijuana.New Users.18-25","Totals.Marijuana.New Users.26+","Rates.Marijuana.New Users.12-17","Rates.Marijuana.New Users.18-25","Rates.Marijuana.New Users.26+","Totals.Marijuana.Used Past Month.12-17","Totals.Marijuana.Used Past Month.18-25","Totals.Marijuana.Used Past Month.26+","Rates.Marijuana.Used Past Month.12-17","Rates.Marijuana.Used Past Month.18-25","Rates.Marijuana.Used Past Month.26+","Totals.Marijuana.Used Past Year.12-17","Totals.Marijuana.Used Past Year.18-25","Totals.Marijuana.Used Past Year.26+","Rates.Marijuana.Used Past Year.12-17","Rates.Marijuana.Used Past Year.18-25","Rates.Marijuana.Used Past Year.26+","Totals.Tobacco.Use Past Month.12-17","Totals.Tobacco.Use Past Month.18-25","Totals.Tobacco.Use Past Month.26+","Rates.Tobacco.Use Past Month.12-17","Rates.Tobacco.Use Past Month.18-25","Rates.Tobacco.Use Past Month.26+"
"Alabama","2002","380805","499453","2812905","18","68","138","0.048336","0.13649","0.049068","57","254","1048","0.150033","0.509551","0.372703","52","196","728","0.136906","0.392404","0.258844","6","27","49","0.016556","0.054892","0.017513","20","18","2","0.059732","0.062325","0.000914","24","62","73","0.063662","0.124672","0.025967","49","119","141","0.127535","0.23788","0.050275","63","226","930","0.166578","0.451976","0.330659"
"Alaska","2002","69400","62791","368460","4","12","27","0.061479","0.187891","0.073677","11","38","206","0.158988","0.598311","0.559151","9","28","92","0.132517","0.439749","0.249578","2","5","5","0.0244","0.08368","0.013838","4","2","0","0.077736","0.08425","0.001625","8","15","26","0.110781","0.239907","0.071362","13","24","46","0.18873","0.389026","0.124566","11","30","112","0.163918","0.48427","0.30422"
"Arizona","2002","485521","602265","3329482","36","117","258","0.073819","0.193626","0.077521","91","352","1774","0.186864","0.584521","0.532858","62","234","919","0.128357","0.388473","0.27599","16","51","86","0.032411","0.0853","0.025683","25","18","3","0.064179","0.060101","0.001364","38","91","122","0.077371","0.15178","0.036657","82","166","215","0.169646","0.275435","0.06464","73","240","1032","0.151071","0.397968","0.309969"
"Arkansas","2002","232986","302029","1687337","14","53","101","0.061457","0.175913","0.05981","39","162","664","0.167065","0.537894","0.393372","37","154","539","0.160479","0.509682","0.319224","4","18","26","0.018643","0.0605","0.015187","13","10","1","0.06671","0.071089","0.000991","19","50","57","0.07967","0.164807","0.033891","37","87","104","0.157567","0.288856","0.06151","46","169","660","0.195714","0.558846","0.39121"
"California","2002","3140739","3919577","21392421","173","581","1298","0.055109","0.148312","0.060692","480","2176","11847","0.152791","0.555278","0.553801","235","1245","4028","0.074824","0.317661","0.188269","53","259","410","0.016995","0.066052","0.019184","158","126","17","0.058786","0.062674","0.001437","241","631","978","0.076595","0.160916","0.045736","443","1109","1670","0.141067","0.282887","0.078068","290","1377","4721","0.092235","0.351353","0.220699"
"Colorado","2002","385648","493921","2798960","26","102","211","0.067113","0.206583","0.075406","80","340","1758","0.20633","0.688926","0.627921","53","220","712","0.137437","0.445605","0.254318","10","51","83","0.026412","0.102912","0.029573","23","16","3","0.075936","0.081015","0.001986","38","107","168","0.098228","0.216673","0.060119","75","181","300","0.195456","0.365715","0.107298","67","247","836","0.174446","0.499545","0.298565"
"Connecticut","2002","295157","323120","2235763","16","61","120","0.053908","0.188709","0.053593","56","234","1364","0.188769","0.722784","0.610183","40","134","504","0.134487","0.415563","0.225643","5","23","33","0.018187","0.070237","0.014561","20","11","2","0.083099","0.082243","0.00134","27","76","94","0.092197","0.236209","0.042218","52","125","158","0.175776","0.388189","0.070859","45","149","578","0.151937","0.461399","0.2586"
"Delaware","2002","66477","88388","514059","4","16","31","0.057563","0.181661","0.06085","12","55","287","0.183472","0.627116","0.558889","9","38","127","0.140664","0.426917","0.247854","1","7","11","0.016101","0.073802","0.021171","4","3","0","0.079415","0.072098","0.001161","6","19","20","0.094062","0.22055","0.03956","12","29","36","0.181989","0.332364","0.070945","11","41","146","0.163023","0.46475","0.283159"
"District of Columbia","2002","33192","73655","372907","1","12","31","0.029961","0.162639","0.083686","4","49","218","0.130168","0.671688","0.585239","2","24","98","0.070956","0.332627","0.263999","0","3","14","0.006466","0.045477","0.036467","2","3","0","0.068901","0.081651","0.001692","2","18","26","0.074326","0.241396","0.069323","5","28","40","0.148342","0.376138","0.106759","3","28","109","0.095288","0.373867","0.293435"
"Florida","2002","1346297","1576278","11066322","73","266","620","0.053965","0.168893","0.056042","234","940","6162","0.173502","0.596576","0.556781","165","579","2610","0.122611","0.367507","0.235882","26","108","220","0.019419","0.068276","0.019887","77","52","8","0.067541","0.064396","0.001167","115","279","526","0.085194","0.176802","0.047513","217","470","900","0.161342","0.298324","0.081349","193","655","3089","0.143359","0.415541","0.279116"
