"County","Population","State","Housing Data.Residing in Group Quarters","Housing Data.Total Housing Units","Vehicle Access.1 Mile","Vehicle Access.1/2 Mile","Vehicle Access.10 Miles","Vehicle Access.20 Miles","Low Access Numbers.Children.1 Mile","Low Access Numbers.Children.1/2 Mile","Low Access Numbers.Children.10 Miles","Low Access Numbers.Children.20 Miles","Low Access Numbers.Low Income People.1 Mile","Low Access Numbers.Low Income People.1/2 Mile","Low Access Numbers.Low Income People.10 Miles","Low Access Numbers.Low Income People.20 Miles","Low Access Numbers.People.1 Mile","Low Access Numbers.People.1/2 Mile","Low Access Numbers.People.10 Miles","Low Access Numbers.People.20 Miles","Low Access Numbers.Seniors.1 Mile","Low Access Numbers.Seniors.1/2 Mile","Low Access Numbers.Seniors.10 Miles","Low Access Numbers.Seniors.20 Miles"
"Autauga County","54571","Alabama","455.0","20221","834.0","1045.0","222.0","0.0","9973.0","13281.0","1199.0","0.0","12067.0","15518.0","2307.0","0.0","37424.0","49497.0","5119.0","0.0","4393.0","5935.0","707.0","0.0"
"Baldwin County","182265","Alabama","2307.0","73180","1653.0","2178.0","32.0","0.0","30633.0","38278.0","516.0","0.0","38848.0","48117.0","846.0","0.0","132442.0","165616.0","2308.0","0.0","21828.0","27241.0","390.0","0.0"
"Barbour County","27457","Alabama","3193.0","9820","545.0","742.0","201.0","0.0","3701.0","4943.0","791.0","0.0","9290.0","11901.0","2440.0","0.0","19007.0","23762.0","4643.0","0.0","2537.0","3348.0","629.0","0.0"
"Bibb County","22915","Alabama","2224.0","7953","312.0","441.0","0.0","0.0","4198.0","4824.0","90.0","0.0","6480.0","8349.0","102.0","0.0","17560.0","20989.0","365.0","0.0","2262.0","2630.0","72.0","0.0"
"Blount County","57322","Alabama","489.0","21578","752.0","822.0","0.0","0.0","12575.0","13583.0","0.0","0.0","18188.0","19806.0","0.0","0.0","50848.0","54933.0","0.0","0.0","7114.0","7810.0","0.0","0.0"
"Bullock County","10914","Alabama","1690.0","3745","334.0","433.0","80.0","0.0","1872.0","2243.0","560.0","0.0","3998.0","4676.0","1267.0","0.0","8709.0","10068.0","2586.0","0.0","1118.0","1305.0","488.0","0.0"
"Butler County","20947","Alabama","333.0","8491","327.0","542.0","23.0","0.0","3014.0","4386.0","270.0","0.0","5961.0","8647.0","556.0","0.0","13062.0","18066.0","1334.0","0.0","2132.0","2856.0","259.0","0.0"
"Calhoun County","118572","Alabama","2919.0","47331","1386.0","2334.0","0.0","0.0","16631.0","23624.0","0.0","0.0","27692.0","42330.0","0.0","0.0","73009.0","103164.0","0.0","0.0","10097.0","14513.0","0.0","0.0"
"Chambers County","34215","Alabama","458.0","13933","607.0","825.0","12.0","0.0","4809.0","6512.0","115.0","0.0","9202.0","12879.0","292.0","0.0","21766.0","28913.0","680.0","0.0","3491.0","4690.0","144.0","0.0"
"Cherokee County","25989","Alabama","290.0","10626","361.0","397.0","1.0","0.0","5156.0","5384.0","19.0","0.0","9864.0","10341.0","34.0","0.0","24078.0","25204.0","91.0","0.0","4295.0","4533.0","12.0","0.0"
"Chilton County","43643","Alabama","393.0","16558","618.0","750.0","11.0","0.0","9347.0","10441.0","99.0","0.0","15032.0","16949.0","196.0","0.0","36904.0","41256.0","473.0","0.0","4811.0","5490.0","81.0","0.0"
"Choctaw County","13859","Alabama","129.0","5866","474.0","536.0","213.0","0.0","2807.0","3036.0","742.0","0.0","5877.0","6319.0","1808.0","0.0","12326.0","13381.0","3373.0","0.0","2154.0","2418.0","541.0","0.0"
"Clarke County","25833","Alabama","280.0","10337","892.0","1022.0","167.0","0.0","5084.0","5962.0","896.0","0.0","9407.0","10928.0","1901.0","0.0","20451.0","24001.0","3717.0","0.0","3167.0","3840.0","629.0","0.0"
"Clay County","13932","Alabama","255.0","5670","134.0","187.0","5.0","0.0","2378.0","2820.0","217.0","0.0","4463.0","5403.0","414.0","0.0","10577.0","12372.0","978.0","0.0","1734.0","2053.0","173.0","0.0"
"Cleburne County","14972","Alabama","178.0","5891","195.0","215.0","11.0","0.0","3005.0","3281.0","213.0","0.0","4955.0","5596.0","303.0","0.0","12459.0","13644.0","891.0","0.0","1889.0","2106.0","128.0","0.0"
"Coffee County","49948","Alabama","600.0","19849","506.0","959.0","31.0","0.0","8064.0","10540.0","595.0","0.0","10072.0","14049.0","814.0","0.0","33573.0","43582.0","2437.0","0.0","4561.0","6145.0","408.0","0.0"
"Colbert County","54428","Alabama","474.0","22773","800.0","1245.0","12.0","0.0","8095.0","10609.0","211.0","0.0","11995.0","17109.0","308.0","0.0","36250.0","47830.0","1013.0","0.0","6059.0","8232.0","177.0","0.0"
"Conecuh County","13228","Alabama","45.0","5625","256.0","342.0","96.0","0.0","2123.0","2761.0","678.0","0.0","5621.0","7073.0","1759.0","0.0","10139.0","12276.0","3487.0","0.0","1938.0","2255.0","742.0","0.0"
"Coosa County","11539","Alabama","124.0","4794","168.0","199.0","27.0","0.0","2114.0","2240.0","462.0","0.0","4118.0","4459.0","890.0","0.0","10351.0","10975.0","2607.0","0.0","1730.0","1868.0","524.0","0.0"
"Covington County","37765","Alabama","575.0","15531","452.0","674.0","36.0","0.0","5931.0","7604.0","593.0","0.0","9949.0","13548.0","1012.0","0.0","26573.0","33650.0","2939.0","0.0","4737.0","6124.0","577.0","0.0"
"Crenshaw County","13906","Alabama","132.0","5652","284.0","332.0","89.0","0.0","2558.0","2955.0","1010.0","0.0","4861.0","5466.0","1878.0","0.0","10815.0","12401.0","4101.0","0.0","1576.0","1867.0","578.0","0.0"
"Cullman County","80406","Alabama","1056.0","31864","887.0","1195.0","14.0","0.0","15221.0","17686.0","249.0","0.0","25742.0","30687.0","459.0","0.0","64665.0","75716.0","1075.0","0.0","9730.0","11823.0","154.0","0.0"
"Dale County","50251","Alabama","917.0","20065","628.0","996.0","5.0","0.0","10088.0","11638.0","184.0","0.0","15851.0","19284.0","278.0","0.0","40563.0","47032.0","676.0","0.0","5320.0","6311.0","106.0","0.0"
"Dallas County","43820","Alabama","786.0","17064","836.0","1845.0","230.0","3.0","6008.0","9525.0","979.0","23.0","11877.0","20376.0","2665.0","69.0","23922.0","36298.0","4232.0","93.0","3441.0","5146.0","781.0","12.0"
"DeKalb County","71109","Alabama","782.0","26842","1061.0","1292.0","0.0","0.0","14612.0","17105.0","0.0","0.0","26938.0","32208.0","0.0","0.0","57693.0","66513.0","0.0","0.0","7752.0","9134.0","0.0","0.0"
"Elmore County","79303","Alabama","5483.0","28301","1050.0","1213.0","0.0","0.0","15103.0","17580.0","7.0","0.0","17735.0","20891.0","5.0","0.0","65450.0","74501.0","23.0","0.0","7846.0","8750.0","3.0","0.0"
"Escambia County","38319","Alabama","3199.0","14157","354.0","524.0","32.0","0.0","5691.0","7680.0","481.0","0.0","13259.0","17487.0","1048.0","0.0","26460.0","34573.0","2126.0","0.0","3763.0","5205.0","319.0","0.0"
"Etowah County","104430","Alabama","2085.0","42036","1201.0","1865.0","0.0","0.0","16901.0","21114.0","0.0","0.0","26018.0","34331.0","0.0","0.0","74258.0","91811.0","0.0","0.0","11979.0","14549.0","0.0","0.0"
"Fayette County","17241","Alabama","291.0","7100","292.0","374.0","3.0","0.0","2694.0","3329.0","38.0","0.0","5609.0","6710.0","74.0","0.0","12385.0","15102.0","163.0","0.0","2194.0","2666.0","23.0","0.0"
"Franklin County","31704","Alabama","272.0","12286","319.0","458.0","11.0","0.0","5064.0","6413.0","180.0","0.0","9475.0","12081.0","354.0","0.0","21191.0","26405.0","893.0","0.0","3167.0","3994.0","139.0","0.0"
"Geneva County","26790","Alabama","229.0","10920","362.0","437.0","0.0","0.0","4425.0","5039.0","2.0","0.0","8506.0","9824.0","4.0","0.0","19662.0","22435.0","8.0","0.0","3168.0","3707.0","0.0","0.0"
"Greene County","9045","Alabama","45.0","3764","382.0","439.0","147.0","0.0","1769.0","1974.0","730.0","0.0","4762.0","5215.0","2058.0","0.0","7194.0","8041.0","2971.0","0.0","1098.0","1265.0","464.0","0.0"
"Hale County","15760","Alabama","334.0","6273","477.0","563.0","93.0","0.0","3205.0","3458.0","573.0","0.0","6344.0","6970.0","1099.0","0.0","13004.0","13940.0","2389.0","0.0","1852.0","1985.0","380.0","0.0"
"Henry County","17302","Alabama","199.0","6994","292.0","342.0","3.0","0.0","2969.0","3606.0","59.0","0.0","5547.0","6563.0","114.0","0.0","13405.0","15992.0","240.0","0.0","2318.0","2828.0","34.0","0.0"
"Houston County","101547","Alabama","1416.0","40969","873.0","1767.0","18.0","0.0","12744.0","19984.0","181.0","0.0","19193.0","31400.0","324.0","0.0","52641.0","81158.0","707.0","0.0","7349.0","11541.0","97.0","0.0"
"Jackson County","53227","Alabama","597.0","21513","735.0","903.0","31.0","0.0","9659.0","11317.0","678.0","0.0","19690.0","23045.0","1403.0","0.0","43181.0","50425.0","3045.0","0.0","6909.0","8250.0","492.0","0.0"
"Jefferson County","658466","Alabama","15774.0","263568","8404.0","16010.0","49.0","0.0","74064.0","127030.0","624.0","0.0","105330.0","189254.0","1190.0","0.0","306891.0","531938.0","4441.0","0.0","40955.0","70300.0","450.0","0.0"
"Lamar County","14564","Alabama","217.0","6103","296.0","382.0","1.0","0.0","2374.0","2747.0","18.0","0.0","5035.0","5747.0","60.0","0.0","11127.0","12748.0","89.0","0.0","2142.0","2407.0","12.0","0.0"
"Lauderdale County","92709","Alabama","1891.0","38680","841.0","2133.0","20.0","0.0","12754.0","17389.0","170.0","0.0","18655.0","29702.0","401.0","0.0","57045.0","80684.0","828.0","0.0","9070.0","13308.0","135.0","0.0"
"Lawrence County","34339","Alabama","229.0","13654","586.0","709.0","56.0","0.0","7158.0","7735.0","548.0","0.0","11018.0","12150.0","981.0","0.0","30683.0","33171.0","2214.0","0.0","4260.0","4715.0","329.0","0.0"
"Lee County","140247","Alabama","4410.0","55682","953.0","2038.0","13.0","0.0","19831.0","28120.0","209.0","0.0","25354.0","46162.0","316.0","0.0","77360.0","119052.0","797.0","0.0","7655.0","11327.0","87.0","0.0"
"Limestone County","82782","Alabama","2907.0","31446","901.0","1114.0","3.0","0.0","16365.0","18755.0","80.0","0.0","21879.0","25162.0","57.0","0.0","67917.0","78037.0","309.0","0.0","8130.0","9454.0","40.0","0.0"
"Lowndes County","11299","Alabama","96.0","4352","533.0","563.0","232.0","0.0","2613.0","2699.0","1171.0","0.0","5749.0","5977.0","2284.0","0.0","10656.0","11018.0","4411.0","0.0","1526.0","1581.0","581.0","0.0"
"Macon County","21452","Alabama","1772.0","8499","805.0","994.0","116.0","0.0","3778.0","4201.0","521.0","0.0","8761.0","10292.0","1138.0","0.0","17711.0","20428.0","2201.0","0.0","2558.0","2842.0","313.0","0.0"
"Madison County","334811","Alabama","8042.0","134700","2622.0","5187.0","3.0","0.0","40683.0","66801.0","81.0","0.0","44342.0","79103.0","100.0","0.0","165732.0","277105.0","346.0","0.0","18666.0","32931.0","51.0","0.0"
"Marengo County","21027","Alabama","254.0","8535","378.0","597.0","93.0","0.0","3047.0","4095.0","1000.0","0.0","6252.0","8278.0","2065.0","0.0","12839.0","17291.0","3950.0","0.0","2113.0","2929.0","643.0","0.0"
"Marion County","30776","Alabama","868.0","12651","355.0","504.0","7.0","0.0","5185.0","6096.0","194.0","0.0","10818.0","12827.0","316.0","0.0","23186.0","27622.0","932.0","0.0","3874.0","4923.0","187.0","0.0"
"Marshall County","93019","Alabama","1047.0","35810","826.0","1343.0","0.0","0.0","14958.0","19899.0","0.0","0.0","25394.0","34223.0","0.0","0.0","60924.0","80017.0","0.0","0.0","8708.0","11822.0","0.0","0.0"
"Mobile County","412992","Alabama","6808.0","158435","3393.0","7470.0","2.0","0.0","49762.0","81039.0","126.0","0.0","73370.0","126600.0","127.0","0.0","193433.0","320208.0","847.0","0.0","23794.0","40790.0","179.0","0.0"
"Monroe County","23068","Alabama","230.0","9214","789.0","926.0","272.0","0.0","4713.0","5459.0","1014.0","0.0","9731.0","11217.0","2613.0","2.0","18266.0","21231.0","4295.0","3.0","2697.0","3208.0","739.0","1.0"
"Montgomery County","229363","Alabama","9082.0","89981","2628.0","6155.0","86.0","0.0","20720.0","44225.0","945.0","0.0","30406.0","73999.0","2043.0","0.0","83407.0","179428.0","5160.0","0.0","9058.0","20850.0","916.0","0.0"
"Morgan County","119490","Alabama","2133.0","47030","1137.0","2046.0","6.0","0.0","17298.0","25318.0","85.0","0.0","24140.0","37984.0","69.0","0.0","71887.0","103759.0","336.0","0.0","9850.0","14259.0","44.0","0.0"
"Perry County","10591","Alabama","721.0","3947","505.0","577.0","279.0","0.0","2232.0","2518.0","1151.0","0.0","6014.0","7131.0","2950.0","0.0","8815.0","10453.0","4187.0","0.0","1504.0","1736.0","619.0","0.0"
"Pickens County","19746","Alabama","334.0","8012","530.0","683.0","26.0","0.0","3229.0","4094.0","185.0","0.0","6606.0","8181.0","295.0","0.0","14454.0","17773.0","820.0","0.0","2365.0","2967.0","136.0","0.0"
"Pike County","32899","Alabama","1963.0","13210","434.0","803.0","23.0","0.0","4375.0","5808.0","332.0","0.0","8707.0","14468.0","547.0","0.0","19385.0","28403.0","1382.0","0.0","2677.0","3497.0","229.0","0.0"
"Randolph County","22913","Alabama","407.0","9164","423.0","483.0","75.0","0.0","4436.0","4983.0","658.0","0.0","7674.0","8529.0","1490.0","0.0","18783.0","20868.0","2939.0","0.0","3113.0","3463.0","453.0","0.0"
"Russell County","52947","Alabama","574.0","21229","702.0","1421.0","220.0","6.0","5800.0","9652.0","764.0","16.0","9226.0","16825.0","1739.0","62.0","24032.0","39420.0","3927.0","111.0","3210.0","5404.0","754.0","24.0"
"Shelby County","195085","Alabama","2574.0","74072","1418.0","1919.0","4.0","0.0","33173.0","44586.0","47.0","0.0","26574.0","36752.0","98.0","0.0","126073.0","172280.0","353.0","0.0","13646.0","18409.0","60.0","0.0"
"St. Clair County","83593","Alabama","1967.0","31624","782.0","927.0","0.0","0.0","16384.0","18733.0","0.0","0.0","21797.0","25384.0","0.0","0.0","68877.0","78916.0","0.0","0.0","8880.0","10310.0","0.0","0.0"
"Sumter County","13763","Alabama","718.0","5629","444.0","568.0","139.0","0.0","2005.0","2595.0","579.0","5.0","5555.0","7250.0","1480.0","10.0","8951.0","11741.0","2483.0","21.0","1523.0","1823.0","447.0","3.0"
"Talladega County","82291","Alabama","3143.0","31890","1464.0","2231.0","0.0","0.0","13563.0","17351.0","10.0","0.0","25131.0","33313.0","13.0","0.0","59391.0","75022.0","37.0","0.0","7984.0","10382.0","5.0","0.0"
"Tallapoosa County","41616","Alabama","576.0","16985","1085.0","1354.0","28.0","0.0","7142.0","8496.0","460.0","0.0","13082.0","16295.0","815.0","0.0","33202.0","38797.0","2227.0","0.0","5778.0","6661.0","398.0","0.0"
"Tuscaloosa County","194656","Alabama","10423.0","76141","1112.0","2886.0","23.0","0.0","21923.0","34422.0","836.0","0.0","26868.0","53687.0","817.0","0.0","90383.0","152578.0","3266.0","0.0","10131.0","16562.0","453.0","0.0"
