"Year","Country.Name","Country.Code","Country.GDP","Country.Population","Emissions.Production.CH4","Emissions.Production.N2O","Emissions.Production.CO2.Cement","Emissions.Production.CO2.Coal","Emissions.Production.CO2.Gas","Emissions.Production.CO2.Oil","Emissions.Production.CO2.Flaring","Emissions.Production.CO2.Other","Emissions.Production.CO2.Total","Emissions.Global Share.CO2.Cement","Emissions.Global Share.CO2.Coal","Emissions.Global Share.CO2.Gas","Emissions.Global Share.CO2.Oil","Emissions.Global Share.CO2.Flaring","Emissions.Global Share.CO2.Total"
"1992","Afghanistan","AFG","12677538816.0","14485543","7.13","2.89","0.046","0.022","0.363","0.927","0.022","0.0","1.379","0.01","0.0","0.01","0.01","0.01","0.01"
"1993","Afghanistan","AFG","9834580992.0","15816601","7.21","2.93","0.047","0.018","0.352","0.894","0.022","0.0","1.333","0.01","0.0","0.01","0.01","0.01","0.01"
"1994","Afghanistan","AFG","7919857152.0","17075728","7.47","2.76","0.047","0.015","0.338","0.86","0.022","2.220446049250313e-16","1.282","0.01","0.0","0.01","0.01","0.01","0.01"
"1995","Afghanistan","AFG","12307525632.0","18110662","7.83","2.88","0.047","0.015","0.322","0.824","0.022","2.220446049250313e-16","1.23","0.01","0.0","0.01","0.01","0.01","0.01"
"1996","Afghanistan","AFG","12070125568.0","18853444","8.67","3.12","0.047","0.007","0.308","0.78","0.022","0.001000000000000112","1.165","0.01","0.0","0.01","0.01","0.01","0.0"
"1997","Afghanistan","AFG","11850752000.0","19357126","9.4","3.43","0.047","0.004","0.283","0.728","0.022","2.220446049250313e-16","1.084","0.01","0.0","0.01","0.01","0.01","0.0"
"1998","Afghanistan","AFG","11692172288.0","19737770","9.96","3.72","0.047","0.004","0.265","0.691","0.022","0.0","1.029","0.01","0.0","0.01","0.01","0.01","0.0"
"1999","Afghanistan","AFG","11517317120.0","20170848","10.78","4.0","0.047","0.004","0.242","0.495","0.022","0.0","0.81","0.01","0.0","0.01","0.0","0.01","0.0"
"2000","Afghanistan","AFG","11283792896.0","20779958","9.56","3.48","0.01","0.004","0.224","0.498","0.022","0.0","0.758","0.0","0.0","0.0","0.0","0.01","0.0"
"2001","Afghanistan","AFG","11021273088.0","21606992","8.35","3.07","0.007","0.07","0.209","0.491","0.022","0.0","0.798","0.0","0.0","0.0","0.0","0.01","0.0"
"2002","Afghanistan","AFG","18804871168.0","22600774","10.2","3.56","0.011","0.055","0.546","0.44","0.0","2.220446049250313e-16","1.052","0.0","0.0","0.01","0.0","0.0","0.0"
"2003","Afghanistan","AFG","21074343936.0","23680872","10.51","3.69","0.01","0.092","0.465","0.619","0.0","0.0","1.186","0.0","0.0","0.01","0.01","0.0","0.0"
"2004","Afghanistan","AFG","22332571648.0","24726690","10.5","3.67","0.01","0.092","0.227","0.561","0.0","0.0","0.889","0.0","0.0","0.0","0.01","0.0","0.0"
"2005","Afghanistan","AFG","25397688320.0","25654274","10.73","3.82","0.006","0.106","0.33","0.861","0.0","0.0","1.303","0.0","0.0","0.01","0.01","0.0","0.0"
"2006","Afghanistan","AFG","28704401408.0","26433058","11.18","3.66","0.012","0.161","0.329","1.133","0.0","0.0","1.635","0.0","0.0","0.01","0.01","0.0","0.01"
"2007","Afghanistan","AFG","34507530240.0","27100542","11.61","3.6","0.012","0.749","0.308","1.2","0.0","0.0","2.269","0.0","0.01","0.01","0.01","0.0","0.01"
"2008","Afghanistan","AFG","36561043456.0","27722282","12.9","3.88","0.015","1.077","0.297","2.81","0.0","0.001000000000000334","4.2","0.0","0.01","0.01","0.03","0.0","0.01"
"2009","Afghanistan","AFG","44358721536.0","28394806","13.39","4.16","0.013","1.513","0.271","4.943","0.0","8.881784197001252e-16","6.74","0.0","0.01","0.0","0.04","0.0","0.02"
"2010","Afghanistan","AFG","47399424000.0","29185512","15.2","4.58","0.015","2.246","0.271","5.866","0.0","0.0","8.398","0.0","0.02","0.0","0.05","0.0","0.03"
"2011","Afghanistan","AFG","53326336000.0","30117410","15.5","4.68","0.015","4.181","0.308","7.603","0.0","0.0","12.106","0.0","0.03","0.0","0.07","0.0","0.04"
"2012","Afghanistan","AFG","59166900224.0","31161378","15.63","4.72","0.029","3.125","0.308","6.756","0.0","0.0009999999999994458","10.219","0.0","0.02","0.0","0.06","0.0","0.03"
"2013","Afghanistan","AFG","62993698816.0","32269592","15.82","4.77","0.036","3.327","0.297","4.782","0.0","0.0","8.441","0.0","0.02","0.0","0.04","0.0","0.02"
"2014","Afghanistan","AFG","64346107904.0","33370804","16.3","5.09","0.029","3.704","0.271","3.77","0.0","0.0","7.774","0.0","0.02","0.0","0.03","0.0","0.02"
"2015","Afghanistan","AFG","62783393792.0","34413600","15.96","4.62","0.041","2.843","0.282","4.738","0.0","0.0","7.904","0.0","0.02","0.0","0.04","0.0","0.02"
"2016","Afghanistan","AFG","64297426944.0","35383028","15.83","5.05","0.076","2.878","0.319","3.472","0.0","0.0","6.745","0.01","0.02","0.0","0.03","0.0","0.02"
"2017","Afghanistan","AFG","68752801792.0","36296108","15.61","5.27","0.045","3.448","0.3","3.067","0.0","8.881784197001252e-16","6.86","0.0","0.02","0.0","0.03","0.0","0.02"
"2018","Afghanistan","AFG","67594969088.0","37171920","15.91","4.69","0.057","3.849","0.293","4.146","0.0","0.0","8.345","0.0","0.03","0.0","0.03","0.0","0.02"
"1992","Albania","ALB","8745680896.0","3245887","3.42","1.11","0.081","0.8","0.198","1.416","0.0","4.440892098500626e-16","2.495","0.02","0.01","0.01","0.02","0.0","0.01"
"1993","Albania","ALB","9636359168.0","3195196","3.5","1.16","0.08","0.6","0.157","1.478","0.0","0.0009999999999998899","2.316","0.01","0.01","0.0","0.02","0.0","0.01"
"1994","Albania","ALB","10596127744.0","3146518","4.09","1.37","0.04","0.169","0.099","1.605","0.0","0.0","1.913","0.01","0.0","0.0","0.02","0.0","0.01"
"1995","Albania","ALB","11600734208.0","3112923","4.09","1.34","0.081","0.161","0.051","1.773","0.0","0.0","2.066","0.01","0.0","0.0","0.02","0.0","0.01"
"1996","Albania","ALB","12727380992.0","3098699","3.92","1.19","0.081","0.114","0.044","1.755","0.0","0.0","1.993","0.01","0.0","0.0","0.02","0.0","0.01"
"1997","Albania","ALB","11396507648.0","3099747","3.72","1.13","0.04","0.044","0.037","1.411","0.0","0.0","1.532","0.01","0.0","0.0","0.01","0.0","0.01"
"1998","Albania","ALB","12466707456.0","3110699","3.57","1.16","0.033","0.055","0.033","1.623","0.0","2.220446049250313e-16","1.744","0.01","0.0","0.0","0.02","0.0","0.01"
"1999","Albania","ALB","14151858176.0","3122700","3.62","1.13","0.044","0.11","0.029","2.792","0.0","4.440892098500626e-16","2.975","0.01","0.0","0.0","0.03","0.0","0.01"
"2000","Albania","ALB","15214264320.0","3129246","3.71","1.21","0.073","0.07","0.022","2.84","0.0","0.0","3.004","0.01","0.0","0.0","0.03","0.0","0.01"
"2001","Albania","ALB","16563844096.0","3129701","3.61","1.14","0.0","0.081","0.015","3.125","0.0","0.0","3.221","0.0","0.0","0.0","0.03","0.0","0.01"
