"Dimensions.Crest Elevation","Dimensions.Crest Length","Dimensions.Structural Height","Identity.Name","Identity.Watercourse","Location.County","Location.Latitude","Location.Longitude","Location.State","Identity.Project.Organization","Identity.Project.Year"
"1520.0","3800.0","86.0","Agate Dam","Dry Creek","Jackson","42.4155","-122.7723","Oregon","Rogue River Basin","1965"
"3348.0","1850.0","110.0","Agency Valley Dam","North Fork of the Malheur River","Malheur","43.9117446","-118.154354","Oregon","Vale","1934"
"5510.0","76300.0","265.0","Alcova Dam","North Platte River","Natrona","42.5483","-106.7194","Wyoming","Kendrick","1935"
"2172.5","2784.18","132.17","Almena Diversion Dam","Prairie Dog  Creek","Norton","39.76667","-100.10041","Kansas","PSMBP - Almena","1967"
"1564.0","1104.0","110.0","Altus Dam","North Fork, Red River","Greer/Kiowa","34.8833","-99.3","Oklahoma","W. C. Austin","1941"
"3684.0","2784.18","18.0","American Diversion Dam","Rio Grande","Dona Ana, NM; El Paso, Tx","36.27807901986153","-97.50189279297881","New Mexico","Rio Grande","1938"
"4366.5","5277.0","104.0","American Falls Dam","Snake River","Power","42.7787","-112.8748","Idaho","Minidoka","1925"
"6452.5","660.0","208.0","Anchor Dam","South Fork, Owl Creek","Hot Springs","43.6833","-108.8167","Wyoming","Owl Creek","1957"
"4206.0","1350.0","456.0","Anderson Ranch Dam","South Fork of the Boise River","Elmore","43.3595096","-115.4501724","Idaho","Boise","1941"
"4064.0","324.0","23.0","Anderson-Rose Diversion Dam","Lost River","Klamath","42.0098746","-121.5811049","Oregon","Klamath","1921"
"3199.0","2030.0","193.0","Angostura Dam","Cheyenne River","Fall River","43.3431","-103.4378","South Dakota","PSMBP - Angostura","1946"
"5083.0","800.0","17.0","Angostura Diversion Dam","Unknown","Sandoval","36.27807901986153","-97.50189279297881","New Mexico","Middle Rio Grande","1934"
"3010.0","1050.0","42.0","Anita Dam","Yellowstone River (offstream)","Yellowstone","45.933431151319745","-108.0007553100586","Montana","Huntley","1933"
"920.0","1890.0","150.0","Arbuckle Dam","Rock creek","Murray","34.431389","-97.027778","Oklahoma","Arbuckle","1964"
"3216.0","1150.0","350.0","Arrowrock Dam","Boise River","Boise/Elmore","43.5952","-115.923","Idaho","Boise","1911"
"3270.0","800.0","240.0","Arthur R Bowman Dam","Crooked River","Crook","44.11125","-120.78738","Oregon","Crooked River","1958"
"4235.0","76665.0","36.0","Arthur V Watkins Dam","offstream Storage","Weber","41.405527084061745","-112.0909309387207","Utah","Weber Basin","1957"
"3194.0","1025.0","60.0","Avalon Dam","Pecos River","Eddy","32.4908","-104.2553","New Mexico","Carlsbad","1907"
"554.0","18600.0","382.0","B F Sisk Dam","San Luis Creek","Merced","37.0583","-121.075","California","Central Valley","1963"
"5255.0","1720.0","11.0","Barretts Diversion Dam","Beaverhead River","Beaverhead","45.1302","-112.7403","Montana","East Bench Unit, Pick-Sloan Missouri Basin Program","1963"
"1821.0","823.0","308.5","Bartlett Dam","Verde River","Maricopa","33.81825","-111.631856","Arizona","Salt River","1936"
"4141.1","2784.18","27.0","Bartley Diversion Dam","Republican River","Unknown","40.22509","-100.38695","Nebraska","PSMBP - Frenchman","1954"
"4141.1","2784.18","132.17","Belle Fourche Dam","Belle Fourch River","Butte","44.7367","-103.67","South Dakota","Belle Fourche","0"
"2998.0","2523.0","36.0","Belle Fourche Diversion Dam","Belle Fourch River","Butte","44.69057","-103.83068","South Dakota","Belle Fourche","1907"
"6769.0","2350.0","85.0","Big Sandy Dam","Big Sandy Creek","Sweetwater","42.249232907097614","-109.42863464355469","Wyoming","Eden","1941"
"2500.0","2784.18","183.0","Black Canyon Diversion Dam","Payette River","Gem","43.9314","-116.43756","Idaho","Boise","1922"
"7528.0","785.0","502.0","Blue Mesa Dam","Gunnison","Gunnison","38.4533","-107.3333","Colorado","Colorado River Storage","1962"
"5615.0","1629.0","93.0","Boca Dam","Little Truckee River","Nevada","36.27807901986153","-97.50189279297881","California","Truckee Storage","1937"
"2829.84","500.0","68.0","Boise River Diversion Dam","Boise River","Ada","43.5383","-116.0933","Idaho","Boise","1906"
