"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Niacin","Data.Protein","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"Butter","Butter, salted","1001","0","158","0","0.06","215","18.8","0.0","0","0","0.042","0.85","671","0.034","1.0","0.06","0.005","16.17","21.021","3.043","51.368","81.11","24","0.0","0.02","2","24","24","643","0.09","684","0.17","0.003","0.0","2.32","7.0"
"Butter","Butter, whipped, with salt","1002","1","135","6","0.0","225","18.8","0.0","13","0","0.022","0.49","671","0.064","0.0","0.06","0.007","16.72","19.874","3.331","45.39","78.3","23","0.01","0.05","1","24","41","583","0.05","683","0.07","0.008","0.0","1.37","4.6"
"Butter oil","Butter oil, anhydrous","1003","0","193","0","0.0","256","22.3","0.0","0","0","0.003","0.28","824","0.005","0.0","0.0","0.001","0.24","28.732","3.694","61.924","99.48","4","0.001","0.0","0","3","5","2","0.01","840","0.01","0.001","0.0","2.8","8.6"
"Cheese","Cheese, blue","1004","0","74","0","2.34","75","15.4","0.0","0","0","1.016","21.4","192","0.382","14.5","0.5","0.029","42.41","7.778","0.8","18.669","28.74","528","0.04","0.31","23","387","256","1146","2.66","198","1.22","0.166","0.0","0.25","2.4"
"Cheese","Cheese, brick","1005","0","76","0","2.79","94","15.4","0.0","0","0","0.118","23.24","286","0.351","14.5","0.51","0.014","41.11","8.598","0.784","18.764","29.68","674","0.024","0.43","24","451","136","560","2.6","292","1.26","0.065","0.0","0.26","2.5"
"Cheese","Cheese, brie","1006","0","9","0","0.45","100","15.4","0.0","0","0","0.38","20.75","173","0.52","14.5","0.45","0.07","48.42","8.013","0.826","17.41","27.68","184","0.019","0.5","20","188","152","629","2.38","174","1.65","0.235","0.0","0.24","2.3"
"Cheese","Cheese, camembert","1007","0","12","0","0.46","72","15.4","0.0","0","0","0.63","19.8","240","0.488","14.5","0.46","0.028","51.8","7.023","0.724","15.259","24.26","388","0.021","0.33","20","347","187","842","2.38","241","1.3","0.227","0.0","0.21","2.0"
"Cheese","Cheese, cheddar (Includes foods for USDA's Food Distribution Program)","1009","0","0","0","2.44","100","16.5","0.0","0","0","0.052","23.3","316","0.441","28.3","0.33","0.029","36.6","7.44","1.18","19.2","34.0","707","0.033","0.16","26","458","77","654","3.67","316","1.06","0.069","0.0","0.75","2.4"
"Cheese","Cheese, colby","1011","0","82","0","2.57","95","15.4","0.0","0","0","0.093","23.76","257","0.375","14.5","0.52","0.015","38.2","9.28","0.953","20.218","32.11","685","0.042","0.76","26","457","127","604","3.07","264","0.83","0.079","0.0","0.28","2.7"
"Cheese","Cheese, cottage, creamed, large or small curd","1012","0","12","0","3.38","17","18.4","0.0","0","0","0.099","11.12","36","0.163","9.7","2.67","0.027","79.79","0.778","0.123","1.718","4.3","83","0.029","0.07","8","159","104","315","0.4","37","0.43","0.046","0.0","0.08","0.0"
"Cheese","Cheese, cottage, nonfat, uncreamed, dry, large or small curd","1014","0","0","0","6.66","7","17.9","0.0","0","0","0.144","10.34","2","0.226","9.4","1.85","0.023","81.01","0.079","0.003","0.169","0.29","86","0.03","0.15","11","190","137","372","0.47","2","0.46","0.016","0.0","0.01","0.0"
"Cheese","Cheese, cottage, lowfat, 2% milkfat","1015","0","0","0","4.31","12","16.3","0.0","0","0","0.09","11.0","69","0.234","14.6","4.1","0.02","81.1","0.469","0.072","1.26","2.3","103","0.03","0.13","8","148","120","321","0.61","69","0.42","0.057","0.0","0.08","0.0"
"Cheese","Cheese, cottage, lowfat, 1% milkfat","1016","0","3","0","2.72","4","17.5","0.0","0","0","0.128","12.39","11","0.165","9.0","2.72","0.021","82.48","0.291","0.031","0.645","1.02","61","0.028","0.14","5","134","86","406","0.38","11","0.63","0.068","0.0","0.01","0.1"
"Cheese","Cheese, cream","1017","1","59","2","5.52","101","26.8","0.0","7","0","0.091","6.15","303","0.23","8.6","3.76","0.023","52.62","8.907","1.483","20.213","34.44","97","0.018","0.11","9","107","132","314","0.5","308","0.22","0.056","0.0","0.86","2.1"
"Cheese","Cheese, feta","1019","0","3","0","3.88","89","15.4","0.0","0","0","0.991","14.21","125","0.844","15.0","0.0","0.154","55.22","4.623","0.591","13.3","21.49","493","0.032","0.65","19","337","62","1139","2.88","125","1.69","0.424","0.0","0.18","1.8"
"Cheese","Cheese, fontina","1020","0","32","0","1.55","116","15.4","0.0","0","0","0.15","25.6","258","0.204","14.5","1.55","0.021","37.92","8.687","1.654","19.196","31.14","550","0.025","0.23","14","346","64","800","3.5","261","1.68","0.083","0.0","0.27","2.6"
"Cheese","Cheese, gouda","1022","0","10","0","2.22","114","15.4","0.0","0","0","0.063","24.94","164","0.334","14.5","2.22","0.03","41.46","7.747","0.657","17.614","27.44","700","0.036","0.24","29","546","121","819","3.9","165","1.54","0.08","0.0","0.24","2.3"
"Cheese","Cheese, gruyere","1023","0","33","0","0.36","110","15.4","0.0","0","0","0.106","29.81","268","0.279","14.5","0.36","0.06","33.19","10.043","1.733","18.913","32.34","1011","0.032","0.17","36","605","81","714","3.9","271","1.6","0.081","0.0","0.28","2.7"
"Cheese","Cheese, limburger","1024","0","15","0","0.49","90","15.4","0.0","0","0","0.158","20.05","339","0.503","14.5","0.49","0.08","48.42","8.606","0.495","16.746","27.25","497","0.021","0.13","21","393","128","800","2.1","340","1.04","0.086","0.0","0.23","2.3"
"Cheese","Cheese, monterey","1025","0","78","0","0.68","89","15.4","0.0","0","0","0.093","24.48","192","0.39","14.5","0.5","0.015","41.01","8.751","0.899","19.066","30.28","746","0.032","0.72","27","444","81","600","3.0","198","0.83","0.079","0.0","0.26","2.5"
"Cheese","Cheese, mozzarella, low moisture, part-skim","1029","0","0","0","4.44","65","13.5","0.0","0","0","0.101","23.7","203","0.36","26.7","1.81","0.023","47.7","4.65","0.744","11.7","20.4","693","0.035","0.2","27","533","116","699","3.62","203","1.65","0.09","0.0","0.51","1.3"
"Cheese","Cheese, muenster","1030","0","13","0","1.12","96","15.4","0.0","0","0","0.103","23.41","297","0.32","14.5","1.12","0.013","41.77","8.711","0.661","19.113","30.04","717","0.031","0.41","27","468","134","628","2.81","298","1.47","0.056","0.0","0.26","2.5"
"Cheese","Cheese, parmesan, grated","1032","0","0","0","12.4","87","14.1","0.0","0","0","0.078","29.6","228","0.345","35.0","0.07","0.027","22.8","6.4","1.2","15.5","28.0","884","0.04","0.45","34","634","184","1750","4.33","228","1.35","0.081","0.0","0.51","1.7"
