"Country.Iso code","Country.Full","Date.Full","Date.Year","Date.Month","Date.Day","Data.Cases.New","Data.Cases.Total","Data.Cases.New per million","Data.Cases.Total per million","Data.Deaths.New","Data.Deaths.Total","Data.Deaths.New per million","Data.Deaths.Total per million"
"AND","Andorra","2022-07-25","2022","7","25","1","1","12.653","12.653","0","0","0.0","0.0"
"AND","Andorra","2022-07-26","2022","7","26","2","3","25.306","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-07-27","2022","7","27","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-07-28","2022","7","28","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-07-29","2022","7","29","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-07-30","2022","7","30","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-07-31","2022","7","31","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-08-01","2022","8","1","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-08-02","2022","8","2","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-08-03","2022","8","3","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-08-04","2022","8","4","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-08-05","2022","8","5","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-08-06","2022","8","6","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-08-07","2022","8","7","0","3","0.0","37.958","0","0","0.0","0.0"
"AND","Andorra","2022-08-08","2022","8","8","1","4","12.653","50.611","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-05-24","2022","5","24","1","1","0.107","0.107","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-05-25","2022","5","25","0","1","0.0","0.107","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-05-26","2022","5","26","0","1","0.0","0.107","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-05-27","2022","5","27","0","1","0.0","0.107","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-05-28","2022","5","28","0","1","0.0","0.107","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-05-29","2022","5","29","3","4","0.32","0.427","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-05-30","2022","5","30","0","4","0.0","0.427","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-05-31","2022","5","31","0","4","0.0","0.427","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-01","2022","6","1","4","8","0.427","0.854","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-02","2022","6","2","0","8","0.0","0.854","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-03","2022","6","3","0","8","0.0","0.854","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-04","2022","6","4","0","8","0.0","0.854","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-05","2022","6","5","0","8","0.0","0.854","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-06","2022","6","6","0","8","0.0","0.854","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-07","2022","6","7","5","13","0.534","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-08","2022","6","8","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-09","2022","6","9","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-10","2022","6","10","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-11","2022","6","11","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-12","2022","6","12","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-13","2022","6","13","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-14","2022","6","14","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-15","2022","6","15","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-16","2022","6","16","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-17","2022","6","17","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-18","2022","6","18","0","13","0.0","1.388","0","0","0.0","0.0"
"ARE","United Arab Emirates","2022-06-19","2022","6","19","0","13","0.0","1.388","0","0","0.0","0.0"
