"Year","Number.All","Number.Opioid.Any","Number.Opioid.Prescription","Number.Opioid.Synthetic","Number.Opioid.Heroin","Number.Opioid.Cocaine","Rate.All.Total","Rate.All.Sex.Female","Rate.All.Sex.Male","Rate.All.Race.White","Rate.All.Race.Black","Rate.All.Race.Asian or Pacific Islander","Rate.All.Race.Hispanic","Rate.All.Race.American Indian or Alaska Native","Rate.Opioid.Any.Total","Rate.Opioid.Any.Sex.Female","Rate.Opioid.Any.Sex.Male","Rate.Opioid.Any.Race.White","Rate.Opioid.Any.Race.Black","Rate.Opioid.Any.Race.Asian or Pacific Islander","Rate.Opioid.Any.Race.Hispanic","Rate.Opioid.Any.Race.American Indian or Alaska Native","Rate.Opioid.Prescription.Total","Rate.Opioid.Prescription.Sex.Female","Rate.Opioid.Prescription.Sex.Male","Rate.Opioid.Prescription.Race.White","Rate.Opioid.Prescription.Race.Black","Rate.Opioid.Prescription.Race.Hispanic","Rate.Opioid.Prescription.Race.American Indian or Alaska Native","Rate.Opioid.Synthetic.Total","Rate.Opioid.Synthetic.Sex.Female","Rate.Opioid.Synthetic.Sex.Male","Rate.Opioid.Synthetic.Race.White","Rate.Opioid.Synthetic.Race.Black","Rate.Opioid.Synthetic.Race.Hispanic","Rate.Opioid.Heroin.Total","Rate.Opioid.Heroin.Sex.Female","Rate.Opioid.Heroin.Sex.Male","Rate.Opioid.Heroin.Race.White","Rate.Opioid.Heroin.Race.Black","Rate.Opioid.Heroin.Race.Hispanic","Rate.Opioid.Cocaine.Total","Rate.Opioid.Cocaine.Sex.Female","Rate.Opioid.Cocaine.Sex.Male","Rate.Opioid.Cocaine.Race.White","Rate.Opioid.Cocaine.Race.Black","Rate.Opioid.Cocaine.Race.Hispanic","Rate.Opioid.Cocaine.Race.American Indian or Alaska Native"
"1999","16849","8050","3442","730","1960","3822","6.1","3.9","8.2","6.2","7.5","1.2","5.4","6.0","2.9","1.4","4.3","2.8","3.5","0.3","3.5","2.9","1.2","0.7","1.7","1.3","0.8","1.6","1.3","0.3","0.2","0.3","0.3","0.1","0.1","0.7","0.2","1.2","0.7","0.8","1.1","1.4","0.6","2.1","1.0","3.7","1.7","0.9"
"2000","17415","8407","3785","782","1842","3544","6.2","4.1","8.3","6.6","7.3","1.0","4.6","5.5","3.0","1.6","4.4","3.1","3.5","0.3","2.7","2.7","1.3","0.9","1.8","1.6","0.8","1.1","1.3","0.3","0.3","0.3","0.3","0.1","0.1","0.7","0.2","1.1","0.6","0.9","0.9","1.3","0.6","1.9","1.0","3.3","1.3","1.0"
"2001","19394","9496","4770","957","1779","3833","6.8","4.6","9.0","7.4","7.6","1.2","4.5","6.9","3.3","1.9","4.8","3.7","3.3","0.3","2.6","3.5","1.7","1.1","2.2","2.0","0.9","1.1","2.0","0.3","0.3","0.4","0.4","0.2","0.1","0.6","0.2","1.0","0.6","0.8","0.9","1.3","0.7","2.0","1.0","3.6","1.3","1.0"
"2002","23518","11920","6483","1295","2089","4599","8.2","5.8","10.6","9.2","8.2","1.4","5.4","8.5","4.1","2.6","5.7","4.7","3.6","0.5","3.2","4.1","2.3","1.6","2.9","2.8","1.2","1.4","2.6","0.4","0.4","0.5","0.6","0.2","0.2","0.7","0.2","1.2","0.7","0.9","1.0","1.6","0.8","2.4","1.3","4.0","1.5","1.1"
"2003","25785","12940","7461","1400","2080","5199","8.9","6.4","11.5","10.2","8.2","1.4","5.6","10.8","4.5","2.8","6.1","5.2","3.5","0.3","3.2","5.3","2.6","1.8","3.3","3.2","1.1","1.5","3.3","0.5","0.4","0.5","0.6","0.1","0.1","0.7","0.2","1.2","0.7","0.8","1.0","1.8","0.9","2.7","1.6","4.1","1.6","1.7"
"2004","27424","13756","8577","1664","1878","5443","9.4","6.9","11.8","11.0","8.3","1.5","5.2","12.5","4.7","3.1","6.3","5.7","3.2","0.4","2.9","6.2","2.9","2.1","3.7","3.7","1.4","1.4","4.2","0.6","0.5","0.6","0.7","0.2","0.2","0.6","0.2","1.1","0.7","0.6","0.7","1.9","1.0","2.8","1.7","4.3","1.4","1.6"
"2005","29813","14918","9612","1742","2009","6208","10.1","7.3","12.8","11.8","9.3","1.7","5.8","13.1","5.1","3.4","6.6","6.2","3.4","0.6","3.0","6.9","3.2","2.4","4.1","4.1","1.6","1.5","4.7","0.6","0.5","0.6","0.8","0.2","0.2","0.7","0.3","1.1","0.7","0.8","0.8","2.1","1.1","3.1","1.9","4.9","1.7","2.3"
"2006","34425","17545","11589","2707","2088","7448","11.5","8.2","14.8","13.6","10.8","1.8","6.3","14.1","5.9","3.9","7.8","7.3","4.2","0.5","3.3","7.1","3.9","2.8","4.9","5.0","1.8","1.8","4.7","0.9","0.7","1.1","1.1","1.0","0.3","0.7","0.2","1.2","0.8","0.7","0.8","2.5","1.3","3.8","2.3","5.6","1.9","1.6"
"2007","36010","18516","12796","2213","2399","6512","11.9","8.8","14.9","14.5","9.7","1.8","5.9","14.2","6.1","4.3","8.0","7.8","3.6","0.5","3.2","7.8","4.2","3.2","5.3","5.6","1.8","1.9","5.2","0.7","0.7","0.8","1.0","0.2","0.2","0.8","0.3","1.3","0.9","0.8","0.8","2.2","1.1","3.2","2.0","4.7","1.6","2.1"
"2008","36450","19582","13149","2306","3041","5129","11.9","8.9","14.9","14.8","8.4","1.7","5.8","15.8","6.4","4.4","8.4","8.2","3.4","0.6","3.4","9.3","4.3","3.2","5.4","5.7","1.8","1.9","6.1","0.8","0.7","0.8","1.0","0.2","0.2","1.0","0.4","1.6","1.2","0.8","1.0","1.7","0.9","2.5","1.6","3.4","1.3","1.5"
