"data.date","data.owned or leased","data.parking spaces","data.status","data.type","location.congressional district","location.id","location.region id","data.disabilities.ADA Accessible","data.disabilities.ansi usable","data.history.status","data.history.type","location.address.city","location.address.county","location.address.line 1","location.address.line 2","location.address.state","location.address.zip"
"1-Jan-33","OWNED","29","ACTIVE","BUILDING","1","CT0013","1","Will Conform","97884","National Register Listed","Field Not In Use","HARTFORD","HARTFORD","135 HIGH ST"," ","CT","61031125"
"1-Jan-19","OWNED","0","ACTIVE","BUILDING","3","CT0024","1","Will Conform","69037","National Register Listed","Field Not In Use","NEW HAVEN","NEW HAVEN","141 CHURCH ST","U.S. COURTHOUSE","CT","65102001"
"1-Jan-33","LEASED","2","ACTIVE","BUILDING","5","CT0047","1","Will Conform","7442","National Register Listed","Field Not In Use","WATERBURY","NEW HAVEN","135 GRAND ST"," ","CT","67029998"
"1-Jan-11","LEASED","0","ACTIVE","BUILDING","2","CT0049","1","Will Conform","198","Not Evaluated","Field Not In Use","WILLIMANTIC","WINDHAM","919 MAIN STREET"," ","CT","62269998"
"1-Jan-63","OWNED","103","ACTIVE","BUILDING","1","CT0053","1","Will Conform","202948","Evaluated - Not Historic","Field Not In Use","HARTFORD","HARTFORD","450 MAIN ST"," ","CT","61033022"
"1-Jan-67","OWNED","131","ACTIVE","BUILDING","4","CT0059","1","Will Conform","86833","Not Evaluated","Field Not In Use","BRIDGEPORT","FAIRFIELD","915 LAFAYETTE BLVD"," ","CT","66044706"
"1-Jan-69","OWNED","5","ACTIVE","BUILDING","5","CT0060","1","Will Conform","5052","Not Evaluated","Field Not In Use","TORRINGTON","LITCHFIELD","LITCHFIELD ST"," ","CT","67906407"
"1-Jan-77","OWNED","74","ACTIVE","BUILDING","3","CT0061","1","Will Conform","83741","Not Evaluated","Field Not In Use","NEW HAVEN","NEW HAVEN","150 COURT ST"," ","CT","65102022"
"0","LEASED","159","ACTIVE","BUILDING","1","CT3316","1","Will Conform","34889","Not Evaluated","Field Not In Use","EAST HARTFORD","HARTFORD","130 DARLIN ST"," ","CT","61083234"
"0","LEASED","8","ACTIVE","BUILDING","4","CT3319","1","Will Conform","5020","Not Evaluated","Field Not In Use","STAMFORD","FAIRFIELD","101 BROAD ST"," ","CT","69012797"
"0","LEASED","1","ACTIVE","BUILDING","3","CT3322","1","Will Conform","5045","Not Evaluated","Field Not In Use","MIDDLETOWN","MIDDLESEX","425 MAIN STREET"," ","CT","64573347"
"0","LEASED","0","ACTIVE","BUILDING","1","CT3323","1","Will Conform","16418","Not Evaluated","Field Not In Use","EAST HARTFORD","HARTFORD","333 E RIVER DR"," ","CT","61084200"
"0","LEASED","5","ACTIVE","BUILDING","3","CT3326","1","Will Conform","3293","Not Evaluated","Field Not In Use","NEW HAVEN","NEW HAVEN","55 WHITNEY AVE"," ","CT","65101300"
"0","LEASED","43","ACTIVE","BUILDING","3","CT3331","1","Will Conform","96834","Not Evaluated","Field Not In Use","NEW HAVEN","NEW HAVEN","157 CHURCH ST"," ","CT","65102100"
"0","LEASED","15","ACTIVE","BUILDING","4","CT3339","1","Will Conform","8230","Not Evaluated","Field Not In Use","BRIDGEPORT","FAIRFIELD","3885 MAIN STREET"," ","CT","66062814"
"0","LEASED","25","ACTIVE","BUILDING","3","CT3341","1","Will Conform","16070","Not Evaluated","Field Not In Use","NEW HAVEN","NEW HAVEN","265 CHURCH ST"," ","CT","65107013"
"0","LEASED","4","ACTIVE","BUILDING","1","CT3351","1","Will Conform","7000","Not Evaluated","Field Not In Use","GLASTONBURY","HARTFORD","628 HEBRON AVE","BUILDING 2","CT","60335007"
"0","LEASED","39","ACTIVE","BUILDING","5","CT3354","1","Will Conform","11727","Not Evaluated","Field Not In Use","MERIDEN","NEW HAVEN","530 PRESTON AVENUE"," ","CT","64504893"
"0","LEASED","28","ACTIVE","BUILDING","2","CT3358","1","Will Conform","10106","Not Evaluated","Field Not In Use","NEW LONDON","NEW LONDON","2 SHAW'S COVE"," ","CT","63204975"
"0","LEASED","100","ACTIVE","BUILDING","4","CT3360","1","Will Conform","31055","Not Evaluated","Field Not In Use","BRIDGEPORT","FAIRFIELD","1000 LAFAYETTE BLVD","10TH FLOOR","CT","66044725"
"0","LEASED","11","ACTIVE","BUILDING","3","CT3362","1","Will Conform","1950","Not Evaluated","Field Not In Use","MIDDLETOWN","MIDDLESEX","213 COURT ST"," ","CT","64573346"
"0","LEASED","4","ACTIVE","BUILDING","2","CT3363","1","Will Conform","1507","Not Evaluated","Field Not In Use","GROTON","NEW LONDON","904 POQUONNOCK RD"," ","CT","63404259"
"0","LEASED","9","ACTIVE","BUILDING","1","CT3369","1","Will Conform","21432","Not Evaluated","Field Not In Use","HARTFORD","HARTFORD","20 CHURCH ST"," ","CT","61033290"
"0","LEASED","28","ACTIVE","BUILDING","1","CT3373","1","Yes","12906","Not Evaluated","Field Not In Use","EAST HARTFORD","HARTFORD","101 PITKIN ST"," ","CT","61083316"
"0","LEASED","220","ACTIVE","BUILDING","3","CT3375","1","Yes","78826","Not Evaluated","Field Not In Use","NEW HAVEN","NEW HAVEN","600 STATE STREET"," ","CT","65116505"
"0","LEASED","1","ACTIVE","BUILDING","5","CT3376","1","Yes","8439","Not Evaluated","Field Not In Use","DANBURY","FAIRFIELD","131 WEST ST"," ","CT","68106376"
"0","LEASED","12","ACTIVE","BUILDING","5","CT3387","1","Yes","6370","Not Evaluated","Field Not In Use","MERIDEN","NEW HAVEN","1 WEST MAIN STREET"," ","CT","64514128"
"0","LEASED","52","ACTIVE","BUILDING","2","CT3389","1","Yes","13995","Not Evaluated","Field Not In Use","TOLLAND","TOLLAND","344 MERROW RD"," ","CT","60843917"
"0","LEASED","8","ACTIVE","BUILDING","1","CT3393","1","Yes","5198","Not Evaluated","Field Not In Use","HARTFORD","HARTFORD","10 COLUMBUS BLVD"," ","CT","61061976"
"0","LEASED","5","ACTIVE","BUILDING","1","CT3395","1","Yes","11825","Not Evaluated","Field Not In Use","WINDSOR LOCKS","HARTFORD","334 ELLA GRASSO TURNPIKE"," ","CT","60961042"
"0","LEASED","25","ACTIVE","BUILDING","2","CT3398","1","Yes","6065","Not Evaluated","Field Not In Use","WILLIMANTIC","WINDHAM","1320 MAIN ST"," ","CT","62261940"
"0","LEASED","0","ACTIVE","BUILDING","2","CT3400","1","Yes","1137","Not Evaluated","Field Not In Use","NEW LONDON","NEW LONDON","5 SHAWS CV","Suite 206","CT","63204974"
"0","LEASED","164","ACTIVE","BUILDING","2","CT3402","1","Yes","47200","Not Evaluated","Field Not In Use","NEW LONDON","NEW LONDON","1 CHELSEA ST"," ","CT","63205506"
"0","LEASED","10","ACTIVE","BUILDING","1","CT3403","1","Yes","22050","Not Evaluated","Field Not In Use","HARTFORD","HARTFORD","960 MAIN ST"," ","CT","61031224"
"0","LEASED","62","ACTIVE","BUILDING","4","CT3408","1","Yes","14392","Not Evaluated","Field Not In Use","SHELTON","FAIRFIELD","6 ARMSTRONG RD"," ","CT","64844722"
"0","LEASED","0","ACTIVE","BUILDING","3","CT3409","1","Yes","459","Not Evaluated","Field Not In Use","NEW HAVEN","NEW HAVEN","TWEED AIRPORT"," ","CT","65123907"
"0","LEASED","3","ACTIVE","BUILDING","2","CT3410","1","Yes","1004","Not Evaluated","Field Not In Use","TOLLAND","TOLLAND","36 BUFF CAP ROAD"," ","CT","60842604"
"25-Jun-09","LEASED","17","ACTIVE","BUILDING","1","CT3412","1","Yes","5303","Not Evaluated","Field Not In Use","HARTFORD","HARTFORD","21 OAK ST"," ","CT","61068003"
"1-Apr-09","LEASED","15","ACTIVE","BUILDING","3","CT3413","1","Yes","27394","Not Evaluated","Field Not In Use","HAMDEN","NEW HAVEN","15 MARNE STREET"," ","CT","65143610"
"1-Feb-08","LEASED","6","ACTIVE","BUILDING","2","CT3414","1","Yes","6266","Not Evaluated","Field Not In Use","NEW LONDON","NEW LONDON","2 UNION PLAZA"," ","CT","63206313"
"1-Oct-09","LEASED","32","ACTIVE","BUILDING","1","CT3416","1","Yes","13705","Not Evaluated","Field Not In Use","ROCKY HILL","HARTFORD","716 BROOK STREET"," ","CT","60673433"
"1-Sep-09","LEASED","28","ACTIVE","BUILDING","3","CT3418","1","Yes","11162","Not Evaluated","Field Not In Use","NEW HAVEN","NEW HAVEN","55 CHURCH STREET"," ","CT","65103014"
"13-Jun-08","LEASED","24","ACTIVE","BUILDING","5","CT3420","1","Yes","8177","Not Evaluated","Field Not In Use","NEW BRITAIN","HARTFORD","233 MAIN STREET"," ","CT","60514204"
"19-Mar-09","LEASED","6","ACTIVE","BUILDING","4","CT3421","1","Yes","1380","Not Evaluated","Field Not In Use","STAMFORD","FAIRFIELD","888 WASHINGTON STREET"," ","CT","69012902"
"25-Jun-09","LEASED","1","ACTIVE","BUILDING","1","CT3425","1","No","6314","Not Evaluated","Field Not In Use","EAST HARTFORD","HARTFORD","474-484 BURNSIDE AVENUE"," ","CT","60742406"
"1-Jul-00","LEASED","19","ACTIVE","BUILDING","3","CT3429","1","Yes","4048","Not Evaluated","Field Not In Use","ANSONIA","NEW HAVEN","475 MAIN ST"," ","CT","64012307"
"1-May-85","LEASED","31","ACTIVE","BUILDING","3","CT3433","1","Will Conform","4217","Not Evaluated","Field Not In Use","WALLINGFORD","NEW HAVEN","97 BARNES RD"," ","CT","64921885"
"0","LEASED","25","ACTIVE","BUILDING","3","CT3435","1","Will Conform","3961","Not Evaluated","Field Not In Use","ORANGE","NEW HAVEN","291 S LAMBERT RD"," ","CT","64773559"
"0","LEASED","0","ACTIVE","BUILDING","3","CT3437","1","Yes","3850","Not Evaluated","Field Not In Use","WALLINGFORD","NEW HAVEN","43 CAPITAL DR"," ","CT","64925818"
"9-Jun-10","LEASED","6","ACTIVE","BUILDING","4","CT3438","1","Yes","18405","Not Evaluated","Field Not In Use","NORWALK","FAIRFIELD","761 MAIN AVE"," ","CT","68511080"
"1-May-80","LEASED","1","ACTIVE","BUILDING","5","CT3440","1","Yes","432","Not Evaluated","Field Not In Use","DANBURY","FAIRFIELD","107 MILL PLAIN RD"," ","CT","68116100"
"0","LEASED","36","ACTIVE","BUILDING","5","CT3441","1","Yes","8648","Not Evaluated","Field Not In Use","WATERBURY","NEW HAVEN","51 N ELM ST"," ","CT","67021511"
