"Country","Year","Data.Daily cigarettes","Data.Percentage.Male","Data.Percentage.Female","Data.Percentage.Total","Data.Smokers.Total","Data.Smokers.Female","Data.Smokers.Male"
"Afghanistan","1980","5.6999998","10.4","18.4","2.4000001","733520","81707","651813"
"Afghanistan","1981","5.8000002","10.5","18.4","2.3","720102","79276","640826"
"Afghanistan","1982","5.8000002","10.5","18.5","2.3","700415","76061","624355"
"Afghanistan","1983","5.9000001","10.5","18.6","2.3","676984","72411","604572"
"Afghanistan","1984","6.0","10.6","18.6","2.3","653812","68908","584905"
"Afghanistan","1985","6.0999999","10.6","18.700001","2.2","634732","65946","568786"
"Afghanistan","1986","6.0999999","10.6","18.799999","2.2","619871","63570","556301"
"Afghanistan","1987","6.0999999","10.7","18.799999","2.2","608651","61716","546936"
"Afghanistan","1988","6.0","10.7","18.9","2.2","606307","60768","545540"
"Afghanistan","1989","5.9000001","10.8","19.0","2.2","619534","61324","558210"
"Afghanistan","1990","5.8000002","10.8","19.1","2.2","652030","63711","588319"
"Afghanistan","1991","5.5999999","10.9","19.200001","2.2","707278","68289","638989"
"Afghanistan","1992","5.4000001","11.0","19.4","2.0999999","783101","74721","708380"
"Afghanistan","1993","5.0999999","11.1","19.6","2.0999999","869965","82119","787847"
"Afghanistan","1994","4.6999998","11.2","19.799999","2.0999999","954455","89356","865100"
"Afghanistan","1995","4.5","11.3","20.1","2.0999999","1028533","95703","932830"
"Afghanistan","1996","4.3000002","11.4","20.4","2.2","1086454","100795","985659"
"Afghanistan","1997","4.0999999","11.6","20.6","2.2","1131993","106644","1025349"
"Afghanistan","1998","3.9000001","11.7","20.799999","2.3","1163473","111314","1052159"
"Afghanistan","1999","3.8","11.8","20.9","2.3","1192680","115541","1077138"
"Afghanistan","2000","3.7","11.8","21.0","2.3","1228925","120114","1108812"
"Afghanistan","2001","3.5999999","11.8","21.0","2.4000001","1274895","125384","1149511"
"Afghanistan","2002","3.7","11.9","21.0","2.4000001","1329825","131469","1198356"
"Afghanistan","2003","3.8","11.9","21.1","2.4000001","1390046","137947","1252098"
"Afghanistan","2004","3.8","11.9","21.1","2.4000001","1449475","144378","1305098"
"Afghanistan","2005","4.0","11.9","21.1","2.4000001","1504433","150483","1353950"
"Afghanistan","2006","4.0999999","12.0","21.200001","2.4000001","1553745","156158","1397587"
"Afghanistan","2007","4.3000002","12.0","21.200001","2.5","1599691","161714","1437977"
"Afghanistan","2008","4.4000001","12.0","21.200001","2.5","1644245","167313","1476933"
"Afghanistan","2009","4.5999999","12.0","21.299999","2.5","1691957","173446","1518511"
"Afghanistan","2010","4.9000001","11.9","21.200001","2.5","1743624","179969","1563656"
"Afghanistan","2011","5.0999999","11.9","21.200001","2.5","1800309","186782","1613527"
"Afghanistan","2012","5.1999998","11.9","21.1","2.5","1862700","193836","1668864"
"Albania","1980","18.700001","21.299999","38.400002","3.4000001","360902","27584","333318"
"Albania","1981","18.4","21.299999","38.400002","3.3","371658","28413","343245"
"Albania","1982","18.200001","21.299999","38.400002","3.3","382557","29246","353311"
"Albania","1983","17.9","21.299999","38.400002","3.3","393867","30082","363785"
"Albania","1984","17.700001","21.299999","38.400002","3.3","405919","30947","374972"
"Albania","1985","17.5","21.299999","38.400002","3.3","418871","31869","387002"
"Albania","1986","17.299999","21.299999","38.299999","3.3","433002","32809","400193"
"Albania","1987","17.0","21.299999","38.299999","3.3","448005","33774","414231"
"Albania","1988","16.799999","21.299999","38.299999","3.3","462614","34717","427897"
"Albania","1989","16.5","21.200001","38.299999","3.3","474490","35487","439003"
"Albania","1990","16.4","21.200001","38.299999","3.3","482850","36047","446803"
"Albania","1991","16.299999","21.299999","38.5","3.2","487892","36412","451479"
"Albania","1992","16.299999","21.299999","38.700001","3.2","489417","36574","452844"
"Albania","1993","16.200001","21.299999","38.900002","3.2","488078","36552","451527"
"Albania","1994","16.1","21.4","39.099998","3.2","485775","36458","449317"
"Albania","1995","16.1","21.299999","39.200001","3.2","483593","36355","447238"
"Albania","1996","16.0","21.200001","39.299999","3.2","481723","36235","445488"
"Albania","1997","16.299999","20.9","38.799999","3.2","475222","35989","439233"
"Albania","1998","16.5","20.6","38.400002","3.0999999","470397","35767","434630"
"Albania","1999","16.700001","20.299999","38.0","3.0999999","465894","35466","430428"
"Albania","2000","16.799999","20.0","37.599998","3.0","461078","35035","426043"
"Albania","2001","17.1","19.700001","37.0","2.9000001","455877","34513","421364"
"Albania","2002","17.4","19.4","36.400002","2.9000001","450636","34027","416609"
"Albania","2003","18.200001","18.700001","34.799999","2.8","434588","33277","401310"
"Albania","2004","18.9","18.1","33.599998","2.8","422860","33057","389803"
