"groups","claim","status","statistics.sources","date.year","date.month","date.day","statistics.# wounded_low","statistics.# wounded_high","statistics.# killed_low","statistics.# killed_high","statistics.# killed_low_civilian","statistics.# killed_high_civilian","statistics.# killed_low_political","statistics.# killed_high_political","statistics.# killed_low_security","statistics.# killed_high_security","statistics.# belt_bomb","statistics.# truck_bomb","statistics.# car_bomb","statistics.# weapon_oth","statistics.# weapon_unk","target.weapon","target.region","target.subregion","target.country","target.province","target.city","target.location","target.latitude","target.longtitude","target.desc","target.type","target.nationality","statistics.# attackers","statistics.# female_attackers","statistics.# male_attackers","statistics.# unknown_attackers","attacker.gender"
"Islamic State","Suspected","Confirmed Suicide","2","2015","6","2","8","8","5","5","0","0","0","0","5","5","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Hasaka (Al Haksa)","Al Hasakah","close to a children's hospital","36.483333","40.75","Syrian Army checkpoint","Security","Syrian","1","0","0","1","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","3","2017","1","6","0","0","40","40","20","20","0","0","20","20","0","0","0","1","0","Unspecified","Asia","Western Asia","Syria","Deir ez-Zor","Deir ez-Zor","Route between City & Deir ez-Zor Airport","35.333333","40.15","Syrian regime forces","Security","Syrian","2","0","0","2","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","3","2017","1","6","0","0","40","40","20","20","0","0","20","20","0","0","0","1","0","Unspecified","Asia","Western Asia","Syria","Deir ez-Zor","Deir ez-Zor","Route between City & Deir ez-Zor Airport","35.333333","40.15","Syrian regime forces","Security","Syrian","2","0","0","2","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","4","2004","10","5","10","15","1","10","1","10","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Baghdad","Baghdad","Al Dora neighborhood, near refinery and cathedral","33.34","44.4","Iraqi Police patrol","Security","Iraqi","1","0","0","1","Unknown"
"Taliban (IEA)","Claimed","Possible - Conflicting Reports","5","2017","7","4","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","Truck bomb","Asia","Southern Asia","Afghanistan","Hilmand","Gereshk","Ab Pash security checkpoint","31.82","64.54","Afghan soldiers at security checkpoint","Security","Afghan","1","0","0","1","Unknown"
"Al-Jaysh al-Islami li Tahrir al Amaken al Muqaddasa","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Al-Jaysh al-Islami li Tahrir al Amaken al Muqaddasa","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Al-Jaysh al-Islami li Tahrir al Amaken al Muqaddasa","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Jabhat an-Nu_rah li-Ahl ash-Sh_m","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Jabhat an-Nu_rah li-Ahl ash-Sh_m","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Jabhat an-Nu_rah li-Ahl ash-Sh_m","Claimed","Confirmed Suicide","4","2012","10","3","100","120","31","40","31","40","0","0","0","0","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Aleppo (Halab)","Aleppo","Hotel, Saadahalah aj-Jari Square in area controlled by Syrian government","36.2","37.167","al-Nadi al-Siyahi (Tourist Club) Hotel","Civilian","Syrian","3","0","0","3","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2010","10","6","2","12","1","1","0","0","0","0","1","1","0","0","1","0","0","Car bomb","Europe","Eastern Europe","Russia","Dagestan","Khasavyurt","Internationalnaya Street","43.25","46.588","Dagestani Police station","Security","Russian","1","0","1","0","Male"
