"Year","Brand","Data.Content.Funny","Data.Content.Shows Product","Data.Content.Patriotic","Data.Content.Celebrity","Data.Content.Danger","Data.Content.Animals","Data.Content.Sexual","Data.Viewership.Views","Data.Viewership.Likes","Data.Viewership.Dislikes","Data.Title"
"2000","Budweiser","True","True","True","True","True","True","True","3624622","24840","521","1498"
"2000","Budweiser","True","True","True","True","True","True","True","111442","163","5","8"
"2000","E-Trade","True","True","True","True","True","True","True","9036","51","2","7"
"2000","E-Trade","True","True","True","True","True","True","True","67182","121","4","6"
"2000","Budweiser","True","True","True","True","True","True","True","5264","10","1","1"
"2000","Bud Light","True","True","True","True","True","True","True","6641","7","1","1"
"2001","Budweiser","True","True","True","True","True","True","True","77142","334","4","71"
"2001","Pepsi","True","True","True","True","True","True","True","65162","109","4","38"
"2001","Bud Light","True","True","True","True","True","True","True","60774","269","10","18"
"2001","Budweiser","True","True","True","True","True","True","True","50088","151","3","16"
"2001","E-Trade","True","True","True","True","True","True","True","6513","12","4","3"
"2001","E-Trade","True","True","True","True","True","True","True","103433","167","7","3"
"2001","Pepsi","True","True","True","True","True","True","True","1475","14","0","2"
"2001","Bud Light","True","True","True","True","True","True","True","2801","9","0","1"
"2001","Doritos","True","True","True","True","True","True","True","2985","15","0","1"
"2001","Pepsi","True","True","True","True","True","True","True","12106","10","1","1"
"2001","Bud Light","True","True","True","True","True","True","True","998","3","0","0"
"2001","Pepsi","True","True","True","True","True","True","True","788","4","2","0"
"2002","Pepsi","True","True","True","True","True","True","True","385777","5929","73","261"
"2002","Budweiser","True","True","True","True","True","True","True","121400","642","10","50"
"2002","Bud Light","True","True","True","True","True","True","True","63129","178","5","15"
"2002","Budweiser","True","True","True","True","True","True","True","38574","199","7","8"
"2002","Bud Light","True","True","True","True","True","True","True","67452","270","15","7"
"2002","Bud Light","True","True","True","True","True","True","True","4641","19","0","2"
"2002","Bud Light","True","True","True","True","True","True","True","3548","13","0","0"
"2002","E-Trade","True","True","True","True","True","True","True","1361","9","0","0"
"2002","Budweiser","True","True","True","True","True","True","True","13245","49","3","0"
"2003","Bud Light","True","True","True","True","True","True","True","177285","229","10","32"
"2003","Bud Light","True","True","True","True","True","True","True","175482","268","15","32"
"2003","NFL","True","True","True","True","True","True","True","18670","42","1","4"
"2003","Bud Light","True","True","True","True","True","True","True","13741","20","3","2"
"2003","Bud Light","True","True","True","True","True","True","True","147160","53","15","2"
"2003","Budweiser","True","True","True","True","True","True","True","2732","8","0","1"
"2003","Bud Light","True","True","True","True","True","True","True","3754","18","1","1"
"2003","Bud Light","True","True","True","True","True","True","True","16083","60","3","1"
"2003","Budweiser","True","True","True","True","True","True","True","21813","10","0","0"
"2003","Budweiser","True","True","True","True","True","True","True","27378","18","2","0"
"2004","Budweiser","True","True","True","True","True","True","True","1939823","3744","108","279"
"2004","Budweiser","True","True","True","True","True","True","True","327529","803","42","73"
"2004","Bud Light","True","True","True","True","True","True","True","3739","115","1","59"
"2004","Toyota","True","True","True","True","True","True","True","112297","640","9","52"
"2004","Pepsi","True","True","True","True","True","True","True","179695","295","12","37"
"2004","Budweiser","True","True","True","True","True","True","True","88458","351","6","30"
"2004","Pepsi","True","True","True","True","True","True","True","55676","222","9","26"
"2004","Bud Light","True","True","True","True","True","True","True","88445","118","6","8"
"2004","Bud Light","True","True","True","True","True","True","True","561","6","0","1"
"2004","Bud Light","True","True","True","True","True","True","True","39730","37","1","1"
"2004","Bud Light","True","True","True","True","True","True","True","5699","27","1","0"
"2005","Pepsi","True","True","True","True","True","True","True","43983","93","5","13"
"2005","Bud Light","True","True","True","True","True","True","True","8990","29","0","3"
"2005","Bud Light","True","True","True","True","True","True","True","16997","69","3","2"
"2005","Bud Light","True","True","True","True","True","True","True","3183","4","0","1"
"2005","Bud Light","True","True","True","True","True","True","True","3183","4","0","1"
