"artist.gender","artist.name","artist.role","data.medium","data.thumbnail","data.title","data.url","dimensions.depth","dimensions.height","dimensions.width","metadata.acquisition date","metadata.creation decade","metadata.creation year","metadata.credit","artist.birth.location","artist.birth.year","artist.death.location","artist.death.year"
"Female","Abakanowicz, Magdalena","artist","Burlap and resin","http://www.tate.org.uk/art/images/work/T/T12/T12981_8.jpg","Backs","http://www.tate.org.uk/art/artworks/abakanowicz-backs-t12981","0.0","0.0","0.0","2009","1970","1976","Presented anonymously 2009","Polska","1930","","0"
"Male","Abbey, Edwin Austin","artist","Ink on paper","http://www.tate.org.uk/art/images/work/N/N03/N03992_8.jpg","Illustration to Judith Shakespeare","http://www.tate.org.uk/art/artworks/abbey-illustration-to-judith-shakespeare-n03992","0.0","419.0","305.0","1924","1880","1883","Presented by a group of admirers through John Singer Sargent 1924","Philadelphia, United States","1852","London, United Kingdom","1911"
"Female","Abbott, Berenice","artist","Photograph, gelatin silver print on paper","","Tri-Boro Barber Shop","http://www.tate.org.uk/art/artworks/abbott-tri-boro-barber-shop-p13100","0.0","200.0","250.0","2010","1930","1935","Accepted by HM Government in lieu of inheritance tax from the Estate of Barbara Lloyd and allocated to Tate 2009","Springfield, United States","1898","Monson, United States","1991"
"Male","Abbott, Lemuel Francis","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T01/T01067_8.jpg","Portrait of the Engraver Francesco Bartolozzi","http://www.tate.org.uk/art/artworks/abbott-portrait-of-the-engraver-francesco-bartolozzi-t01067","0.0","676.0","756.0","1968","0","0","Presented by Mrs M. Bernard 1968","Leicestershire, United Kingdom","1760","London, United Kingdom","1803"
"Male","Abrahams, Ivor","artist","Fibreglass and polystyrene","http://www.tate.org.uk/art/images/work/T/T03/T03369_8.jpg","Lady in Niche","http://www.tate.org.uk/art/artworks/abrahams-lady-in-niche-t03369","762.0","1575.0","2095.0","1982","1970","1973","Purchased 1982","Wigan, United Kingdom","1935","","0"
"Male","Absalon","artist","Video, monitor or projection, colour and sound","","Assassinations","http://www.tate.org.uk/art/artworks/absalon-assassinations-t07227","0.0","0.0","0.0","1997","1990","1993","Presented by Galerie Chantal Crousel 1997","Tel Aviv-Yafo, Yisra'el","1964","Paris, France","1993"
"Female","Abts, Tomma","artist","Acrylic paint and oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T13/T13592_8.jpg","Zebe","http://www.tate.org.uk/art/artworks/abts-zebe-t13592","0.0","380.0","480.0","2012","2010","2010","Presented by Tate Members 2011","Kiel, Deutschland","1967","","0"
"Male","Acconci, Vito","artist","6 works on paper, photographs, ink and printed papers","","TRANSFERENCE ZONE","http://www.tate.org.uk/art/artworks/acconci-transference-zone-t13178","0.0","992.0","858.0","2010","1970","1972","Presented by the Billstone Foundation 2009","New York, United States","1940","","0"
"Male","Ackling, Roger","artist","Burnt lines on board and transfer lettering on card","http://www.tate.org.uk/art/images/work/T/T03/T03562_8.jpg","Five Sunsets in One Hour","http://www.tate.org.uk/art/artworks/ackling-five-sunsets-in-one-hour-t03562","0.0","367.0","558.0","1983","1970","1978","Presented by the Contemporary Art Society 1983","Isleworth, United Kingdom","1947","","2014"
"Male","Ackroyd, Norman","artist","Etching and watercolour on paper","http://www.tate.org.uk/art/images/work/P/P77/P77815_8.jpg","Cartmel Fell","http://www.tate.org.uk/art/artworks/ackroyd-cartmel-fell-p77815","0.0","480.0","628.0","1996","1990","1996","Purchased 1996","Leeds, United Kingdom","1938","","0"
"Male","Adam, Robert","artist","Watercolour, graphite, gouache and ink on paper","http://www.tate.org.uk/art/images/work/T/T09/T09843_8.jpg","Composition: River in a Gorge","http://www.tate.org.uk/art/artworks/adam-composition-river-in-a-gorge-t09843","0.0","373.0","302.0","1997","0","0","Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","Kirkcaldy, United Kingdom","1728","London, United Kingdom","1792"
"Male","Adams, Harry William","artist","Oil paint on canvas","","Winters Sleep","http://www.tate.org.uk/art/artworks/adams-winters-sleep-n01838","0.0","1841.0","1226.0","1900","1900","1900","Presented by the Trustees of the Chantrey Bequest 1900","Worcester, United Kingdom","1868","Worcester, United Kingdom","1947"
"Male","Adams, Norman","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T05/T05820_8.jpg","Christs Cross and Adams Tree","http://www.tate.org.uk/art/artworks/adams-christs-cross-and-adams-tree-t05820","0.0","1526.0","1270.0","1990","1980","1989","Presented by the Trustees of the Chantrey Bequest 1990","London, United Kingdom","1927","","2005"
"Male","Adams, Robert","artist","Steel wire and wood","http://www.tate.org.uk/art/images/work/T/T07/T07034_8.jpg","Space Construction with a Spiral","http://www.tate.org.uk/art/artworks/adams-space-construction-with-a-spiral-t07034","410.0","420.0","940.0","1995","1950","1950","Purchased 1995","Northampton, United Kingdom","1917","","1984"
"Male","Adeney, Bernard","artist","Tempera on canvas","","Toy Sailing Boats, the Round Pond","http://www.tate.org.uk/art/artworks/adeney-toy-sailing-boats-the-round-pond-n04568","0.0","3048.0","2276.0","1931","1910","1911","Purchased 1931","London, United Kingdom","1878","","1966"
"Male","Adler, Jankel","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T00/T00372_8.jpg","The Mutilated","http://www.tate.org.uk/art/artworks/adler-the-mutilated-t00372","0.0","1118.0","864.0","1960","1940","1942","Presented by Robert Strauss 1960","Tuszyn, Polska","1895","Aldbourne, United Kingdom","1949"
"Female","Adshead, Mary","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T07/T07229_8.jpg","The Cruise","http://www.tate.org.uk/art/artworks/adshead-the-cruise-t07229","0.0","1822.0","1420.0","1997","1930","1934","Purchased 1997","London, United Kingdom","1904","Hampstead, United Kingdom","1995"
"Male","Adzak, Roy","artist","Acrylic paint on brass","","Cut Bottle Relief","http://www.tate.org.uk/art/artworks/adzak-cut-bottle-relief-t00875","73.0","406.0","330.0","1966","1960","1966","Presented by Miss Iris Clert 1966","Reading, United Kingdom","1927","Paris, France","1987"
"Male","Afro","artist","Crayon, watercolour and gouache on paper","","The Struggle","http://www.tate.org.uk/art/artworks/afro-the-struggle-t00017","0.0","210.0","267.0","1955","1950","1951","Purchased 1955","Udine, Italia","1912","Zrich, Schweiz","1976"
"Female","Agar, Eileen","artist","Acrylic paint on canvas","http://www.tate.org.uk/art/images/work/T/T06/T06749_8.jpg","Figures in a Garden","http://www.tate.org.uk/art/artworks/agar-figures-in-a-garden-t06749","0.0","1530.0","1225.0","1993","1970","1979","Accepted by HM Government in lieu of tax and allocated to the Tate Gallery 1993","Ayacucho, Argentina","1899","London, United Kingdom","1991"
