Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , 1200,,<1000 ,<500 , 1400,,<1000 ,<500 , 1600,,<1000 ,<500 , 1900,,1100 ,<1000 , 2300,,1300 ,<1000 , 2700,,1500 ,<1000 , 3200,,1700 ,<1000 , 3700,,2000 ,1100 , 4400,,2200 ,1300 , 5300,,2500 ,1400 , 6200,,2800 ,1600 , 7400,,3100 ,1800 , 8700,,3500 ,2000 , 9600,,3800 ,2200 , 10 000,,4300 ,2400 , 11 000,,4700 ,2500 , 11 000,,5200 ,2700 , 12 000,,5600 ,2900 , 13 000,,6100 ,3100 , 15 000,,6700 ,3400 , 17 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication."
Algeria,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1100,,1000 ,<1000 , 1200,,1100 ,<1000 , 1300,,1200 ,<1000 , 1400,,1200 ,1000 , 1400,,1300 ,1100 , 1500,,1400 ,1100 , 1600,,1400 ,1200 , 1700,,1500 ,1200 , 1800,,1500 ,1200 , 1800,,1500 ,1200 , 1800,,1500 ,1200 , 1900,,1500 ,1200 , 1900,,1500 ,1200 , 2000,
Angola,1300 ,<500 , 3200,,1700 ,<1000 , 4100,,2300 ,<1000 , 5300,,3100 ,1400 , 6700,,4200 ,2000 , 8400,,5500 ,2800 , 10 000,,7200 ,3800 , 13 000,,9300 ,5300 , 16 000,,12 000 ,6800 , 19 000,,15 000 ,9100 , 24 000,,19 000 ,12 000 , 29 000,,23 000 ,15 000 , 35 000,,29 000 ,20 000 , 42 000,,35 000 ,25 000 , 49 000,,42 000 ,30 000 , 58 000,,50 000 ,37 000 , 68 000,,59 000 ,44 000 , 78 000,,69 000 ,52 000 , 90 000,,80 000 ,61 000 , 100 000,,91 000 ,71 000 , 120 000,,100 000 ,82 000 , 130 000,,120 000 ,93 000 , 150 000,,130 000 ,100 000 , 160 000,,150 000 ,120 000 , 180 000,,160 000 ,130 000 , 200 000,,180 000 ,140 000 , 210 000,,190 000 ,160 000 , 230 000,,210 000 ,170 000 , 250 000,,230 000 ,190 000 , 270 000,,250 000 ,200 000 , 290 000,,260 000 ,220 000 , 310 000,
Argentina,<500 ,<200 , <1000,,<1000 ,<500 , 1200,,1100 ,<1000 , 1800,,1800 ,1200 , 2600,,2700 ,1800 , 3600,,3800 ,2800 , 4900,,5200 ,4000 , 6400,,6900 ,5600 , 8200,,8800 ,7300 , 10 000,,10 000 ,8700 , 12 000,,11 000 ,9500 , 13 000,,12 000 ,10 000 , 14 000,,13 000 ,11 000 , 16 000,,14 000 ,12 000 , 17 000,,15 000 ,12 000 , 18 000,,16 000 ,13 000 , 20 000,,17 000 ,14 000 , 21 000,,19 000 ,15 000 , 24 000,,20 000 ,16 000 , 25 000,,21 000 ,16 000 , 27 000,,22 000 ,17 000 , 28 000,,23 000 ,17 000 , 30 000,,23 000 ,17 000 , 31 000,,23 000 ,17 000 , 31 000,,24 000 ,17 000 , 32 000,,24 000 ,17 000 , 33 000,,24 000 ,17 000 , 34 000,,25 000 ,16 000 , 35 000,,25 000 ,16 000 , 36 000,,25 000 ,16 000 , 37 000,,25 000 ,16 000 , 37 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , 1000,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1400,,1000 ,<1000 , 1600,,1100 ,<1000 , 1700,,1300 ,1100 , 1800,,1400 ,1200 , 1900,,1500 ,1200 , 2000,,1500 ,1300 , 2100,,1500 ,1300 , 2100,,1500 ,1200 , 2100,
Australia,<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1300 ,1100 , 1700,"Children estimates were not available at the time of publication.",1700 ,1400 , 2100,"Children estimates were not available at the time of publication.",2200 ,1700 , 2700,"Children estimates were not available at the time of publication.",2600 ,2100 , 3200,"Children estimates were not available at the time of publication.",3100 ,2500 , 3800,"Children estimates were not available at the time of publication.",3400 ,2700 , 4100,"Children estimates were not available at the time of publication.",3400 ,2700 , 4200,"Children estimates were not available at the time of publication.",3300 ,2600 , 4200,"Children estimates were not available at the time of publication.",3200 ,2400 , 4100,"Children estimates were not available at the time of publication.",3000 ,2200 , 4100,"Children estimates were not available at the time of publication.",2900 ,2000 , 4100,"Children estimates were not available at the time of publication.",2900 ,1900 , 4300,"Children estimates were not available at the time of publication.",3100 ,1900 , 4800,"Children estimates were not available at the time of publication.",3400 ,1900 , 5300,"Children estimates were not available at the time of publication.",3600 ,1900 , 5800,"Children estimates were not available at the time of publication.",3700 ,1800 , 6000,"Children estimates were not available at the time of publication.",3700 ,1700 , 6200,"Children estimates were not available at the time of publication.",3900 ,1700 , 6500,"Children estimates were not available at the time of publication.",4200 ,1700 , 6900,"Children estimates were not available at the time of publication.",4200 ,1600 , 7000,"Children estimates were not available at the time of publication.",4000 ,1500 , 6800,"Children estimates were not available at the time of publication.",3700 ,1400 , 6500,"Children estimates were not available at the time of publication.",3300 ,1300 , 5900,"Children estimates were not available at the time of publication.",3000 ,1200 , 5200,"Children estimates were not available at the time of publication.",2600 ,1100 , 4600,"Children estimates were not available at the time of publication.",2300 ,<1000 , 4000,"Children estimates were not available at the time of publication.",2000 ,<1000 , 3400,"Children estimates were not available at the time of publication.",1700 ,<1000 , 2900,"Children estimates were not available at the time of publication.",1400 ,<1000 , 2500,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , 1100,,<1000 ,<500 , 1600,,<1000 ,<500 , 2000,,1000 ,<500 , 2300,,1200 ,<1000 , 2700,,1500 ,<1000 , 3000,,1700 ,<1000 , 3400,,1900 ,1000 , 3700,,2100 ,1200 , 3900,,2300 ,1300 , 4100,,2400 ,1500 , 4300,,2500 ,1600 , 4500,,2600 ,1700 , 4600,,2700 ,1800 , 4700,,2800 ,1800 , 5100,,2800 ,1800 , 5300,,2800 ,1800 , 5400,,2700 ,1700 , 5500,,2600 ,1600 , 5400,
Bahamas,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Bahrain,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bangladesh,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
