Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , 1000,,<500 ,<500 , 1200,,<1000 ,<500 , 1200,,<1000 ,<500 , 1400,,<1000 ,<500 , 1600,,<1000 ,<500 , 1800,,<1000 ,<500 , 2100,,<1000 ,<500 , 2500,,<1000 ,<500 , 2900,,<1000 ,<500 , 3500,,1100 ,<500 , 3900,,1100 ,<500 , 4300,,1200 ,<500 , 4500,,1300 ,<500 , 5100,,1400 ,<500 , 5700,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication."
Algeria,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,1200 ,1100 , 1400,,1500 ,1300 , 1600,,1500 ,1400 , 1600,,1500 ,1300 , 1600,,1400 ,1300 , 1600,,1400 ,1300 , 1500,,1400 ,1200 , 1500,
Angola,2600 ,1600 , 4000,,3300 ,2200 , 4900,,4100 ,2800 , 6000,,5000 ,3600 , 7000,,6000 ,4400 , 8100,,7100 ,5200 , 9200,,8300 ,6300 , 11 000,,9800 ,7600 , 12 000,,11 000 ,8800 , 14 000,,13 000 ,10 000 , 15 000,,14 000 ,11 000 , 17 000,,15 000 ,12 000 , 18 000,,16 000 ,13 000 , 19 000,,18 000 ,15 000 , 21 000,,19 000 ,16 000 , 23 000,,20 000 ,16 000 , 23 000,,20 000 ,17 000 , 24 000,,20 000 ,17 000 , 24 000,,21 000 ,17 000 , 24 000,,21 000 ,17 000 , 24 000,,20 000 ,16 000 , 24 000,,20 000 ,16 000 , 24 000,,20 000 ,16 000 , 24 000,,19 000 ,15 000 , 24 000,,18 000 ,14 000 , 23 000,,18 000 ,14 000 , 22 000,,17 000 ,13 000 , 21 000,,17 000 ,13 000 , 21 000,,16 000 ,13 000 , 21 000,,16 000 ,12 000 , 20 000,,16 000 ,12 000 , 20 000,
Argentina,4100 ,3600 , 4900,,4900 ,4300 , 5800,,5400 ,4800 , 6400,,5700 ,5100 , 6400,,5800 ,5400 , 6400,,5800 ,5500 , 6200,,5700 ,5400 , 6100,,5700 ,5300 , 6000,,5600 ,5200 , 5900,,5300 ,4900 , 5600,,5200 ,4900 , 5400,,5100 ,4900 , 5400,,5100 ,4900 , 5400,,5100 ,4900 , 5400,,5200 ,5000 , 5400,,5200 ,5000 , 5400,,5400 ,5200 , 5600,,5500 ,5200 , 5700,,5500 ,5200 , 5700,,5500 ,5200 , 5700,,5500 ,5200 , 5800,,5500 ,5100 , 5800,,5500 ,5100 , 5800,,5500 ,5100 , 5900,,5500 ,5000 , 5900,,5500 ,5000 , 5900,,5400 ,4900 , 5900,,5400 ,4800 , 5900,,5400 ,4700 , 5900,,5300 ,4600 , 5900,,5000 ,4300 , 5700,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <500,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,
Australia,1200 ,1000 , 1400,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1300,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<100 , 1500,,<1000 ,<200 , 2100,,<1000 ,<200 , 2200,,<1000 ,<500 , 2100,,1100 ,<500 , 1900,,1000 ,<500 , 1800,,1000 ,<1000 , 1600,,<1000 ,<1000 , 1600,,<1000 ,<500 , 1600,,<1000 ,<1000 , 1700,,<1000 ,<1000 , 1600,,<1000 ,<500 , 1300,,<1000 ,<500 , 1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<200 , <1000,
Bahamas,<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication."
