Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<1000 ,<500 , 1000,,<1000 ,<500 , 1300,,<1000 ,<500 , 1500,,<1000 ,<500 , 1800,,<1000 ,<500 , 2000,,1100 ,<1000 , 2400,,1300 ,<1000 , 2900,,1400 ,<1000 , 3400,,1700 ,<1000 , 3900,,1900 ,1100 , 4600,,2200 ,1200 , 5400,,2400 ,1300 , 6600,,2700 ,1400 , 6900,,3000 ,1600 , 7400,,3300 ,1700 , 7800,,3600 ,1800 , 8200,,3900 ,2000 , 9100,,4300 ,2100 , 10 000,,4800 ,2300 , 11 000,,5300 ,2600 , 13 000,,5900 ,2900 , 15 000,,6600 ,3100 , 17 000,,7200 ,3400 , 20 000,,7900 ,3700 , 23 000,,8700 ,3900 , 27 000,,9500 ,4100 , 32 000,,10 000 ,4300 , 37 000,,11 000 ,4500 , 41 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1200 ,<1000 , 1300,"Children estimates were not available at the time of publication.",1200 ,1000 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1100 , 1600,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication."
Algeria,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,1000 ,<1000 , 1200,,1200 ,1100 , 1300,,1400 ,1200 , 1600,,1600 ,1400 , 1800,,1900 ,1700 , 2100,,2100 ,1900 , 2400,,2400 ,2200 , 2700,,2700 ,2500 , 3000,,3100 ,2800 , 3400,,3400 ,3100 , 3700,,3800 ,3500 , 4100,,4200 ,3800 , 4500,,4600 ,4300 , 5000,,5100 ,4700 , 5400,,5600 ,5100 , 6000,,6300 ,5700 , 6800,,7000 ,6400 , 7600,,8000 ,7300 , 8600,,9100 ,8300 , 9900,,11 000 ,9600 , 11 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 15 000,,15 000 ,14 000 , 16 000,,16 000 ,15 000 , 17 000,,17 000 ,16 000 , 19 000,
Angola,11 000 ,5700 , 20 000,,14 000 ,7700 , 24 000,,18 000 ,11 000 , 29 000,,22 000 ,14 000 , 35 000,,28 000 ,18 000 , 42 000,,34 000 ,23 000 , 50 000,,42 000 ,29 000 , 59 000,,50 000 ,36 000 , 69 000,,60 000 ,44 000 , 80 000,,70 000 ,53 000 , 93 000,,82 000 ,63 000 , 110 000,,94 000 ,74 000 , 120 000,,110 000 ,86 000 , 130 000,,120 000 ,98 000 , 150 000,,130 000 ,110 000 , 160 000,,150 000 ,120 000 , 180 000,,160 000 ,130 000 , 200 000,,180 000 ,140 000 , 210 000,,190 000 ,160 000 , 230 000,,200 000 ,170 000 , 240 000,,220 000 ,180 000 , 260 000,,230 000 ,190 000 , 270 000,,240 000 ,200 000 , 280 000,,250 000 ,210 000 , 290 000,,260 000 ,210 000 , 300 000,,270 000 ,220 000 , 310 000,,280 000 ,230 000 , 320 000,,280 000 ,240 000 , 330 000,,290 000 ,240 000 , 340 000,,290 000 ,250 000 , 340 000,,300 000 ,250 000 , 350 000,
Argentina,13 000 ,10 000 , 15 000,,18 000 ,14 000 , 21 000,,23 000 ,20 000 , 27 000,,28 000 ,25 000 , 32 000,,33 000 ,29 000 , 38 000,,38 000 ,34 000 , 43 000,,42 000 ,38 000 , 48 000,,46 000 ,41 000 , 52 000,,50 000 ,44 000 , 55 000,,54 000 ,48 000 , 59 000,,58 000 ,52 000 , 63 000,,62 000 ,56 000 , 68 000,,66 000 ,59 000 , 72 000,,70 000 ,63 000 , 76 000,,74 000 ,67 000 , 80 000,,78 000 ,71 000 , 84 000,,82 000 ,75 000 , 88 000,,86 000 ,79 000 , 92 000,,90 000 ,82 000 , 97 000,,94 000 ,86 000 , 100 000,,99 000 ,90 000 , 110 000,,100 000 ,93 000 , 110 000,,110 000 ,97 000 , 110 000,,110 000 ,100 000 , 120 000,,120 000 ,110 000 , 120 000,,120 000 ,110 000 , 130 000,,120 000 ,110 000 , 130 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 150 000,,140 000 ,120 000 , 150 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<200 , 1200,,<500 ,<500 , 1700,,<1000 ,<500 , 2200,,1100 ,<1000 , 2500,,1500 ,<1000 , 2900,,1900 ,1200 , 3300,,2400 ,1700 , 3800,,2800 ,2100 , 4300,,3200 ,2500 , 4500,,3500 ,2800 , 4600,,3700 ,3000 , 4800,,3800 ,3200 , 4800,,3800 ,3200 , 4800,,3800 ,3300 , 4800,,3800 ,3300 , 4700,,3800 ,3300 , 4700,,3900 ,3400 , 4600,,3900 ,3400 , 4500,,3900 ,3500 , 4600,,4000 ,3600 , 4700,,4100 ,3700 , 4800,,4300 ,3800 , 5000,,4500 ,4000 , 5200,,4700 ,4200 , 5500,
Australia,9800 ,7800 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,8400 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,8800 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9100 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,9200 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,9300 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,9300 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,9700 , 14 000,"Children estimates were not available at the time of publication.",13 000 ,10 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication.",14 000 ,11 000 , 16 000,"Children estimates were not available at the time of publication.",14 000 ,12 000 , 17 000,"Children estimates were not available at the time of publication.",15 000 ,12 000 , 17 000,"Children estimates were not available at the time of publication.",16 000 ,13 000 , 18 000,"Children estimates were not available at the time of publication.",16 000 ,13 000 , 18 000,"Children estimates were not available at the time of publication.",17 000 ,14 000 , 19 000,"Children estimates were not available at the time of publication.",17 000 ,14 000 , 20 000,"Children estimates were not available at the time of publication.",18 000 ,15 000 , 20 000,"Children estimates were not available at the time of publication.",19 000 ,16 000 , 21 000,"Children estimates were not available at the time of publication.",20 000 ,16 000 , 22 000,"Children estimates were not available at the time of publication.",21 000 ,17 000 , 23 000,"Children estimates were not available at the time of publication.",22 000 ,18 000 , 24 000,"Children estimates were not available at the time of publication.",23 000 ,19 000 , 25 000,"Children estimates were not available at the time of publication.",24 000 ,19 000 , 27 000,"Children estimates were not available at the time of publication.",25 000 ,20 000 , 28 000,"Children estimates were not available at the time of publication.",26 000 ,21 000 , 29 000,"Children estimates were not available at the time of publication.",26 000 ,22 000 , 30 000,"Children estimates were not available at the time of publication.",27 000 ,22 000 , 31 000,"Children estimates were not available at the time of publication.",28 000 ,23 000 , 32 000,"Children estimates were not available at the time of publication.",29 000 ,23 000 , 33 000,"Children estimates were not available at the time of publication.",30 000 ,24 000 , 33 000,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<200 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<100 , 1000,,<500 ,<200 , 1400,,<1000 ,<200 , 2000,,1100 ,<500 , 3100,,1600 ,<500 , 5000,,2300 ,<1000 , 6800,,3100 ,<1000 , 8200,,4000 ,1200 , 9100,,4900 ,1700 , 9100,,5700 ,2500 , 9900,,6400 ,3100 , 11 000,,6900 ,3800 , 10 000,,7400 ,4500 , 11 000,,7700 ,5200 , 11 000,,8000 ,5600 , 12 000,,8200 ,5800 , 12 000,,8300 ,6000 , 12 000,,8400 ,6100 , 12 000,,8500 ,6300 , 12 000,,8600 ,6400 , 12 000,,8800 ,6600 , 12 000,,8900 ,6800 , 12 000,,9000 ,6900 , 13 000,,9100 ,7000 , 12 000,,9300 ,6900 , 12 000,,9400 ,7100 , 12 000,,9600 ,7400 , 13 000,,9800 ,7500 , 13 000,
Bahamas,2000 ,1800 , 2300,"Children estimates were not available at the time of publication.",2400 ,2100 , 2700,"Children estimates were not available at the time of publication.",2700 ,2400 , 3000,"Children estimates were not available at the time of publication.",2900 ,2500 , 3400,"Children estimates were not available at the time of publication.",3100 ,2700 , 3600,"Children estimates were not available at the time of publication.",3300 ,2800 , 3800,"Children estimates were not available at the time of publication.",3400 ,2900 , 4000,"Children estimates were not available at the time of publication.",3500 ,2900 , 4100,"Children estimates were not available at the time of publication.",3500 ,2900 , 4200,"Children estimates were not available at the time of publication.",3500 ,2900 , 4300,"Children estimates were not available at the time of publication.",3500 ,2900 , 4300,"Children estimates were not available at the time of publication.",3500 ,2900 , 4300,"Children estimates were not available at the time of publication.",3500 ,2900 , 4300,"Children estimates were not available at the time of publication.",3500 ,2900 , 4300,"Children estimates were not available at the time of publication.",3700 ,3000 , 4400,"Children estimates were not available at the time of publication.",3800 ,3200 , 4500,"Children estimates were not available at the time of publication.",3900 ,3300 , 4600,"Children estimates were not available at the time of publication.",4000 ,3400 , 4700,"Children estimates were not available at the time of publication.",4200 ,3600 , 4900,"Children estimates were not available at the time of publication.",4300 ,3700 , 5000,"Children estimates were not available at the time of publication.",4400 ,3800 , 5100,"Children estimates were not available at the time of publication.",4500 ,4000 , 5200,"Children estimates were not available at the time of publication.",4600 ,4000 , 5200,"Children estimates were not available at the time of publication.",4600 ,4000 , 5200,"Children estimates were not available at the time of publication.",4600 ,4000 , 5200,"Children estimates were not available at the time of publication.",4600 ,4000 , 5200,"Children estimates were not available at the time of publication.",4600 ,4000 , 5200,"Children estimates were not available at the time of publication.",4600 ,4000 , 5100,"Children estimates were not available at the time of publication.",4600 ,4000 , 5200,"Children estimates were not available at the time of publication.",4600 ,4000 , 5200,"Children estimates were not available at the time of publication.",4600 ,4100 , 5200,"Children estimates were not available at the time of publication."
