Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , 1100,,<1000 ,<500 , 1300,,<1000 ,<500 , 1500,,<1000 ,<500 , 1900,,<1000 ,<500 , 2000,,<1000 ,<500 , 2200,,<1000 ,<500 , 2300,,1000 ,<1000 , 2300,,1100 ,<1000 , 2500,,1200 ,<1000 , 2800,,1400 ,<1000 , 3300,,1500 ,<1000 , 3900,,1700 ,<1000 , 4300,,1900 ,<1000 , 4900,,2100 ,<1000 , 5600,,2300 ,1000 , 6600,,2500 ,1100 , 7600,,2800 ,1200 , 8700,,3000 ,1200 , 10 000,,3300 ,1300 , 11 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication."
Algeria,<200 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,1100 ,<1000 , 1200,,1200 ,1100 , 1300,,1300 ,1200 , 1500,,1500 ,1400 , 1700,,1600 ,1500 , 1800,,1800 ,1700 , 2000,,2000 ,1900 , 2200,,2200 ,2000 , 2400,,2500 ,2300 , 2600,,2800 ,2600 , 3000,,3100 ,2900 , 3400,,3600 ,3300 , 3900,,4100 ,3800 , 4400,,4700 ,4400 , 5200,,5400 ,5000 , 5900,,6100 ,5600 , 6600,,6700 ,6200 , 7200,,7300 ,6800 , 7900,,8000 ,7300 , 8600,
Angola,6100 ,3200 , 11 000,,7900 ,4400 , 13 000,,10 000 ,6100 , 17 000,,13 000 ,8400 , 20 000,,16 000 ,11 000 , 24 000,,20 000 ,14 000 , 29 000,,25 000 ,18 000 , 35 000,,30 000 ,22 000 , 41 000,,36 000 ,27 000 , 48 000,,42 000 ,32 000 , 55 000,,50 000 ,38 000 , 63 000,,57 000 ,45 000 , 71 000,,65 000 ,51 000 , 80 000,,73 000 ,59 000 , 90 000,,82 000 ,66 000 , 99 000,,91 000 ,74 000 , 110 000,,99 000 ,81 000 , 120 000,,110 000 ,89 000 , 130 000,,120 000 ,96 000 , 140 000,,130 000 ,100 000 , 150 000,,130 000 ,110 000 , 150 000,,140 000 ,120 000 , 160 000,,150 000 ,120 000 , 170 000,,150 000 ,130 000 , 180 000,,160 000 ,140 000 , 190 000,,170 000 ,140 000 , 200 000,,180 000 ,150 000 , 200 000,,180 000 ,150 000 , 210 000,,190 000 ,160 000 , 220 000,,190 000 ,160 000 , 220 000,,190 000 ,160 000 , 230 000,
Argentina,3700 ,3000 , 4300,,5100 ,4400 , 5800,,6600 ,5800 , 7400,,8200 ,7300 , 9200,,9700 ,8800 , 11 000,,11 000 ,10 000 , 12 000,,12 000 ,11 000 , 14 000,,14 000 ,12 000 , 15 000,,15 000 ,14 000 , 16 000,,16 000 ,15 000 , 17 000,,17 000 ,16 000 , 18 000,,18 000 ,17 000 , 20 000,,20 000 ,18 000 , 21 000,,21 000 ,19 000 , 23 000,,22 000 ,21 000 , 24 000,,23 000 ,22 000 , 25 000,,25 000 ,23 000 , 26 000,,26 000 ,24 000 , 28 000,,27 000 ,25 000 , 29 000,,28 000 ,27 000 , 30 000,,30 000 ,28 000 , 32 000,,31 000 ,29 000 , 33 000,,32 000 ,30 000 , 35 000,,34 000 ,31 000 , 36 000,,35 000 ,32 000 , 38 000,,36 000 ,34 000 , 39 000,,38 000 ,35 000 , 40 000,,39 000 ,36 000 , 42 000,,40 000 ,37 000 , 43 000,,41 000 ,38 000 , 45 000,,43 000 ,39 000 , 46 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <500,,<100 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1400,,1100 ,<1000 , 1500,,1200 ,<1000 , 1600,,1300 ,1000 , 1600,,1300 ,1100 , 1600,,1400 ,1100 , 1700,,1400 ,1100 , 1600,,1400 ,1100 , 1600,,1300 ,1100 , 1600,,1400 ,1100 , 1600,,1400 ,1200 , 1600,,1400 ,1200 , 1600,,1400 ,1200 , 1600,,1500 ,1300 , 1700,,1500 ,1300 , 1800,,1600 ,1400 , 1800,,1700 ,1500 , 1900,
Australia,<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1300,"Children estimates were not available at the time of publication.",1200 ,<1000 , 1300,"Children estimates were not available at the time of publication.",1200 ,<1000 , 1400,"Children estimates were not available at the time of publication.",1200 ,1000 , 1400,"Children estimates were not available at the time of publication.",1200 ,1000 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1300 ,1100 , 1600,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1200 , 1700,"Children estimates were not available at the time of publication.",1600 ,1300 , 1800,"Children estimates were not available at the time of publication.",1600 ,1400 , 1900,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1800 ,1500 , 2100,"Children estimates were not available at the time of publication.",1900 ,1600 , 2200,"Children estimates were not available at the time of publication.",2000 ,1700 , 2300,"Children estimates were not available at the time of publication.",2100 ,1800 , 2400,"Children estimates were not available at the time of publication.",2300 ,1900 , 2600,"Children estimates were not available at the time of publication.",2400 ,2100 , 2800,"Children estimates were not available at the time of publication.",2600 ,2200 , 2900,"Children estimates were not available at the time of publication.",2700 ,2400 , 3100,"Children estimates were not available at the time of publication.",2900 ,2500 , 3300,"Children estimates were not available at the time of publication.",3100 ,2600 , 3500,"Children estimates were not available at the time of publication.",3200 ,2800 , 3700,"Children estimates were not available at the time of publication.",3400 ,2900 , 3800,"Children estimates were not available at the time of publication.",3600 ,3100 , 4000,"Children estimates were not available at the time of publication.",3700 ,3200 , 4200,"Children estimates were not available at the time of publication.",3800 ,3300 , 4300,"Children estimates were not available at the time of publication.",4000 ,3400 , 4500,"Children estimates were not available at the time of publication.",4100 ,3500 , 4600,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<100 , 1000,,<1000 ,<200 , 1700,,<1000 ,<200 , 2400,,1100 ,<500 , 2900,,1500 ,<500 , 3200,,1800 ,<1000 , 3300,,2100 ,<1000 , 3500,,2400 ,1100 , 3800,,2600 ,1300 , 3800,,2800 ,1500 , 3900,,2900 ,1800 , 4100,,3000 ,2000 , 4200,,3100 ,2100 , 4400,,3200 ,2100 , 4400,,3200 ,2200 , 4300,,3200 ,2200 , 4300,,3300 ,2300 , 4400,,3300 ,2300 , 4400,,3300 ,2400 , 4300,,3300 ,2400 , 4300,,3400 ,2500 , 4300,,3400 ,2500 , 4400,,3500 ,2500 , 4300,,3600 ,2600 , 4400,,3600 ,2600 , 4400,
Bahamas,<1000 ,<1000 , 1000,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1200 ,1100 , 1400,"Children estimates were not available at the time of publication.",1400 ,1200 , 1500,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1600 ,1400 , 1900,"Children estimates were not available at the time of publication.",1600 ,1400 , 1900,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1800 ,1500 , 2100,"Children estimates were not available at the time of publication.",1800 ,1500 , 2200,"Children estimates were not available at the time of publication.",1900 ,1600 , 2200,"Children estimates were not available at the time of publication.",2000 ,1700 , 2300,"Children estimates were not available at the time of publication.",2000 ,1800 , 2400,"Children estimates were not available at the time of publication.",2100 ,1800 , 2500,"Children estimates were not available at the time of publication.",2200 ,1900 , 2500,"Children estimates were not available at the time of publication.",2200 ,1900 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2500,"Children estimates were not available at the time of publication."
