Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<500 ,<100 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1300,,<1000 ,<500 , 1500,,<1000 ,<500 , 1800,,<1000 ,<500 , 2100,,1000 ,<1000 , 2500,,1200 ,<1000 , 2900,,1400 ,<1000 , 3300,,1600 ,<1000 , 3900,,1800 ,<1000 , 4700,,2000 ,1000 , 4900,,2100 ,1100 , 5300,,2300 ,1200 , 5600,,2500 ,1300 , 6000,,2800 ,1400 , 6500,,3100 ,1500 , 7300,,3400 ,1700 , 8300,,3800 ,1800 , 9500,,4200 ,2000 , 11 000,,4700 ,2200 , 13 000,,5200 ,2400 , 15 000,,5700 ,2600 , 17 000,,6200 ,2800 , 20 000,,6800 ,2900 , 23 000,,7400 ,3100 , 26 000,,8000 ,3200 , 30 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1200,"Children estimates were not available at the time of publication."
Algeria,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,1000 ,<1000 , 1200,,1200 ,1100 , 1400,,1400 ,1200 , 1500,,1500 ,1400 , 1700,,1700 ,1500 , 1900,,1900 ,1700 , 2100,,2100 ,1900 , 2300,,2300 ,2100 , 2600,,2600 ,2300 , 2900,,2900 ,2600 , 3100,,3200 ,2800 , 3500,,3500 ,3100 , 3900,,3900 ,3400 , 4300,,4400 ,3900 , 4900,,5000 ,4400 , 5600,,5800 ,5100 , 6500,,6600 ,5900 , 7400,,7300 ,6500 , 8200,,8100 ,7200 , 9100,,8800 ,7800 , 9800,,9500 ,8500 , 11 000,
Angola,4600 ,2500 , 8800,,5900 ,3300 , 10 000,,7400 ,4500 , 12 000,,9300 ,5600 , 15 000,,11 000 ,7300 , 17 000,,14 000 ,9500 , 21 000,,17 000 ,12 000 , 24 000,,20 000 ,15 000 , 29 000,,24 000 ,18 000 , 33 000,,28 000 ,21 000 , 38 000,,33 000 ,25 000 , 43 000,,37 000 ,29 000 , 49 000,,42 000 ,34 000 , 55 000,,47 000 ,38 000 , 60 000,,53 000 ,43 000 , 66 000,,58 000 ,47 000 , 73 000,,63 000 ,51 000 , 78 000,,69 000 ,56 000 , 84 000,,74 000 ,60 000 , 89 000,,79 000 ,65 000 , 94 000,,84 000 ,68 000 , 100 000,,88 000 ,72 000 , 110 000,,91 000 ,76 000 , 110 000,,95 000 ,78 000 , 110 000,,97 000 ,81 000 , 120 000,,99 000 ,83 000 , 120 000,,100 000 ,85 000 , 120 000,,100 000 ,86 000 , 120 000,,100 000 ,87 000 , 120 000,,100 000 ,88 000 , 120 000,,100 000 ,87 000 , 130 000,
Argentina,9100 ,7000 , 11 000,,13 000 ,10 000 , 15 000,,16 000 ,14 000 , 19 000,,20 000 ,17 000 , 24 000,,24 000 ,20 000 , 28 000,,27 000 ,23 000 , 31 000,,30 000 ,26 000 , 35 000,,33 000 ,28 000 , 37 000,,35 000 ,30 000 , 40 000,,38 000 ,33 000 , 43 000,,41 000 ,35 000 , 46 000,,44 000 ,38 000 , 49 000,,47 000 ,41 000 , 52 000,,50 000 ,43 000 , 55 000,,52 000 ,46 000 , 58 000,,55 000 ,48 000 , 61 000,,58 000 ,51 000 , 63 000,,60 000 ,53 000 , 66 000,,63 000 ,56 000 , 69 000,,66 000 ,58 000 , 72 000,,69 000 ,61 000 , 75 000,,72 000 ,64 000 , 78 000,,75 000 ,66 000 , 82 000,,77 000 ,69 000 , 85 000,,80 000 ,71 000 , 88 000,,83 000 ,74 000 , 91 000,,86 000 ,76 000 , 95 000,,88 000 ,79 000 , 98 000,,91 000 ,81 000 , 100 000,,93 000 ,83 000 , 100 000,,96 000 ,85 000 , 110 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<200 , 1100,,<1000 ,<500 , 1500,,<1000 ,<500 , 1700,,<1000 ,<1000 , 2000,,1300 ,<1000 , 2200,,1600 ,1100 , 2600,,1900 ,1400 , 2800,,2100 ,1600 , 2900,,2300 ,1900 , 3100,,2400 ,2000 , 3200,,2400 ,2100 , 3200,,2500 ,2100 , 3200,,2500 ,2200 , 3100,,2500 ,2200 , 3100,,2500 ,2200 , 3100,,2500 ,2200 , 3000,,2500 ,2300 , 3000,,2500 ,2300 , 3000,,2600 ,2400 , 3000,,2700 ,2400 , 3100,,2800 ,2500 , 3200,,2900 ,2600 , 3400,,3000 ,2700 , 3600,
Australia,8900 ,7000 , 11 000,"Children estimates were not available at the time of publication.",9500 ,7500 , 12 000,"Children estimates were not available at the time of publication.",10 000 ,7900 , 12 000,"Children estimates were not available at the time of publication.",10 000 ,8200 , 12 000,"Children estimates were not available at the time of publication.",10 000 ,8300 , 13 000,"Children estimates were not available at the time of publication.",10 000 ,8200 , 13 000,"Children estimates were not available at the time of publication.",10 000 ,8300 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,8600 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9000 , 13 000,"Children estimates were not available at the time of publication.",12 000 ,9400 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,9800 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,10 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 16 000,"Children estimates were not available at the time of publication.",14 000 ,11 000 , 16 000,"Children estimates were not available at the time of publication.",14 000 ,12 000 , 16 000,"Children estimates were not available at the time of publication.",15 000 ,12 000 , 17 000,"Children estimates were not available at the time of publication.",15 000 ,12 000 , 17 000,"Children estimates were not available at the time of publication.",16 000 ,13 000 , 18 000,"Children estimates were not available at the time of publication.",17 000 ,14 000 , 19 000,"Children estimates were not available at the time of publication.",17 000 ,14 000 , 20 000,"Children estimates were not available at the time of publication.",18 000 ,15 000 , 21 000,"Children estimates were not available at the time of publication.",19 000 ,15 000 , 21 000,"Children estimates were not available at the time of publication.",20 000 ,16 000 , 22 000,"Children estimates were not available at the time of publication.",20 000 ,17 000 , 23 000,"Children estimates were not available at the time of publication.",21 000 ,17 000 , 24 000,"Children estimates were not available at the time of publication.",22 000 ,18 000 , 25 000,"Children estimates were not available at the time of publication.",23 000 ,19 000 , 26 000,"Children estimates were not available at the time of publication.",24 000 ,19 000 , 27 000,"Children estimates were not available at the time of publication.",24 000 ,20 000 , 28 000,"Children estimates were not available at the time of publication.",25 000 ,20 000 , 29 000,"Children estimates were not available at the time of publication.",25 000 ,20 000 , 29 000,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<200 , 1300,,<1000 ,<200 , 2100,,1000 ,<500 , 3200,,1500 ,<500 , 4400,,2000 ,<1000 , 5300,,2600 ,<1000 , 5800,,3100 ,1100 , 5900,,3600 ,1700 , 6400,,4000 ,2000 , 6600,,4300 ,2500 , 6600,,4600 ,3000 , 7100,,4800 ,3400 , 7400,,5000 ,3600 , 7600,,5100 ,3700 , 7700,,5100 ,3900 , 7800,,5200 ,4000 , 7700,,5300 ,4000 , 7800,,5400 ,4200 , 8000,,5500 ,4200 , 8000,,5600 ,4300 , 8000,,5700 ,4400 , 8100,,5800 ,4500 , 8100,,5900 ,4500 , 8000,,6000 ,4700 , 8100,,6100 ,4800 , 8200,,6200 ,4900 , 8400,
Bahamas,1100 ,<1000 , 1300,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1700,"Children estimates were not available at the time of publication.",1600 ,1300 , 1800,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1800 ,1500 , 2100,"Children estimates were not available at the time of publication.",1800 ,1500 , 2100,"Children estimates were not available at the time of publication.",1800 ,1500 , 2200,"Children estimates were not available at the time of publication.",1900 ,1500 , 2200,"Children estimates were not available at the time of publication.",1900 ,1500 , 2300,"Children estimates were not available at the time of publication.",1800 ,1500 , 2300,"Children estimates were not available at the time of publication.",1800 ,1500 , 2300,"Children estimates were not available at the time of publication.",1800 ,1500 , 2300,"Children estimates were not available at the time of publication.",1800 ,1500 , 2300,"Children estimates were not available at the time of publication.",1900 ,1500 , 2400,"Children estimates were not available at the time of publication.",2000 ,1600 , 2400,"Children estimates were not available at the time of publication.",2000 ,1700 , 2400,"Children estimates were not available at the time of publication.",2100 ,1700 , 2500,"Children estimates were not available at the time of publication.",2100 ,1800 , 2500,"Children estimates were not available at the time of publication.",2200 ,1900 , 2600,"Children estimates were not available at the time of publication.",2200 ,1900 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2700,"Children estimates were not available at the time of publication.",2300 ,2000 , 2700,"Children estimates were not available at the time of publication.",2300 ,2000 , 2700,"Children estimates were not available at the time of publication.",2300 ,2000 , 2700,"Children estimates were not available at the time of publication.",2300 ,2000 , 2700,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2600,"Children estimates were not available at the time of publication.",2300 ,2000 , 2700,"Children estimates were not available at the time of publication."
