number,nationwide_number,name,sex,year_of_birth,nationality,Military,selection,year_of_selection,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,eva_hrs_mission,total_eva_hrs
1,1,"Gagarin, Yuri",male,1934,U.S.S.R/Russia,TRUE,TsPK-1,1960,1,pilot,1961,Vostok 1,Vostok 1,Vostok 2,Vostok 3,1.77,1.77,0,0
2,2,"Titov, Gherman",male,1935,U.S.S.R/Russia,TRUE,TsPK-1,1960,1,pilot,1961,Vostok 2,Vostok 2,Vostok 2,Vostok 2,25,25.3,0,0
3,1,"Glenn, John H., Jr.",male,1921,U.S.,TRUE,NASA Astronaut Group 1,1959,2,pilot,1962,MA-6,MA-6,MA-6,MA-6,5,218,0,0
3,1,"Glenn, John H., Jr.",male,1921,U.S.,TRUE,NASA Astronaut Group 2,1959,2,PSP,1998,STS-95,STS-95,STS-95,STS-95,213,218,0,0
4,2,"Carpenter, M. Scott",male,1925,U.S.,TRUE,NASA- 1,1959,1,Pilot,1962,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,5,5,0,0
5,2,"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,TRUE,TsPK-1,1960,2,pilot,1962,Vostok 3,Vostok 3,Vostok 3,Vostok 3,94,519.33,0,0
5,2,"Nikolayev, Andriyan",male,1929,U.S.S.R/Russia,TRUE,TsPK-2,1960,2,pilot,1970,Soyuz 9,Soyuz 9,Soyuz 9,Soyuz 9,424,519.33,0,0
6,4,"Popovich, Pavel",male,1930,U.S.S.R/Russia,TRUE,TsPK-1,1960,2,pilot,1962,Vostok 4,Vostok 4,Vostok 4,Vostok 4,70.93,448.45,0,0
6,4,"Popovich, Pavel",male,1930,U.S.S.R/Russia,TRUE,TsPK-2,1960,2,commander,1974,Soyuz 14,Soyuz 14,Soyuz 14,Soyuz 14,377,448.45,0,0
7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,TRUE,1959 NASA group 1,1959,3,pilot,1962,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,9.22,295.2,0,0
7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,TRUE,1960 NASA group 1,1959,3,commander,1965,Gemini 6A,Gemini 6A,Gemini 6A,Gemini 6A,25.87,295.2,0,0
7,3,"Schirra, Walter M., Jr.",male,1923,U.S.,TRUE,1961 NASA group 1,1959,3,commander,1968,Apollo 7,Apollo 7,Apollo 7,Apollo 7,260.13,295.2,0,0
8,4,"Cooper, L. Gordon, Jr.",male,1927,U.S.,TRUE,NASA- 1,1959,2,pilot,1963,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,34.32,225,0,0
8,4,"Cooper, L. Gordon, Jr.",male,1927,U.S.,TRUE,NASA- 1,1959,2,commander,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191.92,225,0,0
9,5,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,TRUE,TsPK-1,1960,3,pilot,1963,Vostok 5,Vostok 5,Vostok 5,Vostok 5,119.13,497.8,0,0
9,5,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,TRUE,TsPK-2,1960,3,commander,1976,Soyuz 22,Soyuz 22,Soyuz 22,Soyuz 22,189,497.8,0,0
9,5,"Bykovsky, Valery",male,1934,U.S.S.R/Russia,TRUE,TsPK-3,1960,3,commander,1978,Soyuz 31/29,Soyuz 31,Salyut 6,Soyuz 29,188,497.8,0,0
10,6,"Tereshkova, Valentina",female,1937,U.S.S.R/Russia,TRUE,VVS Women,1962,1,pilot,1963,Vostok 6,Vostok 6,Vostok 6,Vostok 6,70.83,70.83,0,0
11,7,"Komarov, Vladimir",male,1927,U.S.S.R/Russia,TRUE,TsPK-1,1960,2,commander,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,51.07,0,0
11,7,"Komarov, Vladimir",male,1927,U.S.S.R/Russia,TRUE,TsPK-2,1960,2,commander,1967,Soyuz 1,Soyuz 1,Soyuz 1,Soyuz 1,26.78,51.07,0,0
12,8,"Feoktistov, Konstantin",male,1926,U.S.S.R/Russia,FALSE,Voskhod-1 / TsKBEM-1,1964,1,MSP,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,24.28,0,0
13,9,"Yegorov, Boris",male,1937,U.S.S.R/Russia,FALSE,Voskhod-1,1964,1,MSP,1964,Voskhod 1,Voskhod 1,Voskhod 1,Voskhod 1,24.28,24.28,0,0
14,10,"Belyayev, Pavel",male,1925,U.S.S.R/Russia,TRUE,TsPK-1,1960,1,commander,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2,26.03,26.03,0,0
15,11,"Leonov, Aleksei",male,1934,U.S.S.R/Russia,TRUE,TsPK-1,1960,2,pilot,1965,Voskhod 2,Voskhod 2,Voskhod 2,Voskhod 2,26.03,168.53,0.73,0.73
