Bill Gates,1,1996,1975,Microsoft,founder, Software,new,40,male,United States,USA,8100000000000.0,North America,founder non-finance,18.5,New Sectors,True,Technology-Computer,not inherited,True,False
Bill Gates,1,2001,1975,Microsoft,founder, Software,new,45,male,United States,USA,10600000000000.0,North America,founder non-finance,58.7,New Sectors,True,Technology-Computer,not inherited,True,False
Bill Gates,1,2014,1975,Microsoft,founder, Software,new,58,male,United States,USA,0.0,North America,founder non-finance,76.0,New Sectors,True,Technology-Computer,not inherited,True,False
Warren Buffett,2,1996,1962,Berkshire Hathaway,founder, Finance,new,65,male,United States,USA,8100000000000.0,North America,founder non-finance,15.0,Traded Sectors,True,Consumer,not inherited,True,False
Warren Buffett,2,2001,1962,Berkshire Hathaway,founder, Finance,new,70,male,United States,USA,10600000000000.0,North America,founder non-finance,32.3,Traded Sectors,True,Consumer,not inherited,True,False
Carlos Slim Helu,2,2014,1990,Telmex,founder, Communications,privatization,74,male,Mexico,MEX,0.0,Latin America,privatized and resources,72.0,Non-Traded Sectors,False,Media,not inherited,True,False
Oeri Hoffman and Sacher,3,1996,1896,F. Hoffmann-La Roche,,pharmaceuticals,new,0,,Switzerland,CHE,330000000000.0,Europe,inherited,13.1,New Sectors,True,Technology-Medical,3rd generation,False,False
Paul Allen,3,2001,1975,Microsoft,founder,technology,new,48,male,United States,USA,10600000000000.0,North America,founder non-finance,30.4,New Sectors,True,Technology-Computer,not inherited,True,False
Amancio Ortega,3,2014,1975,Zara,founder,Fashion,new,77,male,Spain,ESP,0.0,Europe,founder non-finance,64.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,False
Lee Shau Kee,4,1996,1976,Henderson Land Development,founder/chairman,real estate,new,68,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,12.7,Financial,False,Real Estate,not inherited,True,False
Larry Ellison,4,2001,1977,Oracle,founder, software, new,56,male,United States,USA,10600000000000.0,North America,founder non-finance,26.0,New Sectors,True,Technology-Computer,not inherited,True,False
Warren Buffett,4,2014,1839,Berkshire Hathaway,founder, Finance,aquired,83,male,United States,USA,0.0,North America,founder non-finance,58.2,Traded Sectors,True,Consumer,not inherited,True,False
Tsai Wan-lin,5,1996,1962,Lin Yuan Group,founder,banking and insurance,new,71,male,Taiwan,Taiwan,0.0,East Asia,self-made finance,12.2,Financial,False,Hedge funds,not inherited,True,False
Theo and Karl Albrecht,5,2001,1913,Aldi,founder,groceries,new,0,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,25.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,False
Larry Ellison,5,2014,1977,Oracle,founder, software, new,69,male,United States,USA,0.0,North America,founder non-finance,48.0,New Sectors,True,Technology-Computer,not inherited,True,False
Walter Thomas and Raymond Kwok,6,1996,1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,11.2,Financial,False,Real Estate,father,False,False
Prince Alwaleed Bin Talal Alsaud,6,2001,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,44,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,privatized and resources,20.0,Financial,False,Money Management,not inherited,True,True
Charles Koch,6,2014,1940,Koch industries,relation,  Oil refining,new,78,male,United States,USA,0.0,North America,inherited,40.0,Financial,True,Diversified financial,father,False,False
David Koch,6,2014,1940,Koch industries,relation, Oil refining,new,73,male,United States,USA,0.0,North America,inherited,40.0,Financial,True,Diversified financial,father,False,False
Li Ka-shing,7,1996,1971,Cheung king,founder,real estate,new,67,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,10.6,Financial,False,Real Estate,not inherited,True,False
Jim Walton,7,2001,1962,Walmart,relation,retail, new,53,male,United States,USA,10600000000000.0,North America,inherited,18.8,Non-Traded Sectors,True,"Retail, Restaurant",father,False,False
Yoshiaki Tsutsumi,8,1996,1894,Seibu Corporation,relation,real estate,aquired,61,male,Japan,JPN,4710000000000.0,East Asia,inherited,9.2,Financial,True,Real Estate,father,False,False
John Walton,8,2001,1962,Walmart,relation, retail, new,55,male,United States,USA,10600000000000.0,North America,inherited,18.7,Traded Sectors,True,Consumer,father,False,False
Sheldon Adelson,8,2014,1952,Las Vegas Sands,founder, casinos, acquired,80,male,United States,USA,0.0,North America,self-made finance,38.0,Financial,True,Real Estate,not inherited,True,False
Theo and Karl Albrecht,9,1996,1913,Aldi Nord,Relation,groceries,new,0,male,Germany,DEU,2500000000000.0,Europe,inherited,9.0,Non-Traded Sectors,True,"Retail, Restaurant",father,False,False
S Robson Walton,9,2001,1962,Walmart,relation,retail, new,57,male,United States,USA,10600000000000.0,North America,inherited,18.6,Non-Traded Sectors,True,"Retail, Restaurant",father,False,False
Christy Walton,9,2014,1962,Walmart,relation, retail, new,59,female,United States,USA,0.0,North America,inherited,36.7,Non-Traded Sectors,True,"Retail, Restaurant",spouse/widow,False,False
Hans and Gad Rausing,10,1996,1951,Tetra Pak,relation,food packaging,new,0,male,Sweden,SWE,288000000000.0,Europe,inherited,9.0,Traded Sectors,True,Consumer,father,False,False
Alice Walton,10,2001,1962,Walmart,relation,retail, new,52,female,United States,USA,10600000000000.0,North America,inherited,18.5,Non-Traded Sectors,True,"Retail, Restaurant",father,False,False
Helen Walton,10,2001,1962,Walmart,relation,retail, new,81,female,United States,USA,10600000000000.0,North America,inherited,18.5,Traded Sectors,True,Consumer,spouse/widow,False,False
Jim Walton,10,2014,1962,Walmart,relation,retail, new,66,male,United States,USA,0.0,North America,inherited,34.7,Non-Traded Sectors,True,"Retail, Restaurant",father,False,False
Johanna Quandt,11,1996,1916,BMW,relation,cars,new,68,female,Germany,DEU,2500000000000.0,Europe,inherited,8.1,Traded Sectors,True,Consumer,spouse/widow,False,False
Liliane Bettencourt,11,2014,1909,L'Oreal,relation,cosmetics,new,91,female,France,FRA,0.0,Europe,inherited,34.5,Traded Sectors,True,Consumer,father,False,False
Haniel family,12,1996,1756,Franz Haniel & Cie,,,new,0,,Germany,DEU,2500000000000.0,Europe,inherited,8.1,Financial,True,Diversified financial,not inherited,False,False
Johanna Quandt,12,2001,1916,BMW,relation,cars,new,73,female,Germany,DEU,1950000000000.0,Europe,inherited,17.8,Traded Sectors,True,Consumer,spouse/widow,False,False
Stefan Persson,12,2014,1947, H&M,relation, fashion, new,66,male,Sweden,SWE,0.0,Europe,inherited,34.4,Traded Sectors,True,Consumer,father,False,False
Paul Allen,13,1996,1975,Microsoft,founder,technology,new,43,male,United States,USA,8100000000000.0,North America,founder non-finance,7.5,New Sectors,True,Technology-Computer,not inherited,True,False
Steven Ballmer,13,2001,1975,Microsoft,CEO,technology,new,44,male,United States,USA,10600000000000.0,North America,executive,16.6,New Sectors,True,Technology-Computer,not inherited,False,False
Alice Walton,13,2014,1962,Walmart,relation,retail, new,64,female,United States,USA,0.0,North America,inherited,34.3,Non-Traded Sectors,True,"Retail, Restaurant",father,False,False
Kenneth Thomson,14,1996,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,72,male,Canada,CAN,627000000000.0,North America,inherited,7.4,Non-Traded Sectors,True,Media,father,False,False
Kenneth Thomson,14,2001,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,77,male,Canada,CAN,733000000000.0,North America,inherited,16.4,Non-Traded Sectors,True,Media,father,False,False
S. Robson Walton,14,2014,1962,Walmart,relation,retail, new,70,male,United States,USA,0.0,North America,inherited,34.2,Non-Traded Sectors,True,"Retail, Restaurant",father,False,False
John Kluge,15,1996,1956,Metropolitan Broadcasting Corporation,chairman,media,new,81,male,United States,USA,8100000000000.0,North America,executive,7.2,Non-Traded Sectors,True,Media,not inherited,False,False
Liliane Bettencourt,15,2001,1909,L'Oreal,relation,cosmetics,new,78,female,France,FRA,1380000000000.0,Europe,inherited,15.6,Traded Sectors,True,Consumer,father,False,False
Bernard Arnault,15,2014,1987,LVMH,founder,luxury goods,acquired,64,male,France,FRA,0.0,Europe,founder non-finance,33.5,Traded Sectors,True,Consumer,not inherited,True,False
Tan Yu,16,1996,1972,Asiaworld Internationale Group,founder,real estate,new,0,male,Philippines,PHL,82848194406.0,East Asia,self-made finance,7.0,Financial,False,Real Estate,not inherited,True,False
Philip Anschutz,16,2001,1961,Circle A Drilling,investor,"oil, railroad, investments",aquired,61,male,United States,USA,10600000000000.0,North America,self-made finance,15.3,Financial,True,Money Management,not inherited,False,False
Michael Bloomberg,16,2014,1981,Bloomberg,founder, finance, new,72,male,United States,USA,0.0,North America,founder non-finance,33.0,Non-Traded Sectors,True,Media,not inherited,True,False
Wonowidjojo family,17,1996,1958,Gudang Garam,,cigarettes,new,0,,Indonesia,IDN,227000000000.0,East Asia,inherited,6.7,Traded Sectors,False,Consumer,not inherited,False,False
Ingvar Kamprad,17,2001,1943,IKEA,founder,furniture,new,74,male,Sweden,SWE,240000000000.0,Europe,founder non-finance,13.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,False
Larry Page,17,2014,1998,Google,founder, technology, new,40,male,United States,USA,0.0,North America,founder non-finance,32.3,New Sectors,True,Technology-Computer,not inherited,True,False
Carlos Slim Helu,18,1996,1990,Telmex,founder, Communications,privatization,56,male,Mexico,MEX,397000000000.0,Latin America,privatized and resources,6.1,Non-Traded Sectors,False,Media,not inherited,True,False
Li Ka-shing,18,2001,1971,Cheung king,founder,real estate,new,72,male,Hong Kong,HKG,169000000000.0,East Asia,self-made finance,12.6,Financial,False,Real Estate,not inherited,True,False
Sumner Redstone,18,2001,1936,National Amusements,relation,media,new,77,male,United States,USA,10600000000000.0,North America,inherited,12.6,Non-Traded Sectors,True,Media,father,False,False
Jeff Bezos,18,2014,1995,Amazon,founder, technology, new,50,male,United States,USA,0.0,North America,founder non-finance,32.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,False
Larry Ellison,19,1996,1977,Oracle,founder, software, new,51,male,United States,USA,8100000000000.0,North America,founder non-finance,6.0,New Sectors,True,Technology-Computer,not inherited,True,False
Sergey Brin,19,2014,1998,Google,founder, technology, new,40,male,United States,USA,0.0,North America,founder non-finance,31.8,New Sectors,True,Technology-Computer,not inherited,True,False
Chung Ju-yung,20,1996,1946,Hyundai Group,founder,cars,new,0,male,South Korea,KOR,603000000000.0,East Asia,self-made finance,5.9,Financial,True,Diversified financial,not inherited,True,False
Leo Kirch,20,2001,1956,Kirch Group,founder,media,new,0,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,12.0,Non-Traded Sectors,True,Media,not inherited,True,False
Li Ka-shing,20,2014,1950,Cheung Kong,founder,real estate,new,85,male,Hong Kong,HKG,0.0,East Asia,self-made finance,31.0,Financial,False,Diversified financial,not inherited,True,False
Gerard Mulliez,21,1996,1961,Auchan,founder,retail,new,0,male,France,FRA,1610000000000.0,Europe,founder non-finance,5.7,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,False
Anne Cox Chambers,21,2001,1898,Cox Enterprises,relation,media,aquired,81,female,United States,USA,10600000000000.0,North America,inherited,11.7,Non-Traded Sectors,True,Media,father,False,False
Barbara Cox Anthony,21,2001,1898,Cox Enterprises,relation,media,aquired,77,female,United States,USA,10600000000000.0,North America,inherited,11.7,Non-Traded Sectors,True,Media,father,False,False
Mark Zuckerberg,21,2014,2004, Facebook,founder, technology, new,29,male,United States,USA,0.0,North America,founder non-finance,28.5,New Sectors,True,Technology-Computer,not inherited,True,False
Robert Kuok,22,1996,1980,Tana Exploration Company,relation,oil,new,73,male,Malaysia,MYS,101000000000.0,East Asia,self-made finance,5.7,Financial,False,Money Management,not inherited,False,False
Michele Ferrero,22,2014,1946,Ferrero spa,relation,chocolates,new,88,male,Italy,ITA,0.0,Europe,executive,26.5,Traded Sectors,True,Consumer,not inherited,False,False
Kwek Leng Beng,23,1996,1948,Hong Leong Group,relation,banking,new,55,male,Singapore,SGP,96400967339.0,East Asia,inherited,5.7,Financial,False,Diversified financial,father,False,False
Walter Thomas and Raymond Kwok,23,2001,1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,169000000000.0,East Asia,inherited,11.5,Financial,False,Real Estate,father,False,False
Aliko Dangote,23,2014,1981,Dangote Group,founder and CEO,"commodities (sugar, cement flour)",new,56,male,Nigeria,NGA,0.0,Sub-Saharan Africa,founder non-finance,25.0,Non-Traded Sectors,False,Constrution,not inherited,True,False
Karl Albrecht,23,2014,1914,Aldi Sud,relation,groceries,new,94,male,Germany,DEU,0.0,Europe,executive,25.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,False,False
Cheng Yu-tung,24,1996,1929,Chow Tai Fook Enterprises,relation,real estate,new,70,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.5,Financial,False,Real Estate,father,False,False
John Kluge,24,2001,1956,Metropolitan Broadcasting Corporation,chairman,media,new,86,male,United States,USA,10600000000000.0,North America,executive,10.9,Non-Traded Sectors,True,Media,not inherited,False,False
Walter Haefner,25,1996,1957,Automation Center,founder,computer services,new,85,male,Switzerland,CHE,330000000000.0,Europe,founder non-finance,5.5,New Sectors,True,Technology-Computer,not inherited,True,False
Carlos Slim Helu,25,2001,1990,Telmex,founder, Communications,privatization,61,male,Mexico,MEX,725000000000.0,Latin America,privatized and resources,10.8,Non-Traded Sectors,False,Media,not inherited,True,False
Carl Icahn,25,2014,1968,Icahn Enterprises,founder,investment (via holding company),new,78,male,United States,USA,0.0,North America,self-made finance,24.5,Financial,True,Diversified financial,not inherited,True,False
Philip Knight,26,1996,1964,Nike,founder,apparel,new,58,male,United States,USA,8100000000000.0,North America,founder non-finance,5.3,Traded Sectors,True,Consumer,not inherited,True,False
Bernard Arnault,26,2001,1981,LVMH,founder,luxury goods,acquired,52,male,France,FRA,1380000000000.0,Europe,founder non-finance,10.7,Traded Sectors,True,Consumer,not inherited,True,False
George Soros,26,2014,1969,Soros Fund Management,founder,hedge funds,new,83,male,United States,USA,0.0,North America,self-made finance,23.0,Financial,True,Hedge funds,not inherited,True,False
Michael Otto,27,1996,1950,Otto Group,relation,mail order retail,new,52,male,Germany,DEU,2500000000000.0,Europe,inherited,5.2,Non-Traded Sectors,True,"Retail, Restaurant",father,False,False
Ernesto Bertarelli,27,2001,1906,Serono,relation,pharmaceuticals,new,35,male,Switzerland,CHE,279000000000.0,Europe,inherited,10.5,New Sectors,True,Technology-Medical,3rd generation,False,False
Michael Dell,27,2001,1984,Dell,founder,technology,new,36,male,United States,USA,10600000000000.0,North America,founder non-finance,10.5,New Sectors,True,Technology-Computer,not inherited,True,False
David Thomson,27,2014,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,56,male,Canada,CAN,0.0,North America,inherited,22.6,Non-Traded Sectors,True,Media,father,False,False
Fong Teng,28,1996,1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.2,Traded Sectors,False,Consumer,father,False,False
Lui Che Woo,28,2014,1955,K. Wah Group,founder/chairman,"construction, hotels, gaming",new,84,male,Hong Kong,HKG,0.0,East Asia,self-made finance,22.0,Financial,False,Real Estate,not inherited,True,False
Robert and Ten Fong Ng,29,1996,1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.2,Financial,False,Real Estate,father,False,False
Silvio Berlusconi,29,2001,1978,Fininvest,founder,media,new,64,male,Italy,ITA,1160000000000.0,Europe,privatized and resources,10.3,Non-Traded Sectors,True,Media,not inherited,True,False
Dieter Schwarz,29,2014,1930,Schwarz Group,relation,groceries,new,74,male,Germany,DEU,0.0,Europe,inherited,21.1,Non-Traded Sectors,True,"Retail, Restaurant",father,False,False
Yasuo Takei,30,1996,0,Takefuji,founder,finance,new,66,male,Japan,JPN,4710000000000.0,East Asia,self-made finance,5.2,Financial,True,Money Management,not inherited,True,False
Abigail Johnson,30,2001,1946,Fidelity Investments,relation,investment banking,new,39,female,United States,USA,10600000000000.0,North America,inherited,9.1,Financial,True,Money Management,3rd generation,False,False
Prince Alwaleed Bin Talal Alsaud,30,2014,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,58,male,Saudi Arabia,SAU,0.0,Middle East/North Africa,privatized and resources,20.4,Financial,False,Diversified financial,not inherited,True,True
