year,st,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,1,54597,65213,1010067,972627,10457,16.375,7749,12.135,216097,76167,139930,7.831,22.218,141919,60090,81829,6.178,14.591,74178,7.627,29.183,5248,5329,28257
1979,1,55893,66797,1066814,1037995,9668,14.701,7604,11.562,220293,76618,143675,7.381,21.223,162194,60352,101842,5.814,15.626,58099,5.597,31.251,5234,5294,29467
1980,1,54838,66095,1060558,1064141,8714,13.168,8871,13.406,172732,65734,106998,6.177,16.232,179985,59422,120563,5.584,16.914,-7253,-0.682,32.464,6058,6128,32427
1981,1,54791,66410,1047044,1051448,8371,12.687,7516,11.391,164056,70115,93941,6.668,15.603,173188,51937,121251,4.94,16.471,-9132,-0.869,31.206,5176,5269,27038
1982,1,53219,65276,1033194,1037728,8185,12.497,8621,13.163,171970,73083,98887,7.043,16.572,181628,61970,119658,5.972,17.502,-9658,-0.931,33.144,6077,6147,34073
1983,1,53724,65380,1008219,1012807,8371,12.942,6970,10.776,171697,66389,105308,6.555,16.953,180203,57417,122786,5.669,17.792,-8506,-0.84,33.905,4537,4663,27346
1984,1,57267,69519,1103379,1054020,10726,16.006,5712,8.524,220367,79566,140801,7.549,20.907,121292,39249,82043,3.724,11.508,99075,9.4,23.015,4265,4320,22686
1985,1,58402,70932,1176089,1148409,10063,14.453,7449,10.699,215394,80918,134476,7.046,18.756,160469,60504,99965,5.269,13.973,54925,4.783,27.946,5377,5480,33204
1986,1,59182,72289,1190161,1166259,10218,14.4,7555,10.647,227308,90341,136967,7.746,19.49,180446,58733,121713,5.036,15.472,46862,4.018,30.944,5330,5449,30834
1987,1,60479,73979,1204831,1196881,10683,14.714,7937,10.932,221489,85554,135935,7.148,18.506,205284,71790,133494,5.998,17.152,16205,1.354,34.303,5412,5530,34257
1988,1,62286,76624,1238578,1222477,10603,14.097,7781,10.345,218042,91978,126064,7.524,17.836,185499,65161,120338,5.33,15.174,32543,2.662,30.348,5451,5547,34052
1989,1,63461,78473,1307763,1269650,10613,13.766,7861,10.196,241658,94892,146766,7.474,19.033,165904,55953,109951,4.407,13.067,75754,5.967,26.134,5647,5782,33792
1990,1,64371,79859,1359821,1335271,10084,12.801,7914,10.046,229668,79153,150515,5.928,17.2,180807,59253,121554,4.438,13.541,48861,3.659,27.082,5850,5991,37617
1991,1,64112,80427,1351744,1353605,9871,12.392,8329,10.456,212247,92206,120041,6.812,15.68,215385,75437,139948,5.573,15.912,-3138,-0.232,31.36,5870,6009,46381
1992,1,64731,81195,1373375,1363065,9465,11.78,7766,9.666,218703,77922,140781,5.717,16.045,196471,62867,133604,4.612,14.414,22232,1.631,28.828,5277,5409,34547
1993,1,66352,82781,1415069,1393469,9635,11.774,7741,9.459,222607,66321,156286,4.759,15.975,178920,65310,113610,4.687,12.84,43687,3.135,25.68,5179,5318,30535
1994,1,68332,85126,1456738,1438949,10521,12.544,8020,9.562,227096,86407,140689,6.005,15.782,192124,64434,127690,4.478,13.352,34972,2.43,26.703,5549,5688,37294
1995,1,70251,87575,1520399,1484503,10640,12.343,7901,9.165,248290,85993,162297,5.793,16.725,176132,58264,117868,3.925,11.865,72158,4.861,23.729,5581,5720,34054
1996,1,71167,89144,1525097,1517424,10623,12.066,8413,9.556,231337,82504,148833,5.437,15.245,215511,74287,141224,4.896,14.202,15826,1.043,28.405,6063,6181,39886
1997,1,71754,90163,1553963,1541084,10794,12.061,9453,10.563,268069,101064,167005,6.558,17.395,242944,89592,153352,5.814,15.764,25125,1.63,31.529,6437,6576,46127
1998,1,72280,91061,1590895,1586686,10186,11.246,9215,10.174,248754,87481,161273,5.513,15.678,238578,96233,142345,6.065,15.036,10176,0.641,30.073,6205,6376,39593
1999,1,72253,91601,1620294,1604978,9885,10.848,8925,9.795,261164,103526,157638,6.45,16.272,231106,83777,147329,5.22,14.399,30058,1.873,28.799,6031,6204,39923
2000,1,71665,91129,1654806,1637765,9293,10.196,9316,10.222,258477,80802,177675,4.934,15.782,225318,84159,141159,5.139,13.758,33159,2.025,27.515,6108,6331,42007
2001,1,70660,90778,1617445,1633666,9546,10.524,9398,10.361,234686,96026,138660,5.878,14.366,266644,88908,177736,5.442,16.322,-31958,-1.956,28.731,6092,6397,47004
2002,1,70708,91358,1577429,1598498,10202,11.213,9461,10.398,255687,98302,157385,6.15,15.995,297853,102198,195655,6.393,18.633,-42166,-2.638,31.991,5893,6089,57557
