total_cup_points,species,owner,country_of_origin,farm_name,company,region,producer,number_of_bags,bag_weight,harvest_year,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,sweetness,moisture,color,altitude_low_meters,altitude_high_meters,altitude_mean_meters
86.25,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,NA,kona,Kona Pacific Farmers Co-Op,25,100 lbs,2010,NA,NA,8.25,8.42,8.08,7.75,7.67,7.83,10,10,0,NA,NA,NA,NA
86.17,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,NA,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,2010,Yellow Bourbon,NA,8.17,7.92,7.92,7.75,8.33,8,10,10,0.08,NA,12,12,12
86.17,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,NA,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,2010,Yellow Bourbon,NA,8.42,7.92,8,7.75,7.92,8,10,10,0.01,NA,12,12,12
85.08,Arabica,ethiopia commodity exchange,Ethiopia,NA,NA,sidamo,Exporter Name | Muluneh Kaka | Phone: 0114390290,360,6,2010,NA,NA,7.67,8,7.83,8,7.92,7.83,10,10,0,NA,NA,NA,NA
83.83,Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",NA,sidamo,Contact name | ATO Teshome Belamo,300,6,2010,NA,NA,7.58,7.83,7.58,8,7.83,7.5,10,10,0.1,NA,NA,NA,NA
83.42,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,NA,kona,Kona Pacific Farmers Co-Op,12,60 kg,2010,NA,NA,7.5,7.92,7.42,7.67,7.83,7.58,10,10,0.01,NA,NA,NA,NA
83.08,Arabica,specialty coffee association of indonesia,Indonesia,lintong nihuta,NA,dolok sanggul,PT. MENACOM,10,60 kg,2010,NA,NA,7.67,7.58,7.5,7.58,7.67,7.58,10,10,0,NA,1300,1400,1350
80.33,Arabica,ethiopia commodity exchange,Ethiopia,NA,NA,kelem welega,Exporter Name | Muluneh Kaka | Phone: 0114390290,360,6,2010,NA,NA,7.25,7.25,7.25,7.33,7.5,8,9.33,10,0.1,NA,NA,NA,NA
80,Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",NA,limu,Contact name | ATO Teshome Belamo,300,6,2010,NA,NA,7.42,7.42,7.5,7.92,7.75,7.58,8.67,8.67,0.05,NA,NA,NA,NA
72.33,Arabica,myriam kaplan-pasternak,Haiti,2000 farmers,NA,marmelade,Asosyasyon Plantè Kafe Krètapen (APCAP) ;Asosyasyon plantè Kafe Basen (APKBA);Asosyasyon Plantè Kafe,85,130 lbs,2010,NA,NA,6.92,6.75,7.08,7.17,7.33,6.67,10,8.67,0.08,NA,640,1400,1020
