Connecticut,335,4,0,225,134761,352,0,19335
Maine,472,14,3,10,119369,2450,375,852
Massachusetts,630,62,16,780,238142,10729,4440,132091
New Hampshire,404,4,4,44,109379,652,700,6226
Rhode Island,102,12,6,11,26282,1703,523,681
Vermont,122,8,4,63,34560,1783,338,7923
New Jersey,1307,134,41,1434,256958,15199,2909,113881
New York,1101,128,54,1476,386031,19645,7257,185185
Pennsylvania,2011,58,112,1770,464864,8470,15210,204894
Illinois,1032,34,37,522,298423,5474,6145,101496
Indiana,2216,50,24,131,642823,7897,4519,11416
Michigan,1830,60,17,457,528010,16001,2672,43922
Ohio,2174,36,39,245,647267,5127,4325,20960
Wisconsin,1304,100,3,681,408560,16084,763,77118
Iowa,1252,46,12,520,309617,5230,1960,95214
Kansas,610,50,14,90,207343,7922,2100,10729
Minnesota,1859,10,42,1256,517173,2065,8573,169093
Missouri,1486,10,24,827,392869,1006,3656,76215
Nebraska,593,6,3,295,142848,749,590,21657
North Dakota,255,6,0,38,71257,596,0,7884
South Dakota,423,8,24,291,103845,1189,2822,29203
Delaware,784,32,0,22,108218,4101,0,1035
District of Columbia,31,0,0,558,7227,0,0,66880
Florida,12762,330,205,4215,3273888,35646,18011,455368
Georgia,5522,28,47,502,1284462,11430,7444,60144
Maryland,1393,4,36,168,357713,571,4022,21166
North Carolina,6436,56,18,2128,1669642,9715,4228,400806
South Carolina,4133,26,3,282,1026988,3539,238,24457
Virginia,2521,80,19,1741,627392,7158,1868,159727
West Virginia,370,22,0,55,74112,1748,0,5561
Alabama,1794,16,61,150,410556,2100,4285,21293
Kentucky,1140,38,14,508,286293,4260,2886,50460
Mississippi,818,4,7,51,166263,265,471,4673
Tennessee,4058,14,62,2392,1005775,790,7740,137502
Arkansas,1117,110,109,550,275131,13458,9948,40161
Louisiana,1858,70,7,53,408306,6806,1351,9511
Oklahoma,1411,70,11,85,312714,5739,1633,3225
Texas,17163,740,120,5626,3966422,82017,16720,779982
Arizona,4668,112,24,369,1208989,16513,4527,56850
Colorado,3567,86,101,1069,1053659,27055,17878,90439
Idaho,1540,10,148,354,360618,1242,13761,56719
Montana,381,48,68,155,99340,9223,6613,16716
Nevada,1407,30,66,681,393202,2152,8174,68491
New Mexico,604,0,0,56,147869,0,0,5793
Utah,2715,32,39,900,759330,3907,8236,131219
Wyoming,164,4,7,12,92409,828,787,1516
Alaska,122,2,6,15,36726,219,1042,2371
California,6574,214,120,4736,1753172,37608,21205,991052
Hawaii,218,36,0,0,87010,5312,0,0
Oregon,1281,42,15,1114,351205,7452,2010,175295
Washington,2763,184,122,1828,799601,32851,30403,271941
