Connecticut,115329,78798,1591,901,34039
Maine,69166,66434,887,0,1845
Massachusetts,355579,229069,11788,5781,108941
New Hampshire,65759,56532,7119,184,1924
Rhode Island,25277,24409,350,429,89
Vermont,34690,31517,1120,431,1622
New Jersey,422773,215210,19138,5057,183368
New York,571823,292872,17961,14274,246716
Pennsylvania,326191,275018,7089,5615,38469
Illinois,471874,265348,5753,24062,176711
Indiana,381300,364507,5429,877,10487
Michigan,538595,400683,4651,6750,126511
Ohio,437403,386316,3955,7729,39403
Wisconsin,386273,311699,6766,876,66932
Iowa,274082,250500,2078,0,21504
Kansas,130357,117697,2843,595,9222
Minnesota,508557,409253,815,615,97874
Missouri,406098,260779,5959,6416,132944
Nebraska,111627,97464,1192,255,12716
North Dakota,88638,61735,1356,427,25120
South Dakota,90496,71610,355,0,18531
Delaware,69432,64186,2897,864,1485
District of Columbia,152371,3931,434,0,148006
Florida,2299520,1797244,10307,14860,477109
Georgia,824535,733703,4978,1686,84168
Maryland,217035,205933,7750,475,2877
North Carolina,1116535,976018,4553,2098,133866
South Carolina,673039,651942,431,187,20479
Virginia,482865,428046,2048,4521,48250
West Virginia,40766,33569,0,265,6932
Alabama,218111,201095,396,1364,15256
Kentucky,173278,161519,1664,1678,8417
Mississippi,111922,109414,172,148,2188
Tennessee,590188,463086,2196,2767,122139
Arkansas,140139,126122,4875,1037,8105
Louisiana,250627,241251,728,629,8019
Oklahoma,192635,168181,3828,0,20626
Texas,2618558,2097833,14152,4029,502544
Arizona,766909,578700,4097,3547,180565
Colorado,756459,625743,1593,1268,127855
Idaho,255925,225495,1263,6524,22643
Montana,94350,68334,7386,3250,15380
Nevada,285241,228601,0,4285,52355
New Mexico,82362,74099,0,0,8263
Utah,524064,435287,1144,8322,79311
Wyoming,37203,36995,208,0,0
Alaska,35209,31497,172,694,2846
California,2299263,1386858,33304,17998,861103
Hawaii,110863,84627,678,300,25258
Oregon,313959,220057,2782,4340,86780
Washington,1023860,575292,16333,9472,422763
