fips,name,state,State
1001,Autauga County,AL,Alabama
1003,Baldwin County,AL,Alabama
1005,Barbour County,AL,Alabama
1007,Bibb County,AL,Alabama
1009,Blount County,AL,Alabama
1011,Bullock County,AL,Alabama
1013,Butler County,AL,Alabama
1015,Calhoun County,AL,Alabama
1017,Chambers County,AL,Alabama
1019,Cherokee County,AL,Alabama
1021,Chilton County,AL,Alabama
1023,Choctaw County,AL,Alabama
1025,Clarke County,AL,Alabama
1027,Clay County,AL,Alabama
1029,Cleburne County,AL,Alabama
1031,Coffee County,AL,Alabama
1033,Colbert County,AL,Alabama
1035,Conecuh County,AL,Alabama
1037,Coosa County,AL,Alabama
1039,Covington County,AL,Alabama
1041,Crenshaw County,AL,Alabama
1043,Cullman County,AL,Alabama
1045,Dale County,AL,Alabama
1047,Dallas County,AL,Alabama
1049,DeKalb County,AL,Alabama
1051,Elmore County,AL,Alabama
1053,Escambia County,AL,Alabama
1055,Etowah County,AL,Alabama
1057,Fayette County,AL,Alabama
1059,Franklin County,AL,Alabama
1061,Geneva County,AL,Alabama
1063,Greene County,AL,Alabama
1065,Hale County,AL,Alabama
1067,Henry County,AL,Alabama
1069,Houston County,AL,Alabama
1071,Jackson County,AL,Alabama
1073,Jefferson County,AL,Alabama
1075,Lamar County,AL,Alabama
1077,Lauderdale County,AL,Alabama
1079,Lawrence County,AL,Alabama
1081,Lee County,AL,Alabama
1083,Limestone County,AL,Alabama
1085,Lowndes County,AL,Alabama
1087,Macon County,AL,Alabama
1089,Madison County,AL,Alabama
1091,Marengo County,AL,Alabama
1093,Marion County,AL,Alabama
1095,Marshall County,AL,Alabama
1097,Mobile County,AL,Alabama
1099,Monroe County,AL,Alabama
1101,Montgomery County,AL,Alabama
1103,Morgan County,AL,Alabama
1105,Perry County,AL,Alabama
1107,Pickens County,AL,Alabama
1109,Pike County,AL,Alabama
1111,Randolph County,AL,Alabama
1113,Russell County,AL,Alabama
1115,St. Clair County,AL,Alabama
1117,Shelby County,AL,Alabama
1119,Sumter County,AL,Alabama
1121,Talladega County,AL,Alabama
1123,Tallapoosa County,AL,Alabama
1125,Tuscaloosa County,AL,Alabama
1127,Walker County,AL,Alabama
1129,Washington County,AL,Alabama
1131,Wilcox County,AL,Alabama
1133,Winston County,AL,Alabama
2013,Aleutians East Borough,AK,Alaska
2016,Aleutians West Census Area,AK,Alaska
2020,Anchorage Municipality,AK,Alaska
2050,Bethel Census Area,AK,Alaska
2060,Bristol Bay Borough,AK,Alaska
2068,Denali Borough,AK,Alaska
2070,Dillingham Census Area,AK,Alaska
2090,Fairbanks North Star Borough,AK,Alaska
2100,Haines Borough,AK,Alaska
2105,Hoonah-Angoon Census Area,AK,Alaska
2110,Juneau City and Borough,AK,Alaska
2122,Kenai Peninsula Borough,AK,Alaska
2130,Ketchikan Gateway Borough,AK,Alaska
2150,Kodiak Island Borough,AK,Alaska
2164,Lake and Peninsula Borough,AK,Alaska
2170,Matanuska-Susitna Borough,AK,Alaska
2180,Nome Census Area,AK,Alaska
2185,North Slope Borough,AK,Alaska
2188,Northwest Arctic Borough,AK,Alaska
2195,Petersburg Borough,AK,Alaska
2198,Prince of Wales-Hyder Census Area,AK,Alaska
2220,Sitka City and Borough,AK,Alaska
2230,Skagway Municipality,AK,Alaska
2240,Southeast Fairbanks Census Area,AK,Alaska
2261,Valdez-Cordova Census Area,AK,Alaska
2270,Wade Hampton Census Area,AK,Alaska
2275,Wrangell City and Borough,AK,Alaska
2282,Yakutat City and Borough,AK,Alaska
2290,Yukon-Koyukuk Census Area,AK,Alaska
4001,Apache County,AZ,Arizona
4003,Cochise County,AZ,Arizona
4005,Coconino County,AZ,Arizona
4007,Gila County,AZ,Arizona
4009,Graham County,AZ,Arizona
4011,Greenlee County,AZ,Arizona
4012,La Paz County,AZ,Arizona
4013,Maricopa County,AZ,Arizona
4015,Mohave County,AZ,Arizona
4017,Navajo County,AZ,Arizona
4019,Pima County,AZ,Arizona
4021,Pinal County,AZ,Arizona
4023,Santa Cruz County,AZ,Arizona
4025,Yavapai County,AZ,Arizona
4027,Yuma County,AZ,Arizona
5001,Arkansas County,AR,Arkansas
5003,Ashley County,AR,Arkansas
5005,Baxter County,AR,Arkansas
5007,Benton County,AR,Arkansas
5009,Boone County,AR,Arkansas
5011,Bradley County,AR,Arkansas
5013,Calhoun County,AR,Arkansas
5015,Carroll County,AR,Arkansas
5017,Chicot County,AR,Arkansas
5019,Clark County,AR,Arkansas
5021,Clay County,AR,Arkansas
5023,Cleburne County,AR,Arkansas
5025,Cleveland County,AR,Arkansas
5027,Columbia County,AR,Arkansas
5029,Conway County,AR,Arkansas
5031,Craighead County,AR,Arkansas
5033,Crawford County,AR,Arkansas
5035,Crittenden County,AR,Arkansas
5037,Cross County,AR,Arkansas
5039,Dallas County,AR,Arkansas
5041,Desha County,AR,Arkansas
5043,Drew County,AR,Arkansas
5045,Faulkner County,AR,Arkansas
5047,Franklin County,AR,Arkansas
5049,Fulton County,AR,Arkansas
5051,Garland County,AR,Arkansas
5053,Grant County,AR,Arkansas
5055,Greene County,AR,Arkansas
5057,Hempstead County,AR,Arkansas
5059,Hot Spring County,AR,Arkansas
5061,Howard County,AR,Arkansas
5063,Independence County,AR,Arkansas
5065,Izard County,AR,Arkansas
5067,Jackson County,AR,Arkansas
5069,Jefferson County,AR,Arkansas
5071,Johnson County,AR,Arkansas
5073,Lafayette County,AR,Arkansas
5075,Lawrence County,AR,Arkansas
5077,Lee County,AR,Arkansas
5079,Lincoln County,AR,Arkansas
5081,Little River County,AR,Arkansas
5083,Logan County,AR,Arkansas
5085,Lonoke County,AR,Arkansas
5087,Madison County,AR,Arkansas
5089,Marion County,AR,Arkansas
5091,Miller County,AR,Arkansas
5093,Mississippi County,AR,Arkansas
5095,Monroe County,AR,Arkansas
5097,Montgomery County,AR,Arkansas
5099,Nevada County,AR,Arkansas
5101,Newton County,AR,Arkansas
5103,Ouachita County,AR,Arkansas
5105,Perry County,AR,Arkansas
5107,Phillips County,AR,Arkansas
5109,Pike County,AR,Arkansas
5111,Poinsett County,AR,Arkansas
5113,Polk County,AR,Arkansas
5115,Pope County,AR,Arkansas
5117,Prairie County,AR,Arkansas
5119,Pulaski County,AR,Arkansas
5121,Randolph County,AR,Arkansas
5123,St. Francis County,AR,Arkansas
5125,Saline County,AR,Arkansas
5127,Scott County,AR,Arkansas
5129,Searcy County,AR,Arkansas
5131,Sebastian County,AR,Arkansas
5133,Sevier County,AR,Arkansas
5135,Sharp County,AR,Arkansas
5137,Stone County,AR,Arkansas
5139,Union County,AR,Arkansas
5141,Van Buren County,AR,Arkansas
5143,Washington County,AR,Arkansas
5145,White County,AR,Arkansas
5147,Woodruff County,AR,Arkansas
5149,Yell County,AR,Arkansas
6001,Alameda County,CA,California
6003,Alpine County,CA,California
6005,Amador County,CA,California
6007,Butte County,CA,California
6009,Calaveras County,CA,California
6011,Colusa County,CA,California
6013,Contra Costa County,CA,California
6015,Del Norte County,CA,California
6017,El Dorado County,CA,California
6019,Fresno County,CA,California
6021,Glenn County,CA,California
6023,Humboldt County,CA,California
6025,Imperial County,CA,California
6027,Inyo County,CA,California
6029,Kern County,CA,California
6031,Kings County,CA,California
6033,Lake County,CA,California
6035,Lassen County,CA,California
6037,Los Angeles County,CA,California
6039,Madera County,CA,California
6041,Marin County,CA,California
6043,Mariposa County,CA,California
6045,Mendocino County,CA,California
6047,Merced County,CA,California
6049,Modoc County,CA,California
6051,Mono County,CA,California
6053,Monterey County,CA,California
6055,Napa County,CA,California
6057,Nevada County,CA,California
6059,Orange County,CA,California
6061,Placer County,CA,California
6063,Plumas County,CA,California
6065,Riverside County,CA,California
6067,Sacramento County,CA,California
6069,San Benito County,CA,California
6071,San Bernardino County,CA,California
6073,San Diego County,CA,California
6075,San Francisco County,CA,California
6077,San Joaquin County,CA,California
6079,San Luis Obispo County,CA,California
6081,San Mateo County,CA,California
6083,Santa Barbara County,CA,California
6085,Santa Clara County,CA,California
6087,Santa Cruz County,CA,California
6089,Shasta County,CA,California
6091,Sierra County,CA,California
6093,Siskiyou County,CA,California
6095,Solano County,CA,California
6097,Sonoma County,CA,California
6099,Stanislaus County,CA,California
6101,Sutter County,CA,California
6103,Tehama County,CA,California
6105,Trinity County,CA,California
6107,Tulare County,CA,California
6109,Tuolumne County,CA,California
6111,Ventura County,CA,California
6113,Yolo County,CA,California
6115,Yuba County,CA,California
8001,Adams County,CO,Colorado
8003,Alamosa County,CO,Colorado
8005,Arapahoe County,CO,Colorado
8007,Archuleta County,CO,Colorado
8009,Baca County,CO,Colorado
8011,Bent County,CO,Colorado
8013,Boulder County,CO,Colorado
8014,Broomfield County,CO,Colorado
8015,Chaffee County,CO,Colorado
8017,Cheyenne County,CO,Colorado
8019,Clear Creek County,CO,Colorado
8021,Conejos County,CO,Colorado
8023,Costilla County,CO,Colorado
8025,Crowley County,CO,Colorado
8027,Custer County,CO,Colorado
8029,Delta County,CO,Colorado
8031,Denver County,CO,Colorado
8033,Dolores County,CO,Colorado
8035,Douglas County,CO,Colorado
8037,Eagle County,CO,Colorado
8039,Elbert County,CO,Colorado
8041,El Paso County,CO,Colorado
8043,Fremont County,CO,Colorado
8045,Garfield County,CO,Colorado
8047,Gilpin County,CO,Colorado
8049,Grand County,CO,Colorado
8051,Gunnison County,CO,Colorado
8053,Hinsdale County,CO,Colorado
8055,Huerfano County,CO,Colorado
8057,Jackson County,CO,Colorado
8059,Jefferson County,CO,Colorado
8061,Kiowa County,CO,Colorado
8063,Kit Carson County,CO,Colorado
8065,Lake County,CO,Colorado
8067,La Plata County,CO,Colorado
8069,Larimer County,CO,Colorado
8071,Las Animas County,CO,Colorado
8073,Lincoln County,CO,Colorado
8075,Logan County,CO,Colorado
8077,Mesa County,CO,Colorado
8079,Mineral County,CO,Colorado
8081,Moffat County,CO,Colorado
8083,Montezuma County,CO,Colorado
8085,Montrose County,CO,Colorado
8087,Morgan County,CO,Colorado
8089,Otero County,CO,Colorado
8091,Ouray County,CO,Colorado
8093,Park County,CO,Colorado
8095,Phillips County,CO,Colorado
8097,Pitkin County,CO,Colorado
8099,Prowers County,CO,Colorado
8101,Pueblo County,CO,Colorado
8103,Rio Blanco County,CO,Colorado
8105,Rio Grande County,CO,Colorado
8107,Routt County,CO,Colorado
8109,Saguache County,CO,Colorado
8111,San Juan County,CO,Colorado
8113,San Miguel County,CO,Colorado
8115,Sedgwick County,CO,Colorado
8117,Summit County,CO,Colorado
8119,Teller County,CO,Colorado
8121,Washington County,CO,Colorado
8123,Weld County,CO,Colorado
8125,Yuma County,CO,Colorado
9001,Fairfield County,CT,Connecticut
9003,Hartford County,CT,Connecticut
9005,Litchfield County,CT,Connecticut
9007,Middlesex County,CT,Connecticut
9009,New Haven County,CT,Connecticut
9011,New London County,CT,Connecticut
9013,Tolland County,CT,Connecticut
9015,Windham County,CT,Connecticut
10001,Kent County,DE,Delaware
10003,New Castle County,DE,Delaware
10005,Sussex County,DE,Delaware
11001,District of Columbia,DC,District of Columbia
12001,Alachua County,FL,Florida
12003,Baker County,FL,Florida
12005,Bay County,FL,Florida
12007,Bradford County,FL,Florida
12009,Brevard County,FL,Florida
12011,Broward County,FL,Florida
12013,Calhoun County,FL,Florida
12015,Charlotte County,FL,Florida
12017,Citrus County,FL,Florida
12019,Clay County,FL,Florida
12021,Collier County,FL,Florida
12023,Columbia County,FL,Florida
12027,DeSoto County,FL,Florida
12029,Dixie County,FL,Florida
12031,Duval County,FL,Florida
12033,Escambia County,FL,Florida
12035,Flagler County,FL,Florida
12037,Franklin County,FL,Florida
12039,Gadsden County,FL,Florida
12041,Gilchrist County,FL,Florida
12043,Glades County,FL,Florida
12045,Gulf County,FL,Florida
12047,Hamilton County,FL,Florida
12049,Hardee County,FL,Florida
12051,Hendry County,FL,Florida
12053,Hernando County,FL,Florida
12055,Highlands County,FL,Florida
12057,Hillsborough County,FL,Florida
12059,Holmes County,FL,Florida
12061,Indian River County,FL,Florida
12063,Jackson County,FL,Florida
12065,Jefferson County,FL,Florida
12067,Lafayette County,FL,Florida
12069,Lake County,FL,Florida
12071,Lee County,FL,Florida
12073,Leon County,FL,Florida
12075,Levy County,FL,Florida
12077,Liberty County,FL,Florida
12079,Madison County,FL,Florida
12081,Manatee County,FL,Florida
12083,Marion County,FL,Florida
12085,Martin County,FL,Florida
12086,Miami-Dade County,FL,Florida
12087,Monroe County,FL,Florida
12089,Nassau County,FL,Florida
12091,Okaloosa County,FL,Florida
12093,Okeechobee County,FL,Florida
12095,Orange County,FL,Florida
12097,Osceola County,FL,Florida
12099,Palm Beach County,FL,Florida
12101,Pasco County,FL,Florida
12103,Pinellas County,FL,Florida
12105,Polk County,FL,Florida
12107,Putnam County,FL,Florida
12109,St. Johns County,FL,Florida
12111,St. Lucie County,FL,Florida
12113,Santa Rosa County,FL,Florida
12115,Sarasota County,FL,Florida
12117,Seminole County,FL,Florida
12119,Sumter County,FL,Florida
12121,Suwannee County,FL,Florida
12123,Taylor County,FL,Florida
12125,Union County,FL,Florida
12127,Volusia County,FL,Florida
