Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2017,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"3,644.00","32,158","2,595","4,980.00","47,295",661,"6,025.00","118,989",2,0,0,0,"14,649.00","198,442","3,258"
2017,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,"5,279.90","52,746","4,464","4,082.70","37,537","1,032","3,211.80","37,566",27,0,0,0,"12,574.40","127,849","5,523"
2017,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,235.3,"2,047",274,40,346,27,0,0,0,0,0,0,275.3,"2,393",301
2017,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"38,308.70","344,508","31,309","15,960.00","156,370","3,992","13,952.70","169,301",8,0,0,0,"68,221.40","670,179","35,309"
2017,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"16,341.00","109,301","8,603","5,729.00","55,057",222,.,.,.,.,.,.,"22,070.00","164,358","8,825"
2017,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"42,976.00","260,879","34,138","9,189.00","72,087","2,074","15,398.00","160,275",926,.,.,.,"67,563.00","493,241","37,138"
2017,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"22,670.80","275,115","36,228","7,973.10","103,053","6,184",0,0,0,0,0,0,"30,643.90","378,168","42,412"
2017,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,"2,953.20","35,374","3,203",686.2,"8,519",267,0,0,0,0,0,0,"3,639.40","43,893","3,470"
2017,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,"12,805.00","87,563","7,136","2,048.00","15,766",364,.,.,.,.,.,.,"14,853.00","103,329","7,500"
