Utility Characteristics,,,,,,Demand,,Energy Sources (Megawatthours),,,,,,,,,,Disposition,,,,,,Electric Revenues,,,,,,,
,,,,,,(Megawatts),,,,Power Exchanged,,,Wheeled Power,,,,,(Megawatthours),,,,,,(Thousands Dollars),,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,Summer Peak Demand,Winter Peak Demand,Net Generation,Wholesale Power Purchases,Exchange Energy Received,Exchange Energy Delivered,Net Power Exchanged,Wheeled Power Received,Wheeled Power Delivered,Net Wheeled Power,Transmission by Other Losses,Total Sources,Retail Sales,Sales for Resale,Furnished without Charge,Consumed by Respondent without Charge,Total Energy Losses,Total Disposition,From Retail Sales,From Delivery Customers,From Sales for Resale,From Credits or Adjustments,From Transmission,From Other,Total,"Data Type
O = Observed
I = Imputed"
2017,55,City of Aberdeen - (MS),MS,Municipal,SERC,32.7,30.7,0,"204,875",0,.,0,0,0,0,0,"204,875","198,442",0,0,70,"6,363","204,875","14,649.00",.,0,0,0,300.5,"14,949.50",O
2017,59,City of Abbeville - (LA),LA,Municipal,SPP,31.4,22.9,0,"137,537",.,.,0,.,.,0,.,"137,537","127,849",.,.,.,"9,688","137,537","12,574.40",0,0,0,0,0,"12,574.40",O
2017,84,A & N Electric Coop,VA,Cooperative,RFC,152.6,156.1,19,"714,961",.,.,0,.,.,0,.,"714,980","672,572",.,.,"1,687","40,721","714,980","68,496.70",.,.,.,.,"1,008.50","69,505.20",O
2017,97,Adams Electric Coop,IL,Cooperative,SERC,37,37,"4,677","170,432",.,.,0,.,.,0,.,"175,109","164,358",.,.,318,"10,433","175,109","22,070.00",.,.,.,.,241,"22,311.00",O
2017,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,109.1,83.4,.,"524,637",.,.,0,.,.,0,.,"524,637","493,241",35,.,"1,122","30,239","524,637","67,563.00",.,3,.,.,.,"67,566.00",O
2017,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,62,80,.,"423,959",.,.,0,.,.,0,.,"423,959","422,061",.,.,.,"1,898","423,959","34,283.30",.,.,.,.,.,"34,283.30",O
2017,118,"Adams Rural Electric Coop, Inc",OH,Cooperative,RFC,22.2,28.7,.,"110,314",.,.,0,.,.,0,.,"110,314","103,329",.,119,.,"6,866","110,314","14,853.00",.,.,.,.,401,"15,254.00",O
2017,122,Village of Arcade - (NY),NY,Municipal,NPCC,23.1,37.8,.,"156,270",.,.,0,.,.,0,.,"156,270","150,083",.,.,697,"5,490","156,270","7,186.00",.,.,.,.,514,"7,700.00",O
2017,123,City of Adel- (GA),GA,Municipal,SERC,21.6,20.2,.,"120,306",.,.,0,.,.,0,.,"120,306","115,802",.,.,787,"3,717","120,306","12,952.00",.,.,.,.,.,"12,952.00",O
