Utility Characteristics,,,,,,Demand,,Energy Sources (Megawatthours),,,,,,,,,,Disposition,,,,,,Electric Revenues,,,,,,,
,,,,,,(Megawatts),,,,Power Exchanged,,,Wheeled Power,,,,,(Megawatthours),,,,,,(Thousands Dollars),,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,Summer Peak Demand,Winter Peak Demand,Net Generation,Wholesale Power Purchases,Exchange Energy Received,Exchange Energy Delivered,Net Power Exchanged,Wheeled Power Received,Wheeled Power Delivered,Net Wheeled Power,Transmission by Other Losses,Total Sources,Retail Sales,Sales for Resale,Furnished without Charge,Consumed by Respondent without Charge,Total Energy Losses,Total Disposition,From Retail Sales,From Delivery Customers,From Sales for Resale,From Credits or Adjustments,From Transmission,From Other,Total,"Data Type
O = Observed
I = Imputed"
2019,34,City of Abbeville - (SC),SC,Municipal,SERC,13.7,10.8,"7,000","59,000",0,0,0,0,0,0,0,"66,000","58,000",0,"7,000",0,"1,000","66,000","7,536.00",0,0,0,0,0,"7,536.00",O
2019,55,City of Aberdeen - (MS),MS,Municipal,SERC,32.4,30.3,0,"209,454",0,0,0,0,0,0,0,"209,454","204,261",0,0,0,"5,193","209,454","14,797.00",0,0,0,0,139.3,"14,936.30",O
2019,59,City of Abbeville - (LA),LA,Municipal,SERC,28.9,22,0,"137,264",0,0,0,0,0,0,0,"137,264","127,579",0,0,"4,049","5,636","137,264","12,383.00",0,0,0,0,0,"12,383.00",O
2019,84,A & N Electric Coop,VA,Cooperative,RFC,154,162.4,596,"743,457",0,0,0,0,0,0,0,"744,053","704,010",0,0,"1,889","38,154","744,053","78,507.00",0,0,0,0,901.5,"79,408.50",O
2019,87,City of Ada - (MN),MN,Municipal,MRO,2.1,2.2,0,"20,028",0,0,0,0,0,0,0,"20,028","20,028",0,0,0,0,"20,028","1,593.00",0,0,0,0,0,"1,593.00",O
2019,97,Adams Electric Coop,IL,Cooperative,SERC,37,43,"4,612","183,534",0,0,0,0,0,0,0,"188,146","176,102",0,0,367,"11,677","188,146","23,851.00",0,0,0,0,219,"24,070.00",O
2019,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,126.9,93.5,0,"545,904",0,0,0,0,0,0,0,"545,904","515,186",79,0,"1,040","29,599","545,904","69,348.00",0,5,0,0,428,"69,781.00",O
2019,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,65,67,0,"300,947",0,0,0,0,0,0,0,"300,947","293,757",0,0,0,"7,190","300,947","23,676.80",0,0,0,0,0,"23,676.80",O
2019,118,"Adams Rural Electric Coop, Inc",OH,Cooperative,RFC,22.8,33.1,0,"115,777",0,0,0,0,0,0,0,"115,777","108,752",0,134,0,"6,891","115,777","15,093.00",0,0,0,0,401,"15,494.00",O
