Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2019,34,City of Abbeville - (SC),A,Bundled,O,SC,Municipal,DUK,"4,563.00","33,000","3,384","2,973.00","25,000",460,0,.,.,0,.,.,"7,536.00","58,000","3,844"
2019,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"3,930.00","34,781","2,566","5,229.00","48,943",662,"5,638.00","120,537",1,0,0,0,"14,797.00","204,261","3,229"
2019,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,"5,907.50","59,232","4,580","3,464.40","32,466",887,"3,011.10","35,881",27,.,.,.,"12,383.00","127,579","5,494"
2019,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,273.5,"2,094",272,69.5,529,44,.,.,.,.,.,.,343,"2,623",316
2019,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"44,102.00","357,988","31,427","18,546.00","167,237","4,183","15,516.00","176,162",8,.,.,.,"78,164.00","701,387","35,618"
2019,87,City of Ada - (MN),A,Bundled,O,MN,Municipal,MISO,860,"9,873",872,543,"7,540",255,190,"2,615",58,.,.,.,"1,593.00","20,028","1,185"
2019,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"17,699.00","118,628","8,706","6,152.00","57,474",225,.,.,.,.,.,.,"23,851.00","176,102","8,931"
2019,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"44,046.00","272,010","34,323","10,053.00","79,768","2,347","15,249.00","163,408",937,.,.,.,"69,348.00","515,186","37,607"
2019,113,"Agway Energy Services, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,2.2,27,3,1.3,14,1,0,0,0,0,0,0,3.5,41,4
2019,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"16,245.20","202,991","26,419","4,385.30","59,554","4,294",0,0,0,0,0,0,"20,630.50","262,545","30,713"
2019,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,"2,650.20","27,064","2,574",392.6,"4,107",122,0,0,0,0,0,0,"3,042.80","31,171","2,696"
2019,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,"13,078.00","92,887","7,090","2,015.00","15,865",389,.,.,.,.,.,.,"15,093.00","108,752","7,479"
2019,122,Village of Arcade - (NY),A,Bundled,O,NY,Municipal,NYIS,"4,001.00","76,442","3,663","2,092.00","47,409",497,"1,797.00","41,133",15,.,.,.,"7,890.00","164,984","4,175"
2019,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,"3,988.00","27,905","2,080","7,268.00","77,492",588,"4,444.00","58,623",18,.,.,.,"15,700.00","164,020","2,686"
2019,149,City of Afton- (IA),A,Bundled,O,IA,Municipal,MISO,532,"3,985",434,355,"2,910",80,.,.,.,.,.,.,887,"6,895",514
2019,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,767,"6,753",537,632,"5,937",112,77,566,2,.,.,.,"1,476.00","13,256",651
2019,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,"10,671.00","87,612","4,383","6,195.00","83,325",290,"5,799.00","67,621",578,.,.,.,"22,665.00","238,558","5,251"
2019,157,Town of Advance - (IN),A,Bundled,O,IN,Municipal,MISO,455.5,"3,744",238,82.8,620,33,.,.,.,.,.,.,538.3,"4,364",271
2019,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"87,168.90","623,544","45,490","15,710.80","134,771","2,553","12,860.10","180,121",16,.,.,.,"115,739.80","938,436","48,059"
2019,174,Aitkin Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,"1,401.00","12,921","1,641",775,"6,058",268,"1,971.00","15,515",79,0,0,0,"4,147.00","34,494","1,988"
2019,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,502.7,"4,717",799,290.4,"3,012",143,0,0,0,0,0,0,793.1,"7,729",942
2019,182,City of Akron - (IA),A,Bundled,O,IA,Municipal,MISO,803,"8,483",694,194,"1,800",110,715,"6,302",38,.,.,.,"1,712.00","16,585",842
2019,183,Village of Akron - (NY),A,Bundled,O,NY,Municipal,NYIS,954,"18,267","1,442",151,"2,416",174,"1,768.00","34,086",37,.,.,.,"2,873.00","54,769","1,653"
2019,191,Alamo Power District No 3,A,Bundled,O,NV,Political Subdivision,NEVP,997.5,"7,898",605,389.8,"3,561",91,198.1,"2,283",40,.,.,.,"1,585.40","13,742",736
2019,192,Akiachak Native Community Electric,A,Bundled,O,AK,Cooperative,NA,305.1,654,183,"1,327.80","1,101",56,.,.,.,.,.,.,"1,632.90","1,755",239
2019,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,"2,448,683.00","18,264,230","1,280,955","1,659,453.00","13,740,331","201,106","1,392,733.00","22,147,839","6,173",.,.,.,"5,500,869.00","54,152,400","1,488,234"
2019,198,City of Alton,A,Bundled,O,IA,Municipal,MISO,533,"6,321",455,392,"5,789",129,0,0,0,0,0,0,925,"12,110",584
2019,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,FPC,"5,190.00","44,764","3,895","8,956.00","85,405",721,.,.,.,.,.,.,"14,146.00","130,169","4,616"
2019,202,Town of Black Creek - (NC),A,Bundled,O,NC,Municipal,CPLE,"1,145.00","8,976",645,317,"2,390",117,.,.,.,.,.,.,"1,462.00","11,366",762
2019,207,City of Alameda,A,Bundled,O,CA,Municipal,CISO,"24,923.50","125,585","29,625","37,656.40","217,170","4,006",.,.,.,.,.,.,"62,579.90","342,755","33,631"
2019,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,NA,"20,309.50","143,208","14,793","14,572.20","121,011","2,354","8,831.20","73,577",133,.,.,.,"43,712.90","337,796","17,280"
2019,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,"7,720.00","25,514","5,631","10,681.00","41,533","2,502",0,0,0,0,0,0,"18,401.00","67,047","8,133"
2019,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,"21,366.40","41,117","8,065","34,298.70","77,865","3,382",0,0,0,0,0,0,"55,665.10","118,982","11,447"
2019,228,City of Albany - (MO),A,Bundled,O,MO,Municipal,SWPP,"1,247.00","8,615",882,807,"6,536",148,.,.,.,.,.,.,"2,054.00","15,151","1,030"
2019,229,City of Albany - (IL),A,Bundled,O,IL,Municipal,MISO,507,"3,791",437,89,953,17,.,.,.,.,.,.,596,"4,744",454
2019,230,Albany Utility Board,A,Bundled,O,GA,Municipal,SOCO,"38,596.00","358,604","31,473","59,349.00","522,911","5,610",.,.,.,.,.,.,"97,945.00","881,515","37,083"
2019,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,"16,750.90","131,544","9,859","13,003.70","121,443","2,200","2,259.50","29,581",13,0,0,0,"32,014.10","282,568","12,072"
2019,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,"24,981.00","177,135","11,955","4,166.00","34,650","1,103",621,"7,598",21,.,.,.,"29,768.00","219,383","13,079"
2019,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,"11,979.00","121,847","8,065","18,067.00","174,671","2,197","17,461.00","307,704",15,0,0,0,"47,507.00","604,222","10,277"
2019,244,City of Albion - (ID),A,Bundled,O,ID,Municipal,BPAT,197,"2,103",183,78,"1,035",35,.,.,.,.,.,.,275,"3,138",218
2019,261,AGC Division of APG Inc,A,Bundled,O,IN,Investor Owned,MISO,0,0,0,0,0,0,"148,499.90","3,457,376",1,0,0,0,"148,499.90","3,457,376",1
2019,266,City of Alpha - (MN),A,Bundled,O,MN,Municipal,MISO,70,659,70,64,398,9,.,.,.,.,.,.,134,"1,057",79
2019,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,"25,239.00","220,176","14,811","19,889.00","163,340","4,008","10,791.00","207,753",6,0,0,0,"55,919.00","591,269","18,825"
2019,282,Village of Arcadia - (OH),A,Bundled,O,OH,Municipal,PJM,371.1,"2,814",249,116.1,844,49,178,"1,400",3,.,.,.,665.2,"5,058",301
2019,289,City of Alexander City,A,Bundled,O,AL,Municipal,SOCO,"5,725.00","56,011","4,983","3,914.00","27,691","1,010","3,668.00","45,986",61,.,.,.,"13,307.00","129,688","6,054"
2019,295,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,MISO,"8,055.40","77,784","8,244","3,749.00","35,906","1,692","13,333.00","168,122",208,.,.,.,"25,137.40","281,812","10,144"
2019,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,SWPP,395,"4,030",220,882,"6,351",715,"1,189.00","15,341",17,.,.,.,"2,466.00","25,722",952
2019,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,"4,978.00","51,453","2,700","5,630.00","39,851","4,693","39,011.00","597,330",259,.,.,.,"49,619.00","688,634","7,652"
2019,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,"29,195.00","291,666","20,034","36,932.00","384,987","3,786",465,"5,703",7,.,.,.,"66,592.00","682,356","23,827"
2019,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,"10,157.00","49,253","9,540","2,200.00","13,869",548,"2,442.00","12,859",1,0,.,.,"14,799.00","75,981","10,089"
2019,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,"1,385.00","11,220","1,663","1,986.40","19,434",360,527.3,"6,671",1,0,.,.,"3,898.70","37,325","2,024"
2019,308,City of Acworth - (GA),A,Bundled,O,GA,Municipal,SOCO,"8,997.50","62,904","5,970","4,651.30","36,971",551,237.1,"1,764",3,.,.,.,"13,885.90","101,639","6,524"
2019,309,City of Algona - (IA),A,Bundled,O,IA,Municipal,SWPP,"3,992.00","28,102","3,044","3,342.00","28,188",676,"3,854.00","57,077",16,.,.,.,"11,188.00","113,367","3,736"
2019,329,"Allamakee-Clayton El Coop, Inc",A,Bundled,O,IA,Cooperative,MISO,"17,353.10","118,721","9,462","1,845.50","14,674",525,.,.,.,.,.,.,"19,198.60","133,395","9,987"
2019,366,City of Allendale- (IL),A,Bundled,O,IL,Municipal,MISO,272,"2,920",239,94,163,20,.,.,.,.,.,.,366,"3,083",259
2019,367,City of Alliance- (NE),A,Bundled,O,NE,Municipal,SWPP,"5,079.70","39,157","4,208","4,984.00","40,050","1,049","2,949.20","28,863",9,0,0,0,"13,012.90","108,070","5,266"
2019,385,City of Alma - (KS),A,Bundled,O,KS,Municipal,SWPP,459.7,"3,410",360,363.3,"2,791",108,709,"6,510",4,.,.,.,"1,532.00","12,711",472
2019,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,"12,609.40","86,654","13,698","12,520.60","97,865","2,809","9,240.60","148,955",4,0,0,0,"34,370.60","333,474","16,511"
