Release: EDGARv4.3.2 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeseries 1970-2012 of GHG per GDP emissions by country in ton CO2eq / 1000USD GDP / year (GWP-100 of AR4).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2  (1970 - 2012), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=GHGgdp, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877 and Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Dentener, F., Bergamaschi, P., Pagliari, V., Olivier, J.G.J., Peters, J.A.H.W., van Aardenne, J.A., Monni, S., Doering, U., Petrescu, A.M.R. (2017) EDGARv4.3.2 Global Atlas of the three major Greenhouse Gas Emissions for the period 1970-2012, Earth Syst. Sci. Data Discuss., https://doi.org/10.5194/essd-2017-79, in review, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,Afghanistan,CO2eq/GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714147,0.713383,0.693409,0.695242,0.702265,0.72975,0.773492,0.791574,0.792135,0.82586,0.737565,0.634845,0.707912,0.692232,0.687344,0.642477,0.620312,0.543329,0.595797,0.531723,0.561773,0.545013,0.478037
ALB,Albania,CO2eq/GDP,0.960599,0.923263,0.96827,0.893991,0.890898,0.880292,0.909211,0.922893,0.991329,1.065423,1.056134,0.944368,0.915233,0.938309,0.983689,0.930438,0.96305,0.943872,0.962201,0.976639,0.788363,0.845116,0.668406,0.608675,0.65547,0.529685,0.467066,0.466186,0.441621,0.475063,0.454021,0.431713,0.448336,0.437136,0.42349,0.384881,0.363803,0.340876,0.308762,0.279194,0.281584,0.284046,0.271724
DZA,Algeria,CO2eq/GDP,0.742141,0.813948,1.44629,1.775668,1.304361,0.909443,1.130252,1.230142,1.145463,0.923712,0.855158,0.727432,0.622778,0.590825,0.638535,0.77621,0.703826,0.650943,0.637281,0.673798,0.569175,0.595392,0.733338,0.732188,0.708439,0.705575,0.662558,0.604753,0.55142,0.539799,0.528485,0.483913,0.460445,0.47151,0.44027,0.434542,0.447539,0.43062,0.438168,0.426409,0.418993,0.413959,0.412985
AGO,Angola,CO2eq/GDP,1.1523,1.030337,1.102621,1.252859,1.207877,1.129956,0.817237,1.436592,1.524668,1.680891,1.686307,1.535855,1.587828,1.642271,1.604766,1.545837,1.515461,1.501057,1.45726,1.383764,0.969425,1.033618,1.164698,1.514621,1.33378,1.345626,1.400872,1.293384,1.231258,1.144943,0.976258,0.909443,0.956359,0.931771,0.829625,0.700481,0.573208,0.466957,0.439174,0.434607,0.46558,0.450259,0.431173
AIA,Anguilla,CO2eq/GDP,0.071783,0.074183,0.077294,0.067869,0.067647,0.07123,0.064765,0.065223,0.072256,0.071353,0.078205,0.099452,0.099215,0.085005,0.081058,0.059506,0.050226,0.061158,0.053973,0.053236,0.045674,0.070628,0.055029,0.063571,0.078905,0.095778,0.098642,0.085991,0.069017,0.06114,0.081181,0.083378,0.07053,0.073464,0.065603,0.055251,0.05024,0.041052,0.047258,0.083231,0.098982,0.103327,0.109626
ATG,Antigua and Barbuda,CO2eq/GDP,0.508028,0.50022,0.555352,0.565258,0.451264,0.540067,0.502294,0.612652,0.550322,0.536804,0.42401,0.402498,0.469414,0.343854,0.37104,0.310917,0.309358,0.309762,0.323654,0.300523,0.286839,0.284068,0.280123,0.253813,0.254552,0.274852,0.261969,0.243524,0.230035,0.22485,0.230724,0.249424,0.237119,0.232218,0.229018,0.213284,0.187771,0.179591,0.180147,0.209299,0.236881,0.254374,0.245908
ARG,Argentina,CO2eq/GDP,1.25356,1.207429,1.21391,1.233467,1.16736,1.192455,1.29624,1.254001,1.318886,1.223336,1.146793,1.170695,1.221117,1.190257,1.218958,1.254915,1.175096,1.156305,1.264653,1.371376,1.365503,1.193959,1.088413,1.054448,1.045468,1.019505,1.042707,0.931825,0.88749,0.937009,0.9392,0.961475,1.071037,1.063855,1.035145,0.963369,0.928524,0.880142,0.876197,0.827209,0.765539,0.704934,0.696025
ARM,Armenia,CO2eq/GDP,2.083564,2.003466,2.040789,2.030655,2.074464,2.164128,2.096796,2.070238,2.049273,2.059453,2.138435,2.131935,2.120549,2.068442,2.052791,2.060664,1.986663,1.980848,1.975573,1.889235,1.792187,2.084994,1.992854,1.193685,0.771122,0.818311,0.650043,0.724724,0.681876,0.617982,0.636015,0.589279,0.480206,0.455976,0.445068,0.438587,0.394753,0.390467,0.38842,0.387367,0.355125,0.370036,0.347447
AUS,Australia,CO2eq/GDP,1.155168,1.130878,1.12878,1.119292,1.117895,1.183596,1.171666,1.139867,1.088636,1.053661,1.041933,1.017099,0.997456,0.97349,0.999689,0.980079,0.938264,0.940242,0.919642,0.933182,0.912045,0.92067,0.917421,0.886356,0.861614,0.84512,0.83757,0.826014,0.82565,0.801205,0.787659,0.794696,0.77652,0.760174,0.75596,0.742451,0.710152,0.707366,0.682995,0.675939,0.642925,0.641594,0.622723
AUT,Austria,CO2eq/GDP,0.515609,0.502543,0.492143,0.486617,0.450625,0.42185,0.449394,0.423975,0.420128,0.435953,0.409603,0.383268,0.3726,0.36519,0.365306,0.369703,0.355105,0.347696,0.337118,0.330865,0.33724,0.341074,0.312437,0.311352,0.303663,0.306611,0.313312,0.303793,0.295218,0.277838,0.270433,0.281338,0.282715,0.296875,0.289448,0.286527,0.270203,0.254219,0.252693,0.239128,0.253917,0.244816,0.239833
AZE,Azerbaijan,CO2eq/GDP,1.917706,1.8578,1.839578,1.866227,1.90629,2.017936,2.013983,2.027472,2.046199,1.761761,1.807641,1.808946,1.791809,1.776502,1.78673,1.817294,1.762038,1.771814,2.036961,1.974772,1.381041,1.336414,1.385491,1.326691,1.492793,1.657233,1.430115,1.314777,1.208884,1.180074,1.10982,0.985506,0.888991,0.862122,0.780828,0.660663,0.507375,0.398349,0.411959,0.336376,0.313048,0.336853,0.342805
BHS,Bahamas,CO2eq/GDP,0.785879,0.789017,0.908845,1.039505,0.767738,1.115606,1.110653,1.18275,1.136855,0.934266,0.744597,0.710071,0.611346,0.452823,0.44027,0.384177,0.38691,0.409331,0.41792,0.446113,0.446349,0.454058,0.41781,0.39899,0.416652,0.454902,0.490155,0.464862,0.426619,0.374664,0.338775,0.343219,0.335622,0.38143,0.382521,0.364552,0.366059,0.385954,0.405065,0.427619,0.452975,0.488717,0.479645
BHR,Bahrain,CO2eq/GDP,0.525274,0.520589,0.592127,0.692717,0.723045,0.554356,0.661455,0.576219,0.545566,0.564843,0.724751,0.721442,0.729139,0.708317,0.683963,0.774879,0.896753,0.870399,0.905827,0.85398,0.872382,0.763825,0.749803,0.666433,0.672878,0.652397,0.653948,0.669184,0.672624,0.653776,0.628973,0.639704,0.649913,0.629917,0.528847,0.539139,0.506651,0.534706,0.494507,0.49375,0.480962,0.485176,0.468405
BGD,Bangladesh,CO2eq/GDP,1.376013,1.213017,1.25485,1.332403,1.550876,1.579431,1.608816,1.423608,1.36398,1.35356,1.217205,1.188919,1.174795,1.07764,1.060499,1.041908,1.028794,0.983742,0.961976,0.969282,0.930801,0.889561,0.856376,0.814643,0.797075,0.789885,0.761872,0.737719,0.696306,0.694479,0.671601,0.663817,0.660522,0.642784,0.609243,0.59607,0.574705,0.55864,0.55858,0.549363,0.541626,0.517584,0.483999
