Release: EDGARv4.3.2 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeseries 1970-2012 of GHG per capita emissions by country in ton CO2eq / capita / year (GWP-100 of AR4).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2  (1970 - 2012), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=GHGpc, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877 and Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Dentener, F., Bergamaschi, P., Pagliari, V., Olivier, J.G.J., Peters, J.A.H.W., van Aardenne, J.A., Monni, S., Doering, U., Petrescu, A.M.R. (2017) EDGARv4.3.2 Global Atlas of the three major Greenhouse Gas Emissions for the period 1970-2012, Earth Syst. Sci. Data Discuss., https://doi.org/10.5194/essd-2017-79, in review, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,Afghanistan,CO2eq/cap,1.557705,1.51767,1.35759,1.307901,1.425016,1.383556,1.359605,1.361826,1.434308,1.345154,1.338219,1.335121,1.350909,1.352035,1.294653,1.235054,1.113449,1.122661,1.12306,1.013531,0.980756,0.935333,0.856306,0.808294,0.777309,0.785834,0.826212,0.84831,0.864519,0.893531,0.799289,0.691034,0.755036,0.761899,0.731362,0.728452,0.72154,0.6969,0.774093,0.812941,0.906098,0.905995,0.880562
ALB,Albania,CO2eq/cap,3.355742,3.273015,3.486034,3.276542,3.31639,3.340979,3.510529,3.610854,3.961856,4.357101,4.328311,3.897511,3.913023,4.053394,4.210195,3.970841,3.948754,3.981876,3.93084,3.864989,3.398565,2.571734,1.90556,1.931784,2.289548,2.120925,2.049416,1.820377,1.875025,2.279518,2.320918,2.380982,2.58081,2.668861,2.744278,2.652038,2.661766,2.668358,2.632177,2.483373,2.613266,2.717041,2.641683
DZA,Algeria,CO2eq/cap,4.645362,5.671132,9.307807,12.61195,9.77434,8.091129,10.46487,11.18752,11.44784,9.970998,9.440252,7.373516,6.304439,6.162594,6.810518,8.46403,7.89269,7.074835,6.690364,6.753206,5.827113,5.877902,7.187319,6.872068,6.450254,6.545338,6.308679,5.722452,5.404796,5.381295,5.395709,5.023801,4.984933,5.402415,5.194479,5.355644,5.518553,5.424689,5.552031,5.382703,5.384069,5.382692,5.44307
AGO,Angola,CO2eq/cap,6.772412,6.33684,7.066639,7.676729,7.746835,7.089269,4.691702,7.773207,8.351998,8.12318,7.943911,7.145705,6.815861,6.796386,6.694927,6.626298,6.523349,6.471532,6.37554,6.248569,4.25654,4.351067,4.414537,4.190209,3.694451,3.993957,4.489209,4.35046,4.309244,4.022496,3.42916,3.21973,3.048314,3.015538,2.873456,2.769409,2.63731,2.543714,2.622633,2.569057,2.744409,2.66085,2.586921
AIA,Anguilla,CO2eq/cap,0.776791,0.777982,0.785165,0.762999,0.787325,0.823492,0.769495,0.783613,0.869374,0.920712,1.102856,1.470848,1.55064,1.343011,1.255776,0.93713,0.841844,1.20625,1.08925,1.087889,1.042555,1.183314,1.175211,1.367023,1.693769,1.998107,1.93348,1.628291,1.482824,1.384431,1.702957,1.684894,1.215132,1.465923,1.452414,1.444734,1.35859,1.300819,1.499298,1.854731,2.115052,2.236672,2.212629
ATG,Antigua and Barbuda,CO2eq/cap,2.83605,2.95835,3.48975,3.747918,3.187707,3.7838,3.23371,3.552423,3.420787,3.367898,3.411758,3.501759,4.243383,3.114858,3.623764,3.396313,3.676438,4.052425,4.589786,4.511078,4.566917,4.566665,4.480573,4.18387,4.339966,4.384193,4.332057,4.121332,3.957609,3.92915,4.145479,4.2626,4.106189,4.212205,4.328811,4.226413,4.163701,4.317056,4.284012,4.319,4.49223,4.687803,4.655974
ARG,Argentina,CO2eq/cap,9.443864,9.420259,9.461847,9.735081,9.573179,9.596482,10.06077,10.27875,10.13605,10.23296,9.832277,9.315775,9.114879,9.064659,9.323673,8.778547,8.742131,8.711637,9.128968,9.028509,8.638591,8.403966,8.461049,8.548757,8.872487,8.282776,8.830216,8.448811,8.279632,8.343205,8.181002,7.907001,7.75902,8.301649,8.736586,8.785048,9.077644,9.19854,9.334903,8.744366,8.754885,8.630448,8.519953
ARM,Armenia,CO2eq/cap,5.176366,5.093595,5.307477,5.603012,5.890895,6.283096,6.337672,6.429758,6.533539,6.650316,6.911196,6.92668,6.992491,6.938795,6.8797,6.857144,6.787554,6.752254,6.706356,6.552056,6.705833,6.94315,3.939522,2.201409,1.537541,1.776805,1.517012,1.770295,1.800097,1.694751,1.860316,1.900315,1.760229,1.916734,2.081635,2.348229,2.411392,2.738749,2.938064,2.529871,2.382095,2.595703,2.611944
AUS,Australia,CO2eq/cap,23.52988,23.56913,24.04378,24.20492,24.94736,25.33351,25.25332,25.39871,24.51382,24.52606,24.76255,24.56848,24.6558,23.75847,23.92435,24.61334,24.39975,24.63743,24.84416,25.92732,26.07564,25.89301,25.58818,25.45258,25.40061,25.64066,26.12388,26.4835,27.36489,27.61083,27.8859,28.35341,28.49543,28.43664,29.05501,29.0653,28.17303,28.57169,28.06205,27.77222,26.47337,26.63771,26.35903
AUT,Austria,CO2eq/cap,9.483874,9.799993,10.06955,10.52572,10.21458,9.867782,10.56598,10.23789,10.5827,10.95789,10.72677,10.27388,9.983843,9.968442,10.24254,10.39636,10.1844,10.19664,10.02033,9.903442,10.43325,10.84639,10.05617,9.992185,9.925068,10.236,10.66172,10.55916,10.60378,10.33886,10.36811,10.90363,11.07035,11.6642,11.62161,11.69959,11.36236,11.03735,11.09548,10.07104,10.84326,10.69053,10.49081
