Name,Finance,,,
Version,3.0.0,,,
Author,"Austin Cory Bart <acbart@vt.edu>, Joung Min Choi <joungmin@vt.edu>, Bo Guan <jasonguan0107@vt.edu>",,,
Created,10/7/2021,,,
Data File,finance-corgis.csv,,,
Overview,"The Annual Survey of State Government Finances provides a comprehensive summary of the annual survey findings for state governments, as well as data for individual states.",,,
Data Source,https://www.census.gov/programs-surveys/state.html,,,
Description,"The Annual Survey of State Government Finances provides a comprehensive summary of the annual survey findings for state governments, as well as data for individual states. The data contain detail of revenue by source, expenditure by object and function, indebtedness by term, and assets by purpose. This data goes back for almost two decades across every date. (1992 - 2019) ",,,
Tags,"finance, government, expenditure, charges, money, united states, us",,,
Row,record,,,
Row Explanation,Government finance report for each state in a given year,,,
Acknowledgement,,,,
Icon,finance-icon.png,,,
Splash,finance-icon.png,,,
Properties,Name,Type,Index,Description
,State,string,TRUE,"The state that this report was made for (full name, not the two letter abbreviation)."
,Year,int,TRUE,The year that this report was made for.
,Totals.Capital outlay,int,,"Direct expenditure for contract or force account construction of buildings,grounds, and other improvements, and purchase of equipment, land, and existing structures. Includes amounts for additions, replacements, and major alterations to fixed works and structures. However, expenditure for repairs to such works and structures is classified as current operation expenditure."
,Totals.Revenue,int,,"All amounts of money received by a government from external sources--net of refunds and other correcting transactions--other than from issuance of debt, liquidation of investments, and as agency and private trust transactions. Note that revenue excludes noncash transactions such as receipt of services, commodities, or other ""receipts in kind."""
,Totals.Expenditure,int,,"All amounts of money paid out by a government--net of recoveries and other correcting transactions--other than for retirement of debt, investment in securities, extension of credit, or as agency transactions. Note that expenditure includes only external transactions of a government and excludes non-cash transactions such as the provision of perquisites or other payments in kind."
,Totals.General expenditure,int,,"Amounts paid to other governments as fiscal aid in the form of shared revenues and grants-in-aid, as reimbursements for performance of general government activities and for specific services for the paying government, or in lieu of taxes. Excludes amounts paid to other governments for purchase of commodities, property, or utility services, any tax imposed and paid as such, and employer contributions for social insurance - e.g., contributions to the Federal Government for Old Age, Survivors', Disability, and Health Insurance for government employees."
,Totals.General revenue,int,,"All government revenue except Liquor stores revenue, Insurance trust revenue, and Utility revenue. The basis for distinction is not the fund or administrative unit receiving particular amounts, but rather the nature of the revenue sources concerned."
,Totals.Insurance trust  revenue,int,,"Revenue from contributions required of employers and employees for financing social insurance programs operated by the government (see Insurance trust system, below) and earnings on assets held for such systems. Excludes any contributions by a government - either as employer contributions or for general financial support - to a social insurance system it administers. Note that tax proceeds, donations, and any forms of revenue other than those enumerated above are classified as general revenue, even though such amounts may be received specifically for insurance trust purposes."
,Totals.Intergovernmental,int,,"Amounts received from other governments as fiscal aid in the form of shared revenues and grants-in -aid, as reimbursements for performance of general government functions and specific services for the paying government (e.g., care of prisoners or contractual research), or in lieu of taxes, Excludes amounts received from other governments for sale of property, commodities, and utility services. All intergovernmental revenue is classified as General revenue."
,Totals.License tax,int,,"Taxes exacted (either for revenue raising or for regulation) as a condition to the exercise of a business or nonbusiness privilege, at a flat rate or measured by such bases as capital stock, capital surplus, number of business units, or capacity. Excludes taxes measured directly by transactions, gross or net income, or value of property except those to which only nominal rates apply. ""License"" based on these latter measures, other than those at nominal rates, are classified according to the measure concerned. Includes ""fees"" related to licensing activities - automobile inspection, gasoline and oil inspection, professional examinations and licenses, etc. - as well as license taxes producing substantial revenue."
,Totals.Selective sales tax,int,,"Sales and gross receipts taxes imposed on sales of particular commodities or services or gross receipts of particular businesses, separately and apart from the application of general sales and gross receipts taxes. Specific selective sales taxes included are alcoholic beverages, amusements, insurance, motor fuels, parimutuels, public utilities, tobacco products, and others."
,Totals.Tax,int,,"Compulsory contributions exacted by a government for public purposes except employee and employee assessments for retirement and social insurance purposes, which are classified as insurance trust revenue. All tax revenue is classified as general revenue and comprises amounts received (including interest and penalties but excluding protested amounts and refunds) from all taxes imposed by a government. Note that local government tax revenue excludes any amounts from shares of state-imposed and collected taxes, which are classified as Intergovernmental revenue."
,Details.Correction.Correction Total,int,,"Total amount spent on correctional purposes, such as prisons."
,Details.Education.Education Total,int,,"Total amount spent on schools, colleges, and other educational institutions (e.g., for blind, deaf, and other handicapped individuals), and educational programs for adults, veterans, and other special classes. State institutions of higher education includes activities of institutions operated by the state, except that agricultural extension services and experiment stations are classified under Natural resources and hospitals serving the public are classified under Hospitals. Revenue and expenditure for dormitories, cafeterias, athletic events, bookstores, and other auxiliary enterprises financed mainly through charges for services are reported on a gross basis."
,Details.Financial Aid.Assistance and Subsidies,int,,"Total amount spent on cash contributions and subsidies to persons, not in payments for goods or services or claims against the government. For local governments, this object category comprises only direct cash assistance payments to public welfare recipients. For states, it includes also veterans' bonuses and direct cash grants for tuition, scholarships, and aid to nonpublic education institutions."
,Details.Financial Aid.Cash and Securities Total,int,,"Total amount spent on cash and deposits and governmental and private securities (bonds, notes, mortgages, corporate stocks, etc., including loans and other credit paper held by state loan and investment funds) except holdings of agency and private trust funds. Includes fund investments in securities issued by government concerned but does not include interfund loans, receivables, and the value of real property and other fixed assets."
,Details.Health.Health Total Expenditure,int,,"Total amount spent on outpatient health services, other than hospital care, including: public health administration; research and education; categorical health programs; treatment and immunization clinics; nursing; environmental health activities such as air and water pollution control; ambulance service if provided separately from fire protection services, and other general public health activities such as mosquito abatement. School health services provided by health agencies (rather than school agencies) are included here. Sewage treatment operations are classified under Sewerage."
,Details.Intergovernmental.Intergovernmental Expenditure,int,,Money paid overall.
,Details.Intergovernmental.Intergovernmental to Combined and Unallocable,int,,Other kinds of money.
,Details.Natural Resources.Natural Resources Construction,int,,Total amount spent on construction for the support of natural resources.
,Details.Utilities.Utilities Current Operation,int,,"Amount spent on current operation of government owned and operated water supply, electric light and power, gas supply, or transit system. Government revenue, expenditure, and debt relating to utility facilities leased to other governments or persons, and other commercial type activities of governments, such as port facilities, airports, housing projects, radio stations, steam plants, ferries, abattoirs, etc., are classified as general government activities."
,Details.Welfare.Welfare Institution Total Expenditure,int,,Total amount spent on welfare institutions.
,Details.Natural Resources.Parks.Parks Total Expenditure,int,,"Total amount spent on provision and support of recreational and cultural-scientific facilities and activities including golf courses, play fields, playgrounds, public beaches, swimming pools, tennis courts, parks, auditoriums, stadiums, auto camps, recreation piers, marinas, botanical gardens, galleries, museums, and zoos. Also includes building and operation of convention centers and exhibition halls. Public libraries are included under Libraries."
,Details.Transportation.Highways.Highways Total Expenditure,int,,"Total amount spent on the support of construction, maintenance, and operation of highways, streets, and related structures, including toll highways, bridges, tunnels, ferries, street lighting and snow and ice removal. However, highway policing and traffic control are classed under Police protection."
,Totals. Debt at end of fiscal year,int,,Amount of debt in the 12-month period at the end of which the government or any government agency determines its financial condition and the results of its operations and closes its books
,Details.Insurance benefits and repayments,int,,"Amount of social insurance payments to beneficiaries, employee-retirement annuities and other benefits, and withdrawals of insurance or employee retirement contributions"
,Details.Interest on debt,int,,Amount of interest from all the debt
,Details.Interest on general debt,int,,Amount of interest from all debt other than that identified as having been issued specifically for utility purposes
,Details.Miscellaneous general revenue,int,,General revenue other than taxes and intergovernmental revenue
,Details.Other taxes,int,,Amount of taxes not listed separately
,Details.Police protection,int,,Amounts of money spent on preservation of law and order and traffic safety
