(Thousands of Dollars),United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total revenue,"2,663,062,083","35,488,256","10,477,983","49,667,795","25,034,061","436,479,413","34,897,219","38,247,846","10,745,653","106,809,915","58,717,406","16,685,637","12,008,567","91,965,770","47,717,809","31,009,143","23,339,100","36,756,872","36,750,083","11,284,444","51,389,227","71,719,267","78,528,113","57,263,936","23,697,177","39,518,558","9,070,507","12,291,382","23,007,784","9,524,707","86,720,430","24,262,470","224,820,369","71,551,641","9,520,534","87,536,884","28,408,829","44,854,069","109,493,309","10,459,645","36,196,217","5,369,864","40,248,126","168,759,292","23,038,414","7,221,076","65,939,302","68,488,756","15,954,669","37,993,375","6,131,182"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General revenue,"2,201,726,001","30,197,479","8,700,223","41,272,289","22,162,401","336,543,686","32,006,211","31,006,234","9,751,726","92,664,739","47,347,782","14,317,947","9,405,859","74,365,779","42,717,934","25,895,682","20,133,578","30,676,750","30,535,502","9,231,559","43,886,013","61,334,541","67,979,483","45,716,403","19,731,475","31,349,100","7,378,199","10,857,855","16,789,588","7,572,559","70,464,121","20,569,161","184,098,274","59,524,997","8,508,509","71,687,023","23,907,575","34,845,002","93,333,010","8,757,326","29,146,076","4,440,112","31,066,954","146,325,437","21,281,112","6,443,210","55,523,472","52,105,148","13,801,161","38,844,584","5,525,161"
Intergovernmental revenue,"708,436,181","11,279,007","3,725,035","16,861,452","7,896,933","102,638,475","9,087,124","8,785,565","2,584,428","29,278,126","15,788,655","2,887,218","3,106,338","20,972,021","15,618,221","6,382,298","4,358,447","12,259,406","14,174,133","3,115,555","13,455,977","17,753,608","22,714,763","11,803,107","8,330,020","12,012,234","3,226,125","3,307,712","5,416,022","2,821,709","18,663,330","7,529,713","67,089,737","19,607,962","1,795,231","25,201,468","7,395,887","11,056,928","31,473,741","2,932,331","9,617,121","1,525,193","11,933,633","50,030,708","4,779,392","2,008,232","12,218,425","13,963,165","5,168,471","10,514,723","2,291,076"
Taxes,"1,081,562,799","11,576,632","1,780,911","18,163,903","10,217,866","188,235,271","15,869,834","17,993,741","4,595,544","44,799,831","24,712,873","8,207,524","4,883,696","42,501,290","20,171,288","10,583,869","10,030,158","12,895,595","11,748,609","4,674,441","23,606,217","31,805,410","30,270,130","28,175,795","8,288,883","13,181,385","3,168,557","5,754,834","9,744,547","2,969,381","38,844,103","7,427,647","91,621,218","29,316,480","4,969,744","30,146,540","10,731,644","13,959,589","43,132,450","3,723,980","11,221,043","1,940,415","14,826,723","63,330,294","9,968,215","3,428,588","26,285,898","27,992,437","5,938,039","20,039,033","2,110,704"
General sales,"334,088,507","2,912,839",,"8,358,260","3,573,456","41,539,499","3,375,058","4,589,035",,"28,006,498","6,250,310","3,808,718","1,908,887","12,013,541","8,087,116","3,404,630","3,334,645","3,984,753","3,739,549","1,613,210","4,888,693","6,834,003","9,613,796","6,205,621","3,731,772","3,732,101",,"1,966,358","5,500,442",,"10,846,600","2,863,208","15,372,529","8,461,400","1,053,147","12,692,369","3,071,467",,"11,747,314","1,120,139","3,463,666","1,144,682","7,845,752","38,123,052","2,832,742","412,300","5,457,799","16,647,080","1,494,680","5,695,550","770,241"
Selective sales,"169,038,597","2,706,611","278,823","2,085,528","1,347,012","18,694,463","2,613,477","3,198,853","602,601","8,485,578","3,259,155","1,253,416","624,945","7,520,749","4,492,331","1,453,235","1,189,079","2,326,479","2,660,890","714,523","5,007,238","2,723,947","4,733,598","4,963,954","1,501,171","1,817,109","663,096","613,234","2,335,181","993,686","5,196,309","821,121","11,857,986","4,342,680","510,485","5,836,935","1,572,185","1,864,887","10,392,843","710,368","1,777,477","469,982","2,883,746","15,782,342","1,224,694","711,104","3,138,020","4,726,647","1,424,432","2,750,728","183,664"
License taxes,"58,930,712","555,980","159,757","580,141","403,627","11,041,442","697,149","411,475","1,784,760","2,124,415","710,701","280,311","387,442","2,779,724","767,938","990,985","433,280","530,272","438,495","291,044","913,034","1,199,646","2,030,560","1,495,685","512,541","628,550","388,817","184,373","700,863","465,056","1,708,516","332,445","1,808,797","2,327,335","228,684","2,227,938","1,045,007","1,134,928","2,773,590","116,141","648,504","273,497","1,909,972","3,659,169","363,319","126,071","897,002","1,746,818","240,841","1,265,334","208,741"
Individual income tax,"410,093,667","4,194,844",,"5,357,251","3,012,491","100,079,921","8,171,546","8,457,229","1,741,418",,"12,176,943","2,568,259","1,668,776","16,541,327","6,056,960","4,098,020","3,778,453","4,629,057","3,833,235","1,709,069","10,067,080","17,150,964","10,150,323","12,400,060","1,968,485","6,587,919","1,412,863","2,545,680",,"122,622","15,903,300","1,590,271","54,296,814","13,258,890","415,274","9,313,265","3,565,449","9,847,141","13,517,069","1,376,495","4,759,113",,"201,900",,"4,978,629","860,639","14,872,136",,"2,096,807","8,759,680",
Corporate income tax,"57,539,179","684,296","332,520","514,264","533,915","13,792,519","794,659","900,419","289,974","3,114,711","1,271,270","190,484","284,961","3,090,679","752,352","535,594","486,421","580,131","495,388","252,867","1,301,050","2,946,667","1,142,671","1,711,659","494,811","369,010","185,097","423,738",,"831,765","4,051,400","202,367","4,339,182","836,415","146,523","7,306","302,878","910,929","2,962,361","176,463","396,207","46,295","1,697,469",,"522,382","149,832","923,683",,"198,799","1,364,796",
