STATE GOVERNMENT FINANCES: 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands.  Per capita amounts in dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,,,,,,,,,,,,
,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,,,,,,,,,,,,,,,
Population (thousands),"269,775","4,352",614,"4,669","2,538","32,667","3,971","3,274",744,"14,916","7,642","1,193","1,229","12,045","5,899","2,862","2,629","3,936","4,369","1,244","5,135","6,147","9,817","4,725","2,752","5,439",880,"1,663","1,747","1,185","8,115","1,737","18,175","7,546",638,"11,209","3,347","3,282","12,001",988,"3,836",738,"5,431","19,760","2,100",591,"6,791","5,689","1,811","5,224",481,,,,,,,,,,,,,,,
Total Revenue,"1,095,861,887","14,843,951","9,039,235","16,582,495","9,487,169","144,984,973","13,514,305","16,520,398","4,593,997","51,751,884","25,707,202","6,760,740","4,705,173","40,460,377","18,507,747","10,029,402","8,443,997","15,989,084","17,605,336","5,689,618","20,559,098","28,234,686","40,069,007","24,508,758","10,611,243","19,020,637","3,625,865","5,635,696","7,319,969","4,010,298","37,007,323","9,058,548","96,131,441","33,326,975","3,128,460","48,133,067","12,185,893","15,688,295","48,503,491","4,437,538","15,202,985","2,874,277","16,675,209","57,807,137","8,762,037","2,372,580","25,918,315","27,980,014","7,808,416","21,394,590","2,652,956",,,,,,,,,,,,,,,
  General revenue,"864,863,438","12,433,410","7,973,315","11,813,762","7,724,459","111,087,737","10,953,476","14,452,190","3,883,087","36,780,333","20,164,786","5,473,742","3,591,719","33,786,763","17,112,711","8,821,047","7,784,967","12,968,961","13,648,882","4,566,877","15,589,078","25,801,142","36,084,560","17,856,170","8,399,929","14,884,052","2,980,419","4,829,306","4,614,860","2,968,123","28,357,326","7,127,032","80,720,172","23,949,838","2,533,365","32,299,884","9,411,095","11,273,159","36,833,236","3,781,200","11,415,166","2,098,360","14,086,340","48,065,757","6,627,390","2,196,423","19,267,867","19,079,085","6,205,724","18,168,632","2,336,524",,,,,,,,,,,,,,,
    Intergovernmental revenue,"240,788,817","4,021,037","1,079,799","3,329,995","2,368,339","30,893,821","2,788,627","3,016,337","724,706","8,301,851","5,676,362","1,175,599","862,978","8,958,993","3,943,070","2,215,812","1,862,929","3,602,966","4,026,348","1,411,320","3,533,711","6,458,265","8,557,047","3,938,396","2,947,073","4,246,338","1,047,919","1,282,063","911,731","1,023,619","6,391,527","1,846,136","33,790,935","6,817,303","892,685","8,953,346","2,516,285","3,364,556","9,608,658","1,146,311","3,442,418","764,232","5,264,984","14,605,424","1,689,850","729,547","3,780,977","4,247,049","2,096,294","3,794,650","838,599",,,,,,,,,,,,,,,
    Taxes,"474,392,344","5,739,128","1,186,237","6,949,370","4,056,582","67,713,613","5,890,211","9,393,604","1,981,473","22,521,069","11,589,495","3,176,246","2,057,378","19,771,284","9,747,426","4,802,531","4,661,846","7,115,149","6,082,026","2,369,820","9,190,482","14,488,496","21,215,742","11,503,928","4,242,525","8,221,876","1,327,652","2,633,216","3,113,000","1,008,518","15,604,971","3,574,537","36,154,533","13,869,426","1,078,375","17,642,836","5,300,829","4,999,361","20,629,483","1,821,305","5,683,148","833,662","6,996,120","24,629,000","3,500,583","957,656","10,542,966","11,806,170","3,011,990","11,149,754","855,716",,,,,,,,,,,,,,,
      General sales,"155,970,891","1,570,650",0,"3,050,111","1,513,673","21,301,860","1,530,832","3,031,699",0,"12,923,644","3,993,493","1,425,352","652,843","5,596,046","3,156,272","1,528,824","1,619,246","1,981,290","1,981,231","830,758","2,161,233","2,962,535","7,572,789","3,243,611","2,034,804","2,627,839",0,"919,750","1,656,749",0,"4,766,195","1,454,913","7,615,370","3,272,774","309,139","5,531,207","1,328,295",0,"6,313,056","525,672","2,162,858","442,549","4,027,787","12,474,161","1,311,955","194,501","2,225,021","6,909,239","856,276","3,047,406","335,383",,,,,,,,,,,,,,,
      Selective sales,"71,371,662","1,422,930","116,803","958,092","588,132","5,209,750","787,605","1,688,832","254,920","4,004,285","998,518","486,399","299,870","3,515,529","1,252,525","685,545","571,175","1,276,233","1,217,797","309,945","1,681,536","1,408,131","1,928,658","1,689,402","763,267","1,171,787","274,745","397,756","969,647","497,958","2,884,171","495,831","4,807,569","2,462,388","300,867","2,779,957","681,319","671,587","3,374,638","374,530","731,430","218,814","1,292,867","7,409,373","460,776","229,511","1,686,240","1,773,551","701,576","1,539,542","67,353",,,,,,,,,,,,,,,
      License taxes,"29,667,576","434,433","94,334","233,167","237,372","3,135,510","277,802","360,017","649,097","1,451,319","396,748","92,647","196,047","1,207,679","216,632","452,880","213,835","446,730","456,721","118,536","350,854","450,609","1,104,998","875,040","300,255","574,521","156,932","169,034","335,993","124,730","753,229","187,971","966,735","841,745","79,755","1,456,872","746,669","505,870","2,180,733","87,653","404,915","104,911","656,281","3,533,965","120,317","65,560","455,443","528,840","158,994","637,496","79,150",,,,,,,,,,,,,,,
      Individual income tax,"160,746,478","1,793,561",0,"1,863,196","1,390,304","27,784,407","2,881,537","3,405,916","761,445",0,"5,317,375","1,083,388","778,909","6,986,995","4,065,074","1,838,498","1,743,983","2,418,144","1,450,814","906,374","4,139,159","8,031,943","6,316,125","4,749,801","847,075","3,371,717","444,161","973,905",0,"61,799","5,590,579","799,006","18,289,070","6,124,709","177,873","6,967,816","1,885,237","3,438,600","6,024,816","735,639","2,087,461",0,"160,836",0,"1,374,525","365,616","5,405,468",0,"866,107","5,047,515",0,,,,,,,,,,,,,,,
      Corporate income tax,"31,093,725","248,803","275,758","528,161","252,870","5,587,671","271,143","534,939","205,274","1,271,261","739,738","61,755","117,694","1,961,566","928,218","196,841","305,914","333,666","359,510","107,125","378,714","1,354,899","2,354,764","753,188","244,301","357,904","77,928","142,150",0,"236,193","1,178,053","180,021","3,127,524","999,759","82,544","765,883","222,621","279,197","1,562,856","69,714","213,622","38,269","607,418",0,"184,584","45,886","445,659",0,"221,528","680,639",0,,,,,,,,,,,,,,,
      Other taxes,"25,542,012","268,751","699,342","316,643","74,231","4,694,415","141,292","372,201","110,737","2,870,560","143,623","26,705","12,015","503,469","128,705","99,943","207,693","659,086","615,953","97,082","478,986","280,379","1,938,408","192,886","52,823","118,108","373,886","30,621","150,611","87,838","432,744","456,795","1,348,265","168,051","128,197","141,101","436,688","104,107","1,173,384","28,097","82,862","29,119","250,931","1,211,501","48,426","56,582","325,135","2,594,540","207,509","197,156","373,830",,,,,,,,,,,,,,,
    Current charges,"76,219,071","1,894,474","305,602","745,626","816,823","7,667,614","1,292,396","943,349","516,363","2,079,808","1,559,004","793,513","327,495","2,082,198","2,075,233","1,113,601","769,648","1,232,995","2,123,337","314,933","1,483,609","1,698,344","3,749,238","1,166,743","782,361","1,201,403","295,677","494,197","332,082","411,090","3,057,874","636,708","4,449,558","1,980,082","406,843","3,180,271","1,044,640","1,319,541","3,635,911","287,332","1,615,530","199,050","1,310,007","4,328,408","935,396","306,494","2,945,903","1,901,632","583,955","1,724,258","100,922",,,,,,,,,,,,,,,
