State Government Finances: 1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Amounts in thousands. Per capita amounts in dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,UNITED STATES,,,ALABAMA,,,ALASKA,,,ARIZONA,,,ARKANSAS,,,CALIFORNIA,,,COLORADO,,,CONNECTICUT,,,DELAWARE,,,FLORIDA,,,GEORGIA,,,HAWAII,,,IDAHO,,,ILLINOIS,,,INDIANA,,,IOWA,,,KANSAS,,,KENTUCKY,,,LOUISIANA,,,MAINE,,,MARYLAND,,,MASSACHUSETTS,,,MICHIGAN,,,MINNESOTA,,,MISSISSIPPI,,,MISSOURI,,,MONTANA,,,NEBRASKA,,,NEVADA,,,NEW HAMPSHIRE,,,NEW JERSEY,,,NEW MEXICO,,,NEW YORK,,,NORTH CAROLINA,,,NORTH DAKOTA,,,OHIO,,,OKLAHOMA,,,OREGON,,,PENNSYLVANIA,,,RHODE ISLAND,,,SOUTH CAROLINA,,,SOUTH DAKOTA,,,TENNESSEE,,,TEXAS,,,UTAH,,,VERMONT,,,VIRGINIA,,,WASHINGTON,,,WEST VIRGINIA,,,WISCONSIN,,,WYOMING,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita,Amount,Percent,Per Capita
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population (thousands, July 1, 1999)","272,172",(X),(X),"4,370",(X),(X),620,(X),(X),"4,778",(X),(X),"2,551",(X),(X),"33,145",(X),(X),"4,056",(X),(X),"3,282",(X),(X),754,(X),(X),"15,111",(X),(X),"7,788",(X),(X),"1,185",(X),(X),"1,252",(X),(X),"12,128",(X),(X),"5,943",(X),(X),"2,869",(X),(X),"2,654",(X),(X),"3,961",(X),(X),"4,372",(X),(X),"1,253",(X),(X),"5,172",(X),(X),"6,175",(X),(X),"9,864",(X),(X),"4,776",(X),(X),"2,769",(X),(X),"5,468",(X),(X),883,(X),(X),"1,666",(X),(X),"1,809",(X),(X),"1,201",(X),(X),"8,143",(X),(X),"1,740",(X),(X),"18,197",(X),(X),"7,651",(X),(X),634,(X),(X),"11,257",(X),(X),"3,358",(X),(X),"3,316",(X),(X),"11,994",(X),(X),991,(X),(X),"3,886",(X),(X),733,(X),(X),"5,484",(X),(X),"20,044",(X),(X),"2,130",(X),(X),594,(X),(X),"6,873",(X),(X),"5,756",(X),(X),"1,807",(X),(X),"5,250",(X),(X),480,(X),(X)
"Personal income (millions, calendar year 1998)","7,763,829",(X),(X),"100,385",(X),(X),"17,736",(X),(X),"120,287",(X),(X),"56,724",(X),(X),"989,590",(X),(X),"127,904",(X),(X),"129,780",(X),(X),"23,135",(X),(X),"419,800",(X),(X),"212,806",(X),(X),"32,641",(X),(X),"28,627",(X),(X),"377,650",(X),(X),"155,448",(X),(X),"73,453",(X),(X),"70,876",(X),(X),"92,000",(X),(X),"99,855",(X),(X),"30,803",(X),(X),"168,168",(X),(X),"219,386",(X),(X),"277,214",(X),(X),"146,810",(X),(X),"57,272",(X),(X),"144,389",(X),(X),"19,419",(X),(X),"45,061",(X),(X),"56,094",(X),(X),"37,626",(X),(X),"290,004",(X),(X),"37,991",(X),(X),"616,878",(X),(X),"202,109",(X),(X),"14,747",(X),(X),"305,855",(X),(X),"77,093",(X),(X),"89,398",(X),(X),"343,263",(X),(X),"29,066",(X),(X),"91,463",(X),(X),"18,358",(X),(X),"140,094",(X),(X),"537,857",(X),(X),"49,573",(X),(X),"15,345",(X),(X),"204,769",(X),(X),"174,877",(X),(X),"37,802",(X),(X),"143,705",(X),(X),"12,644",(X),(X)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,"1,152,869,754",100.00,"4,235.81","15,501,093",100.00,"3,547.16","7,312,896",100.00,"11,794.99","15,121,888",100.00,"3,164.90","10,361,000",100.00,"4,061.54","154,016,720",100.00,"4,646.76","14,158,140",100.00,"3,490.67","16,437,468",100.00,"5,008.37","4,540,445",100.00,"6,021.81","49,208,745",100.00,"3,256.49","27,638,537",100.00,"3,548.86","6,646,380",100.00,"5,608.76","4,870,426",100.00,"3,890.12","43,294,450",100.00,"3,569.79","19,149,062",100.00,"3,222.12","11,629,027",100.00,"4,053.34","8,687,125",100.00,"3,273.22","16,853,110",100.00,"4,254.76","17,785,900",100.00,"4,068.14","5,887,528",100.00,"4,698.75","19,612,674",100.00,"3,792.09","28,119,894",100.00,"4,553.83","46,724,414",100.00,"4,736.86","25,089,186",100.00,"5,253.18","10,700,917",100.00,"3,864.54","19,504,680",100.00,"3,567.06","3,725,321",100.00,"4,218.94","5,575,535",100.00,"3,346.66","7,572,930",100.00,"4,186.25","4,024,270",100.00,"3,350.77","39,149,997",100.00,"4,807.81","8,756,881",100.00,"5,032.69","102,241,862",100.00,"5,618.61","34,063,932",100.00,"4,452.22","2,935,592",100.00,"4,630.27","51,273,137",100.00,"4,554.78","11,935,084",100.00,"3,554.22","15,666,106",100.00,"4,724.40","49,481,716",100.00,"4,125.54","5,478,183",100.00,"5,527.93","14,566,262",100.00,"3,748.39","2,885,858",100.00,"3,937.05","16,903,668",100.00,"3,082.36","71,648,633",100.00,"3,574.57","8,742,192",100.00,"4,104.32","3,054,762",100.00,"5,142.70","26,138,391",100.00,"3,803.05","28,737,067",100.00,"4,992.54","8,034,281",100.00,"4,446.20","28,334,130",100.00,"5,396.98","3,092,259",100.00,"6,442.21"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   General revenue,"906,076,110",78.59,"3,329.06","13,093,255",84.47,"2,996.17","5,940,989",81.24,"9,582.24","13,077,480",86.48,"2,737.02","8,449,018",81.55,"3,312.04","119,407,560",77.53,"3,602.58","11,746,973",82.97,"2,896.20","14,920,047",90.77,"4,546.02","4,059,973",89.42,"5,384.58","39,222,490",79.71,"2,595.63","21,445,362",77.59,"2,753.64","5,614,565",84.48,"4,738.03","3,847,418",79.00,"3,073.02","35,686,350",82.43,"2,942.48","17,728,891",92.58,"2,983.16","9,207,794",79.18,"3,209.41","7,597,365",87.46,"2,862.61","13,584,010",80.60,"3,429.44","14,602,645",82.10,"3,340.04","4,856,625",82.49,"3,876.00","16,239,823",82.80,"3,139.95","25,663,761",91.27,"4,156.07","36,791,405",78.74,"3,729.87","19,131,407",76.25,"4,005.74","8,971,867",83.84,"3,240.11","15,770,004",80.85,"2,884.05","3,120,522",83.77,"3,534.00","5,088,969",91.27,"3,054.60","5,013,391",66.20,"2,771.36","3,108,336",77.24,"2,588.12","29,708,463",75.88,"3,648.34","7,160,654",81.77,"4,115.32","80,041,543",78.29,"4,398.61","25,311,990",74.31,"3,308.32","2,551,734",86.92,"4,024.82","33,206,924",64.76,"2,949.89","9,684,258",81.14,"2,883.94","11,888,790",75.89,"3,585.28","38,859,444",78.53,"3,239.91","3,994,082",72.91,"4,030.36","12,377,605",84.97,"3,185.18","2,178,698",75.50,"2,972.30","14,635,487",86.58,"2,668.76","52,545,024",73.34,"2,621.48","7,043,115",80.56,"3,306.63","2,730,267",89.38,"4,596.41","20,866,553",79.83,"3,036.02","20,241,977",70.44,"3,516.67","6,584,454",81.95,"3,643.86","19,262,147",67.98,"3,668.98","2,214,606",71.62,"4,613.76"
