Canada,2005,7815,1486,462,41861,1099,21878,29930,231171,527264,-1,-1,4
East Timor,2005,-1,-1,-1,-1,-1,-1,-1,18,43,-1,-1,-1
Sao Tome and Principe,2005,-1,-1,-1,-1,-1,8,-1,80,79,-1,-1,-1
Guernsey,2005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Turkmenistan,2005,59,0,-1,7,-1,148,-1,600,572,21,-1,13
Other South America,2005,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1
Serbia and Montenegro,2005,5857,122,35,170,110,5202,-1,6835,3842,26,-1,228
Unknown,2005,1270,228,1,1546,86,5303,-1,180054,612036,36,0,74
Lithuania,2005,887,62,16,89,50,2417,-1,12831,11505,-1,-1,5
Cambodia,2005,4806,104,28,94,23,4022,-1,4829,4696,23,9,29
Ethiopia,2005,4621,206,19,148,75,10571,8378,7656,5927,471,1663,266
Aruba,2005,39,-1,-1,-1,-1,42,-1,-1,23792,-1,-1,-1
Swaziland,2005,5,-1,-1,19,-1,16,-1,462,521,-1,-1,-1
Argentina,2005,1976,296,95,571,479,7081,6945,256680,235475,-1,-1,10
Bolivia,2005,1361,329,62,266,241,2197,2164,31606,28974,3,-1,-1
Cameroon,2005,661,45,8,178,53,1458,-1,7982,5318,393,6,263
Burkina Faso,2005,26,13,3,46,8,128,-1,2169,1758,9,-1,5
Ghana,2005,3561,165,76,330,142,6491,-1,22988,17509,4,-1,4
Saudi Arabia,2005,397,40,5,115,15,1210,-1,20232,26217,5,-1,6
Saint Helena,2005,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1
Cape Verde,2005,933,84,38,32,9,1225,-1,2000,1559,-1,-1,-1
Northern Mariana Islands,2005,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1
Slovenia,2005,58,4,3,53,5,114,-1,15365,14173,-1,-1,-1
Guatemala,2005,6250,25909,2143,1501,12379,16818,16468,194638,200723,247,-1,140
Guinea,2005,137,67,24,103,68,495,-1,5190,3672,127,-1,257
Jordan,2005,2464,309,81,307,142,3748,5430,23967,18325,28,0,21
Saint Barthelemy,2005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cocos (Keeling) Island,2005,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1
Spain,2005,1256,43,29,1742,37,1888,2002,507547,447603,-1,-1,-1
Liberia,2005,1548,85,70,51,28,4880,1846,1409,1132,136,4289,70
Netherlands,2005,25,10,65,26,38,116,2150,642261,44791,-1,-1,-1
