,,,,,,,,,,,,,,,,,,,,,,
,,Number of National Drug Overdose Deaths Involving Select Prescription and Illicit Drugs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,All underlying causes of death*,,,,,,,,,,,,,,,,,,,,
,,"Source: National Center on Health Statistics, CDC WONDER",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2007-2017 Fold Change,
,  Total Overdose Deaths,"16,849","17,415","19,394","23,518","25,785","27,424","29,813","34,425","36,010","36,450","37,004","38,329","41,340","41,502","43,982","47,055","52,404","63,632","70,237",2.0,
,  Female,"5,591","5,852","6,736","8,490","9,386","10,304","11,089","12,532","13,712","13,982","14,411","15,323","16,352","16,390","17,183","18,243","19,447","22,074","23,685",1.7,
,  Male,"11,258","11,563","12,658","15,028","16,399","17,120","18,724","21,893","22,298","22,468","22,593","23,006","24,988","25,112","26,799","28,812","32,957","41,558","46,552",2.1,
, Any Opioid1,"8,048","8,407","9,492","11,917","12,939","13,755","14,917","17,545","18,515","19,582","20,422","21,088","22,784","23,164","25,050","28,647","33,091","42,249","47,600",2.6,
,  Female,"2,057","2,264","2,766","3,759","4,137","4,642","5,161","5,945","6,581","6,819","7,287","7,733","8,325","8,431","9,054","10,227","11,420","13,751","15,263",2.3,
,  Male,"5,991","6,143","6,726","8,158","8,802","9,113","9,756","11,600","11,934","12,763","13,135","13,355","14,459","14,733","15,996","18,420","21,671","28,498","32,337",2.7,
, Prescription Opioids2,"3,442","3,785","4,770","6,483","7,461","8,577","9,612","11,589","12,796","13,149","13,523","14,583","15,140","14,240","14,145","14,838","15,281","17,087","17,029",1.3,
,  Female,"1,022","1,236","1,608","2,304","2,681","3,144","3,572","4,274","4,863","4,959","5,212","5,644","6,082","5,995","6,049","6,506","6,664","7,109","7,156",1.5,
,  Male,"2,420","2,549","3,162","4,179","4,780","5,433","6,040","7,315","7,933","8,190","8,311","8,939","9,058","8,245","8,096","8,332","8,617","9,978","9,873",1.2,
, Prescription Opioids AND Other Synthetic Narcotics,142,167,199,322,344,384,426,573,601,655,872,939,889,861,"1,015","1,489","2,263","4,055","5,444",9.1,
,  Female,65,76,86,157,151,184,207,246,286,309,444,453,426,445,488,661,898,"1,394","1,859",6.5,
,  Male,77,91,113,165,193,200,219,327,315,346,428,486,463,416,527,828,"1,365","2,661","3,585",11.4,
, Prescription Opioids WITHOUT Other Synthetic Narcotics ,"3,300","3,618","4,571","6,161","7,117","8,193","9,186","11,016","12,195","12,494","12,651","13,644","14,251","13,379","13,130","13,349","13,018","13,032","11,585",0.9,
,  Female,957,"1,160","1,522","2,147","2,530","2,960","3,365","4,028","4,577","4,650","4,768","5,191","5,656","5,550","5,561","5,845","5,766","5,715","5,297",1.2,
,  Male,"2,343","2,458","3,049","4,014","4,587","5,233","5,821","6,988","7,618","7,844","7,883","8,453","8,595","7,829","7,569","7,504","7,252","7,317","6,288",0.8,
, Other Synthetic Narcotics (fentanyl)3,730,782,957,"1,295","1,400","1,664","1,742","2,707","2,213","2,306","2,946","3,007","2,666","2,628","3,105","5,544","9,580","19,413","28,466",12.9,
,  Female,330,374,447,614,643,798,823,"1,030","1,053","1,083","1,445","1,440","1,247","1,195","1,431","2,079","3,020","5,578","7,942",7.5,
,  Male,400,408,510,681,757,866,919,"1,677","1,160","1,223","1,501","1,567","1,419","1,433","1,674","3,465","6,560","13,835","20,524",17.7,
,Heroin4,"1,960","1,842","1,779","2,089","2,080","1,878","2,009","2,088","2,399","3,041","3,278","3,036","4,397","5,925","8,257","10,574","12,989","15,469","15,482",6.5,
,  Female,306,279,313,359,358,341,389,344,399,551,577,584,878,"1,213","1,732","2,414","3,108","3,717","3,886",9.7,
,  Male,"1,654","1,563","1,466","1,730","1,722","1,537","1,620","1,744","2,000","2,490","2,701","2,452","3,519","4,712","6,525","8,160","9,881","11,752","11,596",5.8,
,Heroin AND Other Synthetic Narcotics,15,18,15,15,16,13,34,113,13,28,29,45,44,69,209,"1,027","2,685","5,781","8,091",622.4,
,  Female,4,7,4,5,3,6,9,25,3,13,10,8,11,19,58,275,670,"1,430","2,035",678.3,
,  Male,11,11,11,10,13,7,25,88,10,15,19,37,33,50,151,752,"2,015","4,351","6,056",605.6,
,Heroin WITHOUT Other Synthetic Narcotics,"1,945","1,824","1,764","2,074","2,064","1,865","1,975","1,975","2,386","3,013","3,249","2,991","4,353","5,856","8,048","9,547","10,304","9,688","7,391",3.1,
,  Female,302,272,309,354,355,335,380,319,396,538,567,576,867,"1,194","1,674","2,139","2,438","2,287","1,851",4.7,
,  Male,"1,643","1,552","1,455","1,720","1,709","1,530","1,595","1,656","1,990","2,475","2,682","2,415","3,486","4,662","6,374","7,408","7,866","7,401","5,540",2.8,
, Cocaine5,"3,822","3,544","3,833","4,599","5,199","5,443","6,208","7,448","6,512","5,129","4,350","4,183","4,681","4,404","4,944","5,415","6,784","10,375","13,942",2.1,
,  Female,850,843,957,"1,143","1,322","1,405","1,620","1,860","1,665","1,322","1,141","1,132","1,314","1,262","1,376","1,535","1,899","2,882","3,921",2.4,
,  Male,"2,972","2,701","2,876","3,456","3,877","4,038","4,588","5,588","4,847","3,807","3,209","3,051","3,367","3,142","3,568","3,880","4,885","7,493","10,021",2.1,
, Cocaine AND Any Opioid,"1,964","1,834","1,886","2,318","2,456","2,522","2,842","3,372","3,027","2,656","2,210","2,086","2,505","2,448","2,831","3,414","4,506","7,263","10,131",3.3,
,  Female,399,387,453,560,603,634,737,845,784,695,574,572,746,720,803,973,"1,261","2,048","2,898",3.7,
,  Male,"1,565","1,447","1,433","1,758","1,853","1,888","2,105","2,527","2,243","1,961","1,636","1,514","1,759","1,728","2,028","2,441","3,245","5,215","7,233",3.2,
, Cocaine WITHOUT Any Opioid,"1,858","1,710","1,947","2,281","2,743","2,921","3,366","4,076","3,485","2,473","2,140","2,097","2,176","1,956","2,113","2,001","2,278","3,112","3,811",1.1,
,  Female,451,456,504,583,719,771,883,"1,015",881,627,567,560,568,542,573,562,638,834,"1,023",1.2,
,  Male,"1,407","1,254","1,443","1,698","2,024","2,150","2,483","3,061","2,604","1,846","1,573","1,537","1,608","1,414","1,540","1,439","1,640","2,278","2,788",1.1,
, Cocaine AND Other Synthetic Narcotics,47,46,75,65,109,130,174,432,219,182,176,167,189,182,245,628,"1,542","4,184","7,241",33.1,
,  Female,13,13,25,19,44,41,62,109,63,59,61,63,87,59,87,187,425,"1,171","2,023",32.1,
,  Male,34,33,50,46,65,89,112,323,156,123,115,104,102,123,158,441,"1,117","3,013","5,218",33.4,
, Cocaine WITHOUT Other Synthetic Narcotics,"3,775","3,498","3,758","4,534","5,090","5,313","6,034","7,016","6,293","4,947","4,174","4,016","4,492","4,222","4,699","4,787","5,242","6,191","6,701",1.1,
,  Female,837,830,932,"1,124","1,278","1,364","1,558","1,751","1,602","1,263","1,080","1,069","1,227","1,203","1,289","1,348","1,474","1,711","1,898",1.2,
,  Male,"2,938","2,668","2,826","3,410","3,812","3,949","4,476","5,265","4,691","3,684","3,094","2,947","3,265","3,019","3,410","3,439","3,768","4,480","4,803",1.0,
, Psychostimulants With Abuse Potential (methamphetamine)6,547,578,563,941,"1,179","1,305","1,608","1,462","1,378","1,302","1,632","1,854","2,266","2,635","3,627","4,298","5,716","7,542","10,333",7.5,
,  Female,158,164,152,285,353,393,438,411,409,375,489,592,693,816,"1,106","1,278","1,745","2,194","3,093",7.6,
,  Male,389,414,411,656,826,912,"1,170","1,051",969,927,"1,143","1,262","1,573","1,819","2,521","3,020","3,971","5,348","7,240",7.5,
, Psychostimulants With Abuse Potential AND Any Opioid,187,202,164,325,359,407,476,526,473,495,654,640,876,993,"1,354","1,806","2,345","3,416","5,203",11.0,
,  Female,46,49,42,114,119,128,145,170,150,151,207,255,316,378,491,610,819,"1,072","1,683",11.2,
,  Male,141,153,122,211,240,279,331,356,323,344,447,385,560,615,863,"1,196","1,526","2,344","3,520",10.9,
, Psychostimulants With Abuse Potential WITHOUT Any Opioid,360,376,399,616,820,898,"1,132",936,905,807,978,"1,214","1,390","1,642","2,273","2,492","3,371","4,126","5,130",5.7,
,  Female,112,115,110,171,234,265,293,241,259,224,282,337,377,438,615,668,926,"1,122","1,410",5.4,
,  Male,248,261,289,445,586,633,839,695,646,583,696,877,"1,013","1,204","1,658","1,824","2,445","3,004","3,720",5.8,
, Psychostimulants With Abuse Potential AND Other Synthetic Narcotics,11,7,6,19,28,29,33,37,35,47,69,73,93,91,142,276,494,"1,042","2,546",72.7,
,  Female,3,3,3,12,14,12,13,16,17,19,25,37,40,40,67,106,174,322,766,45.1,
,  Male,8,4,3,7,14,17,20,21,18,28,44,36,53,51,75,170,320,720,"1,780",98.9,
, Psychostimulants With Abuse Potential WITHOUT Other Synthetic Narcotics,536,571,557,922,"1,151","1,276","1,575","1,425","1,343","1,255","1,563","1,781","2,173","2,544","3,485","4,022","5,222","6,500","7,787",5.8,
,  Female,155,161,149,273,339,381,425,395,392,356,464,555,653,776,"1,039","1,172","1,571","1,872","2,327",5.9,
,  Male,381,410,408,649,812,895,"1,150","1,030",951,899,"1,099","1,226","1,520","1,768","2,446","2,850","3,651","4,628","5,460",5.7,
, Benzodiazepines7,"1,135","1,298","1,594","2,022","2,248","2,627","3,084","3,835","4,500","5,010","5,567","6,497","6,872","6,524","6,973","7,945","8,791","10,684","11,537",2.6,
,Female ,420,480,614,763,885,"1,079","1,209","1,472","1,894","2,046","2,281","2,579","2,902","2,789","3,026","3,487","3,779","4,359","4,772",2.5,
,Male,715,818,980,"1,259","1,363","1,548","1,875","2,363","2,606","2,964","3,286","3,918","3,970","3,735","3,947","4,458","5,012","6,325","6,765",2.6,
, Benzodiazepines AND Any Opioid,701,892,"1,121","1,511","1,692","2,049","2,430","3,045","3,605","4,070","4,633","5,517","5,826","5,500","5,869","6,733","7,485","9,233","10,010",2.8,
,  Female,233,310,411,553,620,797,922,"1,137","1,473","1,618","1,853","2,125","2,408","2,283","2,485","2,876","3,137","3,723","4,031",2.7,
,  Male,468,582,710,958,"1,072","1,252","1,508","1,908","2,132","2,452","2,780","3,392","3,418","3,217","3,384","3,857","4,348","5,510","5,979",2.8,
, Benzodiazepines WITHOUT Any Opioid,434,406,473,511,556,578,654,790,895,940,934,980,"1,046","1,024","1,104","1,212","1,306","1,451","1,527",1.7,
,  Female,187,170,203,210,265,282,287,335,421,428,428,454,494,506,541,611,642,636,741,1.8,
,  Male,247,236,270,301,291,296,367,455,474,512,506,526,552,518,563,601,664,815,786,1.7,
,Benzodiazepines AND Other Synthetic Narcotics,122,136,186,230,242,270,312,407,436,491,658,746,665,655,804,"1,222","1,801","3,308","4,869",11.2,
,  Female,51,55,83,107,105,128,150,165,224,250,330,355,324,304,388,534,738,"1,188","1,696",7.6,
,  Male,71,81,103,123,137,142,162,242,212,241,328,391,341,351,416,688,"1,063","2,120","3,173",15.0,
,Benzodiazepines WITHOUT Other Synthetic Narcotics,"1,013","1,162","1,408","1,792","2,006","2,357","2,772","3,428","4,064","4,519","4,909","5,751","6,207","5,869","6,169","6,723","6,990","7,376","6,668",1.6,
,  Female,369,425,531,656,780,951,"1,059","1,307","1,670","1,796","1,951","2,224","2,578","2,485","2,638","2,953","3,041","3,171","3,076",1.8,
,  Male,644,737,877,"1,136","1,226","1,406","1,713","2,121","2,394","2,723","2,958","3,527","3,629","3,384","3,531","3,770","3,949","4,205","3,592",1.5,
,Antidepressants8,"1,749","1,798","2,017","2,370","2,512","2,758","2,861","3,133","3,425","3,610","3,768","3,889","4,113","4,259","4,458","4,768","4,894","4,812","5,269",1.5,
,Female ,926,984,"1,009","1,318","1,384","1,549","1,575","1,819","1,958","2,047","2,133","2,204","2,422","2,469","2,673","2,857","2,909","2,835","3,112",1.6,
,Male,823,814,"1,008","1,052","1,128","1,209","1,286","1,314","1,467","1,563","1,635","1,685","1,691","1,790","1,785","1,911","1,985","1,977","2,157",1.5,
,Antidepressants AND Any Opioid,611,679,890,"1,148","1,234","1,379","1,508","1,662","1,901","2,111","2,292","2,389","2,501","2,536","2,763","2,983","3,062","2,960","3,301",1.7,
,  Female,312,387,426,634,692,762,806,946,"1,094","1,199","1,308","1,364","1,468","1,470","1,664","1,767","1,758","1,719","1,871",1.7,
,  Male,299,292,464,514,542,617,702,716,807,912,984,"1,025","1,033","1,066","1,099","1,216","1,304","1,241","1,430",1.8,
,Antidepressants WITHOUT Any Opioid,"1,138","1,119","1,127","1,222","1,278","1,379","1,353","1,471","1,524","1,499","1,476","1,500","1,612","1,723","1,695","1,785","1,832","1,852","1,968",1.3,
,  Female,614,597,583,684,692,787,769,873,864,848,825,840,954,999,"1,009","1,090","1,151","1,116","1,241",1.4,
,  Male,524,522,544,538,586,592,584,598,660,651,651,660,658,724,686,695,681,736,727,1.1,
,Antidepressants AND Other Synthetic Narcotics,122,123,147,238,230,264,278,300,292,384,505,568,463,464,571,723,808,"1,002","1,414",4.8,
