Location Code,Region Code,Bldg Address1,Bldg Address2,Bldg City,Bldg County,Bldg State,Bldg Zip,Congressional District,Bldg Status,Property Type,Bldg ANSI Usable,Total Parking Spaces,Owned/Leased,Construction Date,Historical Type,Historical Status,ABA Accessibility Flag 
CT0013,1,135 HIGH ST, ,HARTFORD,HARTFORD COUNTY,CT,61031125,1,ACTIVE,BUILDING,97072,29,OWNED,1.Jan.33,Field Not In Use,National Register Listed,Will Conform
CT0024,1,141 CHURCH ST,U.S. COURTHOUSE,NEW HAVEN,NEW HAVEN COUNTY,CT,65102001,3,ACTIVE,BUILDING,67717,0,OWNED,1.Jan.19,Field Not In Use,National Register Listed,Will Conform
CT0047,1,135 GRAND ST, ,WATERBURY,NEW HAVEN COUNTY,CT,67029998,5,ACTIVE,BUILDING,7442,2,LEASED,1.Jan.33,Field Not In Use,National Register Listed,Will Conform
CT0053,1,450 Main St, ,HARTFORD,HARTFORD COUNTY,CT,61031804,1,ACTIVE,BUILDING,203175,103,OWNED,1.Jan.63,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0059,1,915 LAFAYETTE BLVD, ,BRIDGEPORT,FAIRFIELD COUNTY,CT,66044706,4,ACTIVE,BUILDING,86215,131,OWNED,1.Jan.67,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0060,1,147 Litchfield St, ,TORRINGTON,LITCHFIELD COUNTY,CT,67906407,5,ACTIVE,BUILDING,5052,5,OWNED,1.Jan.69,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0061,1,150 Court St, ,NEW HAVEN,NEW HAVEN COUNTY,CT,65112020,3,ACTIVE,BUILDING,82729,74,OWNED,1.Jan.77,Field Not In Use,Not Evaluated,Will Conform
CT3316,1,130 DARLIN ST, ,EAST HARTFORD,HARTFORD COUNTY,CT,61083234,1,ACTIVE,BUILDING,37395,164,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3319,1,101 BROAD ST, ,STAMFORD,FAIRFIELD COUNTY,CT,69012797,4,ACTIVE,BUILDING,5020,8,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3322,1,425 Main St, ,MIDDLETOWN,MIDDLESEX COUNTY,CT,6457,3,ACTIVE,BUILDING,5045,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3323,1,333 E RIVER DR, ,EAST HARTFORD,HARTFORD COUNTY,CT,61084200,1,ACTIVE,BUILDING,15150,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3326,1,55 WHITNEY AVE, ,NEW HAVEN,NEW HAVEN COUNTY,CT,65101300,3,ACTIVE,BUILDING,3293,5,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3331,1,157 CHURCH ST, ,NEW HAVEN,NEW HAVEN COUNTY,CT,65102100,3,ACTIVE,BUILDING,95786,46,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3341,1,265 CHURCH ST, ,NEW HAVEN,NEW HAVEN COUNTY,CT,65107013,3,ACTIVE,BUILDING,18070,35,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3351,1,628 Hebron Ave,BUILDING 2,GLASTONBURY,HARTFORD COUNTY,CT,60332411,1,ACTIVE,BUILDING,5200,2,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3354,1,530 Preston Ave, ,MERIDEN,NEW HAVEN COUNTY,CT,64504893,5,ACTIVE,BUILDING,11670,39,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3358,1,2 Shaws Cv, ,NEW LONDON,NEW LONDON COUNTY,CT,6320,2,ACTIVE,BUILDING,6306,28,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3360,1,1000 LAFAYETTE BLVD,10TH FLOOR,BRIDGEPORT,FAIRFIELD COUNTY,CT,66044725,4,ACTIVE,BUILDING,31055,103,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3362,1,213 COURT ST, ,MIDDLETOWN,MIDDLESEX COUNTY,CT,64573346,3,ACTIVE,BUILDING,1950,11,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3363,1,904 POQUONNOCK RD, ,GROTON,NEW LONDON COUNTY,CT,63404259,2,ACTIVE,BUILDING,1507,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3369,1,20 Church St, ,HARTFORD,HARTFORD COUNTY,CT,61031221,1,ACTIVE,BUILDING,21432,9,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3373,1,101 PITKIN ST, ,EAST HARTFORD,HARTFORD COUNTY,CT,61083316,1,ACTIVE,BUILDING,12906,28,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3375,1,600 State St, ,NEW HAVEN,NEW HAVEN COUNTY,CT,65116505,3,ACTIVE,BUILDING,78826,220,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3376,1,131 WEST ST, ,DANBURY,FAIRFIELD COUNTY,CT,68106376,5,ACTIVE,BUILDING,8439,1,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3389,1,344 MERROW RD, ,TOLLAND,TOLLAND COUNTY,CT,60843917,2,ACTIVE,BUILDING,10302,52,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3393,1,10 COLUMBUS BLVD, ,HARTFORD,HARTFORD COUNTY,CT,61061976,1,ACTIVE,BUILDING,5198,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3395,1,334 Ella Grasso Tpke, ,WINDSOR LOCKS,HARTFORD COUNTY,CT,60961042,1,ACTIVE,BUILDING,11825,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3398,1,1320 MAIN ST, ,WILLIMANTIC,WINDHAM COUNTY,CT,62261940,2,ACTIVE,BUILDING,6065,25,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3400,1,5 SHAWS CV,Suite 206,NEW LONDON,NEW LONDON COUNTY,CT,63204974,2,ACTIVE,BUILDING,1137,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3402,1,1 CHELSEA ST, ,NEW LONDON,NEW LONDON COUNTY,CT,63205506,2,ACTIVE,BUILDING,47200,164,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3403,1,960 MAIN ST, ,HARTFORD,HARTFORD COUNTY,CT,61031224,1,ACTIVE,BUILDING,22050,10,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3408,1,6 ARMSTRONG RD, ,SHELTON,FAIRFIELD COUNTY,CT,64844722,4,ACTIVE,BUILDING,8621,40,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3409,1,155 Burr St, ,NEW HAVEN,NEW HAVEN COUNTY,CT,65123652,3,ACTIVE,BUILDING,459,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3410,1,36 Buff Cap Rd, ,TOLLAND,TOLLAND COUNTY,CT,60842604,2,ACTIVE,BUILDING,1004,3,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3412,1,21 OAK ST, ,HARTFORD,HARTFORD COUNTY,CT,61068003,1,ACTIVE,BUILDING,5303,17,LEASED,25.Jun.09,Field Not In Use,Not Evaluated,Yes
CT3413,1,15 Marne St, ,HAMDEN,NEW HAVEN COUNTY,CT,6514,3,ACTIVE,BUILDING,27394,15,LEASED,1.Apr.09,Field Not In Use,Not Evaluated,Yes
CT3414,1,2 Union Plz, ,NEW LONDON,NEW LONDON COUNTY,CT,63206309,2,ACTIVE,BUILDING,6266,22,LEASED,1.Feb.08,Field Not In Use,Not Evaluated,Yes
CT3416,1,716 Brook St, ,ROCKY HILL,HARTFORD COUNTY,CT,60673433,1,ACTIVE,BUILDING,13705,32,LEASED,1.Oct.09,Field Not In Use,Not Evaluated,Yes
CT3418,1,55 Church St, ,NEW HAVEN,NEW HAVEN COUNTY,CT,65103014,3,ACTIVE,BUILDING,11162,28,LEASED,1.Sep.09,Field Not In Use,Not Evaluated,Yes
CT3421,1,888 WASHINGTON STREET, ,STAMFORD,FAIRFIELD COUNTY,CT,69012902,4,ACTIVE,BUILDING,1380,6,LEASED,19.Mar.09,Field Not In Use,Not Evaluated,Yes
CT3425,1,474-484 BURNSIDE AVENUE, ,EAST HARTFORD,HARTFORD COUNTY,CT,61082425,1,ACTIVE,BUILDING,6314,40,LEASED,25.Jun.09,Field Not In Use,Not Evaluated,No
CT3429,1,475 MAIN ST, ,ANSONIA,NEW HAVEN COUNTY,CT,64012307,3,ACTIVE,BUILDING,4048,19,LEASED,1.Jul.00,Field Not In Use,Not Evaluated,Yes
CT3433,1,97 BARNES RD, ,WALLINGFORD,NEW HAVEN COUNTY,CT,64921885,3,ACTIVE,BUILDING,4217,31,LEASED,1.May.85,Field Not In Use,Not Evaluated,Will Conform
CT3435,1,291 S LAMBERT RD, ,ORANGE,NEW HAVEN COUNTY,CT,64773559,3,ACTIVE,BUILDING,3961,25,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3438,1,761 MAIN AVE, ,NORWALK,FAIRFIELD COUNTY,CT,68511080,4,ACTIVE,BUILDING,18405,6,LEASED,9.Jun.10,Field Not In Use,Not Evaluated,Yes
CT3441,1,51 N ELM ST, ,WATERBURY,NEW HAVEN COUNTY,CT,67021511,5,ACTIVE,BUILDING,8648,36,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3444,1,280 TRUMBULL ST, ,HARTFORD,HARTFORD COUNTY,CT,61033509,1,ACTIVE,BUILDING,4655,2,LEASED,0,Field Not In Use,Evaluated - Not Historic,Yes
CT3446,1,850 CANAL ST, ,STAMFORD,FAIRFIELD COUNTY,CT,69026943,4,ACTIVE,BUILDING,19265,40,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3448,1,15 THAMES ST, ,GROTON,NEW LONDON COUNTY,CT,63403629,2,ACTIVE,BUILDING,2237,10,LEASED,0,None,Not Evaluated,Yes
CT3450,1,35 COURTLAND ST, ,BRIDGEPORT,FAIRFIELD COUNTY,CT,66043928,4,ACTIVE,BUILDING,11406,25,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3451,1,55 MAIN ST, ,NORWICH,NEW LONDON COUNTY,CT,63605703,2,ACTIVE,BUILDING,5375,14,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3452,1,111 EAST AVE, ,NORWALK,FAIRFIELD COUNTY,CT,68515014,4,ACTIVE,BUILDING,850,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3453,1,Bradley Field,Terminal A Ground Floor,WINDSOR LOCKS,HARTFORD COUNTY,CT,6096,1,ACTIVE,BUILDING,6322,0,LEASED,0,None,Not Evaluated,Yes
CT3457,1,321 Research Pkwy, ,MERIDEN,NEW HAVEN COUNTY,CT,6450,5,ACTIVE,BUILDING,4968,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3458,1,380 Sheldon St, ,HARTFORD,HARTFORD COUNTY,CT,61061939,1,ACTIVE,STRUCTURE,0,10,LEASED,0,Field Not In Use,Evaluated - Not Historic,Will Conform
CT3460,1,131 West St, ,DANBURY,FAIRFIELD COUNTY,CT,68105429,5,ACTIVE,BUILDING,8400,2,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3462,1,193 Grand St, ,WATERBURY,NEW HAVEN COUNTY,CT,67021919,5,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3463,1,1 Herald Sq, ,NEW BRITAIN,HARTFORD COUNTY,CT,60512612,5,ACTIVE,BUILDING,6940,4,LEASED,0,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0011,1,408 Atlantic Ave, ,BOSTON,SUFFOLK COUNTY,MA,21103349,8,ACTIVE,BUILDING,92762,3,OWNED,1.Jan.18,Field Not In Use,Evaluated - Not Historic,Yes
MA0013,1,5 Post Office Sq, ,BOSTON,SUFFOLK COUNTY,MA,21093901,8,ACTIVE,BUILDING,400457,32,OWNED,1.Jan.33,Field Not In Use,National Register Listed,Will Conform
MA0050,1,1 Courthouse Way,BOSTON,BOSTON,SUFFOLK COUNTY,MA,22103024,8,ACTIVE,BUILDING,562886,69,OWNED,1.Sep.98,Field Not In Use,Not Evaluated,Will Conform
MA0051,1,300 STATE ST, ,SPRINGFIELD,HAMPDEN COUNTY,MA,11051686,1,ACTIVE,BUILDING,80851,86,OWNED,1.Aug.08,Field Not In Use,Not Evaluated,Will Conform
MA0076,1,37 N 2nd St, ,NEW BEDFORD,BRISTOL COUNTY,MA,27406329,9,ACTIVE,BUILDING,3428,6,OWNED,01-Jan-1836,Field Not In Use,National Historic Landmark,Will Conform
MA0113,1,595 MAIN ST, ,WORCESTER,WORCESTER COUNTY,MA,16082093,2,ACTIVE,BUILDING,62795,4,OWNED,1.Jan.32,Field Not In Use,National Register Listed,Will Conform
MA0129,1,881 Main St, ,FITCHBURG,WORCESTER COUNTY,MA,14203007,3,ACTIVE,BUILDING,58860,203,OWNED,1.Jan.73,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0131,1,15 New Sudbury St, ,BOSTON,SUFFOLK COUNTY,MA,22030002,8,ACTIVE,BUILDING,618947,257,OWNED,1.Jan.66,Field Not In Use,National Register Eligible,Yes
MA0135,1,400 N Main St, ,FALL RIVER,BRISTOL COUNTY,MA,27202131,4,ACTIVE,BUILDING,6984,50,OWNED,1.Jan.69,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0136,1,380 TRAPELO RD,FED CTR,WALTHAM,MIDDLESEX COUNTY,MA,24526322,5,ACTIVE,BUILDING,129115,0,OWNED,1.Jan.66,Field Not In Use,Evaluated - Not Historic,Yes
MA0137,1,1 LOWELL ST, ,ANDOVER,ESSEX COUNTY,MA,18102927,3,ACTIVE,BUILDING,323741,1688,OWNED,1.Jan.66,Field Not In Use,Not Evaluated,Will Conform
MA0138,1,367 Main St, ,HAVERHILL,ESSEX COUNTY,MA,18304091,3,ACTIVE,BUILDING,5080,20,OWNED,1.Jan.73,Field Not In Use,Evaluated - Not Historic,Yes
MA0153,1,10 CAUSEWAY ST, ,BOSTON,SUFFOLK COUNTY,MA,22221048,8,ACTIVE,BUILDING,523964,267,OWNED,30.Jun.86,Field Not In Use,Not Evaluated,Yes
MA0158,1,53 N 6th St, ,NEW BEDFORD,BRISTOL COUNTY,MA,27406110,9,ACTIVE,BUILDING,23811,52,OWNED,1.Jan.74,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0180,1,78 CENTER ST, ,PITTSFIELD,BERKSHIRE COUNTY,MA,12016171,1,ACTIVE,BUILDING,17752,62,OWNED,1.Jan.77,Field Not In Use,Not Evaluated,Will Conform
MA0182,1,55 Broadway, ,CAMBRIDGE,MIDDLESEX COUNTY,MA,21421001,7,ACTIVE,BUILDING,314687,575,OWNED,1.Jan.70,Field Not In Use,Evaluated - Not Historic,Yes
MA0188,1,11 Channel Street, ,BOSTON,SUFFOLK COUNTY,MA,2210,8,ACTIVE,BUILDING,13436,45,OWNED,1.Jan.40,Field Not In Use,Evaluated - Not Historic,Yes
MA0801,1,424 TRAPELO RD, ,WALTHAM,MIDDLESEX COUNTY,MA,24526322,5,ACTIVE,BUILDING,0,0,OWNED,1.Jan.46,Field Not In Use,Not Evaluated,Will Conform
MA1855,1,146 Mendon St, ,UXBRIDGE,WORCESTER COUNTY,MA,15691560,2,ACTIVE,BUILDING,4256,15,LEASED,0,Field Not In Use,National Register Listed,Will Conform
MA5386,1,34 MARKET ST, ,EVERETT,MIDDLESEX COUNTY,MA,21495806,7,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5431,1,140 Union St, ,LYNN,ESSEX COUNTY,MA,19011336,6,ACTIVE,BUILDING,9857,30,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5466,1,12 New England Executive Park, ,BURLINGTON,MIDDLESEX COUNTY,MA,18035213,6,ACTIVE,BUILDING,81056,400,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5490,1,198 Columbia Rd, ,HANOVER,PLYMOUTH COUNTY,MA,23392322,9,ACTIVE,BUILDING,7910,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5612,1,463 WEST ST, ,AMHERST,HAMPSHIRE COUNTY,MA,10022946,2,ACTIVE,BUILDING,2664,21,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5632,1,1 Montvale Ave, ,STONEHAM,MIDDLESEX COUNTY,MA,21803500,5,ACTIVE,BUILDING,61854,242,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5645,1,11 Woods Hole Rd, ,FALMOUTH,BARNSTABLE COUNTY,MA,25401666,9,ACTIVE,BUILDING,16339,13,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5646,1,270 COMMUNICATION WAY, ,HYANNIS,BARNSTABLE COUNTY,MA,26011883,9,ACTIVE,BUILDING,900,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5649,1,639 Granite St, ,BRAINTREE,NORFOLK COUNTY,MA,21845366,8,ACTIVE,BUILDING,3524,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
