"Fact","Fact Note","Alabama","Value Note for Alabama","Alaska","Value Note for Alaska","Arizona","Value Note for Arizona","Arkansas","Value Note for Arkansas","California","Value Note for California","Colorado","Value Note for Colorado"
"Population estimates, July 1, 2019,  (V2019)","","4,903,185","","731,545","","7,278,717","","3,017,804","","39,512,223","","5,758,736",""
"Population estimates base, April 1, 2010,  (V2019)","","4,780,125","","710,249","","6,392,288","","2,916,031","","37,254,519","","5,029,319",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.6%","","3.0%","","13.9%","","3.5%","","6.1%","","14.5%",""
"Population, Census, April 1, 2020","","5,024,279","","733,391","","7,151,502","","3,011,524","","39,538,223","","5,773,714",""
"Population, Census, April 1, 2010","","4,779,736","","710,231","","6,392,017","","2,915,918","","37,253,956","","5,029,196",""
"Persons under 5 years, percent","","6.0%","","7.0%","","5.9%","","6.2%","","6.0%","","5.8%",""
"Persons under 18 years, percent","","22.2%","","24.6%","","22.5%","","23.2%","","22.5%","","21.9%",""
"Persons 65 years and over, percent","","17.3%","","12.5%","","18.0%","","17.4%","","14.8%","","14.6%",""
"Female persons, percent","","51.7%","","47.9%","","50.3%","","50.9%","","50.3%","","49.6%",""
"White alone, percent","","69.1%","","65.3%","","82.6%","","79.0%","","71.9%","","86.9%",""
"Black or African American alone, percent","(a)","26.8%","","3.7%","","5.2%","","15.7%","","6.5%","","4.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.7%","","15.6%","","5.3%","","1.0%","","1.6%","","1.6%",""
"Asian alone, percent","(a)","1.5%","","6.5%","","3.7%","","1.7%","","15.5%","","3.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","1.4%","","0.3%","","0.4%","","0.5%","","0.2%",""
"Two or More Races, percent","","1.8%","","7.5%","","2.9%","","2.2%","","4.0%","","3.1%",""
"Hispanic or Latino, percent","(b)","4.6%","","7.3%","","31.7%","","7.8%","","39.4%","","21.8%",""
"White alone, not Hispanic or Latino, percent","","65.3%","","60.2%","","54.1%","","72.0%","","36.5%","","67.7%",""
"Veterans, 2015-2019","","330,207","","65,186","","488,061","","197,138","","1,574,531","","373,795",""
"Foreign born persons, percent, 2015-2019","","3.5%","","7.8%","","13.3%","","4.8%","","26.8%","","9.7%",""
"Housing units,  July 1, 2019,  (V2019)","","2,284,847","","319,854","","3,075,981","","1,389,129","","14,366,336","","2,464,164",""
"Owner-occupied housing unit rate, 2015-2019","","68.8%","","64.3%","","64.4%","","65.6%","","54.8%","","65.2%",""
"Median value of owner-occupied housing units, 2015-2019","","$142,700","","$270,400","","$225,500","","$127,800","","$505,000","","$343,300",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,186","","$1,933","","$1,434","","$1,089","","$2,357","","$1,744",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$363","","$582","","$419","","$353","","$594","","$474",""
"Median gross rent, 2015-2019","","$792","","$1,244","","$1,052","","$745","","$1,503","","$1,271",""
"Building permits, 2020","","19,982","","1,420","","60,342","","12,493","","106,075","","40,469",""
"Households, 2015-2019","","1,867,893","","253,346","","2,571,268","","1,158,071","","13,044,266","","2,148,994",""
"Persons per household, 2015-2019","","2.55","","2.80","","2.68","","2.52","","2.95","","2.56",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","86.3%","","82.1%","","82.6%","","84.6%","","87.1%","","82.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","5.3%","","16.1%","","27.1%","","7.5%","","44.2%","","16.9%",""
"Households with a computer, percent, 2015-2019","","85.5%","","94.1%","","91.7%","","86.2%","","93.0%","","93.9%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","76.4%","","85.5%","","84.1%","","73.0%","","86.7%","","87.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","86.2%","","92.8%","","87.1%","","86.6%","","83.3%","","91.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","25.5%","","29.6%","","29.5%","","23.0%","","33.9%","","40.9%",""
"With a disability, under age 65 years, percent, 2015-2019","","11.6%","","8.9%","","8.7%","","12.6%","","6.7%","","7.2%",""
"Persons  without health insurance, under age 65 years, percent","","11.7%","","13.9%","","13.6%","","10.9%","","8.9%","","9.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","57.1%","","65.5%","","59.4%","","57.9%","","63.3%","","67.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","52.3%","","63.1%","","54.7%","","53.6%","","57.5%","","62.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","7,576,462","","2,221,335","","13,996,635","","4,307,264","","90,830,372","","13,617,654",""
