"Fact","Fact Note","Louisiana","Value Note for Louisiana","Maine","Value Note for Maine","Montana","Value Note for Montana","Nebraska","Value Note for Nebraska","Nevada","Value Note for Nevada","New Hampshire","Value Note for New Hampshire"
"Population estimates, July 1, 2019,  (V2019)","","4,648,794","","1,344,212","","1,068,778","","1,934,408","","3,080,156","","1,359,711",""
"Population estimates base, April 1, 2010,  (V2019)","","4,533,487","","1,328,358","","989,407","","1,826,305","","2,700,677","","1,316,462",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.5%","","1.2%","","8.0%","","5.9%","","14.1%","","3.3%",""
"Population, Census, April 1, 2020","","4,657,757","","1,362,359","","1,084,225","","1,961,504","","3,104,614","","1,377,529",""
"Population, Census, April 1, 2010","","4,533,372","","1,328,361","","989,415","","1,826,341","","2,700,551","","1,316,470",""
"Persons under 5 years, percent","","6.5%","","4.7%","","5.7%","","6.8%","","6.0%","","4.7%",""
"Persons under 18 years, percent","","23.4%","","18.5%","","21.4%","","24.6%","","22.5%","","18.8%",""
"Persons 65 years and over, percent","","15.9%","","21.2%","","19.3%","","16.2%","","16.1%","","18.7%",""
"Female persons, percent","","51.2%","","51.0%","","49.7%","","50.0%","","49.8%","","50.4%",""
"White alone, percent","","62.8%","","94.4%","","88.9%","","88.1%","","73.9%","","93.1%",""
"Black or African American alone, percent","(a)","32.8%","","1.7%","","0.6%","","5.2%","","10.3%","","1.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.8%","","0.7%","","6.7%","","1.5%","","1.7%","","0.3%",""
"Asian alone, percent","(a)","1.8%","","1.3%","","0.9%","","2.7%","","8.7%","","3.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","Z","","0.1%","","0.1%","","0.8%","","Z",""
"Two or More Races, percent","","1.8%","","1.8%","","2.8%","","2.3%","","4.6%","","1.8%",""
"Hispanic or Latino, percent","(b)","5.3%","","1.8%","","4.1%","","11.4%","","29.2%","","4.0%",""
"White alone, not Hispanic or Latino, percent","","58.4%","","93.0%","","85.9%","","78.2%","","48.2%","","89.8%",""
"Veterans, 2015-2019","","243,335","","103,776","","85,350","","117,466","","207,767","","96,098",""
"Foreign born persons, percent, 2015-2019","","4.2%","","3.6%","","2.2%","","7.2%","","19.4%","","6.1%",""
"Housing units,  July 1, 2019,  (V2019)","","2,089,777","","750,939","","519,935","","851,227","","1,285,684","","642,315",""
"Owner-occupied housing unit rate, 2015-2019","","65.6%","","72.3%","","68.1%","","66.1%","","56.3%","","71.1%",""
"Median value of owner-occupied housing units, 2015-2019","","$163,100","","$190,400","","$230,600","","$155,800","","$267,900","","$261,700",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,295","","$1,398","","$1,429","","$1,386","","$1,524","","$1,948",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$344","","$499","","$435","","$525","","$426","","$811",""
"Median gross rent, 2015-2019","","$866","","$853","","$810","","$833","","$1,107","","$1,111",""
"Building permits, 2020","","17,283","","5,304","1","5,980","","9,483","","19,716","","4,320",""
"Households, 2015-2019","","1,739,497","","559,921","","427,871","","759,176","","1,098,602","","532,037",""
"Persons per household, 2015-2019","","2.61","","2.32","","2.39","","2.45","","2.67","","2.46",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","87.2%","","86.6%","","84.1%","","84.1%","","82.1%","","86.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","8.0%","","6.1%","","4.2%","","11.5%","","30.4%","","8.0%",""
"Households with a computer, percent, 2015-2019","","85.6%","","89.7%","","88.9%","","90.0%","","92.5%","","93.0%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","75.5%","","82.1%","","80.7%","","83.4%","","83.2%","","87.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","85.2%","","92.6%","","93.6%","","91.4%","","86.7%","","93.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","24.1%","","31.8%","","32.0%","","31.9%","","24.7%","","37.0%",""
"With a disability, under age 65 years, percent, 2015-2019","","11.1%","","11.7%","","9.2%","","7.8%","","8.6%","","9.0%",""
"Persons  without health insurance, under age 65 years, percent","","10.5%","","10.1%","","10.2%","","9.8%","","13.4%","","7.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","59.1%","","62.8%","","63.0%","","69.3%","","63.3%","","67.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","55.4%","","59.5%","","59.3%","","64.7%","","58.6%","","63.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","11,697,949","","2,901,347","","2,420,455","","3,094,498","","27,481,505","","2,942,278",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","27,951,792","","10,297,043","","6,469,475","","12,869,418","","13,928,514","","9,616,460",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","271,191,050","","16,044,543","","11,535,236","","57,499,177","","14,719,141","","18,895,624",""
"Total retail sales, 2012 ($1,000)","(c)","61,396,364","","21,521,714","","15,623,573","","30,470,717","","38,234,170","","26,018,201",""
"Total retail sales per capita, 2012","(c)","$13,342","","$16,192","","$15,544","","$16,422","","$13,858","","$19,700",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","25.7","","24.2","","18.3","","18.8","","24.6","","27.5",""
"Median household income (in 2019 dollars), 2015-2019","","$49,469","","$57,918","","$54,970","","$61,439","","$60,365","","$76,768",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$27,923","","$32,637","","$31,151","","$32,302","","$31,557","","$40,003",""
"Persons in poverty, percent","","19.0%","","10.9%","","12.6%","","9.9%","","12.5%","","7.3%",""
"Total employer establishments, 2019","","106,302","","41,843","","38,959","","54,939","","68,567","","38,494",""
