"Fact","Fact Note","Idaho","Value Note for Idaho","Illinois","Value Note for Illinois","Indiana","Value Note for Indiana","Iowa","Value Note for Iowa","Kansas","Value Note for Kansas","Kentucky","Value Note for Kentucky"
"Population estimates, July 1, 2019,  (V2019)","","1,787,065","","12,671,821","","6,732,219","","3,155,070","","2,913,314","","4,467,673",""
"Population estimates base, April 1, 2010,  (V2019)","","1,567,657","","12,831,572","","6,484,051","","3,046,871","","2,853,123","","4,339,333",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","14.0%","","-1.2%","","3.8%","","3.6%","","2.1%","","3.0%",""
"Population, Census, April 1, 2020","","1,839,106","","12,812,508","","6,785,528","","3,190,369","","2,937,880","","4,505,836",""
"Population, Census, April 1, 2010","","1,567,582","","12,830,632","","6,483,802","","3,046,355","","2,853,118","","4,339,367",""
"Persons under 5 years, percent","","6.5%","","5.9%","","6.2%","","6.2%","","6.4%","","6.1%",""
"Persons under 18 years, percent","","25.1%","","22.2%","","23.3%","","23.0%","","24.0%","","22.4%",""
"Persons 65 years and over, percent","","16.3%","","16.1%","","16.1%","","17.5%","","16.3%","","16.8%",""
"Female persons, percent","","49.9%","","50.9%","","50.7%","","50.2%","","50.2%","","50.7%",""
"White alone, percent","","93.0%","","76.8%","","84.8%","","90.6%","","86.3%","","87.5%",""
"Black or African American alone, percent","(a)","0.9%","","14.6%","","9.9%","","4.1%","","6.1%","","8.5%",""
"American Indian and Alaska Native alone, percent","(a)","1.7%","","0.6%","","0.4%","","0.5%","","1.2%","","0.3%",""
"Asian alone, percent","(a)","1.6%","","5.9%","","2.6%","","2.7%","","3.2%","","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%","","0.1%","","0.1%","","0.2%","","0.1%","","0.1%",""
"Two or More Races, percent","","2.6%","","2.1%","","2.2%","","2.0%","","3.1%","","2.0%",""
"Hispanic or Latino, percent","(b)","12.8%","","17.5%","","7.3%","","6.3%","","12.2%","","3.9%",""
"White alone, not Hispanic or Latino, percent","","81.6%","","60.8%","","78.4%","","85.0%","","75.4%","","84.1%",""
"Veterans, 2015-2019","","116,157","","570,264","","380,690","","185,671","","176,444","","267,594",""
"Foreign born persons, percent, 2015-2019","","6.0%","","14.1%","","5.2%","","5.3%","","7.1%","","3.9%",""
"Housing units,  July 1, 2019,  (V2019)","","751,105","","5,388,066","","2,921,032","","1,418,626","","1,288,401","","2,006,358",""
"Owner-occupied housing unit rate, 2015-2019","","70.0%","","66.1%","","69.1%","","71.1%","","66.3%","","67.2%",""
"Median value of owner-occupied housing units, 2015-2019","","$212,300","","$194,500","","$141,700","","$147,800","","$151,900","","$141,000",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,270","","$1,693","","$1,148","","$1,260","","$1,378","","$1,178",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$377","","$641","","$409","","$485","","$508","","$375",""
"Median gross rent, 2015-2019","","$853","","$1,010","","$826","","$789","","$850","","$763",""
"Building permits, 2020","","19,130","","18,058","","24,919","","12,623","","8,211","","11,281",""
"Households, 2015-2019","","630,008","","4,846,134","","2,570,419","","1,265,473","","1,129,227","","1,734,618",""
"Persons per household, 2015-2019","","2.68","","2.57","","2.52","","2.40","","2.51","","2.49",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","82.8%","","87.3%","","85.3%","","85.2%","","83.8%","","84.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","10.9%","","23.2%","","8.8%","","8.3%","","11.9%","","5.6%",""
"Households with a computer, percent, 2015-2019","","91.8%","","89.9%","","88.7%","","89.0%","","90.0%","","86.4%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","82.7%","","82.7%","","80.1%","","80.8%","","81.8%","","78.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","90.8%","","89.2%","","88.8%","","92.1%","","91.0%","","86.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","27.6%","","34.7%","","26.5%","","28.6%","","33.4%","","24.2%",""
"With a disability, under age 65 years, percent, 2015-2019","","9.6%","","7.2%","","9.7%","","7.9%","","9.0%","","13.2%",""
"Persons  without health insurance, under age 65 years, percent","","12.8%","","8.6%","","10.3%","","6.0%","","10.9%","","7.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","62.4%","","65.1%","","63.8%","","67.3%","","65.9%","","59.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","57.0%","","60.4%","","59.1%","","62.9%","","61.4%","","54.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","2,680,225","","27,937,381","","13,076,602","","5,468,687","","4,873,411","","7,500,115",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","7,895,614","","83,431,778","","42,493,117","","18,583,828","","18,248,370","","26,264,745",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","20,201,432","","281,037,755","","242,763,842","","116,668,830","","86,076,260","","129,284,438",""
"Total retail sales, 2012 ($1,000)","(c)","20,444,278","","166,634,514","","85,857,962","","44,905,624","","38,276,461","","54,869,978",""
"Total retail sales per capita, 2012","(c)","$12,812","","$12,942","","$13,133","","$14,607","","$13,263","","$12,526",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","21.1","","29.2","","23.8","","19.3","","19.4","","23.6",""
"Median household income (in 2019 dollars), 2015-2019","","$55,785","","$65,886","","$56,303","","$60,523","","$59,597","","$50,589",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$27,970","","$36,038","","$29,777","","$32,176","","$31,814","","$28,178",""
"Persons in poverty, percent","","11.2%","","11.5%","","11.9%","","11.2%","","11.4%","","16.3%",""
"Total employer establishments, 2019","","50,547","","320,417","","148,917","","82,770","","74,292","","91,219",""
"Total employment, 2019","","616,778","","5,530,388","","2,834,056","","1,380,747","","1,209,318","","1,666,637",""
"Total annual payroll, 2019 ($1,000)","","26,955,259","","325,435,485","","132,501,965","","63,671,064","","57,272,387","","74,883,767",""
"Total employment, percent change, 2018-2019","","3.2%","","0.1%","","0.6%","","1.2%","","0.5%","","1.5%",""
"Total nonemployer establishments, 2018","","135,986","","996,670","","422,619","","212,333","","202,389","","295,814",""
"All firms, 2012","","146,642","","1,135,017","","479,059","","259,121","","239,118","","331,546",""
"Men-owned firms, 2012","","70,438","","609,648","","253,533","","135,382","","125,169","","184,154",""
"Women-owned firms, 2012","","45,121","","417,500","","162,798","","82,345","","77,194","","106,011",""
"Minority-owned firms, 2012","","10,592","","311,684","","61,252","","14,707","","26,127","","27,258",""
"Nonminority-owned firms, 2012","","130,973","","795,129","","405,090","","236,561","","204,562","","296,155",""
"Veteran-owned firms, 2012","","12,804","","89,110","","45,174","","25,889","","21,610","","33,208",""
"Nonveteran-owned firms, 2012","","124,314","","1,006,885","","412,543","","217,779","","203,401","","282,704",""
"Population per square mile, 2010","","19.0","","231.1","","181.0","","54.5","","34.9","","109.9",""
"Land area in square miles, 2010","","82,643.12","","55,518.93","","35,826.11","","55,857.13","","81,758.72","","39,486.34",""
"FIPS Code","","""16""","","""17""","","""18""","","""19""","","""20""","","""21""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
