"Fact","Fact Note","Oklahoma","Value Note for Oklahoma","Oregon","Value Note for Oregon","Maryland","Value Note for Maryland","Massachusetts","Value Note for Massachusetts","Michigan","Value Note for Michigan","Minnesota","Value Note for Minnesota"
"Population estimates, July 1, 2019,  (V2019)","","3,956,971","","4,217,737","","6,045,680","","6,892,503","","9,986,857","","5,639,632",""
"Population estimates base, April 1, 2010,  (V2019)","","3,751,582","","3,831,079","","5,773,794","","6,547,785","","9,884,116","","5,303,927",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","5.5%","","10.1%","","4.7%","","5.3%","","1.0%","","6.3%",""
"Population, Census, April 1, 2020","","3,959,353","","4,237,256","","6,177,224","","7,029,917","","10,077,331","","5,706,494",""
"Population, Census, April 1, 2010","","3,751,351","","3,831,074","","5,773,552","","6,547,629","","9,883,640","","5,303,925",""
"Persons under 5 years, percent","","6.5%","","5.4%","","6.0%","","5.2%","","5.7%","","6.2%",""
"Persons under 18 years, percent","","24.1%","","20.5%","","22.1%","","19.6%","","21.5%","","23.1%",""
"Persons 65 years and over, percent","","16.1%","","18.2%","","15.9%","","17.0%","","17.7%","","16.3%",""
"Female persons, percent","","50.5%","","50.4%","","51.6%","","51.5%","","50.7%","","50.2%",""
"White alone, percent","","74.0%","","86.7%","","58.5%","","80.6%","","79.2%","","83.8%",""
"Black or African American alone, percent","(a)","7.8%","","2.2%","","31.1%","","9.0%","","14.1%","","7.0%",""
"American Indian and Alaska Native alone, percent","(a)","9.4%","","1.8%","","0.6%","","0.5%","","0.7%","","1.4%",""
"Asian alone, percent","(a)","2.4%","","4.9%","","6.7%","","7.2%","","3.4%","","5.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%","","0.5%","","0.1%","","0.1%","","Z","","0.1%",""
"Two or More Races, percent","","6.3%","","4.0%","","2.9%","","2.6%","","2.5%","","2.6%",""
"Hispanic or Latino, percent","(b)","11.1%","","13.4%","","10.6%","","12.4%","","5.3%","","5.6%",""
"White alone, not Hispanic or Latino, percent","","65.0%","","75.1%","","50.0%","","71.1%","","74.7%","","79.1%",""
"Veterans, 2015-2019","","270,775","","283,045","","365,356","","303,534","","549,526","","300,044",""
"Foreign born persons, percent, 2015-2019","","6.0%","","9.9%","","15.2%","","16.8%","","6.9%","","8.5%",""
"Housing units,  July 1, 2019,  (V2019)","","1,749,464","","1,808,465","","2,470,316","","2,928,732","","4,629,611","","2,477,753",""
"Owner-occupied housing unit rate, 2015-2019","","65.6%","","62.4%","","66.9%","","62.4%","","71.2%","","71.6%",""
"Median value of owner-occupied housing units, 2015-2019","","$136,800","","$312,200","","$314,800","","$381,600","","$154,900","","$223,900",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,234","","$1,699","","$2,017","","$2,225","","$1,298","","$1,580",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$401","","$538","","$627","","$812","","$490","","$534",""
"Median gross rent, 2015-2019","","$810","","$1,110","","$1,392","","$1,282","","$871","","$977",""
"Building permits, 2020","","13,733","","18,665","1","17,982","","17,025","","19,735","1","28,148",""
"Households, 2015-2019","","1,480,061","","1,611,982","","2,205,204","","2,617,497","","3,935,041","","2,185,603",""
"Persons per household, 2015-2019","","2.58","","2.51","","2.67","","2.52","","2.47","","2.49",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","83.2%","","82.9%","","86.4%","","87.3%","","86.2%","","85.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","10.5%","","15.4%","","19.0%","","23.8%","","9.7%","","11.9%",""
"Households with a computer, percent, 2015-2019","","88.6%","","93.0%","","92.4%","","91.4%","","89.6%","","91.6%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","78.6%","","85.9%","","86.4%","","86.4%","","81.5%","","84.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","88.0%","","90.7%","","90.2%","","90.8%","","90.8%","","93.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","25.5%","","33.7%","","40.2%","","43.7%","","29.1%","","36.1%",""
"With a disability, under age 65 years, percent, 2015-2019","","11.5%","","9.9%","","7.5%","","7.8%","","10.2%","","7.3%",""
"Persons  without health insurance, under age 65 years, percent","","16.8%","","8.6%","","6.9%","","3.5%","","6.9%","","5.8%",""
