"Fact","Fact Note","Tennessee","Value Note for Tennessee","Texas","Value Note for Texas","Utah","Value Note for Utah","Vermont","Value Note for Vermont","Virginia","Value Note for Virginia","Washington","Value Note for Washington"
"Population estimates, July 1, 2019,  (V2019)","","6,829,174","","28,995,881","","3,205,958","","623,989","","8,535,519","","7,614,893",""
"Population estimates base, April 1, 2010,  (V2019)","","6,346,276","","25,146,091","","2,763,891","","625,737","","8,001,049","","6,724,540",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","7.6%","","15.3%","","16.0%","","-0.3%","","6.7%","","13.2%",""
"Population, Census, April 1, 2020","","6,910,840","","29,145,505","","3,271,616","","643,077","","8,631,393","","7,705,281",""
"Population, Census, April 1, 2010","","6,346,105","","25,145,561","","2,763,885","","625,741","","8,001,024","","6,724,540",""
"Persons under 5 years, percent","","6.0%","","6.9%","","7.7%","","4.7%","","5.9%","","6.0%",""
"Persons under 18 years, percent","","22.1%","","25.5%","","29.0%","","18.3%","","21.8%","","21.8%",""
"Persons 65 years and over, percent","","16.7%","","12.9%","","11.4%","","20.0%","","15.9%","","15.9%",""
"Female persons, percent","","51.2%","","50.3%","","49.6%","","50.6%","","50.8%","","49.9%",""
"White alone, percent","","78.4%","","78.7%","","90.6%","","94.2%","","69.4%","","78.5%",""
"Black or African American alone, percent","(a)","17.1%","","12.9%","","1.5%","","1.4%","","19.9%","","4.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%","","1.0%","","1.6%","","0.4%","","0.5%","","1.9%",""
"Asian alone, percent","(a)","2.0%","","5.2%","","2.7%","","1.9%","","6.9%","","9.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","1.1%","","Z","","0.1%","","0.8%",""
"Two or More Races, percent","","2.0%","","2.1%","","2.6%","","2.0%","","3.2%","","4.9%",""
"Hispanic or Latino, percent","(b)","5.7%","","39.7%","","14.4%","","2.0%","","9.8%","","13.0%",""
"White alone, not Hispanic or Latino, percent","","73.5%","","41.2%","","77.8%","","92.6%","","61.2%","","67.5%",""
"Veterans, 2015-2019","","431,274","","1,453,450","","120,447","","36,988","","677,533","","529,784",""
"Foreign born persons, percent, 2015-2019","","5.1%","","17.0%","","8.5%","","4.7%","","12.4%","","14.3%",""
