"Fact","Fact Note","Mississippi","Value Note for Mississippi","Missouri","Value Note for Missouri","Pennsylvania","Value Note for Pennsylvania","Rhode Island","Value Note for Rhode Island","South Carolina","Value Note for South Carolina","South Dakota","Value Note for South Dakota"
"Population estimates, July 1, 2019,  (V2019)","","2,976,149","","6,137,428","","12,801,989","","1,059,361","","5,148,714","","884,659",""
"Population estimates base, April 1, 2010,  (V2019)","","2,968,130","","5,988,950","","12,702,868","","1,052,964","","4,625,366","","814,198",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","0.3%","","2.5%","","0.8%","","0.6%","","11.3%","","8.7%",""
"Population, Census, April 1, 2020","","2,961,279","","6,154,913","","13,002,700","","1,097,379","","5,118,425","","886,667",""
"Population, Census, April 1, 2010","","2,967,297","","5,988,927","","12,702,379","","1,052,567","","4,625,364","","814,180",""
"Persons under 5 years, percent","","6.2%","","6.0%","","5.5%","","5.1%","","5.7%","","6.9%",""
"Persons under 18 years, percent","","23.5%","","22.3%","","20.6%","","19.3%","","21.6%","","24.5%",""
"Persons 65 years and over, percent","","16.4%","","17.3%","","18.7%","","17.7%","","18.2%","","17.2%",""
"Female persons, percent","","51.5%","","50.9%","","51.0%","","51.3%","","51.6%","","49.5%",""
"White alone, percent","","59.1%","","82.9%","","81.6%","","83.6%","","68.6%","","84.6%",""
"Black or African American alone, percent","(a)","37.8%","","11.8%","","12.0%","","8.5%","","27.0%","","2.3%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%","","0.6%","","0.4%","","1.1%","","0.5%","","9.0%",""
"Asian alone, percent","(a)","1.1%","","2.2%","","3.8%","","3.7%","","1.8%","","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.2%","","0.1%","","0.2%","","0.1%","","0.1%",""
"Two or More Races, percent","","1.3%","","2.4%","","2.1%","","2.9%","","2.0%","","2.5%",""
"Hispanic or Latino, percent","(b)","3.4%","","4.4%","","7.8%","","16.3%","","6.0%","","4.2%",""
"White alone, not Hispanic or Latino, percent","","56.4%","","79.1%","","75.7%","","71.4%","","63.7%","","81.5%",""
"Veterans, 2015-2019","","165,538","","401,779","","759,474","","54,121","","365,139","","57,550",""
"Foreign born persons, percent, 2015-2019","","2.4%","","4.2%","","6.9%","","13.6%","","5.0%","","3.7%",""
"Housing units,  July 1, 2019,  (V2019)","","1,339,021","","2,819,383","","5,732,628","","470,168","","2,351,286","","401,862",""
"Owner-occupied housing unit rate, 2015-2019","","68.2%","","66.8%","","68.9%","","60.8%","","69.4%","","67.8%",""
"Median value of owner-occupied housing units, 2015-2019","","$119,000","","$157,200","","$180,200","","$261,900","","$162,300","","$167,100",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,147","","$1,277","","$1,494","","$1,860","","$1,246","","$1,340",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$359","","$446","","$539","","$739","","$375","","$483",""
"Median gross rent, 2015-2019","","$780","","$830","","$938","","$1,004","","$894","","$747",""
"Building permits, 2020","","7,810","","19,839","","25,706","","1,374","","42,340","","6,660",""
"Households, 2015-2019","","1,104,394","","2,414,521","","5,053,106","","410,489","","1,921,862","","344,397",""
"Persons per household, 2015-2019","","2.62","","2.46","","2.45","","2.47","","2.54","","2.43",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","86.9%","","84.8%","","87.6%","","87.4%","","85.7%","","84.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","4.0%","","6.3%","","11.4%","","22.4%","","7.2%","","6.4%",""
"Households with a computer, percent, 2015-2019","","83.8%","","89.0%","","88.0%","","89.1%","","88.3%","","88.5%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","71.5%","","80.2%","","81.5%","","84.0%","","78.2%","","80.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","84.5%","","89.9%","","90.5%","","88.8%","","87.5%","","91.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","22.0%","","29.2%","","31.4%","","34.2%","","28.1%","","28.8%",""
"With a disability, under age 65 years, percent, 2015-2019","","11.9%","","10.3%","","9.8%","","9.7%","","10.2%","","8.1%",""
"Persons  without health insurance, under age 65 years, percent","","15.4%","","12.0%","","7.0%","","4.8%","","13.2%","","12.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","56.7%","","62.6%","","62.7%","","64.4%","","59.7%","","67.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","53.4%","","58.8%","","58.4%","","60.6%","","55.9%","","63.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","6,999,175","","12,430,310","","23,504,192","","2,481,314","","9,763,818","","1,873,699",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","16,630,587","","40,089,316","","96,329,248","","8,223,005","","22,941,292","","6,211,731",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","66,441,608","","111,535,362","","231,396,178","","11,262,158","","99,160,840","","16,882,647",""
"Total retail sales, 2012 ($1,000)","(c)","37,053,190","","90,546,581","","178,794,945","","12,063,865","","58,093,824","","13,791,827",""
"Total retail sales per capita, 2012","(c)","$12,413","","$15,036","","$14,008","","$11,486","","$12,298","","$16,550",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","24.8","","23.9","","27.2","","25.2","","25.0","","17.2",""
"Median household income (in 2019 dollars), 2015-2019","","$45,081","","$55,461","","$61,744","","$67,167","","$53,199","","$58,275",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$24,369","","$30,810","","$34,352","","$36,121","","$29,426","","$30,773",""
"Persons in poverty, percent","","19.6%","","12.9%","","12.0%","","10.8%","","13.8%","","11.9%",""
"Total employer establishments, 2019","","59,130","","151,816","","303,224","","28,801","","111,926","","27,108",""
"Total employment, 2019","","958,126","","2,547,310","","5,557,885","","444,948","","1,949,406","","358,943",""
"Total annual payroll, 2019 ($1,000)","","37,730,520","","125,301,519","","294,726,635","","22,726,455","","83,500,291","","15,766,523",""
"Total employment, percent change, 2018-2019","","1.4%","","0.5%","","1.5%","","0.6%","","2.4%","","-0.2%",""
"Total nonemployer establishments, 2018","","222,159","","426,915","","865,041","","83,145","","363,971","","68,405",""
"All firms, 2012","","235,454","","491,606","","975,453","","94,642","","367,726","","81,314",""
"Men-owned firms, 2012","","125,079","","257,948","","579,400","","54,651","","202,446","","42,418",""
"Women-owned firms, 2012","","89,159","","162,616","","304,803","","30,484","","131,856","","23,722",""
"Minority-owned firms, 2012","","74,824","","61,035","","131,512","","14,737","","83,233","","4,101",""
"Nonminority-owned firms, 2012","","155,094","","415,972","","818,858","","77,042","","276,269","","74,228",""
"Veteran-owned firms, 2012","","26,789","","49,217","","97,969","","9,904","","47,987","","8,604",""
"Nonveteran-owned firms, 2012","","198,566","","415,542","","837,792","","79,837","","303,137","","66,219",""
"Population per square mile, 2010","","63.2","","87.1","","283.9","","1,018.1","","153.9","","10.7",""
"Land area in square miles, 2010","","46,923.27","","68,741.52","","44,742.70","","1,033.81","","30,060.70","","75,811.00",""
"FIPS Code","","""28""","","""29""","","""42""","","""44""","","""45""","","""46""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
