"Fact","Fact Note","New Jersey","Value Note for New Jersey","New Mexico","Value Note for New Mexico","New York","Value Note for New York","North Carolina","Value Note for North Carolina","North Dakota","Value Note for North Dakota","Ohio","Value Note for Ohio"
"Population estimates, July 1, 2019,  (V2019)","","8,882,190","","2,096,829","","19,453,561","","10,488,084","","762,062","","11,689,100",""
"Population estimates base, April 1, 2010,  (V2019)","","8,791,978","","2,059,199","","19,378,144","","9,535,751","","672,576","","11,536,751",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","1.0%","","1.8%","","0.4%","","10.0%","","13.3%","","1.3%",""
"Population, Census, April 1, 2020","","9,288,994","","2,117,522","","20,201,249","","10,439,388","","779,094","","11,799,448",""
"Population, Census, April 1, 2010","","8,791,894","","2,059,179","","19,378,102","","9,535,483","","672,591","","11,536,504",""
"Persons under 5 years, percent","","5.8%","","5.8%","","5.8%","","5.8%","","7.1%","","5.9%",""
"Persons under 18 years, percent","","21.8%","","22.7%","","20.7%","","21.9%","","23.6%","","22.1%",""
"Persons 65 years and over, percent","","16.6%","","18.0%","","16.9%","","16.7%","","15.7%","","17.5%",""
"Female persons, percent","","51.1%","","50.5%","","51.4%","","51.4%","","48.8%","","51.0%",""
"White alone, percent","","71.9%","","81.9%","","69.6%","","70.6%","","86.9%","","81.7%",""
"Black or African American alone, percent","(a)","15.1%","","2.6%","","17.6%","","22.2%","","3.4%","","13.1%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%","","11.0%","","1.0%","","1.6%","","5.6%","","0.3%",""
"Asian alone, percent","(a)","10.0%","","1.8%","","9.0%","","3.2%","","1.7%","","2.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.2%","","0.1%","","0.1%","","0.1%","","0.1%",""
"Two or More Races, percent","","2.3%","","2.6%","","2.7%","","2.3%","","2.3%","","2.4%",""
"Hispanic or Latino, percent","(b)","20.9%","","49.3%","","19.3%","","9.8%","","4.1%","","4.0%",""
"White alone, not Hispanic or Latino, percent","","54.6%","","36.8%","","55.3%","","62.6%","","83.7%","","78.4%",""
"Veterans, 2015-2019","","321,991","","144,977","","705,924","","659,584","","46,067","","709,287",""
"Foreign born persons, percent, 2015-2019","","22.4%","","9.4%","","22.6%","","8.0%","","4.1%","","4.6%",""
"Housing units,  July 1, 2019,  (V2019)","","3,641,812","","948,473","","8,404,381","","4,747,943","","380,173","","5,232,869",""
"Owner-occupied housing unit rate, 2015-2019","","63.9%","","67.7%","","53.9%","","65.2%","","62.4%","","66.1%",""
"Median value of owner-occupied housing units, 2015-2019","","$335,600","","$171,400","","$313,700","","$172,500","","$193,900","","$145,700",""
