"Fact","Fact Note","West Virginia","Value Note for West Virginia","Wisconsin","Value Note for Wisconsin","Wyoming","Value Note for Wyoming"
"Population estimates, July 1, 2019,  (V2019)","","1,792,147","","5,822,434","","578,759",""
"Population estimates base, April 1, 2010,  (V2019)","","1,853,018","","5,687,285","","563,775",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-3.3%","","2.4%","","2.7%",""
"Population, Census, April 1, 2020","","1,793,716","","5,893,718","","576,851",""
"Population, Census, April 1, 2010","","1,852,994","","5,686,986","","563,626",""
"Persons under 5 years, percent","","5.2%","","5.7%","","6.0%",""
"Persons under 18 years, percent","","20.1%","","21.8%","","23.1%",""
"Persons 65 years and over, percent","","20.5%","","17.5%","","17.1%",""
"Female persons, percent","","50.5%","","50.2%","","49.1%",""
"White alone, percent","","93.5%","","87.0%","","92.5%",""
"Black or African American alone, percent","(a)","3.6%","","6.7%","","1.3%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%","","1.2%","","2.7%",""
"Asian alone, percent","(a)","0.8%","","3.0%","","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z","","0.1%","","0.1%",""
"Two or More Races, percent","","1.8%","","2.0%","","2.2%",""
"Hispanic or Latino, percent","(b)","1.7%","","7.1%","","10.1%",""
"White alone, not Hispanic or Latino, percent","","92.0%","","80.9%","","83.7%",""
"Veterans, 2015-2019","","130,536","","331,340","","44,999",""
"Foreign born persons, percent, 2015-2019","","1.7%","","5.0%","","3.4%",""
"Housing units,  July 1, 2019,  (V2019)","","894,956","","2,725,296","","280,291",""
"Owner-occupied housing unit rate, 2015-2019","","73.2%","","67.0%","","70.4%",""
"Median value of owner-occupied housing units, 2015-2019","","$119,600","","$180,600","","$220,500",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,050","","$1,430","","$1,459",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$326","","$553","","$420",""
"Median gross rent, 2015-2019","","$725","","$856","","$855",""
"Building permits, 2020","","3,204","","21,226","","2,128",""
"Households, 2015-2019","","732,585","","2,358,156","","230,101",""
"Persons per household, 2015-2019","","2.42","","2.39","","2.46",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","88.3%","","86.0%","","83.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","2.6%","","8.7%","","7.4%",""
"Households with a computer, percent, 2015-2019","","84.2%","","89.4%","","91.8%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","76.0%","","82.5%","","83.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","86.9%","","92.2%","","93.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","20.6%","","30.1%","","27.4%",""
"With a disability, under age 65 years, percent, 2015-2019","","14.0%","","8.0%","","8.9%",""
"Persons  without health insurance, under age 65 years, percent","","8.3%","","6.8%","","14.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","53.2%","","66.4%","","65.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","49.1%","","62.9%","","60.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","4,036,333","","10,303,256","","1,644,844",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","12,259,395","","40,680,625","","3,291,478",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","24,553,072","","177,728,926","","10,783,794",""
"Total retail sales, 2012 ($1,000)","(c)","22,637,923","","78,201,822","","9,446,043",""
"Total retail sales per capita, 2012","(c)","$12,201","","$13,656","","$16,388",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","25.9","","22.2","","17.9",""
