"Fact","Fact Note","Connecticut","Value Note for Connecticut","Delaware","Value Note for Delaware","District of Columbia","Value Note for District of Columbia","Florida","Value Note for Florida","Georgia","Value Note for Georgia","Hawaii","Value Note for Hawaii"
"Population estimates, July 1, 2019,  (V2019)","","3,565,287","","973,764","","705,749","","21,477,737","","10,617,423","","1,415,872",""
"Population estimates base, April 1, 2010,  (V2019)","","3,574,147","","897,937","","601,767","","18,804,564","","9,688,729","","1,360,307",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-0.2%","","8.4%","","17.3%","","14.2%","","9.6%","","4.1%",""
"Population, Census, April 1, 2020","","3,605,944","","989,948","","689,545","","21,538,187","","10,711,908","","1,455,271",""
"Population, Census, April 1, 2010","","3,574,097","","897,934","","601,723","","18,801,310","","9,687,653","","1,360,301",""
"Persons under 5 years, percent","","5.1%","","5.6%","","6.4%","","5.3%","","6.2%","","6.0%",""
"Persons under 18 years, percent","","20.4%","","20.9%","","18.2%","","19.7%","","23.6%","","21.2%",""
"Persons 65 years and over, percent","","17.7%","","19.4%","","12.4%","","20.9%","","14.3%","","19.0%",""
"Female persons, percent","","51.2%","","51.7%","","52.6%","","51.1%","","51.4%","","50.0%",""
"White alone, percent","","79.7%","","69.2%","","46.0%","","77.3%","","60.2%","","25.5%",""
"Black or African American alone, percent","(a)","12.2%","","23.2%","","46.0%","","16.9%","","32.6%","","2.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%","","0.7%","","0.6%","","0.5%","","0.5%","","0.4%",""
"Asian alone, percent","(a)","5.0%","","4.1%","","4.5%","","3.0%","","4.4%","","37.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","0.1%","","0.1%","","0.1%","","10.1%",""
"Two or More Races, percent","","2.5%","","2.7%","","2.9%","","2.2%","","2.2%","","24.2%",""
"Hispanic or Latino, percent","(b)","16.9%","","9.6%","","11.3%","","26.4%","","9.9%","","10.7%",""
"White alone, not Hispanic or Latino, percent","","65.9%","","61.7%","","37.5%","","53.2%","","52.0%","","21.7%",""
"Veterans, 2015-2019","","167,521","","65,438","","26,156","","1,440,338","","629,302","","101,975",""
"Foreign born persons, percent, 2015-2019","","14.6%","","9.6%","","13.7%","","20.7%","","10.1%","","18.5%",""
