data_release,event_id,claim_id,group_id,ucdp_group_id,group_name,claim,ucdp_conflict_sgv_1_id,ucdp_conflict_sgv_2_id,ucdp_conflict_osv_1_id,ucdp_conflict_osv_2_id,ucdp_dyad_sgv_1_id,ucdp_dyad_sgv_2_id,ucdp_dyad_osv_1_id,ucdp_dyad_osv_2_id,status,admin0_txt,attack_date
02-Oct-20,-2146485992,1654573645,1412607573,234,Islamic State,Suspected,13604,-1,-99,-99,14620,-1,-99,-99,Confirmed Suicide,None,06.23.2015
02-Oct-20,-2146060571,1056271259,1412607573,234,Islamic State,Suspected,13604,-1,-99,-99,14620,-1,-99,-99,Possible - Too Few Sources,None,01.14.2017
02-Oct-20,-2145067987,310895199,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,10.15.2004
02-Oct-20,-2145029986,835223548,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Possible - Conflicting Reports,None,07.20.2017
02-Oct-20,-2143985988,-422951263,860804023,-99,Al-Jaysh al-Islami li Tahrir al Amaken al Muqaddasa,Claimed,299,-1,13299,-1,11973,-1,14200,-1,Confirmed Suicide,None,10.03.2012
02-Oct-20,-2143985988,-1904261746,1117872197,1170,Jabhat an-Nu_rah li-Ahl ash-Sh_m,Claimed,299,-1,13299,-1,11973,-1,14200,-1,Confirmed Suicide,None,10.03.2012
02-Oct-20,-2143771747,-664618868,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,10.23.2010
02-Oct-20,-2143582969,-1427955420,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,03.20.2007
02-Oct-20,-2143145947,938132267,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,08.12.2008
02-Oct-20,-2142462005,464213745,1088854842,303,Taliban (IEA),Suspected,333,-1,514,-1,735,-1,981,-1,Possible - Too Few Sources,None,08.22.2019
02-Oct-20,-2141430050,-1619875965,-1098742477,234,Islamic State of Iraq and Syria,Claimed,259,-1,-99,-99,524,-1,-99,-99,Confirmed Suicide,None,04.02.2014
02-Oct-20,-2141326225,1338952757,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Confirmed Suicide,None,07.02.2014
02-Oct-20,-2137497052,-627467027,529849632,1051,Boko Haram,Suspected,297,-1,1850,-1,640,-1,2332,-1,Confirmed Suicide,None,11.12.2014
02-Oct-20,-2136994520,1737660764,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,02.23.2008
02-Oct-20,-2136019429,327057747,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Confirmed Suicide,None,06.23.2009
02-Oct-20,-2135674336,-1103829682,-1098742477,234,Islamic State of Iraq and Syria,Claimed,259,-1,-99,-99,524,-1,-99,-99,Possible - Conflicting Reports,None,05.30.2013
02-Oct-20,-2134868585,-1489233507,1412607573,234,Islamic State,Suspected,259,-1,-99,-99,524,-1,-99,-99,Possible - Too Few Sources,None,11.04.2018
02-Oct-20,-2134654500,-674212943,-2020935154,208,Palestinian Islamic Jihad,Claimed,234,-1,500,-1,478,-1,967,-1,Confirmed Suicide,None,10.26.2005
02-Oct-20,-2134123971,1878701944,1540577378,234,Islamic State - Khorasan Province,Claimed,13637,-1,-99,-99,14320,-1,-99,-99,Confirmed Suicide,None,10.31.2016
02-Oct-20,-2133030244,-1248632278,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Confirmed Suicide,None,06.07.2008
02-Oct-20,-2132998127,2101891239,1412607573,234,Islamic State,Claimed,13604,-1,-99,-99,14620,-1,-99,-99,Confirmed Suicide,None,10.08.2014
02-Oct-20,-2131469763,289224568,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,07.14.2012
02-Oct-20,-2129452379,-282608293,1412607573,234,Islamic State,Suspected,259,-1,-99,-99,524,-1,-99,-99,Confirmed Suicide,None,05.12.2016
02-Oct-20,-2128930437,557787169,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Confirmed Suicide,None,08.23.2017
02-Oct-20,-2128770069,2041749521,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,01.08.2015
02-Oct-20,-2127773380,-1081804342,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,07.24.2014
02-Oct-20,-2126866627,-1403804749,1412607573,234,Islamic State,Suspected,259,-1,-99,-99,524,-1,-99,-99,Confirmed Suicide,None,10.25.2015
02-Oct-20,-2125993008,998331281,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Confirmed Suicide,None,12.27.2013
02-Oct-20,-2125820374,-1389131672,2004803133,717,Al-Shabaab,Claimed,337,-1,-99,-99,750,-1,-99,-99,Confirmed Suicide,None,06.24.2015
02-Oct-20,-2125582007,-1260409701,1219865689,234,Islamic State of Iraq,Claimed,259,-1,-99,-99,524,-1,-99,-99,Confirmed Suicide,None,02.03.2013
02-Oct-20,-2125274181,828177505,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,02.13.2015
02-Oct-20,-2124818877,-279862965,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Possible - Too Few Sources,None,05.27.2019
02-Oct-20,-2123020174,145648532,-2061437918,211,Al-Aqsa Martyrs Brigade,Claimed,234,-1,502,500,480,-1,969,967,Confirmed Suicide,None,11.04.2002
02-Oct-20,-2123020174,1514062600,-2020935154,208,Palestinian Islamic Jihad,Claimed,234,-1,502,500,480,-1,969,967,Confirmed Suicide,None,11.04.2002
02-Oct-20,-2122594453,937850980,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,11.01.2007
02-Oct-20,-2122248392,-942406708,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Possible - Too Few Sources,None,01.09.2007
02-Oct-20,-2122063189,785771292,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,04.09.2019
02-Oct-20,-2121629020,-1467781820,-744776018,209,Hamas,Claimed,234,-1,-99,-99,477,-1,-99,-99,Confirmed Suicide,None,01.18.2005
