year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count,published_at,title,category_id
2018,Toyota,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,173929,1233,38,NA,2018-02-03T11:29:14Z,Toyota Super Bowl Commercial 2018 Good Odds,1
2020,Bud Light,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,47752,485,14,14,2020-01-31T21:04:13Z,Bud Light: Post Malone #PostyStore Inside Post's Brain,27
2006,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,142310,129,15,9,2006-02-06T10:02:36Z,"Super Bowl 2006: Bud Light ""Save Yourself""",17
2018,Hynudai,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,198,2,0,0,2018-03-09T15:40:18Z,Hyundai / Hope Detector (2018),22
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,13741,20,3,2,2006-07-18T04:53:42Z,bud light pick up,24
2020,Toyota,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,23636,115,11,13,2020-02-02T21:21:27Z,Toyota Super Bowl Commercial 2020 Cobie Smulders Heroes,1
2020,Coca-Cola,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,304254,1470,384,227,2020-01-31T14:58:00Z,Coca-Cola Energy - Show Up ft. Jonah Hill & Martin Scorsese,24
2020,Kia,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17892,78,6,6,2020-01-31T04:37:27Z,"Kia Seltos Super Bowl 2020 TV Commercial, 'Tough Never Quits'",2
2020,Hynudai,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,38385,342,7,30,2021-01-27T13:11:29Z,Hyundai: Super Bowl Commercial - Smaht Pahk,24
2020,Budweiser,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,782,7,0,0,2020-01-24T14:04:00Z,Budweiser - Typical American,24
