varIssuesId,varIssuesStr
10010,involuntary confession
10020,habeas corpus
10030,plea bargaining: the constitutionality of and/or the circumstances of its exercise
10040,retroactivity (of newly announced or newly enacted constitutional or statutory rights)
10050,search and seizure (other than as pertains to vehicles or Crime Control Act) 10060
10060,"search and seizure, vehicles"
10070,"search and seizure, Crime Control Act 10080"
10080,contempt of court or congress
10090,self-incrimination (other than as pertains to Miranda or immunity from prosecution)
10100,Miranda warnings
10110,"self-incrimination, immunity from prosecution"
10120,right to counsel (cf. indigents appointment of counsel or inadequate representation)
10130,"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)"
10140,"cruel and unusual punishment, non-death penalty (cf. liability, civil rights acts) 10150"
10150,line-up
10160,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)"
10170,double jeopardy 10180
10180,ex post facto (state)
10190,extra-legal jury influences: miscellaneous
10200,extra-legal jury influences: prejudicial statements or evidence 
10210,extra-legal jury influences: contact with jurors outside courtroom
10220,extra-legal jury influences: jury instructions (not necessarily in criminal cases) 
10230,extra-legal jury influences: voir dire (not necessarily a criminal case)
10240,extra-legal jury influences: prison garb or appearance
10250,extra-legal jury influences: jurors and death penalty (cf. cruel and unusual punishment)
10260,extra-legal jury influences: pretrial publicity
10270,"confrontation (right to confront accuser, call and cross-examine witnesses) "
10280,subconstitutional fair procedure: confession of error
10290,subconstitutional fair procedure: conspiracy (cf. Federal Rules of Criminal Procedure: conspiracy)
10300,subconstitutional fair procedure: entrapment
10310,subconstitutional fair procedure: exhaustion of remedies
10320,subconstitutional fair procedure: fugitive from justice
10330,"subconstitutional fair procedure: presentation, admissibility, or sufficiency of evidence (not necessarily a criminal case)"
10340,subconstitutional fair procedure: stay of execution
10350,subconstitutional fair procedure: timeliness
10360,subconstitutional fair procedure: miscellaneous
10370,Federal Rules of Criminal Procedure
10380,statutory construction of criminal laws: assault
10390,statutory construction of criminal laws: bank robbery
10400,statutory construction of criminal laws: conspiracy (cf. subconstitutional fair procedure: conspiracy)
10410,statutory construction of criminal laws: escape from custody
10420,statutory construction of criminal laws: false statements (cf. statutory construction of criminal laws: perjury)
10430,statutory construction of criminal laws: financial (other than in fraud or internal revenue)
10440,statutory construction of criminal laws: firearms
10450,statutory construction of criminal laws: fraud
10460,statutory construction of criminal laws: gambling
10470,"statutory construction of criminal laws: Hobbs Act; i.e., 18 USC 1951"
10480,statutory construction of criminal laws: immigration (cf. immigration and naturalization)
10490,statutory construction of criminal laws: internal revenue (cf. Federal Taxation)
10500,statutory construction of criminal laws: Mann Act and related statutes
10510,statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol
10520,statutory construction of criminal laws: obstruction of justice
10530,statutory construction of criminal laws: perjury (other than as pertains to statutory construction of criminal laws: false statements)
10540,"statutory construction of criminal laws: Travel Act, 18 USC 1952"
10550,statutory construction of criminal laws: war crimes
10560,statutory construction of criminal laws: sentencing guidelines
10570,statutory construction of criminal laws: miscellaneous
10580,"jury trial (right to, as distinct from extra-legal jury influences)"
10590,speedy trial
10600,"miscellaneous criminal procedure (cf. due process, prisoners' rights, comity: criminal procedure)"
20010,voting
20020,"Voting Rights Act of 1965, plus amendments"
20030,ballot access (of candidates and political parties)
20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)"
20050,"desegregation, schools"
20060,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions."
20070,affirmative action
20075,slavery or indenture
20080,sit-in demonstrations (protests against racial discrimination in places of public accommodation)
20090,reapportionment: other than plans governed by the Voting Rights Act
20100,debtors' rights
20110,deportation (cf. immigration and naturalization)
20120,employability of aliens (cf. immigration and naturalization)
20130,sex discrimination (excluding sex discrimination in employment)
20140,sex discrimination in employment (cf. sex discrimination)
20150,Indians (other than pertains to state jurisdiction over)
20160,"Indians, state jurisdiction over"
20170,juveniles (cf. rights of illegitimates)
20180,"poverty law, constitutional"
20190,"poverty law, statutory: welfare benefits, typically under some Social Security Act provision."
20200,"illegitimates, rights of (cf. juveniles): typically inheritance and survivor's benefits, and paternity suits"
20210,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes"
20220,"residency requirements: durational, plus discrimination against nonresidents"
20230,"military: draftee, or person subject to induction"
20240,military: active duty
20250,military: veteran
20260,immigration and naturalization: permanent residence
20270,immigration and naturalization: citizenship
20280,"immigration and naturalization: loss of citizenship, denaturalization"
20290,immigration and naturalization: access to public education
20300,immigration and naturalization: welfare benefits
20310,immigration and naturalization: miscellaneous
20320,indigents: appointment of counsel (cf. right to counsel)
20330,indigents: inadequate representation by counsel (cf. right to counsel)
20340,indigents: payment of fine
20350,indigents: costs or filing fees
