varJusticesId,varJusticesStr
1,JJay
2,JRutledge1
3,WCushing
4,JWilson
5,JBlair
6,JIredell
7,TJohnson
8,WPaterson
9,JRutledge2
10,SChase
11,OEllsworth
12,BWashington
13,AMoore
14,JMarshall
15,WJohnson
16,HBLivingston
17,TTodd
18,GDuvall
19,JStory
20,SThompson
21,RTrimble
22,JMcLean
23,HBaldwin
24,JMWayne
25,RBTaney
26,PPBarbour
27,JCatron
28,JMcKinley
29,PVDaniel
30,SNelson
31,LWoodbury
32,RCGrier
33,BRCurtis
34,JACampbell
35,NClifford
36,NHSwayne
37,SFMiller
38,DDavis
39,SJField
40,SPChase
41,WStrong
42,JPBradley
43,WHunt
44,MRWaite
45,JHarlan1
46,WBWoods
47,SMatthews
48,HGray
49,SBlatchford
50,LQLamar
51,MWFuller
52,DJBrewer
53,HBBrown
54,GShiras
55,HEJackson
56,EDEWhite
57,RWPeckham
58,JMcKenna
59,OWHolmes
60,WRDay
61,WHMoody
62,HHLurton
63,CEHughes1
64,WVanDevanter
65,JRLamar
66,MPitney
67,JCMcReynolds
68,LDBrandeis
69,JHClarke
70,WHTaft
71,GSutherland
72,PButler
73,ETSanford
74,HFStone
75,CEHughes2
76,OJRoberts
77,BNCardozo
78,HLBlack
79,SFReed
80,FFrankfurter
81,WODouglas
82,FMurphy
83,JFByrnes
84,RHJackson
85,WBRutledge
86,HHBurton
87,FMVinson
88,TCClark
89,SMinton
90,EWarren
91,JHarlan2
92,WJBrennan
93,CEWhittaker
94,PStewart
95,BRWhite
96,AJGoldberg
97,AFortas
98,TMarshall
99,WEBurger
100,HABlackmun
101,LFPowell
102,WHRehnquist
103,JPStevens
104,SDOConnor
105,AScalia
106,AMKennedy
107,DHSouter
108,CThomas
109,RBGinsburg
110,SGBreyer
111,JGRoberts
112,SAAlito
113,SSotomayor
114,EKagan
115,NMGorsuch
116,BMKavanaugh
117,Unspecified
