varPartiesId,varPartiesStr
1,attorney general of the United States / or his office
2,specified state board or department of education
3,city / town / township / village / or borough government or governmental unit
4,state commission / board / committee / or authority
5,county government or county governmental unit / except school district
6,court or judicial district
7,state department or agency
8,governmental employee or job applicant
9,female governmental employee or job applicant
10,minority governmental employee or job applicant
11,minority female governmental employee or job applicant
12,not listed among agencies in the first Administrative Action variable
13,retired or former governmental employee
14,U.S. House of Representatives
15,interstate compact
16,judge
17,state legislature / house / or committee
18,local governmental unit other than a county / city / town / township / village / or borough
19,governmental official / or an official of an agency established under an interstate compact
20,state or U.S. supreme court
21,local school district or board of education
22,U.S. Senate
23,U.S. senator
24,foreign nation or instrumentality
25,state or local governmental taxpayer / or executor of the estate of
26,state college or university
27,United States
28,State
100,person accused / indicted / or suspected of crime
101,advertising business or agency
102,agent / fiduciary / trustee / or executor
103,airplane manufacturer / or manufacturer of parts of airplanes
104,airline
105,distributor / importer / or exporter of alcoholic beverages
106,alien / person subject to a denaturalization proceeding / or one whose citizenship is revoked
107,American Medical Association
108,National Railroad Passenger Corp.
109,amusement establishment / or recreational facility
110,arrested person / or pretrial detainee
111,attorney / or person acting as such;includes bar applicant or law student / or law firm or bar association
112,author / copyright holder
113,bank / savings and loan / credit union / investment company
114,bankrupt person or business / or business in reorganization
115,establishment serving liquor by the glass / or package liquor store
116,water transportation / stevedore
117,bookstore / newsstand / printer / bindery / purveyor or distributor of books or magazines
118,brewery / distillery
119,broker / stock exchange / investment or securities firm
120,construction industry
121,bus or motorized passenger transportation vehicle
122,business / corporation
123,buyer / purchaser
124,cable TV
125,car dealer
126,person convicted of crime
127,tangible property / other than real estate / including contraband
128,chemical company
129,child / children / including adopted or illegitimate
130,religious organization / institution / or person
131,private club or facility
132,coal company or coal mine operator
133,computer business or manufacturer / hardware or software
134,consumer / consumer organization
135,creditor / including institution appearing as such; e.g. / a finance company
136,person allegedly criminally insane or mentally incompetent to stand trial
137,defendant
138,debtor
139,real estate developer
140,disabled person or disability benefit claimant
141,distributor
142,person subject to selective service / including conscientious objector
143,drug manufacturer
144,druggist / pharmacist / pharmacy
145,employee / or job applicant / including beneficiaries of
146,employer-employee trust agreement / employee health and welfare fund / or multi- employer pension plan
147,electric equipment manufacturer
148,electric or hydroelectric power utility / power cooperative / or gas and electric company
149,eleemosynary institution or person
150,environmental organization
151,employer. If employer's relations with employees are governed by the nature of the employer's business (e.g. / railroad / boat) / rather than labor law generally / the more specific designation is used in place of Employer.
