"State","Year","Data.DHS Denominator","Data.Number of Firms","Data.Calculated.Net Job Creation","Data.Calculated.Net Job Creation Rate","Data.Calculated.Reallocation Rate","Data.Establishments.Entered","Data.Establishments.Entered Rate","Data.Establishments.Exited","Data.Establishments.Exited Rate","Data.Establishments.Physical Locations","Data.Firm Exits.Count","Data.Firm Exits.Establishment Exit","Data.Firm Exits.Employments","Data.Job Creation.Births","Data.Job Creation.Continuers","Data.Job Creation.Count","Data.Job Creation.Rate","Data.Job Creation.Rate/Births","Data.Job Destruction.Continuers","Data.Job Destruction.Count","Data.Job Destruction.Deaths","Data.Job Destruction.Rate","Data.Job Destruction.Rate/Deaths"
"Alabama","1978","972627","54597","74178","7.627","29.183","10457","16.375","7749","12.135","65213","5248","5329","28257","76167","139930","216097","22.218","7.831","81829","141919","60090","14.591","6.178"
"Alabama","1979","1037995","55893","58099","5.597","31.251","9668","14.701","7604","11.562","66797","5234","5294","29467","76618","143675","220293","21.223","7.381","101842","162194","60352","15.626","5.814"
"Alabama","1980","1064141","54838","-7253","-0.682","32.464","8714","13.168","8871","13.406","66095","6058","6128","32427","65734","106998","172732","16.232","6.177","120563","179985","59422","16.914","5.584"
"Alabama","1981","1051448","54791","-9132","-0.869","31.206","8371","12.687","7516","11.391","66410","5176","5269","27038","70115","93941","164056","15.603","6.668","121251","173188","51937","16.471","4.94"
"Alabama","1982","1037728","53219","-9658","-0.931","33.144","8185","12.497","8621","13.163","65276","6077","6147","34073","73083","98887","171970","16.572","7.043","119658","181628","61970","17.502","5.972"
"Alabama","1983","1012807","53724","-8506","-0.84","33.905","8371","12.942","6970","10.776","65380","4537","4663","27346","66389","105308","171697","16.953","6.555","122786","180203","57417","17.792","5.669"
"Alabama","1984","1054020","57267","99075","9.4","23.015","10726","16.006","5712","8.524","69519","4265","4320","22686","79566","140801","220367","20.907","7.549","82043","121292","39249","11.508","3.724"
"Alabama","1985","1148409","58402","54925","4.783","27.946","10063","14.453","7449","10.699","70932","5377","5480","33204","80918","134476","215394","18.756","7.046","99965","160469","60504","13.973","5.269"
"Alabama","1986","1166259","59182","46862","4.018","30.944","10218","14.4","7555","10.647","72289","5330","5449","30834","90341","136967","227308","19.49","7.746","121713","180446","58733","15.472","5.036"
"Alabama","1987","1196881","60479","16205","1.354","34.303","10683","14.714","7937","10.932","73979","5412","5530","34257","85554","135935","221489","18.506","7.148","133494","205284","71790","17.152","5.998"
"Alabama","1988","1222477","62286","32543","2.662","30.348","10603","14.097","7781","10.345","76624","5451","5547","34052","91978","126064","218042","17.836","7.524","120338","185499","65161","15.174","5.33"
"Alabama","1989","1269650","63461","75754","5.967","26.134","10613","13.766","7861","10.196","78473","5647","5782","33792","94892","146766","241658","19.033","7.474","109951","165904","55953","13.067","4.407"
"Alabama","1990","1335271","64371","48861","3.659","27.082","10084","12.801","7914","10.046","79859","5850","5991","37617","79153","150515","229668","17.2","5.928","121554","180807","59253","13.541","4.438"
"Alabama","1991","1353605","64112","-3138","-0.232","31.36","9871","12.392","8329","10.456","80427","5870","6009","46381","92206","120041","212247","15.68","6.812","139948","215385","75437","15.912","5.573"
"Alabama","1992","1363065","64731","22232","1.631","28.828","9465","11.78","7766","9.666","81195","5277","5409","34547","77922","140781","218703","16.045","5.717","133604","196471","62867","14.414","4.612"
"Alabama","1993","1393469","66352","43687","3.135","25.68","9635","11.774","7741","9.459","82781","5179","5318","30535","66321","156286","222607","15.975","4.759","113610","178920","65310","12.84","4.687"
"Alabama","1994","1438949","68332","34972","2.43","26.703","10521","12.544","8020","9.562","85126","5549","5688","37294","86407","140689","227096","15.782","6.005","127690","192124","64434","13.352","4.478"
"Alabama","1995","1484503","70251","72158","4.861","23.729","10640","12.343","7901","9.165","87575","5581","5720","34054","85993","162297","248290","16.725","5.793","117868","176132","58264","11.865","3.925"
"Alabama","1996","1517424","71167","15826","1.043","28.405","10623","12.066","8413","9.556","89144","6063","6181","39886","82504","148833","231337","15.245","5.437","141224","215511","74287","14.202","4.896"
"Alabama","1997","1541084","71754","25125","1.63","31.529","10794","12.061","9453","10.563","90163","6437","6576","46127","101064","167005","268069","17.395","6.558","153352","242944","89592","15.764","5.814"
"Alabama","1998","1586686","72280","10176","0.641","30.073","10186","11.246","9215","10.174","91061","6205","6376","39593","87481","161273","248754","15.678","5.513","142345","238578","96233","15.036","6.065"
"Alabama","1999","1604978","72253","30058","1.873","28.799","9885","10.848","8925","9.795","91601","6031","6204","39923","103526","157638","261164","16.272","6.45","147329","231106","83777","14.399","5.22"
"Alabama","2000","1637765","71665","33159","2.025","27.515","9293","10.196","9316","10.222","91129","6108","6331","42007","80802","177675","258477","15.782","4.934","141159","225318","84159","13.758","5.139"
"Alabama","2001","1633666","70660","-31958","-1.956","28.731","9546","10.524","9398","10.361","90778","6092","6397","47004","96026","138660","234686","14.366","5.878","177736","266644","88908","16.322","5.442"
