"Location.County","Location.State","Location.State Abbreviation","Vote Data.Ben Carson.Number of Votes","Vote Data.Ben Carson.Party","Vote Data.Ben Carson.Percent of Votes","Vote Data.Bernie Sanders.Number of Votes","Vote Data.Bernie Sanders.Party","Vote Data.Bernie Sanders.Percent of Votes","Vote Data.Carly Fiorina.Number of Votes","Vote Data.Carly Fiorina.Party","Vote Data.Carly Fiorina.Percent of Votes","Vote Data.Chris Christie.Number of Votes","Vote Data.Chris Christie.Party","Vote Data.Chris Christie.Percent of Votes","Vote Data.Donald Trump.Number of Votes","Vote Data.Donald Trump.Party","Vote Data.Donald Trump.Percent of Votes","Vote Data.Hillary Clinton.Number of Votes","Vote Data.Hillary Clinton.Party","Vote Data.Hillary Clinton.Percent of Votes","Vote Data.Jeb Bush.Number of Votes","Vote Data.Jeb Bush.Party","Vote Data.Jeb Bush.Percent of Votes","Vote Data.John Kasich.Number of Votes","Vote Data.John Kasich.Party","Vote Data.John Kasich.Percent of Votes","Vote Data.Marco Rubio.Number of Votes","Vote Data.Marco Rubio.Party","Vote Data.Marco Rubio.Percent of Votes","Vote Data.Martin O'Malley.Number of Votes","Vote Data.Martin O'Malley.Party","Vote Data.Martin O'Malley.Percent of Votes","Vote Data.Mike Huckabee.Number of Votes","Vote Data.Mike Huckabee.Party","Vote Data.Mike Huckabee.Percent of Votes","Vote Data.No Preference.Number of Votes","Vote Data.No Preference.Party","Vote Data.No Preference.Percent of Votes","Vote Data.Rand Paul.Number of Votes","Vote Data.Rand Paul.Party","Vote Data.Rand Paul.Percent of Votes","Vote Data.Rick Santorum.Number of Votes","Vote Data.Rick Santorum.Party","Vote Data.Rick Santorum.Percent of Votes","Vote Data.Ted Cruz.Number of Votes","Vote Data.Ted Cruz.Party","Vote Data.Ted Cruz.Percent of Votes","Vote Data.Uncommitted.Number of Votes","Vote Data.Uncommitted.Party","Vote Data.Uncommitted.Percent of Votes"
"Abbeville","South Carolina","SC","305","Republican","8.3","312","Democrat","17.0","0","Republican","0.0","0","Republican","0.0","1353","Republican","36.9","1501","Democrat","81.8","236","Republican","6.4","157","Republican","4.3","740","Republican","20.200000000000003","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","876","Republican","23.9","0","N/A","0.0"
"Abbot","Maine","ME","0","Republican","0.0","1","Democrat","100.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","N/A","0.0"
"Abington","Massachusetts","MA","53","Republican","2.5","1352","Democrat","53.400000000000006","0","Republican","0.0","0","Republican","0.0","1222","Republican","57.9","1129","Democrat","44.6","0","Republican","0.0","299","Republican","14.2","267","Republican","12.7","0","Democrat","0.0","0","Republican","0.0","30","N/A","1.2","0","Republican","0.0","0","Republican","0.0","208","Republican","9.9","0","N/A","0.0"
"Acadia","Louisiana","LA","0","Republican","0.0","1087","Democrat","31.4","0","Republican","0.0","0","Republican","0.0","1694","Republican","44.5","1862","Democrat","53.7","0","Republican","0.0","129","Republican","3.4000000000000004","403","Republican","10.6","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","1454","Republican","38.2","0","N/A","0.0"
"Accomack","Virginia","VA","411","Republican","9.5","682","Democrat","27.400000000000002","0","Republican","0.0","0","Republican","0.0","2068","Republican","47.9","1789","Democrat","72.0","0","Republican","0.0","210","Republican","4.9","905","Republican","20.9","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","685","Republican","15.9","0","N/A","0.0"
"Acton","Massachusetts","MA","54","Republican","2.3","2557","Democrat","46.800000000000004","0","Republican","0.0","0","Republican","0.0","656","Republican","28.199999999999996","2884","Democrat","52.800000000000004","0","Republican","0.0","754","Republican","32.5","578","Republican","24.9","0","Democrat","0.0","0","Republican","0.0","13","N/A","0.2","0","Republican","0.0","0","Republican","0.0","203","Republican","8.7","0","N/A","0.0"
"Acton","Maine","ME","0","Republican","0.0","3","Democrat","60.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","2","Democrat","40.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","0","Republican","0.0","0","N/A","0.0"
"Acushnet","Massachusetts","MA","47","Republican","4.2","753","Democrat","48.3","0","Republican","0.0","0","Republican","0.0","707","Republican","63.1","783","Democrat","50.2","0","Republican","0.0","99","Republican","8.8","146","Republican","13.0","0","Democrat","0.0","0","Republican","0.0","14","N/A","0.9000000000000001","0","Republican","0.0","0","Republican","0.0","108","Republican","9.6","0","N/A","0.0"
"Ada","Idaho","ID","0","Republican","0.0","7336","Democrat","80.5","0","Republican","0.0","0","Republican","0.0","15191","Republican","30.4","1663","Democrat","18.2","0","Republican","0.0","5306","Republican","10.6","8074","Republican","16.1","0","Democrat","0.0","0","Republican","0.0","0","N/A","0.0","0","Republican","0.0","0","Republican","0.0","20156","Republican","40.300000000000004","0","N/A","0.0"
"Adair","Iowa","IA","61","Republican","15.0","132","Democrat","44.0","16","Republican","3.9","4","Republican","1.0","104","Republican","25.6","168","Democrat","56.00000000000001","4","Republican","1.0","2","Republican","0.5","80","Republican","19.7","0","Democrat","0.0","11","Republican","2.7","0","N/A","0.0","12","Republican","2.9000000000000004","7","Republican","1.7000000000000002","104","Republican","25.6","0","N/A","0.0"
