"Utility.Number","Utility.Name","Utility.State","Utility.Type","Demand.Summer Peak","Demand.Winter Peak","Sources.Generation","Sources.Purchased","Sources.Other","Sources.Total","Uses.Retail","Uses.Resale","Uses.No Charge","Uses.Consumed","Uses.Losses","Uses.Total","Revenues.Retail","Revenue.Delivery","Revenue.Resale","Revenue.Adjustments","Revenue.Transmission","Revenue.Other","Revenue.Total","Retail.Residential.Revenue","Retail.Residential.Sales","Retail.Residential.Customers","Retail.Commercial.Revenue","Retail.Commercial.Sales","Retail.Commercial.Customers","Retail.Industrial.Revenue","Retail.Industrial.Sales","Retail.Industrial.Customers","Retail.Transportation.Revenue","Retail.Transportation.Sales","Retail.Transportation.Customers","Retail.Total.Revenue","Retail.Total.Sales","Retail.Total.Customers"
"55","City of Aberdeen - (MS)","MS","Municipal","32.7","30.7","0.0","204875.0","0.0","204875.0","198442.0","0.0","0.0","70.0","6363.0","204875.0","14649.0","0.0","0.0","0.0","0.0","300.5","14949.5","3644.0","32158.0","2595.0","4980.0","47295.0","661.0","6025.0","118989.0","2.0","0.0","0.0","0.0","14649.0","198442.0","3258.0"
"59","City of Abbeville - (LA)","LA","Municipal","31.4","22.9","0.0","137537.0","0.0","137537.0","127849.0","0.0","0.0","0.0","9688.0","137537.0","12574.4","0.0","0.0","0.0","0.0","0.0","12574.4","5279.9","52746.0","4464.0","4082.7","37537.0","1032.0","3211.8","37566.0","27.0","0.0","0.0","0.0","12574.4","127849.0","5523.0"
"84","A & N Electric Coop","VA","Cooperative","152.6","156.1","19.0","714961.0","0.0","714980.0","672572.0","0.0","0.0","1687.0","40721.0","714980.0","68496.7","0.0","0.0","0.0","0.0","1008.5","69505.2","38544.0","346555.0","31583.0","16000.0","156716.0","4019.0","13952.7","169301.0","8.0","0.0","0.0","0.0","68496.7","672572.0","35610.0"
"97","Adams Electric Coop","IL","Cooperative","37.0","37.0","4677.0","170432.0","0.0","175109.0","164358.0","0.0","0.0","318.0","10433.0","175109.0","22070.0","0.0","0.0","0.0","0.0","241.0","22311.0","16341.0","109301.0","8603.0","5729.0","55057.0","222.0","0.0","0.0","0.0","0.0","0.0","0.0","22070.0","164358.0","8825.0"
"108","Adams-Columbia Electric Coop","WI","Cooperative","109.1","83.4","0.0","524637.0","0.0","524637.0","493241.0","35.0","0.0","1122.0","30239.0","524637.0","67563.0","0.0","3.0","0.0","0.0","0.0","67566.0","42976.0","260879.0","34138.0","9189.0","72087.0","2074.0","15398.0","160275.0","926.0","0.0","0.0","0.0","67563.0","493241.0","37138.0"
"113","Agway Energy Services, LLC","NY","Retail Power Marketer","62.0","80.0","0.0","423959.0","0.0","423959.0","422061.0","0.0","0.0","0.0","1898.0","423959.0","34283.3","0.0","0.0","0.0","0.0","0.0","34283.3","25624.0","310489.0","39431.0","8659.300000000001","111572.0","6451.0","0.0","0.0","0.0","0.0","0.0","0.0","34283.3","422061.0","45882.0"
"118","Adams Rural Electric Coop, Inc","OH","Cooperative","22.2","28.7","0.0","110314.0","0.0","110314.0","103329.0","0.0","119.0","0.0","6866.0","110314.0","14853.0","0.0","0.0","0.0","0.0","401.0","15254.0","12805.0","87563.0","7136.0","2048.0","15766.0","364.0","0.0","0.0","0.0","0.0","0.0","0.0","14853.0","103329.0","7500.0"
"122","Village of Arcade - (NY)","NY","Municipal","23.1","37.8","0.0","156270.0","0.0","156270.0","150083.0","0.0","0.0","697.0","5490.0","156270.0","7186.0","0.0","0.0","0.0","0.0","514.0","7700.0","3600.0","69274.0","3619.0","1923.0","41552.0","587.0","1663.0","39257.0","15.0","0.0","0.0","0.0","7186.0","150083.0","4221.0"
"123","City of Adel- (GA)","GA","Municipal","21.6","20.2","0.0","120306.0","0.0","120306.0","115802.0","0.0","0.0","787.0","3717.0","120306.0","12952.0","0.0","0.0","0.0","0.0","0.0","12952.0","3659.0","25660.0","2041.0","5056.0","35325.0","572.0","4237.0","54817.0","15.0","0.0","0.0","0.0","12952.0","115802.0","2628.0"
"150","Adrian Public Utilities Comm","MN","Municipal","3.0","3.0","20.0","13846.0","-20.0","13846.0","12761.0","0.0","194.0","245.0","646.0","13846.0","1473.0","0.0","0.0","0.0","0.0","0.0","1473.0","722.0","6257.0","536.0","676.0","5994.0","113.0","75.0","510.0","2.0","0.0","0.0","0.0","1473.0","12761.0","651.0"
"155","Agralite Electric Coop","MN","Cooperative","46.4","46.7","528.0","247365.0","0.0","247893.0","232971.0","0.0","0.0","322.0","14600.0","247893.0","22389.0","0.0","0.0","0.0","0.0","355.0","22744.0","10250.0","82639.0","4382.0","5799.0","76847.0","273.0","6340.0","73485.0","571.0","0.0","0.0","0.0","22389.0","232971.0","5226.0"
"162","Aiken Electric Coop Inc","SC","Cooperative","211.5","232.0","0.0","937586.0","0.0","937586.0","897388.0","0.0","0.0","1230.0","38968.0","937586.0","110523.0","0.0","0.0","0.0","0.0","894.0","111417.0","81884.0","582815.0","44525.0","14999.0","128748.0","2748.0","13640.0","185825.0","15.0","0.0","0.0","0.0","110523.0","897388.0","47288.0"
"176","Ajo Improvement Co","AZ","Investor Owned","1.5","1.0","0.0","7596.0","0.0","7596.0","7596.0","0.0","0.0","0.0","0.0","7596.0","826.3","0.0","0.0","0.0","0.0","0.0","826.3","519.1","4597.0","776.0","307.2","2999.0","204.0","0.0","0.0","0.0","0.0","0.0","0.0","826.3","7596.0","980.0"
"195","Alabama Power Co","AL","Investor Owned","10967.0","10660.0","60332669.0","5816459.0","396391.0","66545519.0","53709666.0","9580895.0","1427.0","125373.0","3128158.0","66545519.0","5457826.0","0.0","372499.0","-3864.0","67236.0","145697.0","6039394.0","2302495.0","17218624.0","1268271.0","1678662.0","13804123.0","200600.0","1476669.0","22686919.0","6171.0","0.0","0.0","0.0","5457826.0","53709666.0","1475042.0"
