"State","Year","Production.Coal","Consumption.Commercial.Coal","Consumption.Commercial.Distillate Fuel Oil","Consumption.Commercial.Geothermal","Consumption.Commercial.Hydropower","Consumption.Commercial.Kerosene","Consumption.Commercial.Petroleum","Consumption.Commercial.Natural Gas","Consumption.Commercial.Solar","Consumption.Commercial.Wind","Consumption.Commercial.Wood","Consumption.Electric Power.Coal","Consumption.Electric Power.Distillate Fuel Oil","Consumption.Electric Power.Natural Gas","Consumption.Electric Power.Wood","Consumption.Industrial.Coal","Consumption.Industrial.Distillate Fuel Oil","Consumption.Industrial.Geothermal","Consumption.Industrial.Hydropower","Consumption.Industrial.Kerosene","Consumption.Industrial.Petroleum","Consumption.Industrial.Natural Gas","Consumption.Industrial.Other Petroleum Products","Consumption.Industrial.Solar","Consumption.Industrial.Wind","Consumption.Industrial.Wood","Consumption.Refinery.Coal","Consumption.Refinery.Distillate Fuel Oil","Consumption.Refinery.Natural Gas","Consumption.Residential.Coal","Consumption.Residential.Distillate Fuel Oil","Consumption.Residential.Geothermal","Consumption.Residential.Kerosene","Consumption.Residential.Petroleum","Consumption.Residential.Natural Gas","Consumption.Residential.Wood","Consumption.Transportation.Coal","Consumption.Transportation.Distillate Fuel Oil","Consumption.Transportation.Petroleum","Consumption.Transportation.Natural Gas","Expenditure.Commercial.Coal","Expenditure.Commercial.Distillate Fuel Oil","Expenditure.Commercial.Kerosene","Expenditure.Commercial.Petroleum","Expenditure.Commercial.Natural Gas","Expenditure.Electric Power.Coal","Expenditure.Electric Power.Distillate Fuel Oil","Expenditure.Electric Power.Natural Gas","Expenditure.Industrial.Coal","Expenditure.Industrial.Distillate Fuel Oil","Expenditure.Industrial.Kerosene","Expenditure.Industrial.Petroleum","Expenditure.Industrial.Natural Gas","Expenditure.Industrial.Other Petroleum Products","Expenditure.Residential.Coal","Expenditure.Residential.Distillate Fuel Oil","Expenditure.Residential.Kerosene","Expenditure.Residential.Petroleum","Expenditure.Residential.Natural Gas","Expenditure.Residential.Wood","Expenditure.Transportation.Coal","Expenditure.Transportation.Distillate Fuel Oil","Expenditure.Transportation.Petroleum","Expenditure.Transportation.Natural Gas","Price.Commercial.Coal","Price.Commercial.Distillate Fuel Oil","Price.Commercial.Kerosene","Price.Commercial.Petroleum","Price.Commercial.Natural Gas","Price.Electric Power.Coal","Price.Electric Power.Distillate Fuel Oil","Price.Electric Power.Natural Gas","Price.Industrial.Coal","Price.Industrial.Distillate Fuel Oil","Price.Industrial.Kerosene","Price.Industrial.Petroleum","Price.Industrial.Natural Gas","Price.Industrial.Other Petroleum Products","Price.Transportation.Coal","Price.Transportation.Distillate Fuel Oil","Price.Transportation.Petroleum","Price.Transportation.Natural Gas"
"Alaska","1960","11263.0","496.0","1562.0","0.0","0.0","0.0","5230.0","0.0","0.0","0.0","34.0","914.0","554.0","0.0","0.0","4980.0","5115.0","0.0","0.0","511.0","7415.0","1856.0","0.0","0.0","0.0","1840.0","0.0","0.0","0.0","714.0","5046.0","0.0","0.0","5137.0","176.0","1806.0","86.0","3077.0","27051.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alaska","1961","11497.0","496.0","1646.0","0.0","0.0","0.0","5304.0","122.0","0.0","0.0","35.0","1127.0","696.0","0.0","0.0","9174.0","5698.0","0.0","0.0","185.0","7644.0","1934.0","0.0","0.0","0.0","2288.0","0.0","0.0","0.0","713.0","5316.0","0.0","52.0","5538.0","195.0","1823.0","42.0","3667.0","31804.0","49.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alaska","1962","13588.0","593.0","1732.0","0.0","0.0","0.0","5251.0","19.0","0.0","0.0","32.0","1373.0","865.0","0.0","0.0","10696.0","5422.0","0.0","0.0","119.0","7822.0","3399.0","0.0","0.0","0.0","2511.0","0.0","0.0","0.0","854.0","5594.0","0.0","17.0","5729.0","556.0","1703.0","43.0","3799.0","34065.0","75.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alaska","1963","13307.0","393.0","1868.0","0.0","0.0","0.0","5475.0","1632.0","0.0","0.0","31.0","1482.0","959.0","975.0","0.0","9545.0","5996.0","0.0","0.0","129.0","10434.0","2225.0","1639.0","0.0","0.0","2700.0","0.0","0.0","0.0","543.0","6034.0","0.0","35.0","6240.0","693.0","1651.0","36.0","3339.0","32309.0","42.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alaska","1964","11622.0","306.0","2020.0","0.0","0.0","0.0","7242.0","1944.0","0.0","0.0","32.0","2279.0","1460.0","1614.0","0.0","8989.0","7043.0","0.0","0.0","0.0","10440.0","2192.0","1641.0","0.0","0.0","2993.0","0.0","0.0","0.0","423.0","6523.0","0.0","47.0","6756.0","1055.0","1703.0","33.0","3395.0","32213.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alaska","1965","13931.0","280.0","2001.0","0.0","0.0","0.0","8202.0","2293.0","0.0","0.0","30.0","2690.0","1794.0","2170.0","0.0","6526.0","7211.0","0.0","0.0","0.0","10612.0","1755.0","1702.0","0.0","0.0","3234.0","0.0","0.0","0.0","371.0","6463.0","0.0","57.0","6717.0","1451.0","1600.0","21.0","4598.0","34357.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alaska","1966","14461.0","353.0","2177.0","0.0","0.0","0.0","8013.0","2562.0","0.0","0.0","30.0","2710.0","1757.0","3856.0","0.0","12860.0","7999.0","0.0","0.0","0.0","12395.0","4070.0","1677.0","0.0","0.0","3440.0","0.0","0.0","0.0","468.0","7031.0","0.0","46.0","7272.0","1794.0","1565.0","38.0","4842.0","36195.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alaska","1967","14430.0","322.0","2354.0","0.0","0.0","0.0","9436.0","2722.0","0.0","0.0","27.0","2335.0","2010.0","4481.0","0.0","15341.0","8969.0","0.0","0.0","0.0","13193.0","2728.0","1606.0","0.0","0.0","3216.0","0.0","0.0","0.0","427.0","7605.0","0.0","40.0","7873.0","1958.0","1428.0","37.0","5001.0","43825.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alaska","1968","11700.0","270.0","2574.0","0.0","0.0","0.0","7935.0","4737.0","0.0","0.0","27.0","2564.0","2305.0","5697.0","0.0","12791.0","10352.0","0.0","0.0","6.0","14392.0","4898.0","1655.0","0.0","0.0","3268.0","0.0","0.0","0.0","344.0","8315.0","0.0","45.0","8601.0","2304.0","1410.0","28.0","5441.0","47150.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alaska","1969","10405.0","261.0","2417.0","0.0","0.0","0.0","8769.0","11073.0","0.0","0.0","25.0","2781.0","2468.0","6730.0","0.0","9800.0","10829.0","0.0","0.0","6.0","16255.0","20541.0","3183.0","0.0","0.0","3526.0","0.0","0.0","0.0","333.0","7808.0","0.0","34.0","8020.0","4596.0","1342.0","16.0","4738.0","56501.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alaska","1970","8564.0","183.0","2456.0","0.0","0.0","0.0","8973.0","12582.0","0.0","0.0","24.0","4254.0","2296.0","8239.0","0.0","8476.0","11202.0","0.0","0.0","79.0","17480.0","19589.0","3137.0","0.0","0.0","3715.0","0.0","847.0","2804.0","233.0","7932.0","0.0","108.0","8237.0","6242.0","1290.0","14.0","5823.0","58980.0","17393.0","0.2","3.0","0.0","14.8","8.6","2.9","3.9","3.1","8.6","6.9","0.1","10.2","5.1","0.1","0.6","11.1","0.2","11.9","9.4","0.3","0.0","8.5","81.7","0.0","1.01","1.21","0.0","1.65","0.68","0.68","1.68","0.37","1.01","0.66","0.76","0.75","0.43","0.43","1.01","1.46","1.39","0.0"
"Alaska","1971","10889.0","184.0","3230.0","0.0","0.0","0.0","9026.0","14327.0","0.0","0.0","24.0","4728.0","2625.0","10352.0","0.0","9021.0","12485.0","0.0","0.0","79.0","19548.0","19142.0","3586.0","0.0","0.0","4008.0","0.0","560.0","2914.0","177.0","10433.0","0.0","108.0","10767.0","6927.0","1256.0","12.0","8257.0","67710.0","17296.0","0.2","4.1","0.0","13.1","10.4","3.4","4.2","4.4","8.1","8.1","0.1","13.6","4.9","0.2","0.4","15.5","0.2","16.3","10.6","0.3","0.0","12.7","95.8","0.0","0.89","1.28","0.0","1.45","0.73","0.71","1.6","0.42","0.89","0.68","0.78","0.87","0.63","0.46","0.89","1.53","1.41","0.0"
"Alaska","1972","10421.0","264.0","2545.0","0.0","0.0","0.0","10429.0","16088.0","0.0","0.0","22.0","4296.0","2773.0","13173.0","0.0","7984.0","9955.0","0.0","0.0","45.0","21578.0","28511.0","4388.0","0.0","0.0","3870.0","0.0","459.0","4306.0","199.0","8220.0","0.0","74.0","8534.0","8434.0","1187.0","8.0","13141.0","74591.0","8826.0","0.2","3.3","0.0","17.7","13.1","2.9","4.2","5.7","7.5","6.5","0.0","23.0","5.5","0.2","0.5","12.2","0.1","13.1","13.0","0.3","0.0","20.0","102.7","0.0","0.94","1.28","0.0","1.7","0.81","0.68","1.52","0.43","0.94","0.69","0.8","1.36","0.68","0.48","0.94","1.52","1.38","0.0"
"Alaska","1973","10826.0","157.0","3100.0","0.0","0.0","0.0","9514.0","12416.0","0.0","0.0","21.0","4146.0","2838.0","15906.0","0.0","8884.0","10495.0","0.0","0.0","45.0","18166.0","30128.0","4789.0","0.0","0.0","3767.0","0.0","564.0","4889.0","92.0","10014.0","0.0","57.0","10409.0","5081.0","1084.0","6.0","11193.0","71176.0","172.0","0.2","4.7","0.0","16.4","9.5","3.4","5.6","7.4","9.7","9.1","0.0","13.3","7.1","0.2","0.2","17.1","0.1","19.0","7.9","0.3","0.0","19.9","114.5","0.0","1.1","1.51","0.0","1.73","0.77","0.82","1.97","0.46","1.1","0.92","1.05","1.02","0.72","0.53","1.1","1.78","1.61","0.0"
