"Year","Number.All","Number.Opioid.Any","Number.Opioid.Prescription","Number.Opioid.Synthetic","Number.Opioid.Heroin","Number.Opioid.Cocaine","Rate.All.Total","Rate.All.Sex.Male","Rate.All.Sex.Female","Rate.All.Region.Large City","Rate.All.Region.Small City","Rate.All.Region.Rural","Rate.All.Race.White","Rate.All.Race.Black","Rate.All.Race.Hispanic","Rate.Opioid.Any.Total","Rate.Opioid.Any.Sex.Male","Rate.Opioid.Any.Sex.Female","Rate.Opioid.Any.Region.Large City","Rate.Opioid.Any.Region.Small City","Rate.Opioid.Any.Region.Rural","Rate.Opioid.Any.Race.White","Rate.Opioid.Any.Race.Black","Rate.Opioid.Any.Race.Hispanic","Rate.Opioid.Prescription.Total","Rate.Opioid.Prescription.Sex.Male","Rate.Opioid.Prescription.Sex.Female","Rate.Opioid.Prescription.Region.Large City","Rate.Opioid.Prescription.Region.Small City","Rate.Opioid.Prescription.Region.Rural","Rate.Opioid.Prescription.Race.White","Rate.Opioid.Prescription.Race.Black","Rate.Opioid.Prescription.Race.Hispanic","Rate.Opioid.Synthetic.Total","Rate.Opioid.Synthetic.Sex.Male","Rate.Opioid.Synthetic.Sex.Female","Rate.Opioid.Synthetic.Region.Large City","Rate.Opioid.Synthetic.Region.Small City","Rate.Opioid.Synthetic.Region.Rural","Rate.Opioid.Synthetic.Race.White","Rate.Opioid.Synthetic.Race.Black","Rate.Opioid.Synthetic.Race.Hispanic","Rate.Opioid.Heroin.Total","Rate.Opioid.Heroin.Sex.Male","Rate.Opioid.Heroin.Sex.Female","Rate.Opioid.Heroin.Region.Large City","Rate.Opioid.Heroin.Region.Small City","Rate.Opioid.Heroin.Region.Rural","Rate.Opioid.Heroin.Race.White","Rate.Opioid.Heroin.Race.Black","Rate.Opioid.Heroin.Race.Hispanic","Rate.Opioid.Cocaine.Total","Rate.Opioid.Cocaine.Sex.Male","Rate.Opioid.Cocaine.Sex.Female","Rate.Opioid.Cocaine.Region.Large City","Rate.Opioid.Cocaine.Region.Small City","Rate.Opioid.Cocaine.Region.Rural","Rate.Opioid.Cocaine.Race.White","Rate.Opioid.Cocaine.Race.Black","Rate.Opioid.Cocaine.Race.Hispanic"
"1999","16849","8048","3442","730","1960","3822","6.1","3.9","8.2","6.8","5.6","4.0","6.2","7.5","5.4","2.9","1.4","4.3","3.5","2.5","1.4","2.8","3.5","3.5","1.2","0.7","1.7","1.4","1.1","0.8","1.3","0.8","1.6","0.3","0.2","0.3","0.2","0.3","0.3","0.3","0.1","0.1","0.7","0.2","1.2","0.9","0.6","0.2","0.7","0.8","1.1","1.4","0.6","2.1","1.8","1.0","0.4","1.0","3.7","1.7"
"2000","17415","8407","3785","782","1842","3544","6.2","4.1","8.3","6.7","6.0","4.6","6.6","7.3","4.6","3.0","1.6","4.4","3.4","2.7","1.8","3.1","3.5","2.7","1.3","0.9","1.8","1.3","1.5","1.1","1.6","0.8","1.1","0.3","0.3","0.3","0.2","0.3","0.3","0.3","0.1","0.1","0.7","0.2","1.1","0.8","0.5","0.2","0.6","0.9","0.9","1.3","0.6","1.9","1.6","0.9","0.5","1.0","3.3","1.3"
"2001","19394","9492","4770","957","1779","3833","6.8","4.6","9.0","7.1","6.8","5.7","7.4","7.6","4.5","3.3","1.9","4.8","3.6","3.1","2.5","3.7","3.3","2.6","1.7","1.1","2.2","1.5","1.9","1.8","2.0","0.9","1.1","0.3","0.3","0.4","0.3","0.4","0.4","0.4","0.2","0.1","0.6","0.2","1.0","0.8","0.5","0.2","0.6","0.8","0.9","1.3","0.7","2.0","1.7","1.0","0.5","1.0","3.6","1.3"
"2002","23518","11917","6483","1295","2089","4599","8.2","5.8","10.6","8.5","8.2","6.9","9.2","8.2","5.4","4.1","2.6","5.7","4.5","4.0","3.1","4.7","3.6","3.2","2.3","1.6","2.9","2.1","2.5","2.2","2.8","1.2","1.4","0.4","0.4","0.5","0.4","0.5","0.5","0.6","0.2","0.2","0.7","0.2","1.2","1.0","0.6","0.2","0.7","0.9","1.0","1.6","0.8","2.4","2.0","1.3","0.6","1.3","4.0","1.5"
"2003","25785","12939","7461","1400","2080","5199","8.9","6.4","11.5","8.9","9.4","8.2","10.2","8.2","5.6","4.5","2.8","6.1","4.6","4.5","3.8","5.2","3.5","3.2","2.6","1.8","3.3","2.3","3.0","2.8","3.2","1.1","1.5","0.5","0.4","0.5","0.4","0.6","0.6","0.6","0.1","0.1","0.7","0.2","1.2","0.9","0.6","0.2","0.7","0.8","1.0","1.8","0.9","2.7","2.2","1.6","0.9","1.6","4.1","1.6"
"2004","27424","13755","8577","1664","1878","5443","9.4","6.9","11.8","9.0","10.1","9.4","11.0","8.3","5.2","4.7","3.1","6.3","4.6","5.0","4.6","5.7","3.2","2.9","2.9","2.1","3.7","2.6","3.4","3.4","3.7","1.4","1.4","0.6","0.5","0.6","0.4","0.7","0.9","0.7","0.2","0.2","0.6","0.2","1.1","0.8","0.6","0.2","0.7","0.6","0.7","1.9","1.0","2.8","2.2","1.7","1.0","1.7","4.3","1.4"
"2005","29813","14917","9612","1742","2009","6208","10.1","7.3","12.8","9.8","10.8","9.9","11.8","9.3","5.8","5.1","3.4","6.6","5.0","5.2","4.9","6.2","3.4","3.0","3.2","2.4","4.1","2.9","3.7","3.7","4.1","1.6","1.5","0.6","0.5","0.6","0.5","0.7","0.8","0.8","0.2","0.2","0.7","0.3","1.1","0.9","0.5","0.2","0.7","0.8","0.8","2.1","1.1","3.1","2.5","1.9","1.2","1.9","4.9","1.7"
"2006","34425","17545","11589","2707","2088","7448","11.5","8.2","14.8","11.2","12.0","11.7","13.6","10.8","6.3","5.9","3.9","7.8","5.8","6.0","5.9","7.3","4.2","3.3","3.9","2.8","4.9","3.5","4.4","4.5","5.0","1.8","1.8","0.9","0.7","1.1","0.9","0.8","1.0","1.1","1.0","0.3","0.7","0.2","1.2","0.9","0.5","0.2","0.8","0.7","0.8","2.5","1.3","3.8","3.0","2.2","1.5","2.3","5.6","1.9"
"2007","36010","18515","12796","2213","2399","6512","11.9","8.8","14.9","11.4","12.7","12.3","14.5","9.7","5.9","6.1","4.3","8.0","6.0","6.3","6.3","7.8","3.6","3.2","4.2","3.2","5.3","3.9","4.7","4.9","5.6","1.8","1.9","0.7","0.7","0.8","0.6","0.8","1.0","1.0","0.2","0.2","0.8","0.3","1.3","1.0","0.6","0.3","0.9","0.8","0.8","2.2","1.1","3.2","2.6","1.8","1.3","2.0","4.7","1.6"
"2008","36450","19582","13149","2306","3041","5129","11.9","8.9","14.9","11.2","13.0","12.7","14.8","8.4","5.8","6.4","4.4","8.4","6.3","6.6","6.7","8.2","3.4","3.4","4.3","3.2","5.4","3.9","4.8","5.0","5.7","1.8","1.9","0.8","0.7","0.8","0.6","0.8","1.2","1.0","0.2","0.2","1.0","0.4","1.6","1.3","0.8","0.4","1.2","0.8","1.0","1.7","0.9","2.5","2.0","1.5","1.0","1.6","3.4","1.3"
