"data.date","data.owned or leased","data.parking spaces","data.status","data.type","location.congressional district","location.id","location.region id","data.disabilities.ADA Accessible","data.disabilities.ansi usable","location.address.city","location.address.county","location.address.line 1","location.address.state","location.address.zip"
"1933.1.1","OWNED","29","ACTIVE","BUILDING","1","CT0013","1","Will Conform","97072","HARTFORD","HARTFORD COUNTY","135 HIGH ST","CT","61031125"
"2019.1.1","OWNED","0","ACTIVE","BUILDING","3","CT0024","1","Will Conform","67717","NEW HAVEN","NEW HAVEN COUNTY","141 CHURCH ST","CT","65102001"
"1933.1.1","LEASED","2","ACTIVE","BUILDING","5","CT0047","1","Will Conform","7442","WATERBURY","NEW HAVEN COUNTY","135 GRAND ST","CT","67029998"
"1963.1.1","OWNED","103","ACTIVE","BUILDING","1","CT0053","1","Will Conform","203175","HARTFORD","HARTFORD COUNTY","450 Main St","CT","61031804"
"1967.1.1","OWNED","131","ACTIVE","BUILDING","4","CT0059","1","Will Conform","86215","BRIDGEPORT","FAIRFIELD COUNTY","915 LAFAYETTE BLVD","CT","66044706"
"1969.1.1","OWNED","5","ACTIVE","BUILDING","5","CT0060","1","Will Conform","5052","TORRINGTON","LITCHFIELD COUNTY","147 Litchfield St","CT","67906407"
"1977.1.1","OWNED","74","ACTIVE","BUILDING","3","CT0061","1","Will Conform","82729","NEW HAVEN","NEW HAVEN COUNTY","150 Court St","CT","65112020"
"0","LEASED","164","ACTIVE","BUILDING","1","CT3316","1","Will Conform","37395","EAST HARTFORD","HARTFORD COUNTY","130 DARLIN ST","CT","61083234"
"0","LEASED","8","ACTIVE","BUILDING","4","CT3319","1","Will Conform","5020","STAMFORD","FAIRFIELD COUNTY","101 BROAD ST","CT","69012797"
"0","LEASED","1","ACTIVE","BUILDING","3","CT3322","1","Will Conform","5045","MIDDLETOWN","MIDDLESEX COUNTY","425 Main St","CT","6457"
"0","LEASED","0","ACTIVE","BUILDING","1","CT3323","1","Will Conform","15150","EAST HARTFORD","HARTFORD COUNTY","333 E RIVER DR","CT","61084200"
"0","LEASED","5","ACTIVE","BUILDING","3","CT3326","1","Will Conform","3293","NEW HAVEN","NEW HAVEN COUNTY","55 WHITNEY AVE","CT","65101300"
"0","LEASED","46","ACTIVE","BUILDING","3","CT3331","1","Will Conform","95786","NEW HAVEN","NEW HAVEN COUNTY","157 CHURCH ST","CT","65102100"
"0","LEASED","35","ACTIVE","BUILDING","3","CT3341","1","Will Conform","18070","NEW HAVEN","NEW HAVEN COUNTY","265 CHURCH ST","CT","65107013"
"0","LEASED","2","ACTIVE","BUILDING","1","CT3351","1","Will Conform","5200","GLASTONBURY","HARTFORD COUNTY","628 Hebron Ave","CT","60332411"
"0","LEASED","39","ACTIVE","BUILDING","5","CT3354","1","Will Conform","11670","MERIDEN","NEW HAVEN COUNTY","530 Preston Ave","CT","64504893"
"0","LEASED","28","ACTIVE","BUILDING","2","CT3358","1","Will Conform","6306","NEW LONDON","NEW LONDON COUNTY","2 Shaws Cv","CT","6320"
"0","LEASED","103","ACTIVE","BUILDING","4","CT3360","1","Will Conform","31055","BRIDGEPORT","FAIRFIELD COUNTY","1000 LAFAYETTE BLVD","CT","66044725"
"0","LEASED","11","ACTIVE","BUILDING","3","CT3362","1","Will Conform","1950","MIDDLETOWN","MIDDLESEX COUNTY","213 COURT ST","CT","64573346"
"0","LEASED","4","ACTIVE","BUILDING","2","CT3363","1","Will Conform","1507","GROTON","NEW LONDON COUNTY","904 POQUONNOCK RD","CT","63404259"
"0","LEASED","9","ACTIVE","BUILDING","1","CT3369","1","Will Conform","21432","HARTFORD","HARTFORD COUNTY","20 Church St","CT","61031221"
"0","LEASED","28","ACTIVE","BUILDING","1","CT3373","1","Yes","12906","EAST HARTFORD","HARTFORD COUNTY","101 PITKIN ST","CT","61083316"
"0","LEASED","220","ACTIVE","BUILDING","3","CT3375","1","Yes","78826","NEW HAVEN","NEW HAVEN COUNTY","600 State St","CT","65116505"
