"id","material","name","location.city","location.city_id","location.country","location.country id","location.latitude","location.longitude","purposes.abandoned","purposes.air traffic control tower","purposes.belltower","purposes.bridge","purposes.casino","purposes.commercial","purposes.education","purposes.exhibition","purposes.government","purposes.hospital","purposes.hotel","purposes.industrial","purposes.library","purposes.multiple","purposes.museum","purposes.observation","purposes.office","purposes.other","purposes.religious","purposes.residential","purposes.retail","purposes.serviced apartments","purposes.telecommunications","statistics.floors above","statistics.height","statistics.number of purposes","statistics.rank","status.current","status.completed.is completed","status.completed.year","status.started.is started","status.started.year"
"12","steel","The Illinois","Chicago","1539","US","163","0.0","0.0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","528","1609.3599853516","4","1","vision","True","0","True","0"
"62","composite","Chicago Spire","Chicago","1539","US","163","41.889888763428","-87.614860534668","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","150","609.59997558594","1","2","never completed","True","0","True","2007"
"68","composite","Miglin-Beitler Skyneedle","Chicago","1539","US","163","41.881618499756","-87.634353637695","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","125","609.48999023438","1","3","vision","True","0","True","0"
"98","composite","One World Trade Center","New York City","1641","US","163","40.713111877441","-74.01335144043","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","94","541.29998779297","1","4","completed","True","2014","True","2006"
"14269","concrete","Central Park Tower","New York City","1641","US","163","40.766361236572","-73.980949401855","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","95","541.02001953125","3","5","under construction","True","2019","True","2014"
"16334","steel","World Trade Building","New York City","1641","US","163","40.759258270264","-73.989471435547","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","132","518.0","1","6","vision","True","0","True","0"
"139","concrete","7 South Dearborn","Chicago","1539","US","163","41.881679534912","-87.62890625","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","112","477.54998779297","2","7","vision","True","0","True","0"
"169","steel","Willis Tower","Chicago","1539","US","163","41.878868103027","-87.635948181152","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","108","442.14001464844","1","8","completed","True","1974","True","1970"
"14320","concrete","111 West 57th Street","New York City","1641","US","163","40.764801025391","-73.977546691895","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","80","438.29998779297","1","9","under construction","True","2018","True","2015"
"187","composite","Bank of Southwest Tower","Houston","1593","US","163","29.75864982605","-95.366813659668","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","82","427.86999511719","1","10","vision","True","0","True","0"
