"State","Population.Population Percent Change","Population.2014 Population","Population.2010 Population","Age.Percent Under 5 Years","Age.Percent Under 18 Years","Age.Percent 65 and Older","Miscellaneous.Percent Female","Ethnicities.White Alone","Ethnicities.Black Alone","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.Hispanic or Latino","Ethnicities.White Alone, not Hispanic or Latino","Miscellaneous.Veterans","Miscellaneous.Foreign Born","Housing.Housing Units","Housing.Homeownership Rate","Housing.Median Value of Owner-Occupied Units","Housing.Households","Housing.Persons per Household","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Language Other than English at Home","Housing.Households with a computer","Housing.Households with a Internet","Education.High School or Higher","Education.Bachelor's Degree or Higher","Miscellaneous.Percent Under 66 Years With a Disability","Miscellaneous.Percent Under 65 Years Witout Health insurance","Sales.Accommodation and Food Services Sales","Miscellaneous.Manufacturers Shipments","Sales.Retail Sales","Miscellaneous.Mean Travel Time to Work","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Employment.Nonemployer Establishments","Employment.Firms.Total","Employment.Firms.Men-Owned","Employment.Firms.Women-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned","Population.Population per Square Mile","Miscellaneous.Land Area"
"Connecticut","-10.2","3605944","3574097","5.1","20.4","17.7","51.2","79.7","12.2","0.6","5.0","0.1","2.5","16.9","65.9","167521","14.6","1524992","66.1","275400","1370746","2.53","87.9","22.3","90.8","85.5","90.6","39.3","7.4","7.0","9542068","55160095","51632467","26.6","78444","44496","10.0","286874","326693","187845","106678","56113","259614","31056","281182","738.1","4842.36"
"Delaware","8.4","989948","897934","5.6","20.9","19.4","51.7","69.2","23.2","0.7","4.1","0.1","2.7","9.6","61.7","65438","9.6","443781","71.2","251100","363322","2.57","87.4","13.3","91.6","85.0","90.0","32.0","8.7","8.1","2148437","22597384","14456001","26.3","68287","35450","11.3","68623","73418","38328","23964","14440","54782","7206","60318","460.8","1948.54"
"District of Columbia","17.3","689545","601723","6.4","18.2","12.4","52.6","46.0","46.0","0.6","4.5","0.1","2.9","11.3","37.5","26156","13.7","322793","41.6","601500","284386","2.3","80.5","17.2","91.8","82.6","90.9","58.5","8.5","3.9","5101602","309832","4439933","30.8","86420","56147","13.5","62583","63408","30237","27064","29983","29521","5070","54217","9856.5","61.05"
"Florida","14.2","21538187","18801310","5.3","19.7","20.9","51.1","77.3","16.9","0.5","3.0","0.1","2.2","26.4","53.2","1440338","20.7","9673682","65.4","215300","7736311","2.65","84.5","29.4","91.5","83.0","88.2","29.9","8.6","16.3","49817925","96924106","273867145","27.8","55660","31619","12.7","2388050","2100187","1084885","807817","926112","1121749","185756","1846686","350.6","53624.76"
"Georgia","9.6","10711908","9687653","6.2","23.6","14.3","51.4","60.2","32.6","0.5","4.4","0.1","2.2","9.9","52.0","629302","10.1","4378391","63.3","176000","3758798","2.7","84.9","14.0","90.2","81.3","87.1","31.3","8.7","15.5","18976611","155836792","119801495","28.8","58700","31067","13.3","955621","929864","480578","376506","371588","538893","96787","800585","168.4","57513.49"
"Hawaii","4.1","1455271","1360301","6.0","21.2","19.0","50.0","25.5","2.2","0.4","37.6","10.1","24.2","10.7","21.7","101975","18.5","550273","58.9","615300","459424","3.0","86.6","26.6","91.2","84.8","92.0","33.0","6.4","5.0","9536706","-11","18901745","27.5","81275","35567","9.3","112589","118454","60409","44453","74208","38510","11148","101334","211.8","6422.63"
"Alabama","2.6","5024279","4779736","6.0","22.2","17.3","51.7","69.1","26.8","0.7","1.5","0.1","1.8","4.6","65.3","330207","3.5","2284847","68.8","142700","1867893","2.55","86.3","5.3","85.5","76.4","86.2","25.5","11.6","11.7","7576462","124809759","58564965","24.9","50536","27928","15.5","336445","374153","203604","137630","92219","272651","41943","316984","94.4","50645.33"
"Alaska","3.0","733391","710231","7.0","24.6","12.5","47.9","65.3","3.7","15.6","6.5","1.4","7.5","7.3","60.2","65186","7.8","319854","64.3","270400","253346","2.8","82.1","16.1","94.1","85.5","92.8","29.6","8.9","13.9","2221335","-11","10474275","19.1","77640","36787","10.1","57391","68032","35402","22141","13688","51147","7953","56091","1.2","570640.95"
"Arizona","13.9","7151502","6392017","5.9","22.5","18.0","50.3","82.6","5.2","5.3","3.7","0.3","2.9","31.7","54.1","488061","13.3","3075981","64.4","225500","2571268","2.68","82.6","27.1","91.7","84.1","87.1","29.5","8.7","13.6","13996635","51243473","84716542","25.7","58945","30694","13.5","502593","499926","245243","182425","135313","344981","46780","427582","56.3","113594.08"
"Arkansas","3.5","3011524","2915918","6.2","23.2","17.4","50.9","79.0","15.7","1.0","1.7","0.4","2.2","7.8","72.0","197138","4.8","1389129","65.6","127800","1158071","2.52","84.6","7.5","86.2","73.0","86.6","23.0","12.6","10.9","4307264","62712925","36815256","21.7","47597","26577","16.2","209179","231959","123158","75962","35982","189029","25915","192988","56.0","52035.48"
